Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,124.00,124.00,123.20,123.40,416200,123.40
2012-08-01,123.80,123.80,123.20,123.40,1166100,123.40
2012-07-31,123.50,123.80,123.00,123.30,930800,123.30
2012-07-30,123.40,123.50,123.20,123.50,637300,123.50
2012-07-27,123.40,123.60,123.20,123.40,2501700,123.40
2012-07-26,123.40,123.40,123.10,123.40,982400,123.40
2012-07-25,123.50,123.50,123.00,123.20,630700,123.20
2012-07-24,122.90,123.70,122.72,123.70,1405400,123.70
2012-07-23,122.80,123.30,122.50,123.00,490000,123.00
2012-07-20,123.70,123.70,123.00,123.50,335300,123.50
2012-07-19,123.20,123.80,122.75,123.60,818500,123.60
2012-07-18,122.60,123.20,122.60,123.20,628100,123.20
2012-07-17,123.00,123.40,122.80,123.20,746800,123.20
2012-07-16,122.60,123.40,122.30,123.40,845200,123.40
2012-07-13,122.10,123.20,122.10,123.00,1083800,123.00
2012-07-12,122.65,122.65,121.70,122.40,388700,122.40
2012-07-11,121.70,122.70,121.70,122.30,481700,122.30
2012-07-10,122.00,122.79,122.00,122.50,679000,122.50
2012-07-09,123.00,123.39,122.80,123.10,832900,123.10
2012-07-06,123.20,123.40,122.80,123.20,282700,123.20
2012-07-05,123.20,123.20,122.57,122.90,417800,122.90
2012-07-04,122.90,123.10,122.70,122.80,880700,122.80
2012-07-03,122.90,123.30,122.27,123.30,937000,123.30
2012-07-02,121.40,122.60,120.72,122.60,1911300,122.60
2012-06-29,120.80,121.40,120.10,121.40,815000,121.40
2012-06-28,120.60,120.80,120.00,120.40,2115600,120.40
2012-06-27,120.00,120.30,120.00,120.10,1650600,120.10
2012-06-26,120.60,120.60,119.83,120.00,814500,120.00
2012-06-25,120.20,120.40,119.80,120.10,469500,120.10
2012-06-22,120.30,120.30,119.83,120.00,1141400,120.00
2012-06-21,120.60,120.60,120.07,120.40,800600,120.40
2012-06-20,120.80,120.80,120.00,120.20,1188200,120.20
2012-06-19,123.20,123.60,123.10,123.60,652800,120.63
2012-06-18,123.58,123.90,123.00,123.20,1435400,120.24
2012-06-15,123.90,124.07,123.30,124.00,3578000,121.02
2012-06-14,123.70,123.85,123.40,123.70,839700,120.73
2012-06-13,123.10,123.80,123.10,123.40,467900,120.43
2012-06-12,124.10,124.10,123.10,123.10,985800,120.14
2012-06-11,124.00,124.00,123.43,123.90,691900,120.92
2012-06-08,124.00,124.00,123.50,124.00,297700,121.02
2012-06-07,124.30,124.30,123.70,124.00,898700,121.02
2012-06-06,124.30,124.30,123.56,124.00,564000,121.02
2012-06-01,123.60,124.30,123.50,124.00,2092200,121.02
2012-05-31,124.20,124.30,123.60,124.00,538900,121.02
2012-05-30,124.20,124.30,123.50,124.00,1483700,121.02
2012-05-29,124.10,124.10,123.50,124.00,3454100,121.02
2012-05-28,123.70,124.30,123.50,123.90,834700,120.92
2012-05-25,122.60,124.29,122.40,124.00,1286800,121.02
2012-05-24,122.70,123.00,122.20,123.00,364300,120.04
2012-05-23,122.80,122.80,122.00,122.10,884000,119.17
2012-05-22,122.80,123.20,122.00,122.50,1402400,119.56
2012-05-21,122.10,122.99,122.10,122.40,668500,119.46
2012-05-14,124.30,125.00,124.30,124.90,782100,121.90
2012-05-11,123.80,124.90,123.80,124.60,876700,121.61
2012-05-10,123.10,124.39,123.00,124.00,646800,121.02
2012-05-09,123.00,123.50,122.90,123.00,770600,120.04
2012-05-08,123.70,124.50,122.50,122.50,1586300,119.56
2012-05-04,124.60,125.10,124.00,124.00,1026500,121.02
2012-05-03,124.50,125.10,124.20,124.80,817700,121.80
2012-05-02,126.50,126.80,124.00,124.00,2031500,121.02
2012-05-01,126.20,126.60,126.20,126.60,2849800,123.56
2012-04-30,126.40,126.60,126.20,126.20,347800,123.17
2012-04-27,126.20,126.60,126.15,126.20,1165700,123.17
2012-04-26,126.90,127.00,126.20,126.20,673800,123.17
2012-04-25,127.60,127.70,126.65,127.00,783300,123.95
2012-04-24,127.90,128.40,127.50,127.60,1360700,124.53
2012-04-23,127.10,128.90,126.82,128.00,1021200,124.92
2012-04-20,126.10,127.50,126.10,127.50,626900,124.44
2012-04-19,125.10,126.60,125.00,126.20,1087800,123.17
2012-04-18,124.60,125.30,124.30,125.30,926000,122.29
2012-04-17,124.30,124.90,124.30,124.70,600700,121.70
2012-04-16,124.00,124.60,124.00,124.60,532700,121.61
2012-04-13,124.10,124.30,123.60,124.20,753500,121.22
2012-04-12,124.30,124.30,123.60,124.00,828000,121.02
2012-04-11,123.20,124.20,123.20,124.00,877300,121.02
2012-04-10,123.30,124.09,123.30,123.70,674300,120.73
2012-04-05,123.80,124.13,123.70,123.90,447700,120.92
2012-04-04,124.80,124.80,123.50,123.70,2546500,120.73
2012-04-03,125.00,125.00,124.60,124.80,956200,121.80
2012-04-02,124.90,125.00,124.20,125.00,1772400,122.00
2012-03-30,123.10,124.90,123.10,124.50,955200,121.51
2012-03-29,123.00,123.30,122.70,123.10,599800,120.14
2012-03-28,123.20,123.65,123.10,123.50,765400,120.53
2012-03-27,123.30,123.80,122.82,123.70,1410900,120.73
2012-03-26,122.70,123.30,122.20,123.30,1045100,120.34
2012-03-23,122.30,122.90,122.10,122.90,1170900,119.95
2012-03-22,122.40,122.90,122.40,122.80,611500,119.85
2012-03-21,122.20,122.90,122.20,122.80,703400,119.85
2012-03-20,122.20,122.70,122.20,122.50,595200,119.56
2012-03-19,122.00,122.80,122.00,122.80,696100,119.85
2012-03-16,121.90,122.50,121.65,122.50,2090200,119.56
2012-03-15,122.20,122.30,121.66,122.00,1270800,119.07
2012-03-14,122.20,122.20,121.70,122.20,870800,119.26
2012-03-13,121.80,122.20,121.79,122.20,2166100,119.26
2012-03-12,121.50,122.00,121.50,122.00,443500,119.07
2012-03-09,121.80,121.90,121.58,121.90,622600,118.97
2012-03-08,122.40,122.40,121.60,122.10,2720000,119.17
2012-03-07,121.50,122.40,121.50,122.40,541000,119.46
2012-03-06,121.70,121.90,121.50,121.60,1427200,118.68
2012-03-05,122.10,122.80,121.70,122.00,517300,119.07
2012-03-02,121.50,122.50,121.50,122.40,1537200,119.46
2012-03-01,122.00,122.00,121.60,121.70,1675300,118.78
2012-02-29,122.00,122.30,121.30,121.40,1436300,118.48
2012-02-28,122.40,122.50,120.60,121.70,3427500,118.78
2012-02-27,124.30,124.79,121.50,122.10,1955100,119.17
2012-02-24,124.50,125.20,124.20,124.50,827800,121.51
2012-02-23,124.20,125.20,124.02,125.20,687700,122.19
2012-02-22,124.30,124.40,124.00,124.12,919000,121.14
2012-02-21,122.90,124.30,122.90,124.30,2069600,121.31
2012-02-20,123.00,123.20,122.86,123.00,400000,120.04
2012-02-17,122.60,123.00,122.10,122.80,676100,119.85
2012-02-16,122.60,122.89,122.20,122.40,818100,119.46
2012-02-15,123.40,123.40,122.40,122.70,806900,119.75
2012-02-14,123.30,123.30,122.80,122.90,814000,119.95
2012-02-13,122.90,123.50,122.42,123.40,1142200,120.43
2012-02-10,122.40,123.00,121.90,122.60,2025800,119.65
2012-02-09,122.04,122.45,121.70,122.40,1045200,119.46
2012-02-08,121.90,122.03,121.60,121.80,917800,118.87
2012-02-07,121.90,121.90,121.41,121.80,1259700,118.87
2012-02-06,121.80,121.90,121.50,121.90,1380900,118.97
2012-02-03,120.90,122.20,120.90,121.60,3676600,118.68
2012-02-02,120.90,120.90,120.60,120.80,2130900,117.90
2012-02-01,120.00,120.90,120.00,120.80,1028600,117.90
2012-01-31,120.00,120.40,120.00,120.10,1853500,117.21
2012-01-30,119.80,120.40,119.80,120.20,587600,117.31
2012-01-27,119.80,120.40,119.80,120.10,386100,117.21
2012-01-26,119.90,120.40,119.90,120.30,516900,117.41
2012-01-25,120.00,120.40,119.89,120.00,469500,117.12
2012-01-24,120.00,120.10,119.80,120.00,509000,117.12
2012-01-23,120.00,120.40,119.80,119.90,587300,117.02
2012-01-20,120.50,120.50,119.90,120.20,612700,117.31
2012-01-19,120.20,120.50,119.90,120.20,878300,117.31
2012-01-18,119.90,120.50,119.90,120.10,749800,117.21
2012-01-17,120.10,120.20,119.60,120.00,1108100,117.12
2012-01-16,120.20,120.20,119.70,120.20,301000,117.31
2012-01-13,120.60,120.60,119.90,120.10,695300,117.21
2012-01-12,120.30,120.60,120.27,120.30,1024400,117.41
2012-01-11,119.80,120.90,119.50,120.18,2197400,117.29
2012-01-09,120.50,120.50,119.60,120.00,495300,117.12
2012-01-06,120.60,121.37,120.10,120.50,1047600,117.60
2012-01-05,121.40,121.50,120.70,120.80,885800,117.90
2012-01-04,121.30,121.40,120.60,121.10,518600,118.19
2012-01-03,121.00,121.30,120.50,121.30,827100,118.39
2011-12-30,120.60,120.90,120.00,120.00,73200,117.12
2011-12-29,120.90,121.24,120.40,120.50,221200,117.60
2011-12-28,121.00,121.30,120.60,121.20,182000,118.29
2011-12-23,121.10,121.30,120.78,121.00,363700,118.09
2011-12-22,120.83,121.30,120.00,120.90,1024000,117.99
2011-12-21,120.30,121.10,120.10,120.10,1329700,117.21
2011-12-20,119.40,120.30,118.60,120.30,1225700,117.41
2011-12-19,118.50,118.80,118.30,118.80,1234700,115.95
2011-12-16,117.70,119.75,117.60,118.70,6857300,115.85
2011-12-15,117.20,120.72,116.83,117.60,3817400,114.77
2011-12-14,117.30,117.50,116.60,117.00,695500,114.19
2011-12-13,120.29,120.29,119.70,119.70,668200,113.93
2011-12-12,120.50,120.50,119.60,119.70,417500,113.93
2011-12-09,120.40,120.40,119.46,119.60,571900,113.83
2011-12-08,122.50,122.50,119.80,119.90,915100,114.12
2011-12-07,122.50,122.50,121.70,121.70,480900,115.83
2011-12-06,122.10,122.50,122.00,122.30,406200,116.40
2011-12-05,122.00,122.30,121.60,122.20,536600,116.30
2011-12-02,121.50,122.00,120.89,120.90,713600,115.07
2011-12-01,121.10,121.30,120.70,121.20,1812900,115.35
2011-11-30,119.40,121.00,119.40,121.00,1009000,115.16
2011-11-28,120.00,120.20,119.40,120.00,528500,114.21
2011-11-25,119.30,120.00,119.20,119.20,446200,113.45
2011-11-24,119.40,119.99,119.20,119.40,902000,113.64
2011-11-23,119.50,120.34,119.40,119.70,333500,113.93
2011-11-22,119.50,120.50,119.50,119.90,907300,114.12
2011-11-21,119.20,120.10,119.20,119.70,696900,113.93
2011-11-18,119.20,120.20,119.20,119.80,689600,114.02
