Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,78.50,80.00,78.25,78.75,199300,79.00
2012-08-01,79.00,79.75,78.15,79.00,446300,79.00
2012-07-31,80.50,81.38,79.50,79.75,471000,79.75
2012-07-27,81.00,81.62,79.00,79.50,114500,79.50
2012-07-26,81.50,81.50,79.50,81.00,409600,81.00
2012-07-25,80.75,82.00,80.50,81.50,401300,81.50
2012-07-24,80.00,82.00,79.01,81.50,159800,81.50
2012-07-23,79.50,80.00,77.65,80.00,677100,80.00
2012-07-20,81.00,81.00,80.00,80.24,321400,80.24
2012-07-19,82.00,82.00,79.50,80.24,1263300,80.24
2012-07-18,79.25,82.00,79.00,82.00,1111800,82.00
2012-07-17,79.50,79.75,79.00,79.24,940900,79.24
2012-07-16,77.00,80.00,76.50,77.82,1595800,77.82
2012-07-13,75.00,77.00,72.50,77.00,1889200,77.00
2012-07-12,69.00,75.08,69.00,74.00,14343100,74.00
2012-07-11,65.75,66.08,64.75,65.00,159100,65.00
2012-07-10,62.25,66.50,62.25,66.50,327600,66.50
2012-07-09,62.50,63.40,62.50,63.00,165300,63.00
2012-07-06,63.00,63.25,62.00,63.00,319400,63.00
2012-07-05,63.50,63.50,62.75,63.50,116600,63.50
2012-07-04,62.50,63.50,62.50,63.00,415400,63.00
2012-07-03,63.50,64.75,62.50,63.25,269400,63.25
2012-07-02,63.00,63.80,62.75,63.00,317700,63.00
2012-06-29,65.50,65.50,62.75,63.50,293900,63.50
2012-06-28,65.50,65.50,62.75,63.25,993900,63.25
2012-06-27,65.75,65.75,65.00,65.00,716900,65.00
2012-06-26,66.00,66.50,65.00,65.00,841500,65.00
2012-06-25,66.25,66.50,66.00,66.00,245800,66.00
2012-06-22,68.00,68.12,66.00,66.00,241300,66.00
2012-06-21,69.25,69.25,68.50,69.00,243100,69.00
2012-06-20,67.75,70.00,66.75,70.00,401000,70.00
2012-06-19,67.00,68.00,64.93,67.75,525400,67.75
2012-06-18,67.00,67.50,65.39,66.25,141600,66.25
2012-06-15,65.75,66.75,65.00,66.50,306500,66.50
2012-06-14,67.75,67.75,63.55,65.00,492700,65.00
2012-06-13,69.00,69.00,66.85,67.25,137900,67.25
2012-06-12,70.00,70.00,68.25,68.25,2489600,68.25
2012-06-11,70.25,70.93,69.00,70.00,1727300,70.00
2012-06-08,69.50,69.75,68.00,69.50,176200,69.50
2012-06-07,68.75,69.75,67.75,69.50,546400,69.50
2012-06-06,67.75,68.50,67.06,67.50,475200,67.50
2012-06-01,68.50,69.50,67.25,67.75,811600,67.75
2012-05-31,68.50,69.00,67.75,69.00,462000,69.00
2012-05-30,68.00,69.00,67.40,68.00,1199700,68.00
2012-05-29,69.00,69.60,67.75,67.75,273500,67.75
2012-05-28,69.00,69.50,68.25,68.25,140100,68.25
2012-05-25,70.00,70.50,68.00,68.75,415000,68.75
2012-05-24,69.00,70.50,68.50,70.50,569000,70.50
2012-05-23,68.50,69.75,68.00,69.00,482200,69.00
2012-05-22,68.75,69.25,68.00,68.75,197400,68.75
2012-05-21,67.25,68.50,67.02,67.72,481800,67.72
2012-05-18,71.00,71.00,67.25,68.00,978700,68.00
2012-05-17,70.50,72.00,70.50,71.00,828700,71.00
2012-05-16,71.00,71.00,68.75,71.00,522500,71.00
2012-05-14,74.75,74.75,67.50,68.09,1404400,68.09
2012-05-11,73.00,75.95,72.25,73.07,1142900,73.07
2012-05-10,75.75,77.50,72.75,73.75,847500,73.75
2012-05-09,74.25,76.25,72.32,73.01,1274300,73.01
2012-05-08,78.00,78.00,73.08,73.50,2092600,73.50
2012-05-04,78.75,78.75,76.75,78.00,370200,78.00
2012-05-03,75.00,78.50,75.00,78.08,1298100,78.08
2012-05-02,82.00,82.00,73.32,74.90,2190800,74.90
2012-05-01,81.25,83.75,80.72,81.75,593200,81.75
2012-04-30,80.25,82.75,79.51,82.75,779300,82.75
2012-04-27,79.50,81.60,79.00,79.75,1571100,79.75
2012-04-26,77.50,80.50,77.00,79.50,1749100,79.50
2012-04-25,77.00,77.75,76.75,77.25,757500,77.25
2012-04-24,77.50,77.50,75.25,77.25,1614800,77.25
2012-04-23,75.00,78.00,75.00,78.00,1578400,78.00
2012-04-20,75.00,77.00,74.75,76.00,1440400,76.00
2012-04-19,73.00,76.75,72.75,75.50,1728600,75.50
2012-04-18,71.75,73.00,69.81,73.00,1105700,73.00
2012-04-17,71.00,71.93,70.00,71.25,982000,71.25
2012-04-16,68.25,72.50,68.25,70.19,1866700,70.19
2012-04-13,65.75,69.00,65.50,68.75,1216300,68.75
2012-04-12,65.00,66.00,64.38,65.75,1231600,65.75
2012-04-11,64.25,64.75,63.50,64.50,488500,64.50
2012-04-10,64.00,64.50,63.25,63.44,980400,63.44
2012-04-05,65.00,65.54,64.50,64.50,1538900,64.50
2012-04-04,65.25,65.50,64.91,65.19,1062100,65.19
2012-04-03,65.00,65.50,64.00,65.19,1785800,65.19
2012-04-02,63.75,65.00,63.15,65.00,778400,65.00
2012-03-30,62.50,63.50,62.00,63.50,1379800,63.50
2012-03-29,62.00,62.80,61.75,62.00,1102400,62.00
2012-03-28,63.00,63.00,62.00,62.25,984500,62.25
2012-03-27,60.50,63.38,60.50,63.00,3590500,63.00
2012-03-26,57.25,60.00,57.25,59.50,2083700,59.50
2012-03-23,56.50,58.00,56.25,57.75,564700,57.75
2012-03-22,55.00,56.78,54.79,55.75,828400,55.75
2012-03-21,55.00,55.31,54.75,55.00,3005200,55.00
2012-03-20,54.75,55.25,54.50,55.00,583400,55.00
2012-03-19,54.75,55.50,54.25,55.00,1015500,55.00
2012-03-16,54.50,55.00,54.25,55.00,543200,55.00
2012-03-15,54.50,54.89,54.31,54.75,85100,54.75
2012-03-14,54.50,54.75,54.00,54.75,646700,54.75
2012-03-13,54.00,54.50,53.25,54.25,855400,54.25
2012-03-12,55.50,55.50,53.25,54.00,547000,54.00
2012-03-09,54.75,55.50,54.25,55.50,732700,55.50
2012-03-08,54.00,54.75,54.00,54.75,216700,54.75
2012-03-07,54.00,55.00,53.62,55.00,272700,55.00
2012-03-06,53.75,54.25,53.25,54.25,694100,54.25
2012-03-05,54.25,54.81,52.75,54.00,1076000,54.00
2012-03-02,56.50,56.75,54.50,54.50,408700,54.50
2012-03-01,56.25,56.75,55.95,56.75,1109200,56.75
2012-02-29,56.00,56.25,55.50,56.25,614800,56.25
2012-02-28,56.25,56.75,55.25,56.00,450900,56.00
2012-02-27,57.00,57.25,56.25,57.00,1221400,57.00
2012-02-24,55.75,57.75,55.75,57.50,751800,57.50
2012-02-23,56.50,56.75,56.00,56.25,467200,56.25
2012-02-22,56.75,56.75,56.40,56.50,667300,56.50
2012-02-21,56.00,56.75,55.50,56.50,421000,56.50
2012-02-20,57.50,57.50,54.25,55.25,644500,55.25
2012-02-17,57.25,57.75,56.50,57.75,681800,57.75
2012-02-16,55.25,57.12,55.00,57.00,1516900,57.00
2012-02-15,55.50,56.00,54.75,55.00,1093700,55.00
2012-02-14,57.00,57.50,55.00,55.00,1211900,55.00
2012-02-13,55.50,57.04,55.50,56.64,1892900,56.64
2012-02-10,55.75,56.38,55.75,55.89,1753400,55.89
2012-02-09,56.50,56.50,55.50,55.75,1035600,55.75
2012-02-08,56.75,57.00,56.19,56.39,2232600,56.39
2012-02-07,58.00,58.50,56.25,57.12,4054200,57.12
2012-02-06,55.25,57.90,55.25,57.07,3683200,57.07
2012-02-03,55.25,55.79,54.50,55.00,1470400,55.00
2012-02-02,53.00,56.00,52.00,55.50,2268100,55.50
