Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,81.75,81.75,81.32,81.50,13200,81.06
2012-08-01,82.00,82.00,80.50,81.06,100200,81.06
2012-07-31,81.12,82.00,80.69,82.00,102100,82.00
2012-07-30,80.25,81.55,80.25,80.25,17800,80.25
2012-07-27,80.00,81.00,79.88,80.25,190700,80.25
2012-07-26,80.25,81.55,79.75,79.75,244500,79.75
2012-07-25,79.50,81.19,79.50,80.00,146300,80.00
2012-07-24,80.00,81.19,79.50,79.50,206000,79.50
2012-07-23,80.00,81.50,80.00,81.31,130400,81.31
2012-07-20,80.25,81.56,80.00,80.00,49900,80.00
2012-07-19,80.94,80.94,80.12,80.62,17500,80.62
2012-07-18,79.26,79.26,79.26,79.26,4400,79.26
2012-07-17,79.50,79.88,79.50,79.50,455400,79.50
2012-07-16,79.25,79.25,79.01,79.25,66600,79.25
2012-07-13,79.25,80.00,79.25,79.25,125600,79.25
2012-07-12,80.00,80.00,80.00,80.00,8300,80.00
2012-07-11,80.00,80.00,79.26,80.00,134800,80.00
2012-07-10,80.00,82.00,80.00,82.00,195300,82.00
2012-07-09,79.50,81.00,79.50,81.00,14000,81.00
2012-07-06,80.00,80.00,79.25,79.25,212700,79.25
2012-07-05,80.25,80.88,80.00,80.00,46300,80.00
2012-07-04,80.00,80.25,79.75,79.75,40600,79.75
2012-07-03,80.00,82.00,82.00,82.00,53000,82.00
2012-07-02,79.00,80.00,79.00,79.00,52200,79.00
2012-06-29,80.00,80.00,79.00,79.00,5600,79.00
2012-06-28,78.50,80.00,78.50,80.00,185200,80.00
2012-06-27,78.50,78.50,78.50,78.50,53900,78.50
2012-06-26,78.75,79.50,78.50,78.50,89700,78.50
2012-06-25,79.00,79.20,78.00,79.00,186900,79.00
2012-06-22,79.00,79.00,79.00,79.00,38000,79.00
2012-06-21,79.00,79.01,78.50,78.75,107900,78.75
2012-06-20,80.00,80.00,78.75,79.00,183800,79.00
2012-06-19,79.00,80.00,78.75,79.00,2477500,79.00
2012-06-18,79.25,80.00,79.00,79.75,293700,79.75
2012-06-15,79.00,79.25,78.50,79.00,75200,79.00
2012-06-14,79.25,79.99,79.00,79.00,326000,79.00
2012-06-13,79.25,79.95,78.50,79.00,120400,79.00
2012-06-12,79.50,79.50,78.50,79.00,315700,79.00
2012-06-11,79.00,80.49,78.50,79.00,197300,79.00
2012-06-08,81.00,81.00,78.50,79.00,249100,79.00
2012-06-07,79.50,79.50,78.87,79.00,284700,79.00
2012-06-06,79.25,80.00,78.76,79.00,103100,79.00
2012-06-01,79.25,79.74,78.50,78.50,76400,78.50
2012-05-31,80.75,80.75,79.25,79.50,115600,79.50
2012-05-30,79.50,80.75,79.25,80.75,218700,80.75
2012-05-29,79.43,80.65,79.43,80.65,20900,80.65
2012-05-28,79.50,80.50,79.07,80.00,496900,80.00
2012-05-25,79.25,79.45,78.82,79.00,466900,79.00
2012-05-24,80.00,80.00,79.00,79.00,506600,79.00
2012-05-23,80.50,80.51,79.00,79.00,315800,79.00
2012-05-22,81.00,81.00,80.50,81.00,247000,81.00
2012-05-21,81.25,81.25,81.00,81.00,215400,81.00
2012-05-14,82.50,82.88,81.75,82.25,267800,82.25
2012-05-11,82.50,83.00,82.00,83.00,80800,83.00
2012-05-10,83.75,83.75,82.25,82.25,62100,82.25
2012-05-09,82.50,82.98,82.00,82.00,49100,82.00
2012-05-08,82.50,83.00,82.25,83.00,58200,83.00
2012-05-04,82.50,82.76,82.50,82.50,9100,82.50
2012-05-03,83.00,83.00,82.50,82.95,16200,82.95
2012-05-02,82.75,83.00,82.50,82.50,128200,82.50
2012-05-01,83.25,83.25,82.87,83.00,117200,83.00
2012-04-30,82.75,83.50,82.50,82.50,56700,82.50
2012-04-27,82.50,83.00,82.50,83.00,108400,83.00
2012-04-26,82.51,82.75,82.50,82.50,50600,82.50
2012-04-25,82.50,82.90,82.50,82.50,71400,82.50
2012-04-24,83.00,83.00,82.50,82.50,93800,82.50
2012-04-23,82.50,83.50,82.50,83.50,92500,83.50
2012-04-20,82.50,82.50,82.50,82.50,5200,82.50
2012-04-19,82.75,83.50,82.74,82.75,30000,82.75
2012-04-18,82.75,82.75,82.75,82.75,400,82.75
2012-04-17,83.00,83.50,82.54,83.00,350100,83.00
2012-04-16,83.25,83.60,83.00,83.60,7900,83.60
2012-04-13,83.50,83.50,83.10,83.25,213800,83.25
2012-04-12,83.00,83.16,83.00,83.16,63700,83.16
2012-04-11,83.10,83.10,83.10,83.10,84800,83.10
2012-04-10,83.00,83.38,83.00,83.00,97300,83.00
2012-04-05,83.75,84.11,82.75,83.00,108100,83.00
2012-04-04,83.00,84.05,83.00,83.00,157200,83.00
2012-04-03,84.25,85.75,84.25,85.50,125900,83.80
2012-04-02,84.00,85.00,83.00,84.00,220800,82.33
2012-03-30,83.50,84.00,82.25,84.00,293700,82.33
2012-03-29,82.25,83.83,82.01,82.25,55900,80.61
2012-03-28,81.00,82.75,80.30,82.00,2542300,80.37
2012-03-27,80.50,81.95,80.01,81.00,116400,79.39
2012-03-26,81.00,81.01,80.50,81.00,28000,79.39
2012-03-23,81.00,82.50,80.00,81.00,150900,79.39
2012-03-22,81.00,82.00,81.00,82.00,92600,80.37
2012-03-21,81.00,82.00,81.00,81.50,88700,79.88
2012-03-20,80.75,81.75,80.75,81.50,31100,79.88
2012-03-19,82.00,82.00,80.01,80.50,125700,78.90
2012-03-16,80.75,81.00,80.75,80.75,162700,79.14
2012-03-15,80.23,82.00,80.23,80.75,395900,79.14
2012-03-14,81.00,81.00,80.75,81.00,95500,79.39
2012-03-13,82.50,82.50,81.00,81.00,151500,79.39
2012-03-12,82.25,82.25,82.25,82.25,19100,80.61
2012-03-09,80.50,81.25,80.50,81.25,303300,79.63
2012-03-08,80.50,81.25,80.50,80.50,116000,78.90
2012-03-07,81.25,81.25,80.50,80.50,95700,78.90
2012-03-06,80.25,80.25,80.00,80.25,132100,78.65
2012-03-05,80.50,80.82,80.50,80.50,61500,78.90
2012-03-02,81.00,81.00,80.26,80.26,292500,78.66
2012-03-01,82.00,82.00,80.90,81.40,56600,79.78
2012-02-29,81.00,81.90,80.50,80.50,140100,78.90
2012-02-28,80.75,82.00,80.75,81.00,193000,79.39
2012-02-27,80.50,80.50,80.50,80.50,15900,78.90
2012-02-24,80.25,81.38,80.25,81.25,107100,79.63
2012-02-23,80.25,80.25,80.25,80.25,32700,78.65
2012-02-22,80.00,81.25,80.00,80.50,63000,78.90
2012-02-21,80.00,81.25,80.00,80.00,235900,78.41
2012-02-20,80.00,80.75,80.00,80.00,537600,78.41
2012-02-17,81.35,81.35,80.25,80.25,82900,78.65
2012-02-16,79.00,79.99,79.00,79.99,48100,78.40
