Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,129.10,130.55,124.90,126.20,2456800,128.80
2012-08-01,128.00,129.77,126.50,128.80,2506300,128.80
2012-07-31,128.40,130.30,125.60,127.70,4422800,127.70
2012-07-27,127.80,128.30,123.68,127.80,3806600,127.80
2012-07-26,123.70,126.80,119.83,126.30,4449800,126.30
2012-07-25,120.70,125.50,119.75,123.00,3737000,123.00
2012-07-24,120.30,122.80,117.72,120.50,5207200,120.50
2012-07-23,126.40,126.40,118.80,119.40,10391400,119.40
2012-07-20,128.00,129.20,125.50,128.70,7754600,128.70
2012-07-19,124.50,129.10,123.23,128.00,12924700,128.00
2012-07-18,119.40,119.40,115.40,118.90,3565900,118.90
2012-07-17,115.80,119.00,115.44,118.40,8318000,118.40
2012-07-16,115.70,116.20,114.50,115.00,5210700,115.00
2012-07-13,111.72,116.50,111.50,115.60,6073200,115.60
2012-07-12,112.40,115.10,110.10,110.90,8308200,110.90
2012-07-11,113.70,114.50,111.70,112.80,4697200,112.80
2012-07-10,107.50,115.40,107.00,114.30,19886700,114.30
2012-07-09,106.90,106.90,103.44,104.32,7394100,104.32
2012-07-06,108.90,110.00,105.90,106.60,3516700,106.60
2012-07-05,110.20,112.60,107.50,109.80,4576400,109.80
2012-07-04,110.00,112.17,106.50,110.10,4357900,110.10
2012-07-03,108.10,110.00,107.57,109.60,8750400,109.60
2012-07-02,103.30,108.20,102.60,107.50,7518100,107.50
2012-06-29,101.20,105.90,101.20,103.80,6713900,103.80
2012-06-28,96.70,98.75,94.15,98.40,8155000,98.40
2012-06-27,94.90,96.35,92.85,96.10,8240400,96.10
2012-06-26,98.30,98.75,93.35,93.95,9166400,93.95
2012-06-25,102.00,102.20,96.80,97.70,8746600,97.70
2012-06-22,103.00,103.25,101.00,101.90,8315000,101.90
2012-06-21,108.30,108.70,104.00,104.40,5950100,104.40
2012-06-20,107.80,110.30,106.90,109.60,6543000,109.60
2012-06-19,106.20,107.60,105.00,107.30,8207600,107.30
2012-06-18,108.00,112.36,105.02,106.20,4975700,106.20
2012-06-15,102.00,107.80,101.65,106.80,9069800,106.80
2012-06-14,100.90,102.20,98.75,100.80,7789500,100.80
2012-06-13,105.30,108.00,100.50,101.70,9221900,101.70
2012-06-12,106.10,106.44,103.10,104.50,6618500,104.50
2012-06-11,111.50,114.10,106.11,106.50,5335000,106.50
2012-06-08,116.00,116.16,107.68,108.40,9074400,108.40
2012-06-07,114.00,118.00,110.00,117.20,8702700,117.20
2012-06-06,106.50,114.80,105.10,114.50,9277300,114.50
