Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,71.00,72.72,70.50,70.75,2600,70.75
2012-08-02,71.00,72.72,70.50,70.75,3900,70.75
2012-08-01,71.00,71.00,70.55,70.55,1000,70.55
2012-07-31,71.00,71.50,70.25,70.25,41800,70.25
2012-07-27,70.00,70.80,67.00,69.85,23500,69.85
2012-07-26,73.00,73.00,67.75,68.25,28600,68.25
2012-07-25,71.00,71.50,71.00,71.50,1100,71.50
2012-07-24,71.00,71.00,70.50,70.50,1700,70.50
2012-07-23,69.00,71.10,68.85,71.00,20000,71.00
2012-07-20,69.00,70.00,68.81,69.00,14300,69.00
2012-07-19,67.25,70.00,67.10,69.16,22300,69.16
2012-07-18,70.00,70.00,68.00,68.00,4500,68.00
2012-07-17,70.00,71.70,67.00,67.00,25500,67.00
2012-07-16,70.50,73.00,69.50,69.50,12500,69.50
2012-07-13,72.00,72.25,69.00,69.00,52900,69.00
2012-07-12,70.00,71.75,67.10,71.75,36500,71.75
2012-07-11,68.00,70.00,67.82,70.00,18600,70.00
2012-07-10,66.75,70.00,65.89,70.00,37200,70.00
2012-07-09,70.00,70.75,66.66,70.75,28600,70.75
2012-07-06,70.00,70.00,66.50,66.50,56100,66.50
2012-07-05,71.35,71.90,71.35,71.90,1900,71.90
2012-07-04,72.00,74.00,70.88,74.00,45500,74.00
2012-07-03,69.00,72.75,69.00,70.60,50900,70.60
2012-07-02,69.25,69.30,66.91,67.00,37500,67.00
2012-06-29,72.00,72.00,68.25,71.75,43600,71.75
2012-06-28,76.25,76.50,68.75,68.75,62200,68.75
2012-06-27,76.25,76.26,75.00,75.75,15500,75.75
2012-06-26,75.50,75.50,75.00,75.00,24000,75.00
2012-06-25,76.00,77.00,75.00,75.00,10100,75.00
2012-06-22,78.50,78.50,76.00,76.75,4700,76.75
2012-06-21,77.06,78.65,76.50,76.50,5500,76.50
2012-06-20,75.00,79.00,74.00,79.00,34400,79.00
2012-06-19,74.75,74.75,74.00,74.00,15400,74.00
2012-06-18,74.00,75.00,73.00,73.50,22000,73.50
2012-06-15,75.25,76.15,72.00,72.00,48100,72.00
2012-06-14,75.25,77.86,73.50,73.50,39700,73.50
2012-06-13,79.75,79.75,76.25,76.25,3200,76.25
2012-06-12,78.00,78.00,75.50,77.25,10100,77.25
2012-06-11,79.00,80.00,75.71,80.00,8500,80.00
2012-06-08,78.00,78.00,75.75,78.00,12300,78.00
2012-06-07,78.00,78.00,76.50,78.00,28300,78.00
2012-06-06,77.00,79.75,76.75,79.75,12300,79.75
2012-06-01,70.50,79.25,70.50,75.53,132300,75.53
2012-05-31,74.00,74.00,71.07,74.00,5200,74.00
2012-05-30,71.45,71.45,71.45,71.45,3000,71.45
2012-05-29,69.75,72.50,67.38,72.50,42000,72.50
2012-05-28,68.36,69.42,68.36,68.36,5300,68.36
2012-05-25,69.25,70.00,68.36,68.36,31600,68.36
2012-05-24,67.54,68.38,67.54,67.54,10000,67.54
2012-05-23,69.36,69.36,67.00,67.00,4700,67.00
2012-05-22,69.00,69.27,66.47,69.00,10500,69.00
2012-05-21,65.55,69.19,65.55,67.50,25800,67.50
2012-05-18,64.00,69.00,63.95,69.00,146700,69.00
2012-05-17,69.50,69.50,64.30,65.50,164000,65.50
2012-05-16,69.75,71.88,69.75,71.75,27800,71.75
2012-05-14,70.00,74.25,70.00,70.00,26100,70.00
2012-05-11,71.25,73.25,71.25,73.25,14400,73.25
2012-05-10,71.50,74.50,71.50,74.50,35300,74.50
2012-05-09,73.75,73.75,69.00,72.50,147100,72.50
2012-05-08,74.75,75.00,74.75,75.00,30300,75.00
2012-05-04,72.50,76.45,72.50,72.75,164300,72.75
2012-05-03,76.00,76.28,71.00,72.75,92800,72.75
2012-05-02,77.00,78.00,76.50,78.00,30900,78.00
2012-05-01,77.00,78.85,76.00,77.00,77500,77.00
2012-04-30,80.75,80.75,78.05,80.00,24000,80.00
2012-04-27,81.50,82.00,79.22,81.25,4900,81.25
2012-04-26,79.75,81.36,79.00,80.00,34600,80.00
2012-04-25,78.25,80.00,74.00,78.88,301800,78.88
2012-04-24,81.25,82.76,77.50,77.50,88900,77.50
2012-04-23,81.41,83.34,81.41,81.41,17600,81.41
2012-04-20,83.00,83.12,81.00,81.00,78800,81.00
2012-04-19,84.00,84.00,82.50,83.50,36800,83.50
2012-04-18,84.85,84.85,82.00,83.74,165400,83.74
2012-04-17,82.25,85.25,82.25,83.00,28400,83.00
2012-04-16,84.25,85.00,82.00,84.85,150400,84.85
2012-04-13,82.75,85.35,82.75,84.25,14300,84.25
2012-04-12,83.76,84.72,83.20,84.00,24700,84.00
2012-04-11,84.00,85.00,84.00,84.00,49800,84.00
2012-04-10,86.50,88.25,83.25,85.85,83600,85.85
2012-04-05,88.17,88.59,87.00,87.00,79600,87.00
2012-04-04,90.00,90.12,85.72,86.00,52900,86.00
2012-04-03,90.00,90.70,89.00,90.00,28500,90.00
2012-04-02,89.00,90.75,87.31,90.25,17300,90.25
2012-03-30,88.00,90.34,87.05,88.88,258600,88.88
2012-03-29,90.00,90.64,87.25,88.50,115500,88.50
2012-03-28,91.20,91.20,91.00,91.00,30300,91.00
2012-03-27,91.00,91.70,90.00,90.00,93700,90.00
2012-03-26,90.00,91.00,89.53,91.00,104300,91.00
