Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,258.30,258.80,250.10,250.60,700100,250.30
2012-08-02,258.30,258.80,249.50,250.30,1022400,250.30
2012-08-01,253.20,258.80,253.20,258.00,983900,258.00
2012-07-31,260.50,261.50,252.70,252.70,988100,252.70
2012-07-27,250.60,259.70,249.46,257.80,1509700,257.80
2012-07-26,240.10,248.60,238.60,247.49,608100,247.49
2012-07-25,243.20,244.20,239.90,240.50,794800,240.50
2012-07-24,243.10,246.80,240.20,244.20,840600,244.20
2012-07-23,243.40,247.00,239.40,241.30,1139200,241.30
2012-07-20,254.00,254.60,244.10,247.55,1982500,247.55
2012-07-19,263.60,264.00,253.70,254.10,2985500,254.10
2012-07-18,257.30,265.00,254.00,264.63,1412200,264.63
2012-07-17,262.40,265.60,256.60,256.60,1084200,256.60
2012-07-16,262.30,265.70,259.90,262.21,1474400,262.21
2012-07-13,252.50,265.00,251.00,262.80,1802700,262.80
2012-07-12,254.30,256.62,249.20,252.39,1932600,252.39
2012-07-11,265.00,265.00,254.50,255.74,1360700,255.74
2012-07-10,260.00,267.10,257.30,266.30,1174300,266.30
2012-07-09,263.00,263.10,258.30,258.30,1437400,258.30
2012-07-06,271.30,271.30,260.90,262.40,4429900,262.40
2012-07-05,271.70,273.40,265.80,269.88,1511200,269.88
2012-07-04,272.00,272.00,265.90,270.40,1027500,270.40
2012-07-03,274.10,274.10,267.80,269.38,2599500,269.38
2012-07-02,262.60,275.03,259.00,268.13,3063000,268.13
2012-06-29,260.00,263.80,258.60,259.64,2593700,259.64
2012-06-28,256.50,258.97,252.10,254.00,1189000,254.00
2012-06-27,253.80,257.50,252.90,257.29,2037600,257.29
2012-06-26,250.70,252.71,247.50,251.80,1496800,251.80
2012-06-25,251.20,258.50,249.20,252.07,2896100,252.07
2012-06-22,250.70,253.30,245.00,252.00,1601300,252.00
2012-06-21,262.00,271.20,238.99,254.80,5885000,254.80
2012-06-20,242.30,250.40,235.89,238.99,2321300,238.99
2012-06-19,232.90,240.62,230.00,240.60,1006700,240.60
2012-06-18,236.70,239.70,231.30,233.20,1045600,233.20
2012-06-15,231.50,236.90,230.60,232.30,4655500,232.30
2012-06-14,230.90,233.00,226.30,228.30,1182600,228.30
2012-06-13,234.20,236.10,226.20,231.70,1134200,231.70
2012-06-12,238.40,238.50,229.20,233.30,1722900,233.30
2012-06-11,244.00,248.50,235.80,237.10,1247800,237.10
2012-06-08,238.50,240.30,233.99,238.00,1271600,238.00
2012-06-07,224.00,242.40,222.40,242.20,2353200,242.20
2012-06-06,215.80,223.00,215.50,223.00,1812800,223.00
2012-06-01,229.40,230.50,212.20,212.20,2233100,212.20
2012-05-31,228.90,232.20,226.80,230.30,1505700,230.30
2012-05-30,232.30,232.90,228.30,229.20,1117800,229.20
2012-05-29,230.90,235.30,228.40,232.57,1880500,232.57
2012-05-28,221.50,231.50,221.37,231.40,1647300,231.40
2012-05-25,221.00,223.50,215.40,219.20,2080200,219.20
2012-05-24,224.50,224.50,217.50,220.70,1641700,220.70
2012-05-23,222.20,225.90,221.20,222.10,1435800,222.10
2012-05-22,217.80,227.50,217.80,226.80,1736400,226.80
2012-05-21,214.70,216.80,212.53,214.10,1310400,214.10
