Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,127.00,128.70,126.10,126.90,212900,126.80
2012-08-02,127.00,128.70,126.10,126.80,343200,126.80
2012-08-01,127.10,129.80,127.00,127.30,303000,127.30
2012-07-31,128.20,129.00,127.10,127.40,370400,127.40
2012-07-27,130.80,130.80,128.20,129.00,407200,129.00
2012-07-26,129.50,130.80,129.10,130.00,562000,130.00
2012-07-25,129.40,130.00,128.70,128.90,378600,128.90
2012-07-24,129.80,130.79,128.70,128.70,1032300,128.70
2012-07-23,129.80,131.70,129.10,130.00,516500,130.00
2012-07-20,132.00,132.00,129.46,130.50,726300,130.50
2012-07-19,132.00,132.90,130.86,131.60,893400,131.60
2012-07-18,131.00,131.90,130.20,131.35,594300,131.35
2012-07-17,131.37,132.90,130.20,131.00,495500,131.00
2012-07-16,131.40,132.00,131.00,131.50,544400,131.50
2012-07-13,130.90,133.80,130.00,132.30,2803300,132.30
2012-07-12,131.50,131.50,129.10,130.30,1024400,130.30
2012-07-11,132.50,132.50,130.79,131.90,1491600,131.90
2012-07-10,130.00,132.70,129.50,131.80,2702800,131.80
2012-07-09,130.70,132.09,129.00,130.00,797100,130.00
2012-07-06,132.00,133.00,130.00,130.00,976200,130.00
2012-07-05,130.00,133.00,129.50,132.00,2007600,132.00
2012-07-04,130.00,130.90,128.00,130.20,1584700,130.20
2012-07-03,127.90,130.80,124.20,130.80,4363900,130.80
2012-07-02,121.50,125.00,121.05,125.00,854500,125.00
2012-06-29,120.50,121.30,119.50,121.20,1990100,121.20
2012-06-28,120.60,120.70,118.50,119.20,716900,119.20
2012-06-27,120.40,121.00,119.00,120.00,754000,120.00
2012-06-26,119.60,120.90,118.10,120.70,769500,120.70
2012-06-25,118.30,119.50,118.00,118.40,450500,118.40
2012-06-22,120.00,121.00,118.00,118.00,252800,118.00
2012-06-21,119.00,121.60,118.50,120.90,1368900,120.90
2012-06-20,120.00,120.00,118.60,119.00,870800,119.00
2012-06-19,121.00,121.50,118.60,120.10,2464500,120.10
2012-06-18,120.00,120.90,118.50,120.00,590900,120.00
2012-06-15,118.50,122.50,118.00,119.25,5922700,119.25
2012-06-14,119.00,119.08,117.25,118.00,3164300,118.00
2012-06-13,118.75,119.75,118.00,118.50,2773400,118.50
2012-06-12,120.75,121.00,118.00,118.75,1427200,118.75
2012-06-11,117.50,121.00,117.05,121.00,720600,121.00
2012-06-08,113.25,116.75,113.25,115.50,475500,115.50
2012-06-07,112.25,115.00,110.72,114.75,973200,114.75
2012-06-06,115.50,116.00,111.00,112.25,538500,112.25
2012-06-01,117.75,117.75,113.25,115.25,365500,115.25
2012-05-31,117.75,118.75,116.00,117.75,502800,117.75
2012-05-30,118.50,118.50,116.35,117.50,452600,117.50
2012-05-29,118.75,119.00,117.00,118.00,334500,118.00
2012-05-28,117.25,118.85,117.00,117.50,119200,117.50
2012-05-25,119.00,119.00,116.25,118.00,387800,118.00
2012-05-24,118.50,119.75,118.00,118.00,149800,118.00
2012-05-23,117.50,119.25,117.50,119.00,206800,119.00
2012-05-22,112.00,119.50,112.00,119.00,553400,119.00
2012-05-21,110.00,112.00,108.25,111.25,1185500,111.25
2012-05-18,110.25,111.50,105.25,111.00,1833500,111.00
2012-05-17,115.00,115.50,110.57,111.75,620100,111.75
2012-05-16,124.00,124.00,113.50,115.00,1411700,115.00
2012-05-14,120.00,121.50,119.00,119.00,377000,119.00
2012-05-11,118.00,122.00,118.00,121.25,224000,121.25
2012-05-10,118.75,119.25,118.00,118.50,935600,118.50
2012-05-09,121.00,124.00,116.25,119.00,1116700,119.00
2012-05-08,125.25,126.78,121.50,122.75,578800,122.75
2012-05-04,125.00,126.50,124.50,125.00,593100,125.00
2012-05-03,123.25,128.00,122.83,126.25,994700,126.25
2012-05-02,123.00,123.50,121.00,122.50,794500,122.50
2012-05-01,123.50,124.75,123.00,123.50,5381100,123.50
2012-04-30,124.50,124.75,123.56,124.00,115600,124.00
2012-04-27,124.75,125.00,123.71,124.25,329600,124.25
2012-04-26,121.00,124.75,121.00,124.50,868400,124.50
2012-04-25,123.00,123.75,121.75,122.00,600600,122.00
2012-04-24,122.75,122.96,121.75,122.00,119900,122.00
2012-04-23,124.00,126.14,121.00,121.25,424500,121.25
2012-04-20,126.00,126.85,123.00,124.00,889500,124.00
2012-04-19,125.75,128.00,125.50,126.25,457300,126.25
2012-04-18,126.00,127.50,125.50,125.50,449500,125.50
2012-04-17,126.25,128.33,126.00,126.00,115100,126.00
2012-04-16,128.00,128.00,126.00,127.57,5745600,127.57
2012-04-13,127.00,128.75,126.25,127.50,338000,127.50
2012-04-12,123.00,127.50,122.00,124.56,1349200,124.56
2012-04-11,123.00,124.06,121.50,122.50,420900,122.50
2012-04-10,125.25,125.58,123.00,123.25,769300,123.25
2012-04-05,124.00,125.75,123.08,124.00,266800,124.00
2012-04-04,127.75,127.75,123.00,124.00,447800,124.00
2012-04-03,126.25,129.00,124.25,128.00,705800,128.00
2012-04-02,129.75,129.75,123.88,125.61,5568200,125.61
2012-03-30,122.25,129.75,122.00,125.67,6923200,125.67
2012-03-29,120.21,122.33,120.00,121.00,1497700,121.00
2012-03-28,122.25,123.24,120.25,120.75,196300,120.75
2012-03-27,129.25,129.25,122.25,122.25,1189300,122.25
2012-03-26,120.00,131.75,120.00,128.00,1321800,128.00
2012-03-23,118.00,118.69,117.38,117.75,368500,117.75
2012-03-22,118.50,119.00,117.25,118.00,347900,118.00
