Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,141.00,142.50,139.50,140.25,348900,141.00
2012-08-01,143.00,145.85,139.50,141.00,138500,141.00
2012-07-31,140.00,140.00,137.00,137.00,282500,137.00
2012-07-27,138.00,140.50,137.00,140.00,480000,140.00
2012-07-26,138.00,140.00,136.50,137.50,678600,137.50
2012-07-25,138.50,139.75,135.75,139.75,787700,139.75
2012-07-24,136.00,140.00,135.75,138.75,737100,138.75
2012-07-23,143.00,143.00,134.50,137.00,152400,137.00
2012-07-20,136.50,142.50,136.00,141.00,207600,141.00
2012-07-19,135.25,136.00,133.00,136.00,880800,136.00
2012-07-18,131.00,132.00,130.00,131.25,451100,131.25
2012-07-17,134.50,135.75,129.00,129.25,317700,129.25
2012-07-16,129.75,129.75,128.00,129.50,117400,129.50
2012-07-13,130.00,130.81,127.00,129.50,333400,129.50
2012-07-12,132.25,132.25,129.00,129.00,112400,129.00
2012-07-11,136.50,139.19,134.00,136.00,252700,136.00
2012-07-10,143.00,143.00,139.25,140.50,246200,140.50
2012-07-09,145.00,147.00,142.00,147.00,624600,147.00
2012-07-06,145.00,147.25,143.83,145.25,394100,145.25
2012-07-05,147.00,147.14,144.00,145.00,375500,145.00
2012-07-04,144.00,146.67,143.00,143.00,374100,143.00
2012-07-03,138.50,144.00,138.50,144.00,1280500,144.00
2012-07-02,134.25,143.95,127.35,135.00,803400,135.00
2012-06-29,149.00,151.50,132.50,134.91,4320900,134.91
2012-06-28,94.00,94.00,91.50,91.50,67600,91.50
2012-06-27,94.00,97.00,91.75,97.00,233000,97.00
2012-06-26,93.00,95.00,92.25,94.00,113100,94.00
2012-06-25,95.75,97.44,91.25,96.00,257300,96.00
2012-06-22,93.00,95.30,91.25,94.00,110300,94.00
2012-06-21,100.00,100.00,96.50,98.00,70100,98.00
2012-06-20,102.00,102.00,96.00,98.00,183700,98.00
2012-06-19,98.00,100.50,95.93,98.40,466400,98.40
2012-06-18,97.00,101.00,94.25,97.50,227000,97.50
2012-06-15,95.00,100.00,93.25,94.25,373100,94.25
2012-06-14,98.00,100.00,96.00,97.00,176000,97.00
2012-06-13,99.00,100.00,96.00,97.00,263500,97.00
2012-06-12,103.25,107.00,96.00,99.00,199400,99.00
2012-06-11,107.00,109.22,102.65,104.00,127200,104.00
2012-06-08,107.50,107.50,104.25,107.00,81900,107.00
2012-06-07,105.25,109.00,105.00,105.75,357600,105.75
2012-06-06,106.25,108.00,101.63,108.00,195700,108.00
2012-06-01,99.00,99.00,96.00,97.50,310100,97.50
2012-05-31,95.75,99.00,95.75,98.50,306700,98.50
2012-05-30,98.00,99.25,94.22,98.00,115600,98.00
2012-05-29,98.00,98.00,97.00,97.00,15600,97.00
