Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,22.10,22.46,21.30,22.00,152600,22.00
2012-08-02,22.25,22.50,21.30,22.00,28321600,22.00
2012-08-01,22.00,22.00,21.25,21.25,62800,21.25
2012-07-31,21.75,21.89,21.00,21.00,53400,21.00
2012-07-27,20.50,21.50,20.50,21.50,66200,21.50
2012-07-26,21.50,21.50,20.50,21.50,138400,21.50
2012-07-25,20.50,21.40,20.50,20.50,34100,20.50
2012-07-24,20.50,21.50,20.50,20.50,16000,20.50
2012-07-23,21.25,22.10,21.00,21.25,364100,21.25
2012-07-20,21.25,21.70,21.25,21.25,119800,21.25
2012-07-19,21.25,21.75,21.25,21.50,111400,21.50
2012-07-18,21.50,22.00,20.90,21.00,284100,21.00
2012-07-17,21.00,21.50,20.50,21.00,450100,21.00
2012-07-16,21.00,21.55,21.00,21.50,153500,21.50
2012-07-13,21.00,21.72,21.00,21.00,57400,21.00
2012-07-12,21.50,21.50,21.25,21.25,185000,21.25
2012-07-11,21.50,21.70,21.25,21.25,1184000,21.25
2012-07-10,21.25,21.45,21.25,21.25,10700,21.25
2012-07-09,21.50,21.56,21.25,21.30,678600,21.30
2012-07-06,21.64,21.95,21.50,21.50,34600,21.50
2012-07-05,22.00,22.50,21.50,21.50,323800,21.50
2012-07-04,22.00,22.25,21.75,21.75,273300,21.75
2012-07-03,21.00,22.00,21.00,21.50,166700,21.50
2012-07-02,21.50,21.95,21.00,21.25,392400,21.25
2012-06-29,21.75,22.20,21.75,21.75,27700,21.75
2012-06-28,22.00,22.00,21.80,22.00,186400,22.00
2012-06-27,22.00,22.25,21.67,21.75,188600,21.75
2012-06-26,22.25,22.25,21.83,21.83,9200,21.83
2012-06-25,22.25,22.25,21.88,22.25,81800,22.25
2012-06-22,22.25,22.25,21.69,21.88,146800,21.88
2012-06-21,22.50,22.85,21.65,22.00,401500,22.00
2012-06-20,22.50,22.50,21.88,22.08,64700,22.08
2012-06-19,21.25,22.25,20.90,22.25,198900,22.25
2012-06-18,22.00,22.25,21.00,21.64,308600,21.64
2012-06-15,22.00,23.00,21.50,21.75,785400,21.75
2012-06-14,22.25,22.50,22.01,22.50,72800,22.50
2012-06-13,22.50,22.75,22.25,22.75,253300,22.75
2012-06-12,23.00,23.00,22.50,23.00,1966600,23.00
2012-06-11,23.00,23.01,22.50,23.00,1102700,23.00
2012-06-08,23.00,23.00,22.10,23.00,3047300,23.00
2012-06-07,22.00,23.00,21.85,23.00,435400,23.00
2012-06-06,20.75,22.00,20.70,22.00,211000,22.00
2012-06-01,22.00,22.00,21.00,21.25,283000,21.25
2012-05-31,22.50,23.30,21.75,22.25,354900,22.25
2012-05-30,23.30,23.45,22.75,22.75,48000,22.75
2012-05-29,23.50,23.75,23.00,23.50,120500,23.50
2012-05-28,23.00,23.50,22.80,23.50,299700,23.50
2012-05-25,22.25,23.00,22.25,23.00,152100,23.00
2012-05-24,22.75,23.00,22.50,23.00,29100,23.00
2012-05-23,22.60,23.00,22.25,22.25,216200,22.25
2012-05-22,22.50,23.00,22.50,23.00,198800,23.00
2012-05-21,21.50,22.50,20.95,22.50,120600,22.50
2012-05-18,21.49,22.50,20.75,21.50,335900,21.50
2012-05-17,22.50,23.50,22.00,22.75,146000,22.75
2012-05-16,23.00,23.50,22.65,23.00,284300,23.00
2012-05-14,23.00,24.00,23.00,24.00,625100,24.00
2012-05-11,23.00,24.00,23.00,23.75,293000,23.75
2012-05-10,24.00,24.00,23.15,24.00,161000,24.00
2012-05-09,23.50,23.90,23.38,23.55,149700,23.55
2012-05-08,23.50,24.00,23.50,24.00,147100,24.00
2012-05-04,24.00,24.00,23.50,23.50,67400,23.50
2012-05-03,24.00,24.00,23.75,23.75,812300,23.75
2012-05-02,23.50,24.00,23.17,24.00,122000,24.00
2012-05-01,23.50,23.50,23.00,23.50,41700,23.50
2012-04-30,23.25,23.49,23.00,23.45,207900,23.45
2012-04-27,24.00,24.00,23.25,23.25,296400,23.25
2012-04-26,24.00,24.00,23.25,23.25,158600,23.25
2012-04-25,23.75,24.00,23.00,23.00,87900,23.00
2012-04-24,23.50,23.83,23.00,23.00,281700,23.00
