Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,380.50,381.80,369.20,369.80,715900,370.00
2012-08-02,380.50,381.80,369.20,370.00,1124900,370.00
2012-08-01,377.70,381.70,375.60,379.90,459200,379.90
2012-07-31,380.40,383.50,376.20,377.00,826700,377.00
2012-07-27,384.00,388.80,378.50,385.00,909300,385.00
2012-07-26,373.10,384.40,371.73,381.40,780400,381.40
2012-07-25,368.30,374.80,366.20,372.50,696300,372.50
2012-07-24,371.60,371.60,362.20,368.10,726700,368.10
2012-07-23,375.00,375.00,359.80,362.80,637600,362.80
2012-07-20,374.30,377.60,370.20,376.80,1038500,376.80
2012-07-19,371.30,375.80,371.20,374.10,936600,374.10
2012-07-18,365.40,369.40,363.90,369.40,372800,369.40
2012-07-17,368.20,370.30,362.80,365.30,656800,365.30
2012-07-16,363.40,372.60,362.00,368.60,669600,368.60
2012-07-13,362.60,366.90,356.86,365.00,784700,365.00
2012-07-12,356.40,362.60,356.40,361.00,1049000,361.00
2012-07-11,357.30,358.90,351.90,358.30,703300,358.30
2012-07-10,352.70,361.60,352.70,359.60,1124800,359.60
2012-07-09,353.40,354.40,349.30,352.70,766300,352.70
2012-07-06,351.80,356.80,347.90,352.50,1589700,352.50
2012-07-05,354.00,358.40,352.20,352.20,951200,352.20
2012-07-04,357.30,363.76,352.90,355.60,624900,355.60
2012-07-03,354.40,361.50,354.30,359.20,509600,359.20
2012-07-02,352.90,356.10,351.50,354.90,768600,354.90
2012-06-29,352.10,354.70,346.80,353.90,1023100,353.90
2012-06-28,347.70,349.90,342.90,345.30,1052100,345.30
2012-06-27,343.70,349.80,343.70,346.60,1368900,346.60
2012-06-26,342.00,349.50,340.60,342.10,1340300,342.10
2012-06-25,346.30,346.72,340.80,344.30,1005400,344.30
2012-06-22,340.30,347.60,340.30,346.10,945700,346.10
2012-06-21,345.30,348.60,344.33,346.00,712800,346.00
2012-06-20,340.20,347.00,340.00,346.00,817700,346.00
2012-06-19,334.10,341.10,331.60,340.70,1466100,340.70
2012-06-18,341.10,341.10,330.10,333.00,1380400,333.00
2012-06-15,327.90,334.92,325.60,333.80,1869200,333.80
2012-06-14,324.90,325.80,321.40,324.80,1364900,324.80
2012-06-13,329.00,331.80,323.60,323.60,1178700,323.60
2012-06-12,331.00,339.70,326.00,326.70,2215400,326.70
2012-06-11,332.80,335.30,322.30,331.91,628800,331.91
2012-06-08,324.40,327.70,322.30,326.40,776400,326.40
2012-06-07,316.30,325.50,315.12,325.00,838000,325.00
2012-06-06,316.60,316.60,310.90,315.40,1554600,315.40
2012-06-01,318.20,320.40,309.90,312.90,1256600,312.90
2012-05-31,322.30,325.50,316.90,318.10,991800,318.10
2012-05-30,323.90,328.00,321.40,321.40,892600,321.40
2012-05-29,323.40,325.10,320.00,324.40,946100,324.40
2012-05-28,317.80,322.10,313.12,322.10,1530200,322.10
2012-05-25,317.00,322.90,314.80,318.10,997000,318.10
2012-05-24,317.20,317.20,314.30,315.60,3453400,315.60
2012-05-23,317.60,319.40,313.80,314.40,862200,314.40
2012-05-22,320.80,322.80,316.00,322.10,1137300,322.10
2012-05-21,318.70,320.10,315.90,317.70,975700,317.70
2012-05-18,327.00,328.50,320.30,320.40,1367900,320.40
2012-05-17,325.00,339.60,320.90,327.30,2819800,327.30
2012-05-16,310.00,320.90,307.80,318.00,1436000,318.00
2012-05-14,321.60,321.60,317.10,318.30,938600,318.30
2012-05-11,321.00,325.20,320.40,323.80,876900,323.80
2012-05-10,315.80,323.70,315.10,322.10,932800,322.10
2012-05-09,321.80,321.80,311.10,314.20,1298200,314.20
2012-05-08,328.40,330.30,319.90,319.90,1264500,319.90
2012-05-04,336.70,336.70,324.70,327.00,1281600,327.00
2012-05-03,332.90,336.36,332.90,336.00,958100,336.00
2012-05-02,336.90,338.50,330.20,333.10,1340300,333.10
2012-05-01,329.50,335.40,329.50,335.40,510700,335.40
2012-04-30,331.50,334.30,327.60,329.80,1004000,329.80
2012-04-27,323.50,331.60,321.30,331.30,2331300,331.30
2012-04-26,327.70,329.90,322.10,324.70,1132700,324.70
2012-04-25,324.00,330.10,324.00,327.70,689200,327.70
2012-04-24,321.50,323.60,318.00,322.40,1460400,322.40
2012-04-23,326.30,328.20,319.30,319.30,1249900,319.30
2012-04-20,329.30,330.00,325.60,327.40,1639400,327.40
2012-04-19,331.80,331.80,326.60,328.10,1926400,328.10
2012-04-18,337.30,338.90,328.70,328.80,2000000,328.80
2012-04-17,324.50,338.70,324.50,337.00,1821200,337.00
2012-04-16,325.00,328.40,322.10,324.70,1551000,324.70
2012-04-13,329.70,332.00,323.08,325.60,3820000,325.60
2012-04-12,324.50,331.50,321.30,330.00,1303700,330.00
2012-04-11,318.80,326.50,318.00,324.50,2352600,324.50
2012-04-10,314.40,322.40,313.50,319.60,2025000,319.60
2012-04-05,317.10,331.30,313.38,317.20,1457400,317.20
2012-04-04,326.30,326.30,315.30,315.90,1730200,315.90
2012-04-03,335.80,341.60,335.10,339.60,2093200,339.60
2012-04-02,329.30,336.70,326.30,336.40,1505300,336.40
2012-03-30,329.70,333.10,329.20,329.80,1212400,329.80
2012-03-29,336.10,337.03,326.80,327.90,1536300,327.90
2012-03-28,339.30,342.80,333.80,336.90,1352500,336.90
2012-03-27,337.10,343.00,337.00,340.50,1219300,340.50
2012-03-26,338.90,338.90,333.60,337.30,1507700,337.30
2012-03-23,338.90,341.60,336.00,340.70,920400,340.70
2012-03-22,345.50,345.70,338.20,339.50,1385900,339.50
2012-03-21,349.30,352.00,344.10,345.70,1502500,345.70
2012-03-20,353.60,354.30,347.70,348.50,1574400,348.50
2012-03-19,350.80,355.40,347.75,354.10,1356700,354.10
2012-03-16,351.30,355.30,349.76,349.90,5486300,349.90
2012-03-15,350.20,351.40,347.17,350.60,1360400,350.60
2012-03-14,345.80,351.80,345.50,349.60,1232600,349.60
2012-03-13,343.10,346.40,340.00,343.60,1119400,343.60
2012-03-12,342.60,342.60,336.20,341.10,1038400,341.10
2012-03-09,337.40,342.90,335.70,342.20,1050600,342.20
2012-03-08,334.80,339.00,332.90,338.60,1796100,338.60
2012-03-07,335.80,337.70,332.10,334.60,940100,334.60
2012-03-06,339.50,339.70,329.60,334.50,1723600,334.50
2012-03-05,345.50,345.81,332.30,336.00,4064500,336.00
2012-03-02,351.40,353.80,349.50,351.50,875600,351.50
2012-03-01,351.20,353.70,346.90,352.60,1013100,352.60
2012-02-29,356.00,356.17,348.90,351.27,1032300,351.27
2012-02-28,357.30,358.60,351.00,354.00,1033500,354.00
2012-02-27,358.60,358.60,350.50,356.60,798900,356.60
2012-02-24,359.00,363.20,354.60,358.90,766900,358.90
2012-02-23,356.10,359.00,353.40,357.60,1129600,357.60
2012-02-22,361.90,364.40,355.40,355.40,1229100,355.40
2012-02-21,363.70,365.20,358.90,361.73,1605500,361.73
2012-02-20,362.60,368.30,357.80,362.98,1067100,362.98
2012-02-17,358.00,360.44,355.80,360.40,665200,360.40
2012-02-16,355.00,357.70,351.90,356.10,762000,356.10
2012-02-15,356.70,360.00,356.00,358.40,870300,358.40
2012-02-14,353.60,359.10,352.50,354.70,638800,354.70
2012-02-13,352.50,358.60,351.80,354.91,1400500,354.91
2012-02-10,357.40,358.00,347.10,351.80,2014100,351.80
2012-02-09,352.70,361.80,352.70,359.03,2986700,359.03
2012-02-08,354.90,359.00,351.50,353.00,881200,353.00
2012-02-07,339.00,359.60,338.00,355.20,2842600,355.20
2012-02-06,339.30,340.20,330.20,337.40,1416200,337.40
2012-02-03,337.10,341.60,333.80,337.90,2235000,337.90
2012-02-02,341.00,341.20,335.40,338.10,1825600,338.10
2012-02-01,341.40,344.00,338.90,339.10,1419600,339.10
2012-01-31,346.90,346.90,337.50,339.99,1884100,339.99
2012-01-30,355.30,356.00,343.00,344.20,1157500,344.20
2012-01-27,357.30,358.70,353.10,357.40,582000,357.40
2012-01-26,356.20,364.80,354.12,357.79,1411600,357.79
2012-01-25,352.80,356.30,351.20,355.20,1808300,355.20
2012-01-24,354.40,355.70,349.90,350.90,2202500,350.90
2012-01-23,351.90,359.00,350.00,355.00,1104800,355.00
2012-01-20,344.00,354.90,344.00,350.50,1644600,350.50
2012-01-19,335.00,349.40,333.70,346.88,1372300,346.88
2012-01-18,333.00,339.60,328.90,334.50,899000,334.50
2012-01-17,334.30,335.90,330.00,333.70,811300,333.70
2012-01-16,328.80,331.30,326.90,330.00,746400,330.00
2012-01-13,337.20,339.10,328.60,330.90,1073500,330.90
2012-01-12,332.90,335.70,327.90,334.10,1097500,334.10
2012-01-11,326.30,331.10,325.10,329.30,934100,329.30
2012-01-10,322.10,325.50,319.00,325.50,701700,325.50
2012-01-09,327.00,327.00,314.30,319.00,910400,319.00
2012-01-06,316.00,324.20,315.80,321.30,881300,321.30
2012-01-05,321.20,322.20,312.60,314.80,832100,314.80
2012-01-04,321.90,325.60,317.80,322.40,1012100,322.40
2012-01-03,318.80,324.80,313.70,324.80,1086500,324.80
2011-12-30,316.80,319.60,311.90,313.90,162800,313.90
2011-12-29,316.50,316.50,311.10,314.70,310200,314.70
2011-12-28,311.40,316.80,310.84,314.80,431400,314.80
2011-12-23,312.80,315.20,311.50,312.70,197500,312.70
2011-12-22,315.30,315.30,309.20,311.30,1376200,311.30
2011-12-21,318.40,318.50,311.30,313.50,1283800,313.50
2011-12-20,310.50,320.00,308.00,315.50,803200,315.50
2011-12-19,308.40,316.20,307.60,310.50,696200,310.50
2011-12-16,314.10,317.00,309.10,310.50,2090900,310.50
2011-12-15,313.00,318.90,312.00,312.00,1345200,312.00
2011-12-14,312.00,317.80,311.70,313.10,949700,313.10
2011-12-13,314.60,318.00,312.30,314.10,1413000,314.10
2011-12-12,325.30,328.20,317.00,317.70,667400,317.70
2011-12-09,320.10,329.10,319.90,327.60,986800,327.60
2011-12-08,330.00,331.50,321.80,325.13,1249800,325.13
2011-12-07,333.40,333.90,324.50,328.70,673100,328.70
2011-12-06,332.40,333.00,327.80,330.00,870600,330.00
2011-12-05,332.80,338.00,332.10,333.60,993900,333.60
2011-12-02,326.20,332.58,325.70,332.00,2510000,332.00
2011-12-01,337.10,340.00,323.80,326.23,2792900,326.23
2011-11-30,325.00,339.00,325.00,335.26,2411900,335.26
2011-11-29,325.80,330.40,320.60,326.10,1070300,326.10
2011-11-28,313.80,325.80,313.80,325.80,1819000,325.80
2011-11-25,304.70,315.00,303.50,310.90,1329200,310.90
2011-11-24,305.40,306.81,304.07,304.10,1259300,304.10
2011-11-23,303.10,307.00,301.30,302.50,1349200,302.50
2011-11-22,303.80,307.70,301.90,304.00,1664800,304.00
2011-11-21,310.60,311.40,303.40,303.50,1477300,303.50
2011-11-18,314.90,317.10,315.19,314.92,2618000,314.92
2011-11-17,290.00,312.30,297.27,296.84,2668600,296.84
2011-11-16,291.90,296.30,291.90,293.00,901300,293.00
