Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,35.47,36.25,34.36,34.80,5009600,37.30
2012-08-01,38.67,39.48,35.93,37.30,3191800,37.30
2012-07-31,39.99,40.65,38.68,38.68,1607800,38.68
2012-07-27,39.82,40.34,39.17,40.00,1663500,40.00
2012-07-26,38.20,39.89,37.80,39.42,1670100,39.42
2012-07-25,37.21,38.70,37.15,37.83,1290800,37.83
2012-07-24,38.91,38.95,37.76,38.01,1678700,38.01
2012-07-23,41.25,41.25,38.80,39.07,2635100,39.07
2012-07-20,42.44,43.00,39.66,42.47,1879100,42.47
2012-07-19,42.00,43.46,41.99,42.75,1621700,42.75
2012-07-18,40.97,41.57,40.00,41.41,1503200,41.41
2012-07-17,41.60,41.99,40.13,41.36,1830300,41.36
2012-07-16,41.90,41.98,40.44,41.20,1909000,41.20
2012-07-13,40.57,41.90,40.15,41.78,2004100,41.78
2012-07-12,41.30,41.30,39.41,40.22,2183400,40.22
2012-07-11,39.76,43.28,39.50,42.68,2528200,42.68
2012-07-10,40.03,41.37,38.42,40.20,4031100,40.20
2012-07-09,45.20,45.50,41.59,41.59,2898700,41.59
2012-07-06,47.00,48.35,46.10,46.11,890600,46.11
2012-07-05,46.60,49.36,46.54,47.44,2203400,47.44
2012-07-04,52.00,53.03,48.12,48.22,2925900,48.22
2012-07-03,47.58,51.10,47.58,51.00,2693700,51.00
2012-07-02,46.10,48.82,45.58,48.12,2801000,48.12
2012-06-29,46.10,46.43,43.82,45.66,6146000,45.66
2012-06-28,47.50,47.67,44.05,44.50,2963200,44.50
2012-06-27,48.41,49.78,47.87,48.90,2989900,48.90
2012-06-26,48.90,50.20,48.62,49.00,2905300,49.00
2012-06-25,50.55,50.80,48.72,49.00,4295800,49.00
2012-06-22,49.96,51.10,48.90,50.20,4658400,50.20
2012-06-21,56.80,56.95,52.10,53.05,8501800,53.05
2012-06-20,59.06,60.52,58.25,59.70,5696400,59.70
2012-06-19,59.45,61.06,58.40,60.20,3521100,60.20
2012-06-18,60.00,60.35,58.15,59.05,3202300,59.05
