Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,272.27,273.75,271.00,272.00,4400,272.15
2012-08-01,274.75,277.75,272.11,272.15,16400,272.15
2012-07-31,271.00,278.13,271.00,273.00,24800,273.00
2012-07-30,273.00,275.00,271.21,274.38,11500,274.38
2012-07-27,275.75,277.48,271.00,276.50,45100,276.50
2012-07-26,274.75,274.75,270.00,274.75,13900,274.75
2012-07-25,272.75,274.47,270.00,270.00,10700,270.00
2012-07-24,274.25,274.64,270.50,271.00,102900,271.00
2012-07-23,275.00,275.00,269.00,270.00,38400,270.00
2012-07-20,275.00,277.70,272.50,275.00,122200,275.00
2012-07-19,272.00,278.00,272.00,275.00,19800,275.00
2012-07-18,272.00,273.00,267.22,272.00,128500,272.00
2012-07-17,270.00,272.50,268.67,272.00,26200,272.00
2012-07-16,268.75,271.75,264.00,270.00,41000,270.00
2012-07-13,264.00,268.75,263.50,267.00,89100,267.00
2012-07-12,264.00,266.00,263.00,264.00,23500,264.00
2012-07-11,263.50,266.00,263.00,263.00,2600,263.00
2012-07-10,260.00,267.50,260.00,265.00,110100,265.00
2012-07-09,260.00,265.40,260.00,261.50,42300,261.50
2012-07-06,265.00,266.62,260.00,260.00,113900,260.00
2012-07-05,265.00,267.75,265.00,265.00,8500,265.00
2012-07-04,265.38,267.00,262.00,265.00,27500,265.00
2012-07-03,268.50,268.50,261.00,262.00,10400,262.00
2012-07-02,261.75,266.92,260.50,260.50,9000,260.50
2012-06-29,264.00,264.00,261.60,262.00,24100,262.00
2012-06-28,261.50,265.75,261.39,265.75,13100,265.75
2012-06-27,266.44,267.17,262.00,262.00,800,262.00
2012-06-26,267.14,267.14,262.11,262.11,11800,262.11
2012-06-25,269.00,269.00,265.00,267.70,22400,267.70
2012-06-22,270.00,270.00,267.50,269.86,50900,269.86
2012-06-21,271.75,272.00,270.00,270.00,26000,270.00
2012-06-20,276.75,276.75,268.00,270.00,32900,270.00
2012-06-19,275.00,275.00,269.25,271.25,65500,271.25
2012-06-18,278.25,280.00,276.00,278.25,42100,278.25
2012-06-15,276.00,285.42,270.32,285.25,63400,285.25
2012-06-14,274.00,278.00,270.27,278.00,25900,278.00
2012-06-13,277.75,278.75,270.00,272.50,42100,272.50
2012-06-12,275.00,277.50,274.75,276.00,30800,276.00
2012-06-11,275.00,278.00,274.91,278.00,32100,278.00
2012-06-08,275.00,276.62,275.00,275.00,61500,275.00
2012-06-07,277.00,280.00,275.00,275.00,27300,275.00
2012-06-06,275.00,279.00,273.56,277.77,21400,277.77
2012-06-01,277.00,278.91,275.40,278.91,136600,278.91
2012-05-31,277.00,279.25,277.00,277.00,81700,277.00
2012-05-30,277.00,279.00,277.00,277.00,104500,277.00
2012-05-29,274.25,277.00,274.25,277.00,32800,277.00
2012-05-28,273.75,275.00,271.24,273.50,110800,273.50
2012-05-25,271.75,275.00,269.50,271.00,9200,271.00
2012-05-24,268.00,269.00,266.83,268.35,15500,268.35
2012-05-23,267.80,274.00,267.48,274.00,3800,274.00
2012-05-22,273.50,273.50,265.51,272.00,5600,272.00
2012-05-21,269.00,269.00,265.25,265.25,17700,265.25
2012-05-14,280.00,281.75,277.66,278.00,74800,278.00
2012-05-11,284.27,286.75,280.31,286.75,110400,286.75
2012-05-10,279.00,285.00,279.00,285.00,43600,285.00
2012-05-09,280.00,281.69,279.00,280.00,54400,280.00
2012-05-08,285.00,285.00,280.00,280.00,49900,280.00
2012-05-04,282.25,286.49,282.25,283.00,61900,283.00
2012-05-03,282.75,285.25,282.75,283.00,28900,283.00
2012-05-02,281.50,287.75,280.25,282.00,49500,282.00
2012-05-01,287.90,287.90,281.36,284.14,21800,284.14
2012-04-30,286.00,286.00,280.00,281.35,16200,281.35
2012-04-27,285.75,285.75,281.50,284.75,8300,284.75
2012-04-26,282.75,283.75,279.00,279.00,25900,279.00
2012-04-25,280.00,281.49,280.00,281.38,14800,281.38
2012-04-24,280.00,283.50,278.44,279.00,11600,279.00
2012-04-23,281.00,283.39,279.90,280.85,35100,280.85
2012-04-20,283.50,283.75,280.07,281.89,19300,281.89
2012-04-19,281.25,283.29,281.25,282.21,14700,282.21
2012-04-18,283.50,283.50,282.25,283.29,11800,283.29
2012-04-17,282.25,282.91,281.88,282.91,19800,282.91
2012-04-16,279.50,283.50,278.50,283.50,20500,283.50
2012-04-13,281.00,282.50,279.25,279.25,10400,279.25
2012-04-12,275.96,279.50,275.30,279.50,23100,279.50
2012-04-11,274.09,278.24,273.29,275.06,48100,275.06
2012-04-10,280.00,280.49,275.00,275.00,12800,275.00
2012-04-05,275.00,280.00,272.43,280.00,166200,280.00
2012-04-04,272.00,275.00,271.39,275.00,113700,275.00
2012-04-03,269.25,272.25,268.75,272.00,77800,272.00
2012-04-02,268.00,271.54,266.57,268.00,81600,268.00
2012-03-30,268.00,270.75,267.71,268.00,23400,268.00
2012-03-29,268.00,269.00,266.52,268.00,28900,268.00
2012-03-28,273.25,274.25,266.93,273.64,21800,273.64
2012-03-27,271.43,274.20,268.00,268.00,8300,268.00
2012-03-26,266.75,272.14,265.25,266.00,13900,266.00
2012-03-23,268.00,269.58,268.00,269.00,26100,269.00
2012-03-22,266.00,268.24,265.00,265.00,102000,265.00
2012-03-21,266.00,266.00,264.00,265.00,120600,265.00
2012-03-20,268.75,270.48,264.50,264.50,38100,264.50
2012-03-19,275.75,275.75,270.50,271.62,7100,271.62
2012-03-16,270.25,275.25,270.00,275.25,12800,275.25
2012-03-15,276.25,277.00,271.25,277.00,3800,277.00
2012-03-14,277.00,277.00,271.75,277.00,27400,277.00
2012-03-13,277.00,277.00,274.61,275.50,12900,275.50
2012-03-12,275.75,276.00,272.00,276.00,45200,276.00
2012-03-09,276.50,277.00,276.50,277.00,6100,277.00
