Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,364.00,364.00,359.46,360.20,124800,363.10
2012-08-01,361.20,363.10,361.20,363.10,261600,363.10
2012-07-31,362.00,362.70,360.40,360.40,286300,360.40
2012-07-30,361.10,363.10,360.02,362.00,218700,362.00
2012-07-27,356.00,360.00,355.56,360.00,438800,360.00
2012-07-26,351.50,356.00,350.10,354.70,231100,354.70
2012-07-25,349.50,352.90,349.50,352.90,529300,352.90
2012-07-24,352.90,354.40,350.70,351.30,307700,351.30
2012-07-23,356.10,356.10,352.10,352.40,401500,352.40
2012-07-20,361.00,362.20,357.60,359.00,218100,359.00
2012-07-19,359.30,363.10,359.20,362.00,315100,362.00
2012-07-18,355.00,360.27,355.00,359.50,458200,359.50
2012-07-17,357.50,359.50,355.50,355.50,323700,355.50
2012-07-16,357.90,360.11,356.30,357.10,391600,357.10
2012-07-13,355.50,359.10,355.50,357.60,355600,357.60
2012-07-12,355.00,355.00,353.10,356.00,584500,356.00
2012-07-11,357.20,359.40,356.48,358.10,363600,358.10
2012-07-10,356.30,360.40,356.30,360.40,472000,360.40
2012-07-09,357.50,358.93,356.50,358.20,470800,358.20
2012-07-06,358.00,360.40,357.10,358.20,410900,358.20
2012-07-05,358.50,362.06,358.38,359.40,255100,359.40
2012-07-04,360.90,360.90,358.00,359.70,414200,359.70
2012-07-03,355.00,360.00,355.00,360.00,967000,360.00
2012-07-02,350.80,356.90,349.45,354.10,1040700,354.10
2012-06-29,348.20,352.80,346.73,352.30,746800,352.30
2012-06-28,345.60,346.80,341.60,344.80,562900,344.80
2012-06-27,342.70,346.10,341.40,345.92,1037500,345.92
2012-06-26,341.00,342.15,339.95,340.10,12317000,340.10
2012-06-25,343.90,345.87,341.00,341.60,563700,341.60
2012-06-22,347.00,347.80,344.17,345.10,258800,345.10
2012-06-21,350.70,351.50,347.57,348.70,547300,348.70
2012-06-20,350.80,351.60,348.17,351.50,525200,351.50
2012-06-19,345.00,350.80,344.40,349.90,897700,349.90
2012-06-18,345.90,346.40,341.30,345.40,935200,345.40
2012-06-15,341.00,344.20,340.20,341.00,1655900,341.00
2012-06-14,340.70,342.20,339.00,341.00,910700,341.00
2012-06-13,341.60,343.15,339.70,342.60,461600,342.60
2012-06-12,342.10,344.70,339.50,341.50,675300,341.50
2012-06-11,345.80,348.60,341.80,342.10,640500,342.10
2012-06-08,341.00,345.00,339.30,342.50,630200,342.50
2012-06-07,341.50,345.70,340.37,343.30,806500,343.30
2012-06-06,336.10,341.40,334.84,340.80,492300,340.80
2012-06-01,337.90,343.09,335.70,337.50,791600,337.50
2012-05-31,341.70,342.10,338.40,340.20,1504800,340.20
2012-05-30,342.90,344.20,339.30,340.50,594400,340.50
2012-05-29,342.10,344.00,340.00,343.90,439000,343.90
2012-05-28,343.70,344.00,339.90,342.00,359400,342.00
2012-05-25,340.30,343.62,339.00,341.80,473000,341.80
2012-05-24,339.70,342.70,337.50,342.30,393200,342.30
2012-05-23,340.50,341.09,336.90,337.80,1656700,337.80
2012-05-22,338.70,343.00,338.57,340.75,3797400,340.75
2012-05-21,336.00,338.67,334.60,337.00,961000,337.00
2012-05-14,345.90,347.06,343.30,344.40,355100,344.40
2012-05-11,348.30,351.20,346.70,351.00,470900,351.00
2012-05-10,349.60,350.60,346.40,348.50,477900,348.50
2012-05-09,347.00,350.38,345.30,348.40,598700,348.40
2012-05-08,352.80,357.10,348.10,349.00,1122900,349.00
2012-05-04,359.80,360.52,354.60,355.50,395600,355.50
2012-05-03,360.20,362.20,359.08,360.00,447700,360.00
2012-05-02,365.00,365.00,359.80,360.60,327600,360.60
2012-05-01,359.80,364.90,359.80,363.70,657700,363.70
2012-04-30,361.00,366.12,359.90,361.00,545200,361.00
2012-04-27,361.50,364.30,360.25,363.30,383300,363.30
2012-04-26,362.50,362.50,358.98,362.00,381000,362.00
2012-04-25,363.50,363.71,359.90,359.90,566300,359.90
2012-04-24,361.80,362.20,358.40,362.20,379000,362.20
2012-04-23,368.00,368.00,358.00,359.40,660600,359.40
2012-04-20,366.60,368.00,365.00,367.90,610500,367.90
2012-04-19,368.70,369.40,365.66,368.40,787800,368.40
2012-04-18,368.50,368.90,365.60,367.40,607000,367.40
2012-04-17,364.40,368.90,362.06,368.90,1017800,368.90
2012-04-16,362.70,366.04,360.60,363.70,863500,363.70
2012-04-13,367.40,367.40,361.70,362.80,766600,362.80
2012-04-12,362.30,367.90,359.60,367.20,826100,367.20
2012-04-11,358.50,363.10,358.20,362.50,517100,362.50
2012-04-10,364.90,364.90,360.20,360.50,965700,360.50
2012-04-05,366.40,366.80,362.10,366.80,1252700,366.80
2012-04-04,371.00,371.00,362.10,363.50,1341800,363.50
2012-04-03,372.00,372.10,369.20,369.20,796500,369.20
2012-04-02,369.70,372.30,365.93,372.30,883100,372.30
2012-03-30,366.10,369.41,365.32,366.20,1844900,366.20
2012-03-29,368.80,368.80,365.00,365.20,1584800,365.20
2012-03-28,370.70,371.60,368.10,370.00,1355300,370.00
2012-03-27,374.50,374.50,370.30,371.80,819200,371.80
2012-03-26,372.20,372.80,369.69,372.60,572700,372.60
2012-03-23,372.50,372.70,367.70,370.50,673400,370.50
2012-03-22,373.20,373.20,369.30,370.50,582100,370.50
2012-03-21,372.20,374.40,371.80,373.50,779400,373.50
2012-03-20,376.10,377.69,371.92,373.00,1375100,373.00
2012-03-19,375.80,378.67,375.52,377.30,708800,377.30
2012-03-16,376.60,378.70,376.60,378.10,1412300,378.10
2012-03-15,376.60,378.80,376.36,378.20,862700,378.20
2012-03-14,377.00,378.88,376.60,378.00,1299400,378.00
2012-03-13,372.30,378.00,372.00,378.00,1099000,378.00
2012-03-12,372.40,373.80,372.09,373.43,1191100,373.43
2012-03-09,371.30,374.60,369.17,372.98,994400,372.98
2012-03-08,366.80,370.80,366.56,370.67,2137100,370.67
2012-03-07,363.00,367.40,363.00,367.00,923800,367.00
2012-03-06,369.60,370.72,364.20,366.98,1459100,366.98
2012-03-05,373.20,373.74,370.21,371.50,830700,371.50
2012-03-02,373.50,374.58,373.20,373.85,1058500,373.85
2012-03-01,372.00,373.80,370.00,372.20,1677600,372.20
2012-02-29,372.80,373.54,370.50,371.54,1558300,371.54
2012-02-28,373.00,373.60,371.50,372.80,560500,372.80
2012-02-27,370.60,372.70,367.40,370.60,686500,370.60
2012-02-24,371.80,373.70,371.13,372.52,757600,372.52
2012-02-23,371.00,372.20,369.47,370.80,1869100,370.80
2012-02-22,368.20,371.00,368.20,370.24,1143900,370.24
2012-02-21,368.40,369.84,366.26,368.80,604300,368.80
2012-02-20,367.90,369.35,366.00,367.90,444800,367.90
2012-02-17,366.50,367.50,364.00,367.40,2139300,367.40
2012-02-16,364.80,365.30,361.63,363.80,441700,363.80
2012-02-15,367.80,368.85,365.30,366.90,868900,366.90
2012-02-14,365.60,365.90,362.70,365.90,1639800,365.90
2012-02-13,363.40,366.02,363.00,364.80,1015800,364.80
2012-02-10,365.80,365.80,360.51,363.00,637500,363.00
2012-02-09,365.90,366.10,362.42,365.80,348200,365.80
2012-02-08,363.00,365.31,361.59,365.00,1577900,365.00
2012-02-07,364.10,366.55,361.20,363.20,591700,363.20
2012-02-06,366.30,366.30,362.90,363.70,625500,363.70
2012-02-03,361.40,365.87,359.27,365.40,835500,365.40
2012-02-02,362.30,362.30,359.00,361.40,328100,361.40
2012-02-01,354.20,360.60,354.20,360.00,591500,360.00
2012-01-31,355.10,357.64,354.10,355.00,788800,355.00
2012-01-30,358.30,358.30,353.40,354.50,467400,354.50
2012-01-27,360.10,360.10,355.58,359.00,838900,359.00
2012-01-26,357.90,361.20,357.30,360.20,1450600,360.20
2012-01-25,357.40,359.70,355.10,356.20,539700,356.20
2012-01-24,358.40,359.40,356.10,357.00,605800,357.00
2012-01-23,361.10,361.10,357.95,360.20,781600,360.20
2012-01-20,361.90,361.90,358.20,358.50,402300,358.50
2012-01-19,358.60,361.00,357.20,360.20,904400,360.20
2012-01-18,355.00,358.00,353.94,357.10,417600,357.10
2012-01-17,355.50,359.80,355.01,356.10,335700,356.10
2012-01-16,353.80,354.40,349.00,351.10,408800,351.10
2012-01-13,356.60,356.60,351.50,354.00,1445500,354.00
2012-01-12,350.00,354.00,337.76,352.74,1000100,352.74
2012-01-11,350.10,352.50,348.61,351.90,539500,351.90
2012-01-09,346.20,348.47,345.00,346.00,524200,346.00
2012-01-06,344.10,349.10,344.10,347.50,409900,347.50
2012-01-05,344.00,347.37,343.90,345.50,916800,345.50
2012-01-04,349.80,350.70,344.80,347.00,315100,347.00
