Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,305.10,310.00,305.10,310.00,000,310.00
2012-08-01,302.00,310.00,302.00,310.00,8100,310.00
2012-07-31,310.00,310.00,303.00,310.00,5800,310.00
2012-07-27,305.00,307.00,305.00,307.00,10300,307.00
2012-07-26,310.00,310.00,304.00,310.00,4500,310.00
2012-07-25,310.00,310.00,304.00,310.00,2700,310.00
2012-07-24,311.00,312.00,305.00,305.00,11900,305.00
2012-07-23,305.00,307.50,305.00,305.60,22400,305.60
2012-07-20,305.00,309.23,305.00,305.00,15900,305.00
2012-07-19,305.00,308.00,305.00,307.00,15400,307.00
2012-07-18,304.00,306.75,303.00,305.00,36200,305.00
2012-07-17,302.00,307.00,302.00,304.00,2900,304.00
2012-07-16,303.00,307.00,300.00,304.00,22900,304.00
2012-07-13,297.00,305.00,297.00,300.00,2300,300.00
2012-07-12,300.00,305.00,300.00,300.00,8200,300.00
2012-07-11,297.00,305.00,297.00,297.00,14400,297.00
2012-07-10,297.00,303.75,297.00,303.00,36900,303.00
2012-07-09,297.00,304.84,297.00,297.00,2600,297.00
2012-07-06,297.00,304.55,297.00,300.00,3900,300.00
2012-07-05,297.00,304.90,297.00,300.00,2600,300.00
2012-07-04,297.00,303.00,297.00,297.00,48500,297.00
2012-07-03,307.00,307.00,297.00,297.00,7300,297.00
2012-07-02,302.50,306.30,298.00,298.00,19400,298.00
2012-06-29,306.50,307.00,306.30,306.30,14700,306.30
2012-06-28,298.50,301.30,297.00,297.00,6600,297.00
2012-06-27,298.50,297.00,297.00,297.00,4400,297.00
2012-06-26,302.00,307.00,300.00,300.00,5400,300.00
2012-06-25,302.00,302.00,297.65,300.00,36600,300.00
2012-06-22,297.10,300.00,297.00,297.00,23700,297.00
2012-06-21,300.00,303.88,297.00,297.00,15600,297.00
2012-06-20,302.00,304.93,298.10,302.00,5500,302.00
2012-06-19,298.10,301.30,298.10,301.30,1000,301.30
2012-06-18,309.00,310.00,297.00,301.50,23900,301.50
2012-06-15,300.00,311.69,295.00,311.50,27600,311.50
2012-06-14,300.00,301.00,296.25,301.00,10900,301.00
2012-06-13,300.00,305.00,296.00,300.00,19200,300.00
2012-06-12,295.00,300.00,295.00,296.50,5800,296.50
2012-06-11,294.00,299.02,294.00,299.00,4900,299.00
2012-06-08,293.00,297.00,290.00,295.00,75100,295.00
2012-06-07,293.50,296.00,293.00,293.00,13500,293.00
2012-06-06,295.00,297.50,295.00,295.00,11900,295.00
2012-06-01,295.00,299.00,295.00,299.00,1000,299.00
2012-05-31,295.00,300.00,295.00,296.00,17100,296.00
2012-05-30,295.00,295.00,295.00,295.00,28000,295.00
2012-05-29,297.00,297.00,295.00,296.25,1300,296.25
2012-05-28,295.00,295.00,295.00,295.00,3500,295.00
2012-05-25,295.25,299.50,295.25,295.25,6300,295.25
2012-05-24,300.00,304.00,296.25,296.25,35700,296.25
2012-05-23,292.00,297.00,292.00,294.00,35400,294.00
2012-05-22,294.00,296.00,292.00,294.00,6900,294.00
2012-05-21,295.00,295.00,295.00,295.00,8500,295.00
2012-05-18,292.00,295.48,292.00,295.00,17300,295.00
2012-05-17,295.00,297.00,295.00,297.00,27100,297.00
2012-05-16,301.25,301.99,290.45,292.00,203900,292.00
2012-05-14,302.75,305.00,298.00,303.00,53700,303.00
2012-05-11,305.00,306.86,302.50,306.75,28700,306.75
2012-05-10,302.25,307.00,302.00,306.75,6500,306.75
2012-05-09,303.00,309.55,301.00,307.00,128000,307.00
2012-05-08,303.00,303.89,297.00,297.25,58400,297.25
2012-05-04,297.00,309.02,288.81,300.75,102900,300.75
2012-05-03,293.00,297.00,286.15,292.00,85000,292.00
2012-05-02,285.00,295.00,280.00,288.75,157400,288.75
2012-05-01,282.50,285.00,280.60,282.75,20300,282.75
2012-04-30,280.00,285.00,277.75,283.00,49400,283.00
2012-04-27,280.00,283.45,275.50,280.00,33200,280.00
2012-04-26,284.50,285.00,277.00,281.25,17000,281.25
2012-04-25,282.00,285.00,280.00,285.00,10700,285.00
2012-04-24,281.00,282.67,280.00,280.00,107600,280.00
2012-04-23,283.00,284.00,278.00,278.75,50400,278.75
2012-04-20,265.00,285.00,258.44,281.00,59000,281.00
2012-04-19,275.00,275.00,257.00,264.00,149000,264.00
2012-04-18,274.50,275.00,270.25,271.35,20000,271.35
2012-04-17,275.00,275.00,270.35,272.75,23000,272.75
2012-04-16,277.00,279.00,275.34,276.74,26100,276.74
2012-04-13,282.00,282.00,277.35,280.00,43800,280.00
2012-04-12,275.00,283.00,274.00,283.00,306500,283.00
2012-04-11,271.25,280.00,260.10,280.00,179500,280.00
2012-04-10,283.00,288.36,271.30,271.50,145000,271.50
2012-04-05,286.25,287.56,281.30,282.00,101200,282.00
2012-04-04,288.00,289.65,286.25,286.25,22000,286.25
2012-04-03,291.00,294.40,288.00,292.50,68300,292.50
2012-04-02,295.75,295.75,288.00,290.00,141700,290.00
2012-03-30,300.00,300.00,285.25,291.00,91400,291.00
2012-03-29,295.00,298.00,293.25,297.50,10900,297.50
2012-03-28,295.00,296.50,291.25,293.00,18700,293.00
2012-03-27,295.25,299.28,293.00,293.50,27000,293.50
2012-03-26,296.00,296.25,295.56,296.00,11100,296.00
2012-03-23,300.00,300.00,296.00,296.00,23700,296.00
2012-03-22,303.00,303.50,295.00,300.00,70900,300.00
2012-03-21,306.52,306.52,303.10,305.00,34200,305.00
2012-03-20,305.00,308.50,303.00,307.50,28600,307.50
2012-03-19,301.00,301.00,300.00,301.00,14400,301.00
2012-03-16,303.00,305.00,299.00,301.50,46700,301.50
2012-03-15,308.00,310.00,304.00,308.75,22200,308.75
2012-03-14,304.00,313.00,302.65,309.75,165100,309.75
2012-03-13,304.00,304.00,301.65,304.00,9000,304.00
2012-03-12,301.00,304.62,301.00,304.00,43400,304.00
2012-03-09,303.00,305.00,301.25,303.00,58900,303.00
2012-03-08,300.00,312.00,299.50,305.25,183000,305.25
2012-03-07,306.00,309.75,295.00,295.00,273000,295.00
2012-03-06,313.00,315.00,307.00,307.00,47000,307.00
2012-03-05,313.14,319.00,313.00,313.00,19300,313.00
2012-03-02,315.00,317.00,313.70,315.00,23500,315.00
2012-03-01,310.00,320.00,310.00,320.00,48900,320.00
2012-02-29,310.70,314.94,310.00,310.00,12900,310.00
2012-02-28,313.00,320.00,310.00,310.00,71100,310.00
2012-02-27,303.00,305.00,302.00,303.00,37400,303.00
2012-02-24,309.00,309.00,305.00,305.00,11700,305.00
2012-02-23,305.00,309.00,305.00,308.00,15400,308.00
2012-02-22,303.00,305.40,303.00,303.00,25400,303.00
2012-02-21,305.00,306.10,303.00,303.00,8800,303.00
2012-02-20,305.00,310.06,305.00,305.00,30500,305.00
2012-02-17,310.00,314.90,302.48,308.00,35900,308.00
2012-02-16,298.00,305.00,292.05,303.35,124800,303.35
2012-02-15,298.00,301.50,293.00,295.50,88600,295.50
2012-02-14,296.00,303.00,296.00,300.00,30000,300.00
2012-02-13,298.50,303.00,296.20,298.50,60100,298.50
2012-02-10,300.00,305.00,292.05,300.60,145000,300.60
2012-02-09,304.00,309.20,302.00,302.00,22000,302.00
2012-02-08,304.05,304.00,304.00,304.00,4300,304.00
2012-02-07,308.50,310.00,302.00,310.00,40600,310.00
2012-02-06,309.00,309.00,300.00,302.00,17000,302.00
2012-02-03,305.00,309.00,300.28,309.00,56200,309.00
2012-02-02,318.00,318.00,291.60,307.00,1695100,307.00
2012-02-01,325.00,325.00,318.00,320.00,12200,320.00
2012-01-31,322.00,324.54,320.00,320.00,20400,320.00
2012-01-30,318.00,320.75,314.00,314.00,13300,314.00
2012-01-27,322.00,322.00,318.00,318.00,12700,318.00
2012-01-26,320.00,325.62,320.00,320.00,39200,320.00
2012-01-25,316.12,321.70,315.00,315.00,10100,315.00
2012-01-24,320.00,322.00,315.00,315.00,380800,315.00
2012-01-23,312.00,318.00,312.00,314.00,5500,314.00
2012-01-20,319.00,319.00,313.00,316.50,76400,316.50
2012-01-19,315.00,316.50,306.06,312.00,87000,312.00
2012-01-18,305.00,312.00,302.75,311.00,36500,311.00
2012-01-17,308.00,314.13,300.00,300.00,28500,300.00
2012-01-16,313.44,314.13,313.44,314.13,1900,314.13
2012-01-13,308.25,308.25,308.25,308.25,8400,308.25
2012-01-12,308.00,316.75,308.00,316.75,27900,316.75
2012-01-11,308.00,311.76,308.00,308.00,113100,308.00
2012-01-10,308.00,314.78,308.00,308.00,31700,308.00
2012-01-09,314.91,315.04,310.75,310.75,5800,310.75
2012-01-06,313.00,313.00,309.00,309.00,23100,309.00
2012-01-05,311.50,321.17,310.00,321.00,508400,321.00
2012-01-04,309.25,312.72,305.12,312.00,41600,312.00
2012-01-03,310.00,310.00,305.00,305.00,18700,305.00
2011-12-30,309.00,315.00,309.00,315.00,2900,315.00
2011-12-29,308.00,314.25,308.00,310.00,32500,310.00
2011-12-28,309.43,310.75,309.00,309.00,3900,309.00
2011-12-23,312.50,314.17,310.00,310.00,63900,310.00
