Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1787.00,1813.00,1780.00,1786.00,44100,1790.00
2012-08-01,1784.00,1797.00,1761.57,1790.00,112900,1790.00
2012-07-31,1791.00,1798.00,1775.00,1786.00,96300,1786.00
2012-07-27,1803.00,1811.00,1785.00,1799.00,117500,1799.00
2012-07-26,1785.00,1810.00,1777.00,1800.00,130600,1800.00
2012-07-25,1796.00,1808.00,1787.00,1789.00,82500,1789.00
2012-07-24,1773.00,1803.00,1764.00,1798.00,119300,1798.00
2012-07-23,1812.00,1817.00,1755.00,1768.00,84100,1768.00
2012-07-20,1824.00,1829.00,1807.00,1820.00,102200,1820.00
2012-07-19,1820.00,1840.56,1815.00,1815.00,99900,1815.00
2012-07-18,1774.00,1820.00,1771.00,1820.00,63000,1820.00
2012-07-17,1800.00,1800.00,1759.00,1768.00,151400,1768.00
2012-07-16,1778.00,1791.00,1762.00,1791.00,126100,1791.00
2012-07-13,1728.00,1772.00,1698.00,1766.00,113300,1766.00
2012-07-12,1702.00,1725.00,1696.00,1706.00,100300,1706.00
2012-07-11,1728.00,1741.00,1723.00,1726.00,90100,1726.00
2012-07-10,1727.00,1744.00,1722.00,1730.00,126400,1730.00
2012-07-09,1739.00,1749.56,1726.00,1729.00,119000,1729.00
2012-07-06,1710.00,1764.00,1707.00,1745.00,267600,1745.00
2012-07-05,1690.00,1712.00,1688.00,1697.00,142400,1697.00
2012-07-04,1678.00,1695.10,1678.00,1694.00,119900,1694.00
2012-07-03,1665.00,1682.00,1654.00,1678.00,173900,1678.00
2012-07-02,1627.00,1667.25,1625.00,1659.00,233100,1659.00
2012-06-29,1602.00,1634.00,1591.00,1630.00,175900,1630.00
2012-06-28,1579.00,1582.00,1560.00,1569.00,156000,1569.00
2012-06-27,1552.00,1576.16,1546.00,1576.00,86100,1576.00
2012-06-26,1557.00,1564.00,1550.00,1550.00,169200,1550.00
2012-06-25,1570.00,1575.00,1557.00,1560.00,167400,1560.00
2012-06-22,1576.00,1578.00,1561.00,1566.61,176500,1566.61
2012-06-21,1573.00,1603.00,1573.00,1593.00,213000,1593.00
2012-06-20,1563.00,1597.00,1552.00,1597.00,268200,1597.00
2012-06-19,1599.00,1602.00,1563.00,1585.47,274300,1585.47
2012-06-18,1626.00,1626.00,1588.00,1594.00,170000,1594.00
2012-06-15,1592.00,1597.00,1576.00,1586.00,382300,1586.00
2012-06-14,1634.00,1634.00,1576.00,1580.00,388300,1580.00
2012-06-13,1640.00,1652.00,1615.00,1632.00,322000,1632.00
2012-06-12,1640.00,1640.00,1619.00,1631.00,197000,1631.00
2012-06-11,1659.00,1668.00,1634.00,1637.00,148200,1637.00
2012-06-08,1635.00,1641.00,1615.00,1630.00,180800,1630.00
2012-06-07,1624.00,1656.00,1604.00,1641.00,214400,1641.00
