Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,164.40,165.00,164.40,164.90,119600,164.90
2012-08-01,164.90,164.90,164.30,164.90,183400,164.90
2012-07-31,165.00,165.00,164.30,164.50,524300,164.50
2012-07-30,164.50,165.00,164.00,164.50,236000,164.50
2012-07-27,164.50,164.60,164.00,164.50,848400,164.50
2012-07-26,164.00,164.71,164.00,164.40,453800,164.40
2012-07-25,164.10,165.00,163.90,164.40,1509900,164.40
2012-07-24,164.10,164.99,163.60,163.70,503400,163.70
2012-07-23,165.50,165.50,162.60,164.10,430700,164.10
2012-07-20,165.00,165.00,164.20,164.40,691500,164.40
2012-07-19,164.90,165.00,164.00,164.70,518000,164.70
2012-07-18,164.70,164.90,164.10,164.80,466600,164.80
2012-07-17,165.00,165.00,164.05,164.50,745400,164.50
2012-07-16,164.50,165.20,163.92,164.60,870100,164.60
2012-07-13,164.50,164.50,163.30,164.10,666500,164.10
2012-07-12,163.60,164.50,163.60,164.00,818900,164.00
2012-07-11,163.50,163.80,162.70,162.70,703600,162.70
2012-07-10,164.30,164.50,162.70,163.00,1603500,163.00
2012-07-09,164.80,164.80,163.43,163.69,1923000,163.69
2012-07-06,164.90,165.00,164.20,164.27,681900,164.27
2012-07-05,165.00,165.90,164.10,164.10,640200,164.10
2012-07-04,166.00,166.00,164.80,165.20,525900,165.20
2012-07-03,166.00,166.00,165.00,165.20,1076000,165.20
2012-07-02,165.60,166.00,165.00,165.90,260200,165.90
2012-06-29,165.80,165.80,165.00,165.50,532000,165.50
2012-06-28,165.90,166.00,165.00,165.00,486200,165.00
2012-06-27,165.50,166.30,165.20,165.20,739100,165.20
2012-06-26,165.60,166.60,165.60,166.00,196800,166.00
2012-06-25,166.20,166.53,165.50,166.00,445800,166.00
2012-06-22,165.90,166.50,165.50,165.80,218000,165.80
2012-06-21,165.60,167.00,165.60,166.30,527600,166.30
2012-06-20,165.90,166.89,165.50,165.50,362200,165.50
2012-06-19,166.20,166.20,165.50,165.60,340900,165.60
2012-06-18,166.00,167.00,165.50,165.50,544400,165.50
2012-06-15,167.30,167.30,165.10,165.20,1329800,165.20
