Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,427.30,428.00,423.80,427.70,10400,429.00
2012-08-02,427.30,429.00,423.80,429.00,17400,429.00
2012-08-01,430.00,430.80,420.10,420.10,20900,420.10
2012-07-31,425.30,430.00,424.00,430.00,27300,430.00
2012-07-27,420.00,429.38,417.10,425.00,47700,425.00
2012-07-26,418.70,432.00,418.70,430.70,28200,430.70
2012-07-25,425.00,426.00,420.00,424.00,108400,424.00
2012-07-24,417.40,427.90,417.10,425.00,90000,425.00
2012-07-23,420.00,425.91,417.50,420.10,35900,420.10
2012-07-20,426.70,431.00,424.20,424.20,19000,424.20
2012-07-19,420.10,438.00,420.10,429.90,55100,429.90
2012-07-18,425.00,431.20,425.00,427.17,41200,427.17
2012-07-17,432.50,441.40,425.50,425.50,25200,425.50
2012-07-16,425.00,437.35,419.90,431.60,41800,431.60
2012-07-13,413.50,425.00,410.60,419.80,28900,419.80
2012-07-12,414.00,419.25,411.00,413.50,35400,413.50
2012-07-11,425.00,425.00,410.99,418.00,60700,418.00
2012-07-10,418.00,428.60,418.00,428.60,138300,428.60
2012-07-09,426.30,426.30,419.80,422.00,115700,422.00
2012-07-06,423.90,429.24,418.30,427.80,23200,427.80
2012-07-05,423.30,425.00,421.00,424.00,23000,424.00
2012-07-04,418.00,424.50,415.70,424.50,8600,424.50
2012-07-03,407.00,421.16,403.00,418.40,60600,418.40
2012-07-02,403.50,405.00,393.33,405.00,44800,405.00
2012-06-29,402.70,404.60,394.37,399.20,58000,399.20
2012-06-28,417.00,417.00,403.40,403.50,49700,403.50
2012-06-27,416.00,416.00,409.00,412.90,71500,412.90
2012-06-26,423.00,423.00,412.50,418.00,41200,418.00
2012-06-25,438.00,438.00,419.00,419.00,117600,419.00
2012-06-22,425.00,439.60,420.60,434.10,31400,434.10
2012-06-21,432.00,437.00,423.90,428.00,95400,428.00
2012-06-20,413.00,432.10,413.00,430.00,90700,430.00
2012-06-19,414.70,420.20,411.48,415.90,100100,415.90
2012-06-18,431.00,431.00,410.00,420.00,178200,420.00
2012-06-15,375.00,432.06,370.00,431.80,704000,431.80
2012-06-14,353.00,383.50,351.60,383.50,196800,383.50
2012-06-13,356.10,358.00,350.00,351.00,218700,351.00
2012-06-12,358.00,358.85,350.00,350.00,83300,350.00
2012-06-11,350.00,361.32,350.00,355.20,56200,355.20
2012-06-08,355.00,358.20,350.40,351.00,43000,351.00
2012-06-07,356.00,359.40,350.00,358.70,76700,358.70
2012-06-06,350.00,355.00,346.00,355.00,94800,355.00
2012-06-01,355.00,360.00,348.00,348.00,59800,348.00
2012-05-31,362.90,362.90,353.00,354.50,57600,354.50
2012-05-30,364.00,364.00,350.00,353.50,67200,353.50
2012-05-29,1098.00,1098.00,1098.00,1098.00,000,1098.00
2012-05-28,1098.00,1098.00,1098.00,1098.00,000,1098.00
2012-05-25,1115.00,1120.00,1094.00,1098.00,36500,366.00
2012-05-24,3345.00,3375.00,3345.00,3366.00,22600,1122.00
2012-05-23,3390.00,3390.00,3351.00,3360.00,35900,1120.00
2012-05-22,3351.00,3384.00,3345.00,3366.00,63900,1122.00
2012-05-21,3366.00,3420.00,3330.00,3351.00,140000,1117.00
2012-05-18,3381.00,3480.00,3360.00,3360.00,22600,1120.00
2012-05-17,3369.00,3474.00,3369.00,3405.00,28700,1135.00
2012-05-16,3336.00,3393.00,3336.00,3393.00,21600,1131.00
2012-05-14,3336.00,3390.00,3321.00,3381.00,21800,1127.00
2012-05-11,3351.00,3390.00,3351.00,3375.00,15800,1125.00
2012-05-10,3207.00,3378.00,3204.00,3351.00,45100,1117.00
2012-05-09,3180.00,3222.00,3102.00,3153.00,34500,1051.00
2012-05-08,3318.00,3336.00,3099.00,3144.00,49200,1048.00
2012-05-04,3411.00,3439.70,3309.00,3309.00,23300,1103.00
2012-05-03,3480.00,3494.97,3357.00,3411.00,15700,1137.00
2012-05-02,3420.00,3495.00,3420.00,3474.00,30300,1158.00
2012-05-01,3489.00,3576.00,3489.00,3501.00,13700,1167.00
2012-04-30,3528.00,3576.00,3489.00,3489.00,14500,1163.00
2012-04-27,3528.00,3618.00,3495.00,3507.00,39900,1169.00
2012-04-26,3582.00,3582.00,3540.00,3561.00,11200,1187.00
2012-04-25,3540.00,3570.00,3491.61,3555.00,12900,1185.00
2012-04-24,3522.00,3570.00,3495.00,3561.00,15600,1187.00
2012-04-23,3507.00,3567.00,3507.00,3543.00,10100,1181.00
2012-04-20,3480.00,3555.00,3480.00,3540.00,15100,1180.00
2012-04-19,3501.00,3534.00,3501.00,3507.00,30400,1169.00
2012-04-18,3456.00,3537.00,3456.00,3495.00,23800,1165.00
2012-04-17,3522.00,3564.12,3435.00,3435.00,78500,1145.00
2012-04-16,3510.00,3561.00,3474.00,3549.00,17200,1183.00
2012-04-13,3480.00,3521.49,3465.00,3513.00,16500,1171.00
2012-04-12,3411.00,3468.00,3411.00,3459.00,13000,1153.00
2012-04-11,3498.00,3498.00,3354.00,3453.00,34600,1151.00
2012-04-10,3438.00,3502.50,3411.00,3423.00,20900,1141.00
2012-04-05,3423.00,3510.00,3399.58,3441.00,27700,1147.00
2012-04-04,3447.00,3528.00,3405.00,3405.00,23700,1135.00
2012-04-03,3426.00,3507.00,3426.00,3435.00,46800,1145.00
2012-04-02,3543.00,3543.00,3387.00,3405.00,54300,1135.00
2012-03-30,3630.00,3636.50,3543.00,3543.00,9800,1181.00
2012-03-29,3726.00,3736.00,3567.00,3597.00,16000,1199.00
2012-03-28,3711.00,3735.00,3690.00,3690.00,10300,1230.00
2012-03-27,3702.00,3767.94,3682.50,3699.00,9300,1233.00
2012-03-26,3708.00,3708.00,3651.00,3684.00,63500,1228.00
2012-03-23,3702.00,3708.00,3624.00,3660.00,25200,1220.00
2012-03-22,3714.00,3717.00,3651.00,3654.00,20700,1218.00
2012-03-21,3660.00,3711.00,3659.25,3666.00,6600,1222.00
2012-03-20,3747.00,3747.00,3654.00,3666.00,16500,1222.00
2012-03-19,3705.00,3750.00,3654.00,3750.00,25900,1250.00
2012-03-16,3567.00,3735.00,3567.00,3735.00,58400,1245.00
2012-03-15,3684.00,3684.00,3555.00,3576.00,19300,1192.00
2012-03-14,3651.00,3678.00,3604.86,3624.00,30600,1208.00
2012-03-13,3555.00,3630.00,3531.00,3615.00,39900,1205.00
2012-03-12,3486.00,3519.00,3471.00,3510.00,14600,1170.00
2012-03-09,3492.00,3500.25,3465.12,3471.00,17600,1157.00
2012-03-08,3564.00,3585.00,3453.00,3471.00,25300,1157.00
2012-03-07,3516.00,3555.00,3494.12,3534.00,19200,1178.00
2012-03-06,3570.00,3570.00,3477.00,3498.00,39800,1166.00
2012-03-05,3561.00,3562.89,3486.00,3504.00,11800,1168.00
2012-03-02,3537.00,3592.50,3498.00,3540.00,10500,1180.00
2012-03-01,3594.00,3601.14,3555.00,3564.00,11500,1188.00
2012-02-29,3600.00,3603.75,3577.50,3579.00,9600,1193.00
2012-02-28,3663.00,3663.00,3555.00,3579.00,18400,1193.00
2012-02-27,3672.00,3681.75,3603.71,3636.00,15100,1212.00
2012-02-24,3654.00,3690.00,3654.00,3675.00,16000,1225.00
2012-02-23,3690.00,3720.00,3645.00,3720.00,12300,1240.00
2012-02-22,3690.00,3693.00,3657.00,3675.00,10400,1225.00
2012-02-21,3624.00,3666.00,3600.00,3666.00,17000,1222.00
2012-02-20,3639.00,3645.00,3600.00,3609.00,124000,1203.00
2012-02-17,3648.00,3648.00,3600.00,3600.00,16100,1200.00
2012-02-16,3624.00,3651.00,3600.00,3600.00,10800,1200.00
2012-02-15,3681.00,3708.87,3654.00,3663.00,20500,1221.00
2012-02-14,3738.00,3738.00,3651.00,3684.00,26200,1228.00
2012-02-13,3750.00,3768.36,3720.00,3738.00,6600,1246.00
2012-02-10,3735.00,3762.00,3720.00,3759.00,8300,1253.00
2012-02-09,3804.00,3817.73,3724.22,3765.00,17200,1255.00
