Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,183.90,186.00,181.80,183.00,164100,184.30
2012-08-01,183.20,186.20,183.20,184.30,218900,184.30
2012-07-31,187.90,187.90,183.20,183.20,408600,183.20
2012-07-27,187.70,187.70,185.10,186.90,285300,186.90
2012-07-26,182.00,184.50,180.70,183.80,327500,183.80
2012-07-25,182.90,184.00,181.30,181.60,276400,181.60
2012-07-24,184.50,185.10,181.80,182.60,329200,182.60
2012-07-23,187.00,187.84,183.60,184.30,430700,184.30
2012-07-20,189.90,190.00,187.20,189.10,973100,189.10
2012-07-19,189.20,191.00,188.90,190.00,840200,190.00
2012-07-18,188.40,190.20,186.80,189.00,293000,189.00
2012-07-17,189.70,191.10,186.70,188.00,333700,188.00
2012-07-16,189.30,190.60,187.60,189.80,790400,189.80
2012-07-13,184.30,190.00,184.20,190.00,881300,190.00
2012-07-12,187.30,188.50,183.50,184.30,591500,184.30
2012-07-11,195.60,196.00,186.90,188.10,624800,188.10
2012-07-10,197.00,198.10,195.90,196.60,707200,196.60
2012-07-09,199.50,199.50,195.70,196.80,776700,196.80
2012-07-06,199.50,200.10,198.30,199.00,492700,199.00
2012-07-05,201.50,201.50,197.81,199.10,1068600,199.10
2012-07-04,200.20,202.40,198.10,201.00,268800,201.00
2012-07-03,203.80,203.80,199.40,200.00,412800,200.00
2012-07-02,203.40,204.20,201.60,203.00,448300,203.00
2012-06-29,201.60,208.20,201.60,204.00,579300,204.00
2012-06-28,200.60,201.10,196.90,198.30,411000,198.30
2012-06-27,198.80,201.00,197.03,200.00,240300,200.00
2012-06-26,196.00,198.70,196.00,198.60,360800,198.60
2012-06-25,198.30,199.90,196.00,196.00,223200,196.00
2012-06-22,199.00,199.40,196.00,198.60,476100,198.60
2012-06-21,199.70,203.30,198.90,199.70,610200,199.70
2012-06-20,205.10,205.10,198.70,199.90,632100,199.90
2012-06-19,205.30,206.90,203.80,205.00,355600,205.00
2012-06-18,213.40,213.70,204.00,204.50,919000,204.50
2012-06-15,203.40,213.60,202.60,213.60,2254600,213.60
2012-06-14,199.50,203.10,197.90,203.10,317200,203.10
2012-06-13,198.00,200.60,198.00,199.00,650100,199.00
2012-06-12,199.20,202.00,197.18,198.40,338700,198.40
2012-06-11,200.00,201.30,198.70,200.10,528700,200.10
2012-06-08,200.00,200.00,197.50,199.90,324900,199.90
2012-06-07,197.20,201.12,196.07,201.10,486700,201.10
2012-06-06,195.40,197.40,194.90,196.10,579600,196.10
2012-06-01,193.70,195.20,191.20,193.70,430500,193.70
2012-05-31,194.30,196.10,191.70,193.30,887700,193.30
