Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,138.10,139.40,134.10,134.30,1349500,134.10
2012-08-02,138.10,139.40,134.10,134.10,2187000,134.10
2012-08-01,132.40,138.20,132.20,138.00,3973600,138.00
2012-07-31,135.60,136.40,132.20,132.20,3861800,132.20
2012-07-27,138.40,139.70,136.10,138.70,2409300,138.70
2012-07-26,132.90,137.30,132.50,136.70,2105200,136.70
2012-07-25,132.40,134.40,130.50,132.50,1783000,132.50
2012-07-24,134.80,136.70,133.00,133.20,1924800,133.20
2012-07-23,138.50,139.84,132.90,134.50,3382000,134.50
2012-07-20,143.30,144.50,139.30,140.80,3028400,140.80
2012-07-19,139.80,144.00,139.19,143.40,3584800,143.40
2012-07-18,137.00,140.44,137.00,139.40,2917300,139.40
2012-07-17,139.10,139.90,136.40,137.50,3763700,137.50
2012-07-16,140.10,140.60,135.90,138.20,2662500,138.20
2012-07-13,137.10,139.60,136.60,139.30,3478500,139.30
2012-07-12,133.50,137.32,133.00,136.90,4790800,136.90
2012-07-11,137.10,142.29,132.80,135.90,6177300,135.90
2012-07-10,138.70,139.10,135.70,137.10,4240300,137.10
2012-07-09,138.90,140.03,136.30,137.40,2951900,137.40
2012-07-06,141.70,142.40,137.89,139.50,3623300,139.50
2012-07-05,141.20,144.30,139.90,141.60,4217000,141.60
2012-07-04,142.40,142.50,138.20,140.80,2306200,140.80
2012-07-03,144.50,145.20,140.80,142.20,3822900,142.20
2012-07-02,139.60,145.00,139.30,144.60,4606300,144.60
2012-06-29,133.90,139.90,133.00,139.10,4689500,139.10
2012-06-28,136.40,137.50,129.60,130.20,5655500,130.20
2012-06-27,134.10,136.50,131.60,136.30,13853100,136.30
2012-06-26,133.70,134.30,132.00,133.30,2207900,133.30
2012-06-25,135.10,136.24,133.50,133.70,2498000,133.70
2012-06-22,137.00,137.17,133.87,135.30,2826500,135.30
2012-06-21,139.80,141.32,136.50,138.70,4173000,138.70
2012-06-20,137.40,148.60,134.90,140.30,5989000,140.30
2012-06-19,135.90,137.50,135.10,136.50,4340000,136.50
2012-06-18,135.60,136.94,123.45,136.50,5047700,136.50
2012-06-15,126.80,135.40,126.61,133.40,8203000,133.40
2012-06-14,124.80,126.20,121.10,125.80,3895600,125.80
2012-06-13,127.40,129.10,122.80,125.30,5056400,125.30
2012-06-12,128.80,129.61,125.10,126.90,5010600,126.90
2012-06-11,132.20,133.45,129.00,129.20,3706000,129.20
2012-06-08,126.20,129.60,124.20,128.90,3685100,128.90
2012-06-07,121.70,128.70,120.60,127.80,7151100,127.80
2012-06-06,114.50,121.00,114.50,120.60,4186100,120.60
2012-06-01,119.90,120.09,112.50,114.00,5418600,114.00
2012-05-31,118.90,121.20,118.78,119.90,4360600,119.90
2012-05-30,120.50,121.70,117.50,118.60,3581400,118.60
2012-05-29,119.10,122.20,118.70,122.00,3457300,122.00
2012-05-28,116.80,118.80,115.29,118.60,14376200,118.60
2012-05-25,119.20,121.74,115.40,117.48,2645600,117.48
2012-05-24,120.20,124.00,116.20,119.30,3094400,119.30
2012-05-23,120.80,121.80,118.80,119.00,3195900,119.00
2012-05-22,119.80,124.00,119.30,123.70,4082300,123.70
2012-05-21,117.00,119.10,117.00,118.20,4106700,118.20
2012-05-18,117.20,118.20,115.50,117.10,4859200,117.10
2012-05-17,123.40,124.50,119.10,119.40,3243700,119.40
2012-05-16,116.40,124.10,113.47,123.03,6794900,123.03
2012-05-14,128.60,129.10,123.10,124.00,3890500,124.00
2012-05-11,124.80,130.20,123.70,130.20,5373800,130.20
2012-05-10,125.60,129.33,125.60,126.40,5019300,126.40
2012-05-09,118.90,121.25,117.60,119.90,8200800,119.90
2012-05-08,125.00,125.45,115.70,117.70,7726800,117.70
