Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,155.90,157.80,154.80,156.30,476300,156.70
2012-08-02,155.90,157.80,154.80,156.70,728200,156.70
2012-08-01,159.70,159.70,155.50,157.20,589100,157.20
2012-07-31,162.70,162.70,158.00,158.70,527500,158.70
2012-07-27,157.00,159.70,154.50,159.70,914200,159.70
2012-07-26,156.70,156.70,152.88,156.00,1413000,156.00
2012-07-25,158.50,159.50,154.10,156.80,784000,156.80
2012-07-24,158.50,159.30,156.70,158.20,431000,158.20
2012-07-23,155.90,159.50,155.50,157.60,672600,157.60
2012-07-20,154.00,160.00,151.03,159.70,1611800,159.70
2012-07-19,154.00,154.00,151.30,152.60,416800,152.60
2012-07-18,148.80,151.40,148.10,150.45,376000,150.45
2012-07-17,152.50,152.50,148.70,149.10,648500,149.10
2012-07-16,145.90,151.00,145.90,150.50,1493500,150.50
2012-07-13,144.90,146.90,144.60,144.78,366100,144.78
2012-07-12,142.80,144.00,142.00,143.90,206300,143.90
2012-07-11,145.60,145.60,142.20,143.40,625500,143.40
2012-07-10,142.90,146.70,142.50,146.20,298000,146.20
2012-07-09,143.90,143.90,141.30,142.00,1113900,142.00
2012-07-06,141.70,145.10,141.00,143.10,560100,143.10
2012-07-05,143.00,143.70,140.20,141.40,334300,141.40
2012-07-04,142.40,143.80,141.10,143.00,196500,143.00
2012-07-03,141.60,143.00,140.66,142.69,142000,142.69
2012-07-02,138.20,141.90,137.20,141.90,1113300,141.90
2012-06-29,138.10,139.00,137.20,137.70,538400,137.70
2012-06-28,137.50,138.00,134.00,134.90,437500,134.90
2012-06-27,134.60,138.00,134.23,137.50,364600,137.50
2012-06-26,133.00,134.80,132.00,134.50,390000,134.50
2012-06-25,135.10,136.12,132.50,132.50,1021000,132.50
2012-06-22,135.70,136.40,133.80,135.90,510700,135.90
2012-06-21,136.40,137.70,134.96,136.00,599600,136.00
2012-06-20,138.10,138.30,136.60,137.00,545900,137.00
2012-06-19,137.20,139.30,135.90,137.50,496000,137.50
2012-06-18,139.80,139.80,134.80,137.00,450200,137.00
2012-06-15,139.90,141.30,137.12,137.20,1267600,137.20
2012-06-14,138.20,139.90,137.50,139.90,486400,139.90
2012-06-13,136.70,138.50,134.70,137.80,556500,137.80
2012-06-12,137.10,137.50,134.70,135.40,737200,135.40
2012-06-11,139.00,139.90,136.70,136.90,478300,136.90
2012-06-08,135.50,137.20,134.80,136.80,934400,136.80
2012-06-07,138.70,138.90,136.20,136.50,939300,136.50
2012-06-06,136.00,137.90,135.20,137.30,696700,137.30
2012-06-01,135.50,135.50,131.60,134.00,488300,134.00
2012-05-31,135.00,135.95,134.30,135.00,561000,135.00
2012-05-30,135.20,135.90,133.50,134.90,445900,134.90
2012-05-29,136.80,137.00,135.00,135.60,1342700,135.60
2012-05-28,136.60,139.70,135.00,135.00,382100,135.00
2012-05-25,135.00,137.50,134.10,137.30,808700,137.30
2012-05-24,134.60,137.30,133.30,135.00,567700,135.00
2012-05-23,133.40,135.00,133.40,134.20,465100,134.20
2012-05-22,134.00,135.60,133.60,134.50,1211500,134.50
2012-05-21,135.00,136.30,132.90,132.90,577800,132.90
2012-05-18,138.00,138.90,134.50,134.90,781900,134.90
2012-05-17,138.50,141.60,136.50,140.00,778600,140.00
2012-05-16,136.20,140.40,135.35,138.20,847700,138.20
2012-05-14,142.10,144.00,140.70,141.85,964200,141.85
2012-05-11,140.50,143.60,140.50,142.90,1140500,142.90
2012-05-10,137.00,142.80,137.00,141.40,601300,141.40
2012-05-09,135.20,138.30,133.40,138.30,901500,138.30
2012-05-08,138.50,139.00,133.00,133.50,1438600,133.50
2012-05-04,140.80,141.30,136.30,137.90,443900,137.90
2012-05-03,141.80,144.00,140.60,141.40,446700,141.40
2012-05-02,140.70,142.50,140.30,141.90,595500,141.90
2012-05-01,141.00,143.00,139.70,140.90,887700,140.90
2012-04-30,144.60,144.90,141.30,141.70,386300,141.70
2012-04-27,141.10,144.80,139.10,143.50,852000,143.50
2012-04-26,140.90,142.60,139.00,141.70,740600,141.70
2012-04-25,144.00,145.00,140.70,140.70,591700,140.70
2012-04-24,143.50,144.40,142.70,143.30,489700,143.30
2012-04-23,145.10,145.10,141.40,143.20,642800,143.20
2012-04-20,141.80,145.91,140.40,145.90,564900,145.90
2012-04-19,142.30,143.50,139.30,141.50,1096800,141.50
2012-04-18,141.30,142.20,138.20,142.20,763400,142.20
2012-04-17,138.60,141.80,138.60,141.40,644800,141.40
2012-04-16,138.90,140.90,138.40,139.10,841700,139.10
2012-04-13,139.60,140.70,138.70,139.20,624700,139.20
2012-04-12,140.80,140.80,138.30,138.96,1006100,138.96
2012-04-11,138.00,141.00,138.00,140.20,567700,140.20
2012-04-10,138.00,140.90,138.00,138.50,950900,138.50
2012-04-05,140.20,140.60,138.20,138.80,706600,138.80
2012-04-04,141.40,142.07,139.20,140.10,436100,140.10
2012-04-03,142.40,143.30,140.50,142.40,392600,142.40
2012-04-02,139.50,142.40,139.20,142.40,1355400,142.40
2012-03-30,139.80,139.80,138.10,139.50,1019600,139.50
2012-03-29,142.20,143.20,137.00,139.30,2002200,139.30
2012-03-28,144.10,144.10,142.30,143.00,360900,143.00
2012-03-27,144.20,144.69,143.23,143.60,466200,143.60
2012-03-26,143.10,145.90,143.10,144.00,469100,144.00
2012-03-23,143.10,145.10,142.00,143.70,758500,143.70
2012-03-22,141.70,144.70,140.40,142.60,1077500,142.60
2012-03-21,139.30,142.60,138.20,142.40,1121800,142.40
2012-03-20,140.00,140.00,138.50,139.00,619400,139.00
2012-03-19,139.90,140.10,138.40,140.00,606900,140.00
2012-03-16,139.30,145.37,138.50,139.90,2129200,139.90
2012-03-15,140.00,140.50,137.88,139.30,1128300,139.30
2012-03-14,140.00,140.50,139.00,139.60,1107600,139.60
2012-03-13,138.20,140.10,136.30,139.60,1036000,139.60
2012-03-12,136.80,138.30,135.70,137.40,578000,137.40
2012-03-09,137.50,138.00,134.40,137.10,484200,137.10
2012-03-08,136.60,138.50,135.60,137.20,1261200,137.20
2012-03-07,135.70,138.30,135.50,137.00,598000,137.00
2012-03-06,139.70,140.00,133.90,136.10,917600,136.10
2012-03-05,142.00,142.20,138.90,139.90,1022100,139.90
2012-03-02,144.50,145.80,142.30,142.49,663600,142.49
2012-03-01,144.40,144.70,142.70,143.90,571800,143.90
2012-02-29,147.60,147.60,142.90,143.20,1058100,143.20
2012-02-28,149.30,151.90,149.10,151.80,744400,151.80
2012-02-27,150.70,150.70,146.70,149.10,558600,149.10
2012-02-24,149.00,150.60,148.90,149.60,1216300,149.60
2012-02-23,148.30,150.00,147.58,149.00,908700,149.00
2012-02-22,149.30,151.00,148.10,148.80,806200,148.80
2012-02-21,150.10,150.73,148.57,150.10,358100,150.10
2012-02-20,149.00,151.05,147.65,149.90,1214500,149.90
2012-02-17,148.00,148.50,146.40,147.60,838100,147.60
2012-02-16,146.30,147.90,145.00,147.40,615900,147.40
2012-02-15,148.00,148.40,145.10,147.10,1058000,147.10
2012-02-14,147.30,150.00,146.30,148.30,883600,148.30
2012-02-13,148.00,150.50,147.40,147.70,996700,147.70
2012-02-10,149.20,150.15,146.60,147.10,501100,147.10
2012-02-09,147.20,151.40,146.80,149.80,1476500,149.80
2012-02-08,147.00,147.50,143.46,146.40,2727400,146.40
2012-02-07,143.00,146.60,141.10,146.60,2536300,146.60
2012-02-06,145.00,145.00,142.10,143.87,1068100,143.87
2012-02-03,145.00,145.00,142.41,144.50,647200,144.50
2012-02-02,141.70,144.72,141.70,143.60,424800,143.60
2012-02-01,140.70,144.00,140.10,143.90,1036300,143.90
2012-01-31,140.60,141.90,137.86,140.20,662000,140.20
2012-01-30,141.50,142.30,139.10,139.90,498300,139.90
2012-01-27,141.00,142.40,140.00,142.10,736400,142.10
2012-01-26,142.00,142.70,139.90,140.50,498200,140.50
