Date,Open,High,Low,Close,Volume,Adj Close
2012-07-27,384.70,387.60,379.80,385.30,556500,385.30
2012-07-26,390.00,392.10,373.78,381.00,1366600,381.00
2012-07-25,391.60,394.10,387.53,390.40,370300,390.40
2012-07-24,397.60,400.00,389.38,391.20,503900,391.20
2012-07-23,407.50,412.68,392.40,395.50,423500,395.50
2012-07-20,415.00,415.00,407.00,411.20,355300,411.20
2012-07-19,412.10,417.50,410.90,414.30,270000,414.30
2012-07-18,409.00,412.50,404.90,412.50,265800,412.50
2012-07-17,418.50,418.50,402.80,406.70,604900,406.70
2012-07-16,410.70,412.70,403.90,403.90,340000,403.90
2012-07-13,407.50,409.80,405.90,409.40,449300,409.40
2012-07-12,409.00,412.70,402.80,405.90,616300,405.90
2012-07-11,417.60,417.68,409.00,409.60,761000,409.60
2012-07-10,421.70,423.30,416.40,421.70,434300,421.70
2012-07-09,424.00,424.00,417.70,419.50,378400,419.50
2012-07-06,420.00,424.93,417.20,423.00,406400,423.00
2012-07-05,417.80,420.80,414.60,419.70,503200,419.70
2012-07-04,421.70,426.00,415.00,415.90,490500,415.90
2012-07-03,412.50,424.20,412.00,422.50,1178100,422.50
2012-07-02,409.00,414.90,406.90,411.00,899500,411.00
2012-06-29,407.10,413.90,406.57,407.80,760500,407.80
2012-06-28,401.90,403.90,397.10,403.90,929600,403.90
2012-06-27,399.30,401.50,394.20,400.20,633000,400.20
2012-06-26,396.70,400.20,392.70,396.50,366400,396.50
2012-06-25,397.90,397.93,391.90,395.50,310400,395.50
2012-06-22,400.50,404.30,396.00,397.90,422300,397.90
2012-06-21,400.20,402.90,396.00,401.90,356600,401.90
2012-06-20,405.70,405.70,396.20,401.10,417200,401.10
2012-06-19,401.20,406.50,399.80,403.00,473500,403.00
2012-06-18,398.80,404.80,396.10,403.10,553500,403.10
2012-06-15,399.00,399.00,395.10,398.00,975000,398.00
2012-06-14,395.40,399.90,392.00,399.80,798800,399.80
2012-06-13,388.40,395.50,388.00,394.00,1067900,394.00
2012-06-12,386.50,391.30,382.40,386.30,1384500,386.30
