Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,11.25,11.47,11.25,11.46,400,1125.00
2012-08-01,1125.00,1145.00,1125.00,1125.00,11400,1125.00
2012-07-31,1147.00,1150.00,1125.00,1125.00,24600,1125.00
2012-07-30,1150.00,1150.00,1125.00,1133.00,500,1133.00
2012-07-27,1150.00,1150.00,1125.00,1144.00,3700,1144.00
2012-07-26,1125.00,1149.00,1125.00,1148.00,800,1148.00
2012-07-25,1124.00,1135.00,1123.00,1125.00,4700,1125.00
2012-07-24,1128.00,1150.00,1126.00,1148.00,2900,1148.00
2012-07-23,1123.00,1150.00,1123.00,1128.00,700,1128.00
2012-07-20,1150.00,1150.00,1123.00,1150.00,3200,1150.00
2012-07-19,1123.00,1149.00,1123.00,1149.00,2200,1149.00
2012-07-18,1130.00,1140.00,1123.00,1124.00,13700,1124.00
2012-07-17,1150.00,1150.00,1130.00,1130.00,10200,1130.00
2012-07-16,1150.00,1150.00,1112.00,1140.00,8000,1140.00
2012-07-13,1150.00,1150.00,1137.00,1150.00,2700,1150.00
2012-07-12,1150.00,1150.00,1150.00,1150.00,4200,1150.00
2012-07-11,1130.00,1150.00,1111.00,1150.00,24400,1150.00
2012-07-10,1115.00,1139.00,1111.00,1111.00,12900,1111.00
2012-07-09,1115.00,1135.00,1110.00,1115.00,8100,1115.00
2012-07-06,1125.00,1140.00,1123.00,1140.00,8100,1140.00
2012-07-05,1140.00,1140.00,1115.00,1125.00,500,1125.00
2012-07-04,1135.00,1135.00,1115.00,1117.00,35300,1117.00
2012-07-03,1145.00,1145.00,1140.00,1140.00,1300,1140.00
2012-07-02,1145.00,1145.00,1118.00,1145.00,1100,1145.00
2012-06-29,1120.00,1149.00,1115.00,1115.00,24800,1115.00
2012-06-28,1122.00,1149.00,1120.00,1124.00,900,1124.00
2012-06-27,1130.00,1150.00,1120.00,1150.00,13300,1150.00
2012-06-26,1150.00,1150.00,1130.00,1149.00,16200,1149.00
2012-06-25,1150.00,1150.00,1130.00,1130.00,8500,1130.00
2012-06-22,1150.00,1150.00,1131.00,1149.00,900,1149.00
2012-06-21,1150.00,1150.00,1138.00,1146.00,1300,1146.00
2012-06-20,1130.00,1149.00,1130.00,1149.00,800,1149.00
2012-06-19,1120.00,1149.00,1120.00,1149.00,26400,1149.00
2012-06-18,1132.00,1159.00,1130.00,1130.00,7800,1130.00
2012-06-15,1138.00,1155.00,1130.30,1131.00,47600,1131.00
2012-06-14,1133.00,1155.00,1131.00,1135.00,19200,1135.00
2012-06-13,1132.00,1158.00,1131.00,1131.00,3000,1131.00
2012-06-12,1140.00,1151.00,1131.00,1131.00,16800,1131.00
2012-06-11,1157.00,1165.00,1140.00,1140.00,1400,1140.00
2012-06-08,1160.00,1160.00,1141.00,1157.00,4800,1157.00
2012-06-07,1130.00,1160.00,1130.00,1157.00,8400,1157.00
2012-06-06,1145.00,1160.00,1130.00,1131.00,5700,1131.00
2012-06-01,1129.00,1159.00,1129.00,1130.00,38800,1130.00
2012-05-31,1155.00,1155.00,1135.00,1135.00,8900,1135.00
2012-05-30,1155.00,1155.00,1135.00,1135.00,1800,1135.00
2012-05-29,1135.00,1150.00,1131.00,1135.00,12900,1135.00
2012-05-28,1152.00,1152.00,1132.00,1135.00,1400,1135.00
2012-05-25,1136.00,1154.00,1132.00,1132.00,5100,1132.00
2012-05-24,1155.00,1155.00,1135.00,1135.00,600,1135.00
2012-05-23,1140.00,1159.00,1135.00,1135.00,9200,1135.00
2012-05-22,1155.00,1169.00,1134.00,1134.00,17800,1134.00
2012-05-21,1155.00,1173.00,1154.70,1173.00,11200,1173.00
2012-05-14,1173.00,1180.00,1173.00,1180.00,1900,1180.00
2012-05-11,1165.00,1190.00,1165.00,1190.00,24200,1190.00
2012-05-10,1165.00,1185.00,1164.00,1185.00,1100,1185.00
2012-05-09,1185.00,1185.00,1164.00,1182.00,13300,1182.00
