Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,18.20,18.35,18.20,18.25,1000,1820.00
2012-08-01,1820.00,1833.00,1820.00,1820.00,31200,1820.00
2012-07-31,1831.00,1835.00,1820.00,1821.00,16600,1821.00
2012-07-30,1844.00,1844.00,1831.00,1831.00,7900,1831.00
2012-07-27,1835.00,1850.00,1830.00,1830.00,29700,1830.00
2012-07-26,1856.00,1863.00,1835.00,1835.00,138600,1835.00
2012-07-25,1868.00,1868.00,1854.00,1856.00,12400,1856.00
2012-07-24,1850.00,1867.00,1850.00,1860.00,8500,1860.00
2012-07-23,1855.00,1864.00,1840.00,1855.00,16200,1855.00
2012-07-20,1860.00,1869.00,1859.00,1860.00,1900,1860.00
2012-07-19,1860.00,1869.00,1855.00,1859.00,27000,1859.00
2012-07-18,1860.00,1873.00,1850.00,1858.00,16100,1858.00
2012-07-17,1870.00,1870.00,1859.00,1859.00,25800,1859.00
2012-07-16,1870.00,1870.00,1862.00,1870.00,4400,1870.00
2012-07-13,1870.00,1870.00,1861.00,1870.00,9500,1870.00
2012-07-12,1868.00,1868.00,1860.00,1868.00,9100,1868.00
2012-07-11,1855.00,1872.00,1850.00,1870.00,27800,1870.00
2012-07-10,1860.00,1870.00,1851.00,1870.00,11200,1870.00
2012-07-09,1867.00,1867.00,1851.00,1851.00,24400,1851.00
2012-07-06,1864.00,1870.00,1850.00,1850.00,24500,1850.00
2012-07-05,1864.00,1864.00,1850.00,1850.00,2000,1850.00
2012-07-04,1851.00,1869.00,1850.00,1850.00,12800,1850.00
2012-07-03,1854.00,1870.00,1850.00,1855.00,29800,1855.00
2012-07-02,1858.00,1870.00,1851.00,1870.00,6400,1870.00
2012-06-29,1862.00,1872.00,1850.00,1858.00,7200,1858.00
2012-06-28,1877.00,1878.00,1850.00,1850.00,27400,1850.00
2012-06-27,1856.00,1878.00,1856.00,1857.00,1500,1857.00
2012-06-26,1874.00,1886.00,1858.00,1858.00,27100,1858.00
2012-06-25,1889.00,1889.00,1869.00,1869.00,13400,1869.00
2012-06-22,1871.00,1885.00,1869.00,1870.00,23900,1870.00
2012-06-21,1894.00,1895.00,1870.00,1870.00,17300,1870.00
2012-06-20,1871.00,1894.00,1871.00,1880.00,10000,1880.00
2012-06-19,1895.00,1898.00,1870.00,1870.00,34900,1870.00
2012-06-18,1886.00,1903.00,1885.00,1885.00,7100,1885.00
2012-06-15,1894.00,1901.00,1873.90,1875.00,47100,1875.00
2012-06-14,1903.00,1904.00,1884.00,1893.00,22500,1893.00
2012-06-13,1890.00,1905.00,1890.00,1890.00,4700,1890.00
2012-06-12,1895.00,1919.00,1890.00,1890.00,13200,1890.00
2012-06-11,1896.00,1917.60,1895.00,1895.00,8900,1895.00
2012-06-08,1920.00,1920.00,1900.00,1914.00,12000,1914.00
2012-06-07,1890.00,1916.00,1890.00,1915.00,8500,1915.00
2012-06-06,1895.00,1913.00,1890.00,1902.00,15700,1902.00
2012-06-01,1895.00,1920.00,1890.00,1890.00,6800,1890.00
2012-05-31,1924.00,1924.00,1895.00,1895.00,17600,1895.00
2012-05-30,1916.00,1922.00,1900.00,1900.00,12100,1900.00
2012-05-29,1914.26,1925.00,1913.00,1916.00,6200,1916.00
2012-05-28,1924.00,1925.00,1900.00,1904.00,3000,1904.00
2012-05-25,1919.00,1922.00,1905.00,1905.00,44700,1905.00
2012-05-24,1913.45,1933.00,1911.00,1911.00,12900,1911.00
2012-05-23,1935.00,1935.00,1910.00,1910.00,40100,1910.00
2012-05-22,1951.00,1968.00,1930.00,1930.00,41700,1930.00
2012-05-21,1955.00,1969.00,1945.00,1945.00,14100,1945.00
2012-05-14,1941.00,1966.00,1941.00,1966.00,12300,1966.00
2012-05-11,1923.00,1960.00,1923.00,1960.00,21700,1960.00
2012-05-10,1929.00,1949.00,1929.00,1943.00,2500,1943.00
2012-05-09,1932.00,1944.00,1921.00,1923.00,47400,1923.00
2012-05-08,1934.00,1949.00,1925.00,1934.00,37800,1934.00
2012-05-04,1935.00,1945.00,1935.00,1935.00,6400,1935.00
2012-05-03,1946.00,1946.00,1928.00,1928.00,14900,1928.00
2012-05-02,1955.00,1959.00,1943.00,1943.00,24900,1943.00
2012-05-01,1935.00,1955.00,1935.00,1955.00,17100,1955.00
2012-04-30,1947.00,1947.00,1935.00,1935.00,22300,1935.00
2012-04-27,1926.00,1949.00,1926.00,1949.00,12500,1949.00
2012-04-26,1939.00,1941.00,1930.00,1930.00,9500,1930.00
2012-04-25,1934.00,1934.00,1917.00,1926.00,28700,1926.00
2012-04-24,1906.00,1940.00,1906.00,1916.00,25600,1916.00
2012-04-23,1914.00,1930.00,1905.00,1905.00,24100,1905.00
2012-04-20,1926.00,1934.00,1914.00,1924.00,26800,1924.00
2012-04-19,1925.00,1930.00,1920.00,1920.00,22100,1920.00
2012-04-18,1925.00,1938.00,1925.00,1933.00,3700,1933.00
2012-04-17,1925.00,1939.00,1925.00,1929.00,16400,1929.00
2012-04-16,1931.00,1936.00,1925.00,1925.00,46200,1925.00
2012-04-13,1930.00,1951.00,1930.00,1950.00,34700,1950.00
2012-04-12,1936.00,1943.00,1925.00,1930.00,27800,1930.00
2012-04-11,1942.00,1964.00,1935.00,1941.00,10300,1941.00
2012-04-10,1943.00,1951.00,1942.00,1943.00,11700,1943.00
2012-04-05,1945.00,1969.00,1943.00,1943.00,176000,1943.00
2012-04-04,1950.00,1960.00,1947.00,1947.00,43400,1947.00
2012-04-03,1952.00,1974.00,1950.00,1950.00,50400,1950.00
2012-04-02,1961.00,1978.00,1950.00,1950.00,55200,1950.00
2012-03-30,1980.00,1980.00,1955.00,1955.00,16200,1955.00
2012-03-29,1974.00,1980.00,1956.00,1980.00,39700,1980.00
2012-03-28,1972.00,1972.00,1951.00,1970.00,8800,1970.00
2012-03-27,1975.00,1975.00,1950.00,1950.00,24700,1950.00
