Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,45.18,45.18,45.18,45.18,1100,45.18
2012-08-02,45.18,45.18,45.18,45.18,1100,45.18
2012-08-01,46.00,46.00,44.00,44.00,13100,44.00
2012-07-31,43.00,45.00,43.00,45.00,2300,45.00
2012-07-27,42.50,44.00,42.50,43.00,12400,43.00
2012-07-26,43.50,43.50,43.00,43.00,900,43.00
2012-07-25,43.50,43.50,42.50,42.50,15000,42.50
2012-07-24,43.50,43.50,43.50,43.50,500,43.50
2012-07-23,44.00,45.00,43.50,45.00,11800,45.00
2012-07-20,45.00,45.75,45.00,45.00,19500,45.00
2012-07-19,44.00,45.75,44.00,45.25,8700,45.25
2012-07-18,44.00,45.10,43.00,43.00,42200,43.00
2012-07-17,45.25,47.16,44.00,44.00,65300,44.00
2012-07-16,47.25,47.31,45.25,45.25,27700,45.25
2012-07-13,48.50,48.50,46.00,47.00,49400,47.00
2012-07-12,48.50,52.00,48.50,48.50,51900,48.50
2012-07-11,50.00,50.22,50.00,50.00,2500,50.00
2012-07-10,50.00,50.30,50.00,50.00,4100,50.00
2012-07-09,51.00,51.25,50.00,50.00,10400,50.00
2012-07-06,51.00,51.42,51.00,51.00,3500,51.00
2012-07-05,51.00,51.00,51.00,51.00,2300,51.00
2012-07-04,50.50,52.75,50.50,52.75,39600,52.75
2012-07-03,51.50,52.25,51.50,52.25,2300,52.25
2012-07-02,51.50,53.00,51.50,53.00,42600,53.00
2012-06-29,53.25,53.50,53.25,53.50,57600,53.50
2012-06-28,50.00,53.50,50.00,52.00,406300,52.00
2012-06-27,51.00,51.75,49.50,49.50,34200,49.50
2012-06-26,51.75,51.75,51.11,51.19,63700,51.19
2012-06-25,51.75,52.00,51.00,52.00,53600,52.00
2012-06-22,50.00,52.00,50.00,51.50,154900,51.50
2012-06-21,50.00,51.75,50.00,50.25,94800,50.25
2012-06-20,50.25,50.75,50.00,50.50,112700,50.50
2012-06-19,50.00,50.50,49.12,49.75,96800,49.75
2012-06-18,49.50,51.50,49.50,50.50,15700,50.50
2012-06-15,48.00,52.00,48.00,52.00,622600,52.00
2012-06-14,46.00,49.50,46.00,49.00,120300,49.00
2012-06-13,45.25,48.00,45.00,48.00,33800,48.00
2012-06-12,47.50,48.00,45.25,45.25,174800,45.25
2012-06-11,46.00,51.50,44.00,47.75,234700,47.75
2012-06-08,43.50,44.50,42.60,43.50,113500,43.50
2012-06-07,43.00,43.75,42.25,43.00,48700,43.00
2012-06-06,41.50,44.90,39.15,43.00,95700,43.00
2012-06-01,40.00,41.50,38.75,39.25,166700,39.25
2012-05-31,41.50,41.75,39.75,40.50,22200,40.50
2012-05-30,41.00,41.25,39.00,39.00,58900,39.00
2012-05-29,44.00,44.50,41.00,41.00,57400,41.00
2012-05-28,45.00,45.00,44.00,44.00,4200,44.00
2012-05-25,45.00,45.00,44.00,44.25,29600,44.25
2012-05-24,45.75,45.85,44.00,44.00,66300,44.00
2012-05-23,46.00,47.50,46.00,46.00,25200,46.00
2012-05-22,46.24,46.24,46.24,46.24,1900,46.24
2012-05-21,44.00,48.16,44.00,46.80,41600,46.80
2012-05-18,44.00,46.00,44.00,44.25,36400,44.25
2012-05-17,44.50,45.50,44.00,44.00,110900,44.00
2012-05-16,45.00,45.65,45.00,45.50,32800,45.50
2012-05-14,45.00,46.50,45.00,45.50,13600,45.50
2012-05-11,46.75,46.75,45.00,45.00,54500,45.00
2012-05-10,48.00,48.00,46.00,47.00,175900,47.00
2012-05-09,46.50,48.50,44.75,48.00,81200,48.00
2012-05-08,46.50,46.50,46.50,46.50,1900,46.50
2012-05-04,47.75,48.75,46.50,46.50,203100,46.50
2012-05-03,48.50,49.00,47.50,47.75,335300,47.75
2012-05-02,49.00,49.25,49.00,49.00,58200,49.00
2012-05-01,49.00,50.25,49.00,49.00,138200,49.00
2012-04-30,49.00,50.10,49.00,49.00,109100,49.00
2012-04-27,52.00,52.00,51.00,51.50,30100,51.50
2012-04-26,51.00,51.00,48.00,48.00,2600,48.00
2012-04-25,50.50,50.50,50.50,50.50,5200,50.50
2012-04-24,50.00,51.00,50.00,50.00,9000,50.00
2012-04-23,51.50,51.50,50.00,50.00,169600,50.00
2012-04-20,49.75,51.75,48.94,51.75,12200,51.75
2012-04-19,49.00,50.00,49.00,50.00,2000,50.00
2012-04-18,53.25,53.25,50.50,50.50,4600,50.50
2012-04-17,50.25,50.25,50.25,50.25,800,50.25
2012-04-16,53.75,53.75,50.20,53.75,2700,53.75
2012-04-13,53.75,54.00,53.50,54.00,42000,54.00
2012-04-12,53.75,53.75,53.50,53.75,50700,53.75
2012-04-11,53.50,54.00,53.25,53.75,47700,53.75
2012-04-10,53.00,53.75,53.00,53.00,97300,53.00
2012-04-05,54.00,54.25,52.00,53.00,83500,53.00
2012-04-04,52.25,52.50,51.50,52.50,31700,52.50
2012-04-03,52.50,54.00,52.50,54.00,12400,54.00
2012-04-02,52.50,54.00,52.50,52.50,9900,52.50
2012-03-30,50.25,56.00,48.99,56.00,65800,56.00
2012-03-29,48.53,48.74,48.25,48.25,7700,48.25
2012-03-28,48.00,49.50,48.00,48.00,81200,48.00
