Date,Open,High,Low,Close,Volume,Adj Close
2012-06-27,64.25,65.94,63.50,64.58,2209100,64.58
2012-06-26,67.82,69.07,64.25,65.33,4598000,65.33
2012-06-25,68.00,70.04,64.50,65.98,1996900,65.98
2012-06-22,70.75,75.90,66.50,72.75,5024700,72.75
2012-06-21,71.50,72.75,68.40,69.94,4585900,69.94
2012-06-20,73.07,74.27,70.59,71.90,1911700,71.90
2012-06-19,74.00,77.00,72.50,73.38,3163500,73.38
2012-06-18,76.75,79.00,71.00,73.00,4943000,73.00
2012-06-15,64.03,82.11,63.00,71.79,8004700,71.79
2012-06-14,67.00,67.00,63.22,64.15,3157200,64.15
2012-06-13,67.75,69.10,64.75,66.03,1628600,66.03
2012-06-12,71.00,71.75,66.25,67.85,2160700,67.85
2012-06-11,75.00,78.75,71.25,75.20,2285800,75.20
2012-06-08,72.50,74.92,70.31,73.85,1480500,73.85
2012-06-07,71.00,74.00,70.00,73.17,1348400,73.17
2012-06-06,70.00,71.75,67.00,69.33,3879500,69.33
2012-06-01,70.25,73.50,66.75,67.73,3087900,67.73
2012-05-31,65.50,72.00,65.50,71.98,2692700,71.98
2012-05-30,69.64,70.50,65.75,67.07,2175400,67.07
2012-05-29,64.00,70.00,63.50,64.08,3990000,64.08
2012-05-28,62.00,84.00,62.00,64.25,2988400,64.25
2012-05-25,63.25,65.25,61.50,62.25,793500,62.25
2012-05-24,63.75,66.80,63.00,63.27,2297200,63.27
2012-05-23,67.00,67.97,63.25,64.16,1518600,64.16
2012-05-22,67.50,69.50,66.75,68.00,2264400,68.00
2012-05-21,67.50,69.40,65.25,66.75,1408600,66.75
2012-05-18,69.50,70.00,65.25,66.90,2914500,66.90
2012-05-17,75.00,75.73,68.79,75.73,3114200,75.73
2012-05-16,73.00,77.68,72.25,75.00,1494800,75.00
2012-05-14,81.75,81.75,76.50,78.00,2633800,78.00
2012-05-11,79.50,83.00,78.25,81.17,3892500,81.17
2012-05-10,79.00,81.00,75.72,79.08,3142800,79.08
2012-05-09,80.75,82.75,74.00,77.79,3635000,77.79
2012-05-08,87.00,87.98,77.50,78.31,3740300,78.31
2012-05-04,90.50,90.50,83.16,85.00,2113200,85.00
2012-05-03,89.50,90.00,85.74,87.66,2467400,87.66
2012-05-02,85.00,90.50,83.62,89.32,5747500,89.32
2012-05-01,86.00,86.00,81.00,84.00,2395300,84.00
2012-04-30,84.75,87.94,83.50,84.23,2606200,84.23
2012-04-27,84.75,88.44,84.00,87.76,3823700,87.76
2012-04-26,84.00,92.97,83.50,85.45,10446900,85.45
2012-04-25,83.25,86.70,79.55,83.97,6572500,83.97
2012-04-24,89.75,89.75,81.00,89.44,16773100,89.44
2012-04-23,108.75,119.25,85.75,92.31,42345900,92.31
2012-04-20,128.00,139.00,110.50,130.95,22643000,130.95
2012-04-19,113.00,129.00,111.50,112.74,23638800,112.74
2012-04-18,71.50,111.00,69.50,89.83,20269500,89.83
2012-04-17,71.75,72.81,69.50,71.49,2364900,71.49
2012-04-16,71.75,74.50,70.00,71.98,2728700,71.98
2012-04-13,70.50,75.22,70.00,70.00,2136700,70.00
