Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,91.75,92.05,90.85,91.15,846300,91.35
2012-08-01,91.80,92.15,91.25,91.35,1237500,91.35
2012-07-31,92.00,92.30,91.16,91.95,1712400,91.95
2012-07-27,91.00,92.25,90.45,92.25,1702000,92.25
2012-07-26,88.40,90.95,88.20,90.95,1616200,90.95
2012-07-25,88.40,89.40,88.03,88.30,1326700,88.30
2012-07-24,89.45,89.98,88.10,88.55,2161600,88.55
2012-07-23,91.00,91.30,88.85,89.75,2878700,89.75
2012-07-20,91.45,91.65,90.83,91.65,1866200,91.65
2012-07-19,89.90,91.90,89.55,91.60,2474900,91.60
2012-07-18,87.00,89.90,87.00,89.90,2990400,89.90
2012-07-17,87.75,87.89,86.25,86.25,2765300,86.25
2012-07-16,88.90,88.90,87.45,87.50,3043500,87.50
2012-07-13,91.00,91.60,86.60,88.95,8586200,88.95
2012-07-12,92.25,92.25,91.10,91.30,1583300,91.30
2012-07-11,92.80,93.10,92.05,92.60,2395000,92.60
2012-07-10,92.95,93.20,92.55,93.10,2210900,93.10
2012-07-09,93.00,93.45,92.35,92.65,2735700,92.65
2012-07-06,92.95,93.50,92.52,92.99,1750600,92.99
2012-07-05,93.15,93.34,92.35,92.86,2699700,92.86
2012-07-04,93.05,93.45,92.60,93.25,3043400,93.25
2012-07-03,93.05,93.75,92.79,93.30,2152200,93.30
2012-07-02,90.80,93.15,90.75,92.39,2593200,92.39
2012-06-29,91.25,91.45,89.90,91.00,1976300,91.00
2012-06-28,91.15,91.19,89.50,90.15,3234500,90.15
2012-06-27,90.15,91.40,89.70,91.35,1678700,91.35
2012-06-26,89.70,90.50,89.03,89.80,2156900,89.80
2012-06-25,89.25,90.20,88.20,89.85,1912800,89.85
2012-06-22,90.00,90.42,89.25,89.60,1774400,89.60
2012-06-21,90.25,91.40,89.40,90.15,4145200,90.15
2012-06-20,88.50,90.50,87.85,90.35,5907400,90.35
2012-06-19,87.60,88.50,87.10,88.50,3944800,88.50
2012-06-18,89.00,89.40,87.35,87.75,2419200,87.75
2012-06-15,87.60,89.15,86.65,89.10,7479500,89.10
2012-06-14,87.10,87.80,86.25,87.70,1950500,87.70
2012-06-13,86.55,87.60,86.15,87.60,3620600,87.60
2012-06-12,86.40,86.75,86.00,86.55,3697400,86.55
2012-06-11,86.65,87.00,86.00,86.10,3941400,86.10
2012-06-08,85.20,85.55,84.40,85.55,2768400,85.55
2012-06-07,84.40,85.45,83.80,85.45,3355300,85.45
2012-06-06,85.00,86.00,82.75,84.10,6176400,84.10
2012-06-01,88.65,88.90,85.70,86.00,7752300,86.00
2012-05-31,87.00,88.95,87.00,88.07,8610000,88.07
2012-05-30,81.00,87.00,80.00,87.00,23635200,87.00
2012-05-29,77.60,79.25,77.60,79.10,3842400,79.10
2012-05-28,77.35,77.65,76.25,77.30,2091900,77.30
2012-05-25,77.25,78.15,75.75,76.70,10625700,76.70
2012-05-24,76.00,78.45,75.95,76.08,22004300,76.08
2012-05-23,73.50,73.88,72.50,72.82,3033200,72.82
2012-05-22,73.70,74.90,73.00,73.70,4789500,73.70
2012-05-21,72.70,73.70,72.05,73.05,2837800,73.05
2012-05-18,74.50,74.95,72.60,72.60,2612900,72.60
2012-05-17,75.65,75.65,74.75,74.95,1679700,74.95
2012-05-16,74.65,75.95,74.00,75.50,3109400,75.50
2012-05-14,76.75,77.05,76.20,76.55,2858100,76.55
2012-05-11,75.50,77.60,75.50,77.35,2479000,77.35
2012-05-10,76.65,76.70,73.25,75.70,7834800,75.70
2012-05-09,75.40,76.50,74.05,75.93,4641000,75.93
2012-05-08,78.50,78.90,74.50,75.00,4464700,75.00
2012-05-04,79.35,79.80,78.05,78.50,1405800,78.50
2012-05-03,80.20,80.75,79.20,79.65,4141500,79.65
2012-05-02,82.00,82.00,79.60,79.85,2188100,79.85
2012-05-01,79.00,82.00,79.00,81.90,2363100,81.90
2012-04-30,78.85,79.45,78.80,79.00,1783400,79.00
2012-04-27,79.50,79.80,78.45,78.65,3322400,78.65
2012-04-26,80.40,80.50,79.60,79.60,2796600,79.60
2012-04-25,80.65,80.90,80.15,80.20,2357900,80.20
2012-04-24,80.00,80.55,80.00,80.25,3876300,80.25
2012-04-23,81.15,81.70,79.90,80.00,1984500,80.00
2012-04-20,82.80,82.90,81.20,81.55,2048600,81.55
2012-04-19,83.35,83.35,82.30,83.00,2119300,83.00
2012-04-18,83.10,83.50,82.80,83.15,2310600,83.15
2012-04-17,82.50,83.45,81.90,83.00,1943400,83.00
2012-04-16,82.25,83.00,81.50,82.35,2573700,82.35
2012-04-13,82.15,82.75,81.75,82.45,5943300,82.45
2012-04-12,82.65,82.85,82.05,82.30,2975700,82.30
2012-04-11,81.40,82.65,81.00,82.65,7271700,82.65
2012-04-10,81.14,82.10,80.95,81.25,7250000,81.25
2012-04-05,85.00,85.00,80.90,81.25,9255400,81.25
2012-04-04,83.80,84.60,83.40,84.60,3905200,84.60
2012-04-03,85.25,85.55,84.40,84.45,4893400,84.45
2012-04-02,84.70,85.40,84.25,85.25,2986000,85.25
2012-03-30,82.85,84.70,82.35,84.30,3834900,84.30
2012-03-29,83.65,83.88,82.10,82.75,7622000,82.75
2012-03-28,83.60,84.95,83.00,84.05,2837100,84.05
2012-03-27,84.60,85.50,83.30,83.85,2200700,83.85
2012-03-26,83.00,84.90,82.35,84.65,8531600,84.65
2012-03-23,81.45,82.00,81.00,81.62,2962900,81.62
2012-03-22,82.25,82.30,81.10,81.50,2237200,81.50
2012-03-21,81.75,82.65,81.45,82.60,4131900,82.60
2012-03-20,82.20,82.35,80.75,81.70,6192700,81.70
2012-03-19,82.20,83.20,81.06,83.00,3995400,83.00
2012-03-16,79.75,82.45,79.45,82.25,7373400,82.25
2012-03-15,79.60,80.55,79.25,79.90,13005600,79.90
2012-03-14,79.35,80.85,77.29,79.93,5433600,79.93
2012-03-13,76.50,79.00,76.25,78.90,3100000,78.90
2012-03-12,77.55,77.72,75.85,76.40,2308600,76.40
2012-03-09,75.35,78.05,75.14,77.60,2940400,77.60
2012-03-08,74.75,75.45,74.00,75.45,2965300,75.45
2012-03-07,73.15,74.65,73.00,74.40,2475900,74.40
2012-03-06,75.55,75.55,73.00,73.00,6497400,73.00
2012-03-05,75.00,76.50,74.70,75.40,2206600,75.40
2012-03-02,75.15,76.15,74.65,75.20,1616000,75.20
2012-03-01,75.15,75.32,74.40,74.95,2002100,74.95
2012-02-29,75.65,75.85,75.00,75.05,1580500,75.05
2012-02-28,75.55,75.90,75.00,75.65,693600,75.65
2012-02-27,75.50,76.00,74.70,75.50,858800,75.50
2012-02-24,75.50,75.50,74.50,75.50,1825100,75.50
2012-02-23,75.50,76.00,74.91,75.25,1358000,75.25
2012-02-22,75.45,75.90,75.00,75.50,2487600,75.50
2012-02-21,74.05,75.90,74.00,75.70,4287300,75.70
2012-02-20,74.25,75.00,73.83,74.30,1043000,74.30
2012-02-17,74.80,75.20,73.80,74.00,902600,74.00
2012-02-16,75.25,75.25,74.30,74.45,1911200,74.45
2012-02-15,75.50,75.70,74.55,75.25,1537400,75.25
2012-02-14,75.75,75.90,74.90,75.00,1081500,75.00
2012-02-13,75.50,76.05,75.25,75.95,1119900,75.95
2012-02-10,75.70,75.70,75.10,75.30,984300,75.30
2012-02-09,75.40,76.20,75.28,75.85,2010200,75.85
2012-02-08,75.10,75.75,75.10,75.55,1487000,75.55
2012-02-07,75.25,75.30,74.65,75.30,2301200,75.30
2012-02-06,75.40,75.60,74.50,75.05,2322200,75.05
2012-02-03,73.75,75.70,73.36,75.70,4839100,75.70
2012-02-02,72.45,73.70,72.05,73.49,4222700,73.49
2012-02-01,71.80,73.10,71.75,72.45,2301900,72.45
2012-01-31,71.50,72.40,71.25,71.85,1980600,71.85
2012-01-30,72.40,73.00,71.15,71.60,2690400,71.60
2012-01-27,73.75,73.95,72.50,72.85,1020400,72.85
2012-01-26,74.00,74.80,73.55,73.65,1708700,73.65
2012-01-25,73.65,73.85,73.05,73.70,1467500,73.70
2012-01-24,74.15,74.20,73.05,73.45,1825300,73.45
2012-01-23,74.15,74.50,73.50,74.05,3754800,74.05
2012-01-20,72.65,74.50,71.95,74.00,4792600,74.00
2012-01-19,74.15,74.50,72.30,72.30,3050400,72.30
2012-01-18,73.50,74.50,73.00,74.25,12741300,74.25
2012-01-17,73.50,74.25,72.50,73.00,2482200,73.00
2012-01-16,72.85,73.35,72.24,73.00,1367600,73.00
2012-01-13,73.00,74.20,72.45,72.64,2788100,72.64
2012-01-12,76.45,77.00,71.80,72.14,3604700,72.14
2012-01-11,75.00,75.85,74.60,74.90,2749400,74.90
2012-01-10,76.00,76.00,74.50,74.80,2162900,74.80
2012-01-09,75.10,75.95,74.50,75.55,2053300,75.55
2012-01-06,72.90,75.50,72.50,75.25,3206300,75.25
2012-01-05,73.35,73.35,72.15,72.61,7819700,72.61
2012-01-04,73.65,73.80,72.50,72.80,1149400,72.80
2012-01-03,73.80,74.15,73.25,73.75,3529800,73.75
2011-12-30,74.15,74.35,73.65,74.00,475600,74.00
2011-12-29,73.95,74.35,73.40,74.00,759400,74.00
2011-12-28,73.00,73.95,72.00,73.95,1015500,73.95
2011-12-23,72.15,72.75,72.00,72.70,257500,72.70
2011-12-22,71.75,72.40,71.45,72.30,1387300,72.30
2011-12-21,72.40,73.45,71.30,71.30,2755400,71.30
2011-12-20,71.90,72.40,71.30,72.20,963700,72.20
2011-12-19,70.50,73.20,70.25,70.93,6024600,70.93
2011-12-16,73.75,75.00,69.40,69.80,11328500,69.80
2011-12-15,72.40,74.35,72.40,73.75,1882000,73.75
2011-12-14,71.70,72.65,71.70,72.65,1558400,72.65
2011-12-13,70.00,73.00,70.00,72.00,4414200,72.00
2011-12-12,73.90,74.25,70.30,71.46,3278300,71.46
2011-12-09,74.25,74.75,73.35,74.05,1311800,74.05
2011-12-08,74.50,75.05,73.95,74.25,854500,74.25
2011-12-07,75.00,75.75,73.80,74.00,1761500,74.00
2011-12-06,75.75,75.96,74.50,74.65,1620100,74.65
2011-12-05,77.00,77.65,75.75,75.75,1526300,75.75
2011-12-02,76.00,77.00,75.65,76.65,1312800,76.65
2011-12-01,76.75,77.00,75.40,75.40,2933300,75.40
2011-11-30,74.40,76.65,74.26,76.65,6430500,76.65
2011-11-29,74.60,74.95,74.27,74.51,3732100,74.51
2011-11-28,75.50,76.20,73.00,74.53,5359500,74.53
2011-11-25,73.50,75.26,73.50,75.05,1190700,75.05
2011-11-24,74.15,74.80,73.05,73.50,3340100,73.50
2011-11-23,73.85,74.90,73.50,74.30,1272800,74.30
2011-11-22,74.15,75.25,73.78,74.00,2358700,74.00
2011-11-21,75.50,76.20,73.60,73.65,2227300,73.65
2011-11-18,76.10,76.60,75.55,75.80,1404300,75.80
2011-11-17,76.65,77.50,76.40,76.70,1330100,76.70
2011-11-16,76.50,76.86,76.36,76.75,2943700,76.75
2011-11-15,76.75,77.31,75.65,76.05,2452700,76.05
2011-11-14,78.00,78.25,77.00,77.25,878700,77.25
2011-11-11,77.35,77.90,76.55,77.85,953000,77.85
2011-11-10,77.95,78.70,76.65,76.65,1618600,76.65
2011-11-09,78.60,79.50,78.17,78.19,4494300,78.19
2011-11-08,74.60,78.85,74.60,78.85,2962900,78.85
2011-11-07,76.35,76.75,74.05,74.20,4078100,74.20
2011-11-04,77.25,77.30,76.00,76.40,1374800,76.40
2011-11-03,75.45,77.50,75.45,76.63,5035300,76.63
2011-11-02,75.70,76.35,75.20,75.80,3114800,75.80
2011-11-01,74.50,75.75,74.50,75.08,6727700,75.08
2011-10-31,75.70,75.95,74.75,75.36,6361200,75.36
2011-10-28,75.85,76.00,75.55,75.90,4228600,75.90
2011-10-27,77.15,77.15,74.50,75.65,28975000,75.65
2011-10-26,76.00,76.61,75.45,75.80,6307300,75.80
2011-10-25,78.35,78.78,76.35,76.48,2299500,76.48
2011-10-24,78.50,79.45,77.85,79.03,2352300,79.03
2011-10-21,80.00,80.00,77.85,78.15,2297800,78.15
2011-10-20,77.80,80.20,77.30,80.00,4023800,80.00
2011-10-19,75.50,77.95,75.50,77.95,4761200,77.95
