Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,325.60,329.50,322.80,324.20,449800,323.70
2012-08-02,325.60,329.50,322.80,323.70,1231900,323.70
2012-08-01,329.90,330.00,323.20,325.00,376800,325.00
2012-07-31,338.90,338.90,326.40,329.00,321200,329.00
2012-07-27,327.20,334.30,321.61,334.30,335400,334.30
2012-07-26,337.60,337.60,323.00,324.00,758100,324.00
2012-07-25,322.90,338.91,320.50,326.10,938400,326.10
2012-07-24,326.10,328.00,321.70,322.60,237300,322.60
2012-07-23,330.70,330.70,319.10,323.70,368700,323.70
2012-07-20,331.60,339.00,329.10,334.10,336000,334.10
2012-07-19,313.30,331.70,313.10,331.70,375300,331.70
2012-07-18,315.20,315.20,310.00,313.10,210100,313.10
2012-07-17,313.00,316.00,308.40,314.80,317000,314.80
2012-07-16,315.00,315.30,309.29,315.30,329400,315.30
2012-07-13,310.80,316.80,310.40,314.50,596800,314.50
2012-07-12,323.30,323.30,300.50,310.30,921300,310.30
2012-07-11,341.10,341.80,321.30,325.40,307000,325.40
2012-07-10,337.00,343.13,333.80,343.10,437200,343.10
2012-07-09,342.10,343.50,333.20,334.40,240400,334.40
2012-07-06,345.10,345.20,340.00,341.20,182600,341.20
2012-07-05,349.20,351.20,338.40,345.30,352800,345.30
2012-07-04,353.50,357.40,344.00,351.50,159000,351.50
2012-07-03,344.60,352.20,342.90,351.80,185000,351.80
2012-07-02,334.70,346.70,334.60,344.30,430400,344.30
2012-06-29,329.70,334.80,325.90,333.20,845500,333.20
2012-06-28,322.90,323.80,313.50,316.36,898100,316.36
2012-06-27,322.40,323.10,311.40,322.10,692100,322.10
2012-06-26,326.60,328.15,317.80,319.60,396700,319.60
2012-06-25,334.00,336.20,322.60,324.30,306500,324.30
2012-06-22,345.40,345.50,332.20,334.70,323400,334.70
2012-06-21,348.60,356.40,348.40,349.90,408800,349.90
2012-06-20,342.70,354.30,334.60,353.00,815900,353.00
2012-06-19,337.70,341.80,334.00,340.20,663400,340.20
2012-06-18,342.10,345.50,331.70,335.30,536600,335.30
2012-06-15,351.00,351.00,333.40,339.20,1166900,339.20
2012-06-14,356.40,356.40,348.90,352.00,1629200,352.00
2012-06-13,362.80,365.80,347.30,352.80,1527200,352.80
2012-06-12,365.60,365.60,356.00,358.93,535300,358.93
2012-06-11,370.70,376.21,365.00,366.20,314300,366.20
2012-06-08,366.80,368.30,356.91,364.40,429700,364.40
2012-06-07,357.50,369.40,350.50,369.20,1308700,369.20
2012-06-06,360.00,360.10,346.90,354.60,1046500,354.60
2012-06-01,382.00,382.00,348.02,356.70,668200,356.70
2012-05-31,394.60,396.60,372.90,379.10,761900,379.10
2012-05-30,399.30,401.03,385.60,392.20,544300,392.20
2012-05-29,390.30,406.90,390.30,403.90,488500,403.90
2012-05-28,380.00,392.00,380.00,389.50,356400,389.50
2012-05-25,372.90,383.60,372.50,378.40,1378600,378.40
2012-05-24,376.10,376.10,363.70,374.20,1138300,374.20
2012-05-23,374.20,377.10,370.03,370.10,336100,370.10
2012-05-22,376.40,383.40,374.70,378.90,1210400,378.90
2012-05-21,360.70,370.90,360.00,367.30,662200,367.30
2012-05-18,367.40,372.50,358.70,358.70,498800,358.70
2012-05-17,378.20,385.80,370.00,372.20,433100,372.20
2012-05-16,377.00,384.47,368.80,379.40,406900,379.40
2012-05-14,404.20,404.20,387.10,390.00,275400,390.00
2012-05-11,392.50,406.60,392.50,406.60,521900,406.60
2012-05-10,392.20,397.90,384.00,397.90,468000,397.90
2012-05-09,397.80,397.80,380.50,388.40,890400,388.40
2012-05-08,415.60,415.62,390.50,390.50,1151400,390.50
2012-05-04,425.30,428.00,409.10,413.50,660200,413.50
2012-05-03,431.50,437.60,422.60,428.70,460700,428.70
2012-05-02,438.30,438.30,427.80,431.26,565700,431.26
2012-05-01,425.00,436.28,425.00,435.00,323400,435.00
2012-04-30,436.70,439.44,425.00,425.40,505700,425.40
2012-04-27,412.50,439.60,411.20,437.10,944200,437.10
2012-04-26,416.89,426.20,412.80,415.10,663500,415.10
2012-04-25,421.90,437.30,415.78,420.58,976100,420.58
2012-04-24,403.10,425.20,400.00,407.31,747200,407.31
2012-04-23,408.90,409.10,395.10,400.70,708800,400.70
2012-04-20,411.20,415.20,407.70,410.37,401100,410.37
2012-04-19,407.40,417.00,402.10,412.80,913600,412.80
2012-04-18,401.90,405.77,395.50,404.40,349500,404.40
2012-04-17,394.90,401.90,388.80,400.70,434500,400.70
2012-04-16,396.40,399.40,392.10,394.30,636000,394.30
2012-04-13,397.30,407.60,395.00,398.60,875800,398.60
2012-04-12,378.70,400.20,377.90,398.70,1296700,398.70
2012-04-11,362.40,379.60,360.00,379.00,1449400,379.00
2012-04-10,370.90,372.70,363.70,365.10,721600,365.10
2012-04-05,372.90,382.80,371.40,376.40,389500,376.40
2012-04-04,380.10,383.90,372.80,373.50,693200,373.50
2012-04-03,395.40,398.61,387.50,390.00,622000,390.00
2012-04-02,385.30,393.10,383.40,393.10,1060500,393.10
2012-03-30,381.90,388.70,379.90,386.20,811800,386.20
2012-03-29,386.60,388.42,374.00,379.40,839800,379.40
2012-03-28,398.50,403.26,386.70,388.80,541100,388.80
2012-03-27,408.40,409.60,399.50,400.80,597600,400.80
2012-03-26,390.70,406.20,389.63,406.10,382100,406.10
2012-03-23,391.80,395.00,385.00,391.10,700500,391.10
2012-03-22,399.30,402.90,389.20,391.50,446700,391.50
2012-03-21,405.20,413.00,398.50,402.80,346100,402.80
2012-03-20,413.10,413.10,399.60,403.40,686800,403.40
2012-03-19,421.00,422.20,414.63,415.50,278900,415.50
2012-03-16,418.00,422.97,413.80,422.80,685300,422.80
2012-03-15,420.00,423.00,414.30,416.00,472500,416.00
2012-03-14,427.70,432.75,417.80,417.80,431100,417.80
2012-03-13,416.50,426.50,415.00,426.50,460800,426.50
2012-03-12,415.80,415.80,406.40,415.60,1493700,415.60
2012-03-09,412.50,416.70,409.50,410.00,1051900,410.00
2012-03-08,408.10,419.01,404.00,418.80,982300,418.80
2012-03-07,391.60,406.50,377.70,403.80,838200,403.80
2012-03-06,406.10,407.60,385.30,385.30,2315500,385.30
2012-03-05,418.60,420.34,406.30,406.40,709400,406.40
2012-03-02,420.70,426.40,415.00,419.30,1004700,419.30
2012-03-01,415.80,425.05,411.00,420.00,916600,420.00
2012-02-29,401.80,425.00,401.80,420.00,1434200,420.00
2012-02-28,401.00,410.00,394.86,400.00,831900,400.00
2012-02-27,390.00,404.80,390.00,402.50,592800,402.50
2012-02-24,385.50,406.58,385.50,400.00,1129200,400.00
2012-02-23,363.69,401.90,357.98,389.30,2279700,389.30
2012-02-22,344.90,352.20,336.00,337.00,541100,337.00
2012-02-21,349.60,349.60,340.10,344.00,246600,344.00
2012-02-20,336.70,351.30,336.70,347.50,206300,347.50
2012-02-17,337.60,342.00,337.30,338.50,271700,338.50
2012-02-16,335.70,337.40,329.50,333.50,314200,333.50
2012-02-15,337.10,343.50,334.70,337.20,540900,337.20
2012-02-14,327.90,336.70,326.50,333.73,335300,333.73
2012-02-13,329.10,331.90,327.44,330.50,122200,330.50
2012-02-10,325.40,329.70,322.00,325.10,142400,325.10
2012-02-09,327.40,332.90,326.30,329.00,122200,329.00
2012-02-08,329.70,333.90,324.60,328.70,99100,328.70
2012-02-07,337.30,337.30,325.80,327.50,177300,327.50
2012-02-06,333.40,336.70,328.33,335.20,265300,335.20
2012-02-03,323.20,332.70,318.00,332.10,359800,332.10
2012-02-02,320.30,329.10,318.40,325.00,599400,325.00
2012-02-01,308.20,322.10,304.05,307.36,757200,307.36
2012-01-31,302.80,313.40,302.20,305.10,395200,305.10
2012-01-30,310.80,314.90,299.60,299.60,449900,299.60
2012-01-27,308.70,312.99,306.20,306.90,208500,306.90
2012-01-26,294.00,313.20,291.80,308.50,284800,308.50
2012-01-25,299.70,301.20,288.60,291.20,472500,291.20
2012-01-24,302.40,307.10,293.10,297.30,260800,297.30
2012-01-23,305.80,310.80,305.00,305.00,175000,305.00
2012-01-20,305.50,309.01,300.10,304.40,216000,304.40
2012-01-19,297.10,315.90,297.10,309.58,756200,309.58
2012-01-18,294.10,296.20,290.81,295.70,253600,295.70
2012-01-17,292.40,297.60,288.00,293.60,497800,293.60
2012-01-16,286.40,291.40,280.70,290.10,125400,290.10
2012-01-13,291.30,291.30,280.50,286.00,217000,286.00
2012-01-12,287.50,298.36,285.90,287.60,267300,287.60
2012-01-11,283.80,286.50,280.80,286.10,237900,286.10
2012-01-10,279.60,285.40,274.99,283.00,441900,283.00
2012-01-09,276.60,280.90,275.20,277.90,260600,277.90
2012-01-06,271.00,276.60,268.40,276.60,310300,276.60
2012-01-05,279.30,279.30,265.90,271.40,298800,271.40
2012-01-04,280.20,280.30,273.00,277.90,259900,277.90
2012-01-03,269.20,281.03,262.80,281.00,475900,281.00
2011-12-30,267.10,272.50,262.80,262.80,118400,262.80
2011-12-29,264.40,265.80,259.70,264.70,105400,264.70
2011-12-28,265.40,267.30,262.00,265.00,189200,265.00
2011-12-23,262.50,275.10,261.70,263.10,50000,263.10
2011-12-22,261.30,263.60,255.50,258.40,209200,258.40
2011-12-21,263.20,263.20,255.20,258.80,266800,258.80
2011-12-20,252.20,259.20,246.10,259.00,217100,259.00
2011-12-19,253.10,253.60,241.95,252.10,457000,252.10
2011-12-16,253.10,261.62,250.50,251.20,358600,251.20
2011-12-15,247.30,256.40,234.73,253.00,480600,253.00
2011-12-14,257.10,260.40,247.30,247.30,515000,247.30
2011-12-13,254.70,261.00,250.50,255.90,363900,255.90
2011-12-12,264.30,264.30,252.90,253.30,545100,253.30
2011-12-09,262.40,267.20,253.30,264.30,441300,264.30
2011-12-08,278.70,278.70,253.65,264.30,588100,264.30
2011-12-07,280.50,286.60,270.00,273.40,302800,273.40
2011-12-06,279.20,284.20,272.00,276.00,172100,276.00
