Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,97.00,98.41,95.75,97.00,2292800,96.55
2012-08-02,97.00,98.41,95.75,96.55,5350300,96.55
2012-08-01,103.00,103.00,95.10,95.90,4300600,95.90
2012-07-31,111.10,111.10,102.52,102.80,2064100,102.80
2012-07-27,108.50,110.28,106.20,109.00,1783900,109.00
2012-07-26,106.50,108.40,103.20,106.36,2288200,106.36
2012-07-25,112.60,112.60,106.90,106.90,1573400,106.90
2012-07-24,113.60,115.50,112.10,112.40,1168300,112.40
2012-07-23,117.10,117.10,111.00,113.90,1461900,113.90
2012-07-20,115.00,117.40,112.90,117.40,1888500,117.40
2012-07-19,105.40,116.80,105.40,109.30,3793700,109.30
2012-07-18,101.20,106.10,101.20,105.30,1332700,105.30
2012-07-17,102.40,103.60,101.70,102.20,1223600,102.20
2012-07-16,105.00,106.10,101.50,103.50,2482100,103.50
2012-07-13,106.70,107.70,105.00,105.50,1579400,105.50
2012-07-12,105.20,109.80,105.20,107.10,2810400,107.10
2012-07-11,105.00,106.30,103.90,106.30,1726800,106.30
2012-07-10,106.30,107.30,101.60,105.00,4053600,105.00
2012-07-09,109.20,109.20,106.10,107.80,1332400,107.80
2012-07-06,111.60,111.60,108.20,108.60,1124900,108.60
2012-07-05,111.10,111.70,110.00,110.90,1294100,110.90
2012-07-04,111.00,112.80,110.00,110.20,1216100,110.20
2012-07-03,109.50,113.20,109.50,112.00,2120300,112.00
2012-07-02,110.90,111.10,108.90,109.70,3972600,109.70
2012-06-29,110.10,110.90,108.80,109.51,3545000,109.51
2012-06-28,114.40,115.74,108.00,109.50,4284000,109.50
2012-06-27,118.20,120.00,113.70,116.10,2295900,116.10
2012-06-26,118.36,119.70,117.40,119.40,1021200,119.40
2012-06-25,123.20,123.20,118.00,118.20,1909000,118.20
2012-06-22,121.00,123.40,121.00,122.36,1825300,122.36
2012-06-21,122.00,125.00,121.50,123.31,1030000,123.31
2012-06-20,124.90,124.90,121.70,123.20,895700,123.20
2012-06-19,119.80,124.70,118.00,124.70,2391100,124.70
2012-06-18,119.90,122.10,118.40,118.90,3631800,118.90
2012-06-15,125.00,125.70,115.43,115.50,6447000,115.50
2012-06-14,127.50,127.50,121.80,123.20,1838700,123.20
2012-06-13,130.30,132.00,126.70,126.70,1516800,126.70
2012-06-12,129.80,132.53,129.10,130.50,1124500,130.50
2012-06-11,131.90,132.90,129.80,130.60,1189300,130.60
2012-06-08,129.90,130.90,128.00,130.10,2044400,130.10
2012-06-07,127.20,131.40,127.20,130.00,2037300,130.00
2012-06-06,121.00,127.62,120.60,127.30,2743700,127.30
2012-06-01,121.10,121.40,119.90,120.68,2689400,120.68
2012-05-31,119.90,121.60,119.10,120.00,1887500,120.00
2012-05-30,122.50,123.80,119.40,120.50,1565900,120.50
2012-05-29,126.70,127.10,123.20,123.60,1588400,123.60
2012-05-28,125.20,128.10,125.20,126.50,1038300,126.50
2012-05-25,125.30,127.00,124.20,125.00,1459900,125.00
2012-05-24,128.50,129.08,124.00,125.70,2243000,125.70
2012-05-23,129.50,131.90,126.80,127.10,2904900,127.10
2012-05-22,125.60,131.90,125.40,129.74,4018000,129.74
2012-05-21,124.10,127.10,123.20,125.10,2796200,125.10
2012-05-18,133.10,133.40,123.70,124.50,4711400,124.50
2012-05-17,129.50,137.40,129.31,135.68,4504300,135.68
2012-05-16,138.00,138.00,131.20,131.50,5506600,131.50
2012-05-14,145.90,145.90,139.30,140.20,1402800,140.20
2012-05-11,144.00,145.60,142.50,145.50,3379000,145.50
2012-05-10,144.70,147.64,143.50,144.00,4264200,144.00
2012-05-09,151.00,154.20,142.10,144.10,3598500,144.10
2012-05-08,158.50,160.60,152.20,152.40,2225900,150.84
2012-05-04,154.90,161.80,152.40,158.00,3721400,156.38
2012-05-03,150.50,156.50,149.30,151.60,8394800,150.05
2012-05-02,150.90,154.79,149.60,150.40,2396400,148.86
2012-05-01,152.90,155.10,150.70,151.90,1283100,150.35
2012-04-30,159.10,159.30,153.80,154.79,4249500,153.21
2012-04-27,150.00,158.00,149.50,158.00,3333400,156.38
2012-04-26,154.00,154.80,150.40,153.27,3983200,151.70
2012-04-25,154.10,155.50,153.20,155.05,1752300,153.46
2012-04-24,153.80,155.50,152.90,153.90,1519400,152.32
2012-04-23,156.50,156.80,153.40,154.20,2144900,152.62
2012-04-20,157.00,158.81,155.60,156.75,2948900,155.14
2012-04-19,158.50,160.00,155.40,156.20,1473900,154.60
2012-04-18,158.20,159.30,156.70,158.80,1417000,157.17
