Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,78.50,78.75,78.12,78.49,38000,78.50
2012-08-01,78.50,78.50,77.71,78.50,11000,78.50
2012-07-31,77.85,78.74,76.88,77.85,46500,77.85
2012-07-30,79.00,79.00,77.71,78.50,110900,78.50
2012-07-27,78.49,78.49,76.50,76.50,27700,76.50
2012-07-26,76.25,77.75,76.25,77.75,123800,77.75
2012-07-25,77.50,77.50,75.25,75.25,200,75.25
2012-07-24,76.75,77.25,76.12,77.25,32400,77.25
2012-07-23,75.25,76.50,74.43,75.25,78800,75.25
2012-07-20,75.50,76.89,75.50,76.00,31500,76.00
2012-07-19,75.50,76.94,75.25,75.25,56500,75.25
2012-07-18,75.25,75.60,75.11,75.50,91600,75.50
2012-07-17,75.00,75.50,75.00,75.50,98500,75.50
2012-07-16,75.00,75.17,74.62,75.00,40000,75.00
2012-07-13,74.50,75.16,74.35,74.75,124400,74.75
2012-07-12,74.50,74.93,73.85,74.10,69400,74.10
2012-07-11,74.00,74.50,74.00,74.50,35200,74.50
2012-07-10,75.00,75.00,74.68,75.00,17200,75.00
2012-07-09,74.02,75.00,74.02,75.00,6400,75.00
2012-07-06,74.25,74.50,73.88,74.50,60700,74.50
2012-07-05,74.00,74.43,73.81,74.43,32600,74.43
2012-07-04,74.00,74.59,73.50,73.50,87400,73.50
2012-07-03,73.62,74.00,72.95,74.00,70600,74.00
2012-07-02,73.56,74.49,73.56,73.69,48400,73.69
2012-06-29,74.00,74.00,73.69,73.88,20800,73.88
2012-06-28,72.75,73.00,72.15,73.00,59200,73.00
2012-06-27,72.50,73.49,71.71,72.75,91500,72.75
2012-06-26,72.00,73.30,71.50,73.19,80000,73.19
2012-06-25,72.50,73.50,72.50,73.31,34900,73.31
2012-06-22,73.50,73.50,71.56,73.50,89200,73.50
2012-06-21,73.75,75.50,73.00,74.00,157000,74.00
2012-06-20,75.50,75.50,74.19,75.50,45100,75.50
2012-06-19,73.75,74.67,73.50,73.50,74400,73.50
2012-06-18,75.00,76.25,74.00,74.00,48800,74.00
2012-06-15,76.25,76.25,75.00,75.00,69500,75.00
2012-06-14,75.88,76.25,75.25,76.25,106800,76.25
2012-06-13,75.50,77.00,75.50,77.00,41000,77.00
2012-06-12,76.50,77.40,75.50,76.00,222500,76.00
2012-06-11,78.00,78.70,77.75,77.75,61900,77.75
2012-06-08,77.50,77.50,76.22,77.15,16100,77.15
2012-06-07,78.00,78.00,76.04,78.00,53700,78.00
2012-06-06,78.00,78.00,76.00,78.00,98400,78.00
2012-06-01,76.00,78.49,76.00,76.00,98000,76.00
2012-05-31,78.00,78.24,77.10,78.00,11700,78.00
2012-05-30,78.00,78.43,77.62,77.62,90500,77.62
2012-05-29,78.50,78.50,78.15,78.15,14000,78.15
2012-05-28,77.78,78.00,76.95,77.99,53100,77.99
2012-05-25,77.81,78.00,77.81,78.00,4600,78.00
2012-05-24,77.89,77.89,76.95,76.95,17800,76.95
2012-05-23,77.50,77.50,76.75,76.75,26000,76.75
2012-05-22,78.75,79.00,77.45,79.00,72800,77.80
2012-05-21,77.50,78.49,77.50,77.53,83200,76.35
2012-05-14,81.00,81.00,79.27,80.00,107500,78.78
2012-05-11,81.26,81.80,81.26,81.80,9200,80.56
