Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,30.25,30.25,30.05,30.05,30500,30.27
2012-08-01,30.15,30.75,30.00,30.27,224500,30.27
2012-07-31,30.20,30.50,30.05,30.50,121000,30.50
2012-07-30,30.00,30.25,29.80,30.20,94600,30.20
2012-07-27,29.50,30.00,29.50,29.70,335200,29.70
2012-07-26,29.50,29.51,29.25,29.25,75900,29.25
2012-07-25,29.25,29.75,29.25,29.25,105700,29.25
2012-07-24,29.30,29.70,29.25,29.25,152700,29.25
2012-07-23,29.50,30.06,29.25,29.25,53400,29.25
2012-07-20,29.75,30.00,29.75,29.75,202300,29.75
2012-07-19,30.25,30.25,29.76,30.25,117400,30.25
2012-07-18,29.80,30.50,29.75,30.50,155300,30.50
2012-07-17,30.00,30.49,29.75,30.25,403800,30.25
2012-07-16,29.75,30.31,29.75,29.75,256700,29.75
2012-07-13,29.75,30.12,29.75,29.75,233300,29.75
2012-07-12,30.25,30.25,29.75,30.00,160100,30.00
2012-07-11,30.00,30.25,29.80,30.25,153500,30.25
2012-07-10,30.00,30.25,29.75,30.25,109900,30.25
2012-07-09,30.00,30.20,29.75,29.75,175100,29.75
2012-07-06,30.01,30.38,30.00,30.00,23300,30.00
2012-07-05,30.25,30.44,30.00,30.00,273100,30.00
2012-07-04,30.00,30.45,30.00,30.25,339000,30.25
2012-07-03,30.00,30.50,30.00,30.00,220600,30.00
2012-07-02,29.75,29.99,29.50,29.75,132500,29.75
2012-06-29,29.50,29.75,29.50,29.51,158200,29.51
2012-06-28,29.00,29.49,29.00,29.25,118500,29.25
2012-06-27,29.25,29.50,29.00,29.00,104100,29.00
2012-06-26,29.25,29.48,29.00,29.01,202200,29.01
2012-06-25,29.50,29.88,29.00,29.00,244800,29.00
2012-06-22,29.50,29.88,29.50,29.52,102400,29.52
2012-06-21,29.75,29.98,29.75,29.75,160900,29.75
2012-06-20,30.00,30.00,29.75,29.75,232400,29.75
2012-06-19,29.75,29.75,29.25,29.75,418200,29.75
2012-06-18,29.50,29.75,29.25,29.25,287200,29.25
2012-06-15,29.75,29.98,29.00,29.00,197500,29.00
2012-06-14,29.25,29.75,29.25,29.75,63400,29.75
2012-06-13,29.50,29.75,29.25,29.75,573100,29.75
2012-06-12,29.50,29.51,29.25,29.25,232800,29.25
2012-06-11,30.20,30.20,29.50,30.00,220300,30.00
2012-06-08,30.50,30.50,29.50,29.75,17000,29.75
2012-06-07,30.00,30.50,29.50,30.50,356700,30.50
2012-06-06,29.25,30.00,29.25,30.00,166200,30.00
2012-06-01,27.75,30.50,27.50,29.75,554800,29.75
2012-05-31,27.75,28.00,27.50,28.00,115200,28.00
2012-05-30,28.00,28.00,27.50,27.50,133700,27.50
2012-05-29,28.25,28.25,27.75,27.75,356100,27.75
2012-05-28,28.00,28.25,27.94,28.25,277100,28.25
2012-05-25,28.25,28.25,28.05,28.25,91200,28.25
2012-05-24,28.00,28.50,27.75,28.50,100000,28.50
2012-05-23,28.00,28.25,27.75,28.06,363900,28.06
2012-05-22,28.50,28.50,28.00,28.00,77100,28.00
2012-05-21,28.00,28.71,27.95,28.00,233700,28.00
2012-05-14,29.00,29.00,28.50,28.81,340000,28.81
2012-05-11,29.50,29.56,29.00,29.31,721600,29.31
2012-05-10,29.00,29.75,29.00,29.75,33900,29.75
2012-05-09,29.00,31.00,29.00,30.00,319400,30.00
2012-05-08,29.50,29.89,29.00,29.50,373500,29.50
2012-05-04,30.00,30.25,29.75,29.75,522300,29.75
2012-05-03,30.50,30.50,30.00,30.50,154400,30.50
2012-05-02,30.00,30.39,30.00,30.25,300200,30.25
2012-05-01,30.39,30.50,30.39,30.50,294600,30.50
2012-04-30,30.00,30.39,30.00,30.00,169700,30.00
2012-04-27,30.50,30.50,30.00,30.26,579100,30.26
2012-04-26,30.50,30.50,30.00,30.00,228800,30.00
2012-04-25,30.00,30.45,30.00,30.00,428400,30.00
2012-04-24,29.75,30.24,29.61,29.75,278400,29.75
2012-04-23,30.25,30.25,29.95,30.20,235800,30.20
2012-04-20,30.05,31.00,30.00,31.00,593200,31.00
2012-04-19,30.00,30.95,30.00,30.95,410700,30.95
2012-04-18,30.00,30.50,30.00,30.00,201000,30.00
2012-04-17,30.00,30.88,30.00,30.00,83400,30.00
2012-04-16,30.50,30.85,30.27,30.27,61400,30.27
2012-04-13,30.50,31.00,30.00,30.75,302100,30.75
2012-04-12,30.23,31.00,30.00,31.00,67400,31.00
2012-04-11,30.00,30.64,30.00,30.42,133000,30.42
2012-04-10,30.50,30.74,30.14,30.25,314700,30.25
2012-04-05,30.75,31.00,30.25,30.50,545100,30.50
2012-04-04,31.00,31.39,30.66,30.75,406900,30.75
2012-04-03,31.00,31.25,30.75,30.75,798000,30.75
2012-04-02,31.00,31.62,31.00,31.00,610100,31.00
2012-03-30,31.75,31.75,31.25,31.75,452800,31.75
2012-03-29,31.50,31.75,31.25,31.75,3463600,31.75
2012-03-28,31.50,31.75,31.30,31.50,253200,31.50
2012-03-27,31.85,32.00,31.50,31.50,246600,31.50
2012-03-26,31.50,31.84,31.43,31.50,821700,31.50
2012-03-23,31.25,32.00,31.25,32.00,155400,32.00
2012-03-22,31.50,32.00,31.00,31.00,254900,31.00
2012-03-21,31.25,31.95,31.25,31.50,261800,31.50
2012-03-20,31.33,31.33,31.28,31.28,112500,31.28
2012-03-19,31.25,31.70,31.25,31.25,594200,31.25
2012-03-16,31.50,32.00,31.50,31.50,230400,31.50
2012-03-15,31.75,32.00,31.50,32.00,393800,32.00
2012-03-14,31.75,32.00,31.50,31.50,236000,31.50
2012-03-13,31.75,32.00,30.93,32.00,424500,32.00
2012-03-12,31.25,32.00,31.25,32.00,165500,32.00
2012-03-09,31.50,32.00,31.25,32.00,450000,32.00
2012-03-08,32.00,32.00,31.25,31.50,213800,31.50
2012-03-07,31.25,31.75,31.25,31.50,372300,31.50
2012-03-06,32.00,32.00,31.25,31.30,521600,31.30
2012-03-05,31.75,32.39,31.75,32.01,111000,32.01
2012-03-02,32.00,32.38,32.00,32.25,161000,32.25
2012-03-01,32.00,32.45,32.00,32.00,170700,32.00
2012-02-29,32.25,32.25,31.86,32.00,397000,32.00
