Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,383.00,383.00,383.00,383.00,3200,410.00
2008-09-15,410.00,410.00,400.00,410.00,10400,410.00
2008-09-12,422.00,422.00,422.00,422.00,2900,422.00
2008-09-11,420.00,423.00,420.00,422.00,4700,422.00
2008-09-10,425.00,427.00,422.00,427.00,17700,427.00
2008-09-09,432.00,432.00,432.00,432.00,4900,432.00
2008-09-08,434.50,434.50,434.50,435.50,3000,435.50
2008-09-05,423.00,424.25,423.00,423.25,15400,423.25
2008-09-04,436.00,436.00,432.75,432.75,800,432.75
2008-09-03,432.00,432.00,432.00,432.00,400,432.00
2008-09-02,435.50,438.50,433.00,439.50,14700,439.50
2008-09-01,435.50,435.50,435.50,432.75,9200,432.75
2008-08-29,432.50,432.50,432.50,432.50,1600,432.50
2008-08-28,426.50,431.00,426.50,433.00,7200,433.00
2008-08-27,423.75,423.75,423.75,423.75,7200,423.75
2008-08-26,421.75,421.75,421.75,421.75,1300,421.75
2008-08-22,422.00,427.00,422.00,422.50,7300,422.50
2008-08-21,418.50,418.50,418.50,418.50,400,418.50
2008-08-20,420.00,427.00,417.00,417.00,6400,417.00
2008-08-19,420.00,420.00,420.00,420.00,600,420.00
2008-08-18,418.00,418.00,418.00,423.00,5900,423.00
2008-08-15,426.00,426.00,423.00,423.00,8500,423.00
2008-08-14,423.50,423.50,423.50,423.50,1000,423.50
2008-08-13,423.00,423.00,423.00,423.00,2300,423.00
2008-08-12,422.00,426.00,420.00,420.00,12100,420.00
2008-08-11,422.00,422.00,422.00,422.00,2200,422.00
2008-08-08,419.00,419.00,416.50,416.50,11900,416.50
2008-08-07,426.00,426.00,426.00,420.50,2000,420.50
2008-08-06,420.00,424.00,420.00,421.50,12400,421.50
2008-08-05,415.00,415.00,412.00,417.00,49300,417.00
2008-08-04,421.00,421.00,421.00,416.50,3600,416.50
2008-08-01,416.50,416.50,416.50,416.50,9100,416.50
2008-07-31,423.00,423.00,423.00,423.00,10000,423.00
2008-07-30,423.00,423.00,423.00,423.00,8700,423.00
2008-07-29,412.00,412.00,412.00,417.50,23000,417.50
2008-07-28,428.00,430.00,422.00,425.00,13600,425.00
2008-07-25,417.00,427.00,417.00,417.00,33200,417.00
2008-07-22,413.00,417.00,406.00,417.00,20000,417.00
2008-07-21,410.00,410.00,410.00,409.50,6000,409.50
2008-07-18,405.00,405.00,405.00,405.00,8100,405.00
2008-07-17,402.00,402.00,402.00,402.00,1500,402.00
2008-07-16,395.00,395.00,395.00,395.00,300,395.00
2008-07-15,398.00,398.00,392.00,397.00,19100,397.00
2008-07-14,405.00,408.00,400.00,405.00,6300,405.00
2008-07-11,400.25,402.00,400.00,405.00,5800,405.00
