Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,13.75,13.90,13.75,13.90,23200,13.75
2012-08-02,13.75,13.90,13.75,13.75,323200,13.75
2012-08-01,14.25,14.25,13.25,13.75,513500,13.75
2012-07-31,14.00,14.25,13.75,14.25,189000,14.25
2012-07-27,14.00,14.10,14.00,14.00,203300,14.00
2012-07-26,14.00,14.10,13.75,13.75,63200,13.75
2012-07-25,13.75,14.15,13.75,13.75,506800,13.75
2012-07-24,13.75,13.91,13.50,13.50,376800,13.50
2012-07-23,14.25,14.25,13.25,13.50,549900,13.50
2012-07-20,14.00,14.20,14.00,14.00,150300,14.00
2012-07-19,14.00,14.44,14.00,14.26,226800,14.26
2012-07-18,13.75,13.75,13.50,13.50,157600,13.50
2012-07-17,14.00,14.00,13.50,14.00,219900,14.00
2012-07-16,14.00,14.30,14.00,14.00,154900,14.00
2012-07-13,14.00,14.00,14.00,14.00,29600,14.00
2012-07-12,14.00,14.03,14.00,14.00,284700,14.00
2012-07-11,14.20,14.20,14.20,14.20,20000,14.20
2012-07-10,14.50,14.50,14.20,14.50,33900,14.50
2012-07-09,14.01,14.25,14.25,14.25,4000,14.25
2012-07-06,14.00,14.50,14.00,14.00,233400,14.00
2012-07-05,14.25,14.45,14.25,14.45,4200,14.45
2012-07-04,14.50,14.50,14.12,14.12,270200,14.12
2012-07-03,14.25,14.25,13.80,14.00,109200,14.00
2012-07-02,13.50,14.25,13.50,14.00,495100,14.00
2012-06-29,14.50,14.51,14.31,14.50,369700,14.50
2012-06-28,14.75,14.75,14.47,14.75,762500,14.75
2012-06-27,14.50,15.00,14.50,14.75,957000,14.75
2012-06-26,14.85,14.95,14.51,14.95,143100,14.95
2012-06-25,14.25,14.85,14.25,14.85,1706400,14.85
2012-06-22,13.25,14.02,13.00,14.00,21140400,14.00
2012-06-21,13.48,13.25,13.25,13.25,26100,13.25
2012-06-20,13.50,13.50,13.00,13.25,353500,13.25
2012-06-19,13.25,13.48,12.79,13.35,908900,13.35
2012-06-18,13.00,13.34,13.00,13.25,25000,13.25
2012-06-15,13.75,13.75,12.76,13.25,312700,13.25
2012-06-14,13.00,13.50,12.76,13.50,76600,13.50
2012-06-13,12.85,13.75,12.85,13.50,333800,13.50
2012-06-12,13.25,13.25,12.75,12.85,107200,12.85
2012-06-11,13.25,13.75,13.25,13.50,234800,13.50
2012-06-08,13.00,13.00,12.75,13.00,66800,13.00
2012-06-07,12.50,13.25,12.11,13.00,523300,13.00
2012-06-06,13.50,13.50,12.90,13.50,388300,13.50
2012-06-01,12.75,13.00,12.40,13.00,729300,13.00
2012-05-31,13.25,13.75,13.25,13.75,843100,13.75
2012-05-30,13.36,13.68,13.36,13.36,130400,13.36
2012-05-29,13.50,14.20,13.49,13.50,75500,13.50
2012-05-28,13.50,14.37,13.50,13.50,177700,13.50
2012-05-25,13.85,13.95,13.85,13.95,51000,13.95
2012-05-24,14.25,14.30,14.00,14.00,472100,14.00
2012-05-23,14.00,14.25,13.98,14.00,495000,14.00
2012-05-22,14.00,14.50,14.00,14.00,780800,14.00
2012-05-21,13.75,13.90,13.58,13.75,64500,13.75
2012-05-18,13.25,14.15,13.05,13.90,505600,13.90
2012-05-17,13.75,13.87,13.50,13.70,323300,13.70
2012-05-16,14.00,14.25,13.05,13.62,845700,13.62
2012-05-14,15.25,15.32,14.15,14.15,278300,14.15
2012-05-11,15.25,15.25,15.06,15.25,21900,15.25
2012-05-10,15.50,15.50,15.20,15.50,344200,15.50
2012-05-09,15.50,15.50,15.25,15.50,160700,15.50
2012-05-08,15.75,15.75,15.25,15.50,44600,15.50
2012-05-04,15.75,15.90,15.25,15.25,71200,15.25
2012-05-03,16.00,16.00,15.50,15.75,4551900,15.75
2012-05-02,15.50,16.12,15.38,16.00,5471900,16.00
2012-05-01,15.50,15.50,15.00,15.50,179800,15.50
2012-04-30,15.25,15.62,15.25,15.40,168900,15.40
2012-04-27,16.00,16.00,15.17,15.75,69300,15.75
2012-04-26,15.75,16.00,15.25,15.25,117800,15.25
2012-04-25,16.25,16.25,15.50,15.70,39300,15.70
2012-04-24,15.50,16.25,15.50,16.25,66700,16.25
2012-04-23,15.75,16.24,15.25,16.00,515100,16.00
2012-04-20,15.50,16.38,15.50,16.00,232300,16.00
2012-04-19,16.00,16.32,16.00,16.00,358700,16.00
2012-04-18,16.25,16.38,16.00,16.01,66200,16.01
2012-04-17,16.25,16.69,16.25,16.25,165500,16.25
2012-04-16,17.00,17.00,16.35,16.50,388500,16.50
2012-04-13,16.75,16.83,16.50,16.83,88300,16.83
2012-04-12,17.00,17.25,16.88,17.25,160900,17.25
2012-04-11,17.50,17.62,17.25,17.25,150100,17.25
2012-04-10,17.00,17.30,16.75,16.75,319200,16.75
2012-04-05,17.00,17.25,17.00,17.25,306000,17.25
2012-04-04,17.50,17.50,17.00,17.00,205500,17.00
2012-04-03,18.00,18.01,17.09,18.00,261100,18.00
2012-04-02,18.00,18.10,17.75,17.75,218000,17.75
2012-03-30,18.00,18.25,17.77,18.00,203800,18.00
2012-03-29,18.25,18.25,17.75,18.00,512900,18.00
2012-03-28,17.75,18.00,17.54,17.75,102700,17.75
2012-03-27,18.00,18.25,17.62,18.00,220600,18.00
2012-03-26,18.25,18.50,17.75,18.00,866900,18.00
2012-03-23,18.25,18.25,17.50,18.00,2204300,18.00
2012-03-22,17.50,17.50,17.25,17.25,169300,17.25
2012-03-21,17.75,17.75,17.50,17.75,1749100,17.75
2012-03-20,17.75,17.75,17.06,17.75,352200,17.75
2012-03-19,17.50,17.75,17.50,17.75,609100,17.75
2012-03-16,18.00,18.30,17.74,17.75,587500,17.75
2012-03-15,18.50,18.75,18.00,18.25,545200,18.25
2012-03-14,17.50,18.75,17.30,18.50,6222200,18.50
2012-03-13,16.75,17.50,16.75,17.50,4956900,17.50
2012-03-12,16.50,17.00,16.30,17.00,285700,17.00
2012-03-09,16.75,16.77,16.52,16.75,217100,16.75
2012-03-08,16.50,16.75,16.25,16.75,177700,16.75
2012-03-07,16.30,16.32,16.30,16.32,26800,16.32
2012-03-06,16.75,16.76,16.50,16.76,160400,16.76
2012-03-05,17.00,17.45,16.75,16.75,249900,16.75
2012-03-02,17.45,17.45,17.45,17.45,22600,17.45
2012-03-01,17.50,17.50,16.90,17.25,10557600,17.25
2012-02-29,17.25,17.25,17.00,17.00,313700,17.00
2012-02-28,17.25,17.75,17.08,17.50,1153400,17.50
2012-02-27,17.25,17.75,17.25,17.25,721600,17.25
2012-02-24,17.50,17.75,17.50,17.75,355800,17.75
2012-02-23,18.00,18.00,17.56,17.75,505700,17.75
2012-02-22,18.00,18.00,17.74,17.75,199500,17.75
2012-02-21,17.80,18.40,17.75,18.02,1652800,18.02
2012-02-20,18.00,18.25,17.80,17.80,106200,17.80
2012-02-17,17.50,17.90,17.50,17.75,170700,17.75
2012-02-16,17.75,17.77,17.60,17.60,245700,17.60
2012-02-15,17.75,17.95,17.75,17.76,230700,17.76
2012-02-14,17.99,17.99,17.81,17.83,159100,17.83
2012-02-13,18.00,18.00,17.75,17.79,3578900,17.79
2012-02-10,18.00,18.10,17.82,18.00,875500,18.00
2012-02-09,17.75,18.23,17.75,18.00,3060200,18.00
2012-02-08,18.00,18.00,17.75,17.75,355300,17.75
2012-02-07,18.00,18.25,17.95,18.25,106100,18.25
2012-02-06,17.75,18.15,17.75,17.75,419400,17.75
2012-02-03,17.25,17.75,17.25,17.75,272500,17.75
2012-02-02,17.25,17.66,17.22,17.35,120900,17.35
2012-02-01,17.50,17.75,17.25,17.25,617600,17.25
2012-01-31,17.25,17.50,17.25,17.50,6135400,17.50
2012-01-30,17.50,17.50,17.00,17.25,2307800,17.25
2012-01-27,16.25,17.76,16.25,17.74,5126900,17.74
2012-01-26,16.00,16.24,16.00,16.24,206000,16.24
2012-01-25,15.50,15.75,15.25,15.31,196800,15.31
2012-01-24,15.00,15.40,14.44,15.23,524700,15.23
2012-01-23,15.00,15.40,15.00,15.06,135300,15.06
2012-01-20,14.75,15.12,14.60,14.60,374300,14.60
2012-01-19,15.00,15.25,14.75,14.75,1318300,14.75
2012-01-18,15.25,15.47,14.65,15.25,170200,15.25
2012-01-17,14.50,15.20,14.23,14.60,349800,14.60
2012-01-16,14.25,14.25,13.81,14.25,273600,14.25
2012-01-13,14.00,14.20,14.00,14.20,262000,14.20
2012-01-12,14.00,14.02,13.76,14.00,216100,14.00
2012-01-11,14.00,14.15,13.75,14.01,228600,14.01
2012-01-10,14.00,14.01,14.00,14.01,120800,14.01
2012-01-09,14.00,14.18,14.00,14.00,129700,14.00
2012-01-06,14.00,14.30,14.00,14.00,74600,14.00
2012-01-05,14.00,14.30,13.62,14.00,1058100,14.00
2012-01-04,14.25,14.45,14.00,14.00,229900,14.00
2012-01-03,15.00,15.00,14.25,14.52,156200,14.52
2011-12-30,14.59,14.59,14.21,14.26,79300,14.26
2011-12-29,14.05,14.50,14.02,14.16,90600,14.16
2011-12-28,14.50,14.80,14.01,14.01,177700,14.01
2011-12-23,14.17,14.17,14.17,14.17,50000,14.17
2011-12-22,14.20,14.20,14.20,14.20,500,14.20
2011-12-21,13.75,13.90,13.75,13.85,580500,13.85
2011-12-20,13.75,14.00,13.50,13.75,611300,13.75
2011-12-19,13.25,13.80,13.10,13.50,308000,13.50
2011-12-16,14.00,14.00,13.25,13.25,326500,13.25
2011-12-15,13.50,14.00,13.50,13.81,242700,13.81
2011-12-14,13.75,14.30,13.25,13.25,723400,13.25
2011-12-13,12.75,14.00,12.25,13.50,3513000,13.50
2011-12-12,18.25,18.25,12.00,12.75,5886400,12.75
2011-12-09,19.00,19.42,18.25,18.50,702100,18.50
2011-12-08,19.25,19.35,18.75,18.75,420700,18.75
2011-12-07,18.00,19.25,18.00,18.75,2594000,18.75
2011-12-06,17.25,18.00,17.15,18.00,2367800,18.00
2011-12-05,17.11,17.25,17.00,17.25,700100,17.25
2011-12-02,17.25,17.40,17.00,17.30,71600,17.30
2011-12-01,17.75,17.75,17.35,17.50,134900,17.50
2011-11-30,17.25,17.50,17.10,17.25,1010500,17.25
2011-11-29,17.67,17.67,17.33,17.45,64700,17.45
2011-11-28,17.75,17.75,17.33,17.33,215200,17.33
2011-11-25,18.00,18.00,17.65,17.89,52400,17.89
2011-11-24,17.50,17.62,17.50,17.62,8500,17.62
2011-11-23,18.25,18.25,17.50,17.50,350900,17.50
2011-11-22,18.25,18.69,18.25,18.25,544300,18.25
2011-11-21,18.25,18.50,18.09,18.28,386100,18.28
2011-11-18,18.50,18.75,18.50,18.50,1847600,18.50
2011-11-17,18.75,18.75,17.77,18.35,1971000,18.35
2011-11-16,17.00,18.75,16.50,18.61,6563300,18.61
2011-11-15,16.00,16.00,15.60,16.00,912900,16.00
2011-11-14,16.25,16.50,16.07,16.25,348100,16.25
2011-11-11,16.50,16.50,16.25,16.25,1589400,16.25
2011-11-10,16.25,16.25,16.25,16.25,290000,16.25
2011-11-09,16.75,17.25,16.30,16.50,109900,16.50
2011-11-08,16.75,16.75,16.25,16.25,269900,16.25
2011-11-07,18.00,18.00,17.00,17.00,110000,17.00
2011-11-04,17.00,17.00,16.80,17.00,123000,17.00
2011-11-03,17.50,17.50,16.76,16.94,63500,16.94
2011-11-02,17.00,17.25,16.75,17.00,440700,17.00
2011-11-01,17.25,17.25,16.75,17.00,365100,17.00
2011-10-31,17.75,17.75,17.50,17.75,364900,17.75
2011-10-28,18.25,18.27,17.55,17.70,707300,17.70
2011-10-27,18.75,18.90,18.25,18.25,384600,18.25
2011-10-26,18.25,18.60,17.85,18.49,297900,18.49
2011-10-25,18.75,18.85,18.00,18.25,532600,18.25
2011-10-24,19.25,19.25,18.75,18.75,1148700,18.75
2011-10-21,19.25,19.25,19.00,19.25,2613500,19.25
2011-10-20,19.25,19.62,19.00,19.00,353200,19.00
2011-10-19,20.25,20.50,19.25,19.25,1050000,19.25
2011-10-18,17.75,20.25,17.29,20.25,1617400,20.25
2011-10-17,17.50,17.75,17.50,17.50,50700,17.50
2011-10-14,17.75,17.75,17.33,17.50,67800,17.50
2011-10-13,17.50,17.89,17.25,17.50,124000,17.50
2011-10-12,17.50,18.25,17.50,17.50,233500,17.50
2011-10-11,17.00,18.50,17.00,18.50,123200,18.50
2011-10-10,17.00,17.24,17.00,17.00,114600,17.00
2011-10-07,17.00,17.05,16.51,17.00,117500,17.00
2011-10-06,17.75,17.75,17.25,17.25,43000,17.25
2011-10-05,17.25,17.40,15.65,17.00,950800,17.00
2011-10-04,17.50,17.50,17.00,17.00,90100,17.00
2011-10-03,18.00,18.00,17.60,18.00,44900,18.00
2011-09-30,18.00,18.25,17.50,18.25,145600,18.25
2011-09-29,18.50,18.50,18.00,18.17,297900,18.17
2011-09-28,18.54,18.54,18.50,18.50,27900,18.50
2011-09-27,19.25,19.25,18.50,18.50,32800,18.50
2011-09-26,18.25,18.40,18.06,18.25,42700,18.25
2011-09-23,18.25,18.60,18.00,18.00,54100,18.00
2011-09-22,18.75,18.92,18.25,18.25,1023100,18.25
2011-09-21,19.00,19.15,18.75,18.75,106300,18.75
2011-09-20,19.50,19.50,19.00,19.00,70600,19.00
2011-09-19,19.00,19.00,18.50,18.50,32400,18.50
2011-09-16,18.50,19.00,18.50,19.00,158700,19.00
2011-09-15,19.00,19.50,18.25,18.50,162600,18.50
2011-09-14,18.77,18.77,18.76,18.76,1500,18.76
2011-09-13,18.95,19.00,19.00,19.00,2500,19.00
2011-09-12,19.50,19.50,18.75,18.75,322600,18.75
2011-09-09,20.25,20.25,19.50,19.50,200,19.50
2011-09-08,19.25,19.85,19.25,19.85,48400,19.85
2011-09-07,20.00,20.00,19.80,19.80,6100,19.80
2011-09-06,19.62,19.25,19.25,19.25,1600,19.25
2011-09-05,20.00,20.00,19.25,19.25,41200,19.25
2011-09-02,19.75,19.75,19.60,19.75,16100,19.75
2011-09-01,19.75,19.75,19.00,19.62,122800,19.62
2011-08-31,20.00,20.00,19.75,19.75,14200,19.75
2011-08-30,19.75,20.17,19.75,19.75,81500,19.75
2011-08-26,20.00,20.50,19.75,20.00,241700,20.00
2011-08-25,19.75,19.75,19.75,19.75,20000,19.75
2011-08-24,19.75,20.00,19.75,19.75,155200,19.75
2011-08-23,19.25,20.00,19.25,20.00,177500,20.00
2011-08-22,19.95,20.25,19.95,20.25,19700,20.25
2011-08-19,20.50,20.50,19.75,20.25,172100,20.25
2011-08-18,20.00,21.10,20.00,20.50,1245700,20.50
2011-08-17,20.00,20.34,19.75,20.00,275600,20.00
2011-08-16,20.50,20.50,20.00,20.25,224200,20.25
2011-08-15,20.50,21.00,20.15,21.00,116100,21.00
2011-08-12,19.50,20.75,19.26,20.75,119800,20.75
2011-08-11,19.75,19.75,19.01,19.75,52600,19.75
2011-08-10,19.50,19.88,18.75,19.00,108700,19.00
2011-08-09,18.25,19.25,18.25,19.25,290400,19.25
2011-08-08,19.00,19.75,18.75,19.25,246500,19.25
2011-08-05,20.00,20.00,18.75,19.75,322000,19.75
2011-08-04,20.35,21.00,20.33,21.00,29000,21.00
2011-08-03,20.00,20.75,19.55,20.75,239000,20.75
2011-08-02,20.50,20.60,20.00,20.25,118700,20.25
2011-08-01,21.00,21.10,20.01,20.50,224100,20.50
2011-07-29,21.00,21.25,20.75,21.00,992400,21.00
2011-07-28,21.50,21.75,21.25,21.25,334500,21.25
2011-07-27,21.50,21.84,21.50,21.75,46900,21.75
