Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,458.50,458.50,449.00,451.70,42600,452.00
2012-08-02,458.50,458.50,448.10,452.00,62500,452.00
2012-08-01,451.00,460.41,449.68,456.50,98700,456.50
2012-07-31,459.50,459.50,446.60,451.00,85900,451.00
2012-07-27,463.00,464.10,456.90,459.80,148000,459.80
2012-07-26,460.00,463.70,457.40,459.50,116300,459.50
2012-07-25,467.70,467.70,455.40,459.00,86500,459.00
2012-07-24,466.30,471.90,463.90,466.00,48900,466.00
2012-07-23,492.70,492.70,463.20,466.30,109600,466.30
2012-07-20,490.00,490.00,478.90,483.20,66700,483.20
2012-07-19,486.40,489.90,481.60,489.30,84400,489.30
2012-07-18,481.70,490.90,481.70,482.80,33900,482.80
2012-07-17,487.50,490.00,481.50,481.70,44200,481.70
2012-07-16,484.30,486.50,478.30,484.00,135800,484.00
2012-07-13,480.80,487.16,477.50,483.00,227800,483.00
2012-07-12,480.00,482.40,480.00,480.00,94100,480.00
2012-07-11,476.40,485.00,471.80,476.30,88200,476.30
2012-07-10,471.50,476.30,466.69,476.00,82100,476.00
2012-07-09,485.00,485.00,456.00,465.30,420900,465.30
2012-07-06,479.70,480.00,467.70,475.00,122300,475.00
2012-07-05,479.20,482.80,474.20,476.30,152200,476.30
2012-07-04,482.10,482.10,471.80,476.40,83600,476.40
2012-07-03,487.00,489.10,473.90,478.00,114400,478.00
2012-07-02,473.00,488.10,470.65,487.40,237700,487.40
2012-06-29,464.70,477.10,463.50,470.90,189900,470.90
2012-06-28,459.10,459.20,452.00,457.00,115200,457.00
2012-06-27,455.60,461.70,453.10,460.00,112300,460.00
2012-06-26,447.50,458.40,445.90,456.30,462800,456.30
2012-06-25,464.30,464.30,447.20,448.90,586900,448.90
2012-06-22,451.00,457.20,446.00,453.60,678900,453.60
2012-06-21,453.10,462.90,444.70,451.00,216200,451.00
2012-06-20,432.10,453.50,429.00,453.40,1154400,453.40
2012-06-19,432.40,436.30,426.50,430.20,120200,430.20
2012-06-18,438.40,439.40,426.90,430.90,109300,430.90
2012-06-15,437.40,447.00,434.44,434.70,322600,434.70
2012-06-14,434.40,439.90,421.70,437.10,107200,437.10
2012-06-13,430.50,440.00,420.40,438.30,340400,438.30
2012-06-12,435.50,435.50,422.00,428.00,184400,428.00
2012-06-11,439.20,445.50,435.50,436.90,112900,436.90
2012-06-08,421.40,432.30,415.90,432.30,89500,432.30
