Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,314.40,318.70,313.60,314.40,60300,314.70
2012-08-02,314.40,318.70,313.40,314.70,89100,314.70
2012-08-01,312.80,318.20,312.10,315.10,108400,315.10
2012-07-31,312.40,318.70,307.40,312.00,102500,312.00
2012-07-27,309.80,312.13,306.00,312.10,33000,312.10
2012-07-26,299.20,307.40,298.00,307.40,61700,307.40
2012-07-25,297.90,302.00,297.00,300.30,89700,300.30
2012-07-24,300.80,301.48,296.70,297.80,45200,297.80
2012-07-23,294.40,301.80,285.90,298.70,1023100,298.70
2012-07-20,293.10,295.00,290.10,295.00,96800,295.00
2012-07-19,295.00,296.17,291.60,294.90,56500,294.90
2012-07-18,285.20,296.70,285.20,293.60,90200,293.60
2012-07-17,291.80,294.20,290.80,291.50,120900,291.50
2012-07-16,294.20,294.20,288.70,290.40,100900,290.40
2012-07-13,292.90,298.00,292.90,293.50,252200,293.50
2012-07-12,292.80,294.00,287.80,294.00,65600,294.00
2012-07-11,295.00,298.00,292.00,295.00,169400,295.00
2012-07-10,293.00,299.70,290.40,294.90,136200,294.90
2012-07-09,297.00,299.60,293.34,293.80,179600,293.80
2012-07-06,295.70,300.40,292.60,299.00,831300,299.00
2012-07-05,307.30,307.60,302.80,304.90,66600,304.90
2012-07-04,307.00,307.40,304.90,305.50,55100,305.50
2012-07-03,307.20,313.60,304.80,307.00,397900,307.00
2012-07-02,292.20,307.20,289.90,307.20,296000,307.20
2012-06-29,280.00,290.00,278.40,290.00,254300,290.00
2012-06-28,283.10,283.10,274.54,276.30,173600,276.30
2012-06-27,278.00,281.50,275.50,281.50,84300,281.50
2012-06-26,286.10,286.30,281.16,282.50,77600,282.50
2012-06-25,289.30,291.50,283.10,283.10,63500,283.10
2012-06-22,295.50,295.50,288.30,288.40,45900,288.40
2012-06-21,298.50,298.50,291.30,295.00,91500,295.00
2012-06-20,301.80,301.80,297.10,299.00,218900,299.00
2012-06-19,294.70,301.20,294.70,299.70,176800,299.70
2012-06-18,298.60,302.20,290.30,298.00,118300,298.00
2012-06-15,284.00,297.70,283.00,296.10,724900,296.10
2012-06-14,278.50,284.50,277.80,280.30,135700,280.30
2012-06-13,280.20,282.20,277.70,280.40,222300,280.40
2012-06-12,279.50,283.30,273.66,281.30,92900,281.30
2012-06-11,291.40,291.40,278.40,278.40,262300,278.40
2012-06-08,285.20,286.22,280.70,284.90,245400,284.90
2012-06-07,289.00,290.60,287.50,288.00,184800,288.00
2012-06-06,280.50,290.90,280.50,288.00,392600,288.00
2012-06-01,288.30,288.30,279.40,284.90,165600,280.40
2012-05-31,285.50,288.10,284.00,285.00,332400,280.50
2012-05-30,289.50,289.50,280.70,282.70,156300,278.23
2012-05-29,279.70,289.90,279.70,289.90,56200,285.32
2012-05-28,278.00,281.00,270.06,277.80,508900,273.41
2012-05-25,276.30,279.09,271.86,275.90,211300,271.54
2012-05-24,279.70,280.31,274.50,274.50,223700,270.16
2012-05-23,281.10,281.20,275.50,278.70,169700,274.30
2012-05-22,288.50,288.50,280.20,281.80,183600,277.35
2012-05-21,287.60,288.00,281.20,283.70,114800,279.22
2012-05-18,290.80,294.40,283.40,284.50,238800,280.01
2012-05-17,290.80,296.50,290.80,294.20,122800,289.55
2012-05-16,292.30,295.30,288.60,289.90,164100,285.32
2012-05-14,299.30,299.30,294.90,298.10,106300,293.39
2012-05-11,295.10,305.00,295.10,300.00,272600,295.26
2012-05-10,298.70,300.70,295.90,298.00,97400,293.29
2012-05-09,300.90,302.50,295.10,298.00,292100,293.29
2012-05-08,301.60,309.50,299.80,299.80,224100,295.06
2012-05-04,297.80,304.20,297.00,301.60,156800,296.84
2012-05-03,296.40,300.10,293.10,299.70,113100,294.97
2012-05-02,292.60,299.50,292.60,297.30,299800,292.60
2012-05-01,294.80,299.80,292.20,295.30,44700,290.64
2012-04-30,293.30,299.19,289.60,296.40,210000,291.72
2012-04-27,287.90,298.20,287.90,295.20,175500,290.54
2012-04-26,285.20,292.00,284.50,290.80,446900,286.21
2012-04-25,281.30,288.20,278.50,281.00,145400,276.56
2012-04-24,276.20,280.50,276.10,278.70,205200,274.30
2012-04-23,275.30,279.30,272.95,276.50,324900,272.13
2012-04-20,281.00,284.40,281.00,283.60,525900,279.12
2012-04-19,284.80,285.60,280.50,281.00,67000,276.56
2012-04-18,280.40,283.40,279.00,283.10,405000,278.63
2012-04-17,275.00,281.40,275.00,279.50,175200,275.09
2012-04-16,278.30,280.90,276.40,276.40,217200,272.03
2012-04-13,281.80,281.90,276.90,278.00,84200,273.61
2012-04-12,276.00,283.50,275.40,280.90,217200,276.46
2012-04-11,280.10,283.30,278.00,279.00,297500,274.59
2012-04-10,280.80,285.20,277.80,281.50,286100,277.05
2012-04-05,278.60,283.30,276.30,283.30,295000,278.83
2012-04-04,285.00,289.20,275.43,277.50,218200,273.12
2012-04-03,284.60,289.40,284.50,286.60,103200,282.07
2012-04-02,285.80,285.80,281.00,283.30,382300,278.83
2012-03-30,284.60,285.50,278.98,284.00,512300,279.51
2012-03-29,289.20,289.20,282.30,283.00,589900,278.53
2012-03-28,294.60,295.64,287.60,288.30,379000,283.75
2012-03-27,299.30,303.50,292.60,293.80,320300,289.16
2012-03-26,294.70,302.90,287.30,300.50,321100,295.75
2012-03-23,297.70,300.30,290.00,292.30,340200,287.68
2012-03-22,302.70,303.00,292.00,298.10,1272000,293.39
2012-03-21,323.50,324.90,308.60,310.00,502400,305.10
2012-03-20,321.80,322.00,319.50,322.00,694700,316.91
2012-03-19,325.30,325.70,320.50,321.50,106900,316.42
2012-03-16,323.60,328.00,321.00,324.80,477400,319.67
2012-03-15,322.60,326.00,322.00,324.30,719700,319.18
2012-03-14,318.90,321.50,314.10,321.50,1452600,316.42
2012-03-13,311.60,316.79,310.70,316.60,429200,311.60
2012-03-12,308.50,312.20,305.70,309.50,288600,304.61
2012-03-09,302.90,312.20,302.90,307.80,536600,302.94
2012-03-08,296.80,304.80,296.00,303.90,152200,299.10
2012-03-07,291.90,297.10,290.20,295.00,111900,290.34
2012-03-06,296.90,296.90,291.10,293.00,217800,288.37
2012-03-05,295.90,299.80,295.00,296.20,90600,291.52
2012-03-02,296.50,297.50,293.00,297.50,133200,292.80
2012-03-01,288.90,296.70,288.90,295.50,171200,290.83
2012-02-29,292.50,298.90,289.10,290.00,105700,285.42
2012-02-28,290.00,295.50,286.86,292.50,436900,287.88
2012-02-27,297.60,298.70,288.40,290.00,338100,285.42
2012-02-24,302.70,307.70,295.50,300.30,306400,295.56
2012-02-23,294.90,302.80,291.00,300.00,763000,295.26
2012-02-22,291.80,295.90,285.50,295.60,69600,290.93
2012-02-21,300.30,300.30,269.51,290.00,773200,285.42
2012-02-20,300.00,304.70,297.30,300.70,538900,295.95
2012-02-17,297.50,303.50,292.70,302.80,330800,298.02
