Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,24.00,24.00,24.00,24.00,5000,23.50
2012-08-02,24.00,24.00,23.50,23.50,52700,23.50
2012-08-01,24.00,24.00,23.66,23.66,5300,23.66
2012-07-31,24.00,24.00,22.95,23.00,75600,23.00
2012-07-27,23.50,24.05,22.90,23.00,48700,23.00
2012-07-26,24.00,24.50,24.00,24.00,540300,24.00
2012-07-25,24.20,24.00,24.00,24.00,60000,24.00
2012-07-24,24.00,25.00,24.00,24.25,60600,24.25
2012-07-23,25.00,25.03,24.50,24.50,55700,24.50
2012-07-20,25.75,26.59,25.00,25.00,50900,25.00
2012-07-19,25.75,27.00,25.75,26.50,126200,26.50
2012-07-18,24.50,26.75,24.50,26.00,88400,26.00
2012-07-17,25.25,25.75,24.50,25.00,130100,25.00
2012-07-16,25.25,25.47,25.25,25.25,18900,25.25
2012-07-13,25.50,25.98,25.25,25.25,69800,25.25
2012-07-12,25.50,25.69,25.50,25.50,9700,25.50
2012-07-11,25.00,25.85,25.00,25.50,53500,25.50
2012-07-10,25.75,26.50,25.75,26.00,12700,26.00
2012-07-09,24.25,25.78,24.25,24.75,25700,24.75
2012-07-06,24.50,25.78,24.50,24.50,4100,24.50
2012-07-05,25.00,26.30,24.25,24.50,5700,24.50
2012-07-04,25.25,25.61,25.00,25.25,11300,25.25
2012-07-03,25.25,25.75,24.25,24.50,72800,24.50
2012-07-02,26.00,27.00,26.00,26.25,171200,26.25
2012-06-29,25.60,26.50,25.60,26.50,6600,26.50
2012-06-28,25.00,26.00,25.00,26.00,38300,26.00
2012-06-27,24.50,25.83,23.75,24.75,148200,24.75
2012-06-26,24.75,35.00,24.75,24.75,000,24.75
2012-06-25,27.00,27.00,24.50,24.50,148100,24.50
2012-06-22,27.00,28.00,27.00,28.00,12100,28.00
2012-06-21,28.00,28.75,27.44,28.00,85700,28.00
2012-06-20,27.75,28.75,27.25,28.00,51300,28.00
2012-06-19,27.00,28.00,27.00,27.75,24700,27.75
2012-06-18,26.00,27.00,24.73,27.00,403300,27.00
2012-06-15,25.00,26.02,23.75,26.00,2324600,26.00
2012-06-14,25.00,25.38,23.75,25.00,158000,25.00
2012-06-13,24.75,25.25,23.25,25.00,88900,25.00
2012-06-12,24.00,25.00,22.50,23.50,518100,23.50
2012-06-11,26.25,27.44,24.25,24.25,39700,24.25
2012-06-08,26.00,26.25,25.75,26.00,642100,26.00
2012-06-07,26.00,26.25,25.50,26.00,7465600,26.00
2012-06-06,24.75,26.37,24.75,25.75,498400,25.75
2012-06-01,25.00,25.89,24.50,24.50,136900,24.50
2012-05-31,27.00,27.00,25.00,26.00,508800,26.00
2012-05-30,27.00,27.74,26.75,26.75,134600,26.75
2012-05-29,27.50,29.00,26.50,26.50,95600,26.50
2012-05-28,27.50,27.50,27.50,27.50,2400,27.50
2012-05-25,27.75,28.22,27.50,27.50,13700,27.50
2012-05-24,27.75,28.34,27.50,28.00,91700,28.00
2012-05-23,28.50,28.50,27.50,27.75,129500,27.75
2012-05-22,29.25,30.00,28.50,28.50,27200,28.50
2012-05-21,28.50,28.75,28.00,28.25,71800,28.25
2012-05-18,28.50,29.00,28.00,29.00,240200,29.00
2012-05-17,28.75,29.50,28.75,28.75,110300,28.75
2012-05-16,28.00,29.75,28.00,28.50,111800,28.50
2012-05-14,29.00,29.53,27.76,28.50,168200,28.50
2012-05-11,29.75,30.75,29.00,29.00,91500,29.00
2012-05-10,29.00,30.50,28.50,29.50,2163400,29.50
2012-05-09,28.25,29.28,28.25,28.50,9500,28.50
2012-05-08,28.25,29.61,27.20,27.50,445900,27.50
2012-05-04,29.75,30.93,27.50,28.50,2464200,28.50
2012-05-03,31.00,31.45,29.50,29.75,567100,29.75
2012-05-02,32.25,32.95,30.75,30.75,174300,30.75
2012-05-01,32.00,32.50,31.00,31.50,470400,31.50
2012-04-30,32.75,34.00,32.75,33.50,23700,33.50
2012-04-27,33.50,34.00,33.50,34.00,13600,34.00
2012-04-26,33.50,33.50,32.35,32.75,26400,32.75
2012-04-25,32.00,33.25,32.00,33.25,128300,33.25
2012-04-24,32.00,32.00,32.00,32.00,7300,32.00
2012-04-23,33.00,33.00,33.00,33.00,40200,33.00
2012-04-20,33.50,34.00,32.60,34.00,49700,34.00
2012-04-19,32.50,34.25,32.50,34.25,64300,34.25
2012-04-18,33.00,33.95,32.50,32.50,71600,32.50
2012-04-17,32.50,33.50,32.50,32.50,53300,32.50
2012-04-16,32.00,33.50,32.00,33.50,1005500,33.50
2012-04-13,32.50,32.50,31.75,32.10,10600,32.10
2012-04-12,32.00,32.01,32.00,32.00,58800,32.00
2012-04-11,32.00,32.50,32.00,32.00,61900,32.00
2012-04-10,32.25,32.75,32.00,32.00,93900,32.00
2012-04-05,32.20,32.50,32.06,32.06,16500,32.06
2012-04-04,32.95,32.95,32.20,32.25,17500,32.25
2012-04-03,32.46,33.21,32.06,32.50,61300,32.50
2012-04-02,32.06,32.50,32.06,32.50,21900,32.50
2012-03-30,32.25,33.00,32.25,32.50,26800,32.50
2012-03-29,33.50,33.50,32.56,32.56,228100,32.56
2012-03-28,33.00,33.45,33.00,33.25,82200,33.25
2012-03-27,33.00,33.50,33.00,33.00,13800,33.00
2012-03-26,33.15,33.25,33.15,33.15,106500,33.15
2012-03-23,33.00,33.25,33.00,33.00,50200,33.00
2012-03-22,33.06,33.06,33.06,33.06,6800,33.06
2012-03-21,33.45,33.50,33.00,33.50,35900,33.50
2012-03-20,33.00,33.24,32.50,33.00,178600,33.00
2012-03-19,33.00,33.50,33.00,33.00,83100,33.00
2012-03-16,33.25,33.25,33.00,33.00,68100,33.00
2012-03-15,33.00,33.50,33.00,33.00,63700,33.00
2012-03-14,33.00,33.62,32.50,33.25,47200,33.25
2012-03-13,33.50,33.50,33.25,33.25,8900,33.25
2012-03-12,33.25,33.45,33.00,33.00,126600,33.00
2012-03-09,32.25,32.25,31.55,32.00,55600,32.00
2012-03-08,32.50,32.50,32.00,32.00,58100,32.00
2012-03-07,33.00,33.00,31.37,31.50,118200,31.50
2012-03-06,33.00,33.06,33.00,33.00,97600,33.00
2012-03-05,33.00,33.00,33.00,33.00,37000,33.00
2012-03-02,33.00,33.25,31.75,33.25,436300,33.25
2012-03-01,33.00,33.00,32.75,33.00,300300,33.00
2012-02-29,33.25,33.25,32.75,32.75,52800,32.75
2012-02-28,32.50,33.48,32.39,33.00,405000,33.00
2012-02-27,33.70,33.70,32.65,32.65,7000,32.65
2012-02-24,29.00,34.75,29.00,29.00,000,29.00
2012-02-23,32.92,33.00,32.92,33.00,21000,33.00
2012-02-22,33.00,33.50,32.81,33.50,146200,33.50
2012-02-21,33.00,33.25,32.50,32.56,851600,32.56
2012-02-20,33.00,33.03,32.30,32.50,143300,32.50
2012-02-17,32.00,33.05,32.00,33.00,77100,33.00
2012-02-16,31.50,32.12,31.50,31.50,91400,31.50
2012-02-15,30.75,32.00,30.75,31.50,280800,31.50
2012-02-14,30.75,31.75,30.75,30.75,302400,30.75
2012-02-13,30.25,31.00,30.00,30.75,91500,30.75
2012-02-10,30.50,30.50,30.00,30.00,67900,30.00
2012-02-09,30.50,31.25,30.50,31.25,27600,31.25
2012-02-08,30.00,30.70,30.00,30.50,70200,30.50
2012-02-07,30.00,30.90,30.00,30.00,50700,30.00
2012-02-06,30.00,30.50,30.00,30.25,58500,30.25
2012-02-03,30.00,31.17,29.97,30.00,259900,30.00
2012-02-02,30.00,31.00,30.00,30.65,89300,30.65
2012-02-01,30.00,31.35,30.00,30.50,21200,30.50
2012-01-31,30.50,31.30,30.25,30.25,131800,30.25
2012-01-30,31.00,31.30,31.00,31.00,38500,31.00
2012-01-27,31.00,31.05,31.00,31.00,96200,31.00
2012-01-26,31.00,31.30,30.87,31.00,76400,31.00
2012-01-25,30.50,31.00,30.50,31.00,50300,31.00
2012-01-24,30.56,31.00,30.56,31.00,104100,31.00
2012-01-23,30.50,30.88,30.50,30.75,112900,30.75
2012-01-20,30.50,31.00,29.75,30.50,855000,30.50
2012-01-19,30.50,31.59,29.50,29.50,171200,29.50
2012-01-18,31.00,31.50,30.25,31.50,81600,31.50
