Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,211.70,215.40,211.70,213.80,548600,211.90
2012-08-01,209.30,212.60,208.60,211.90,1518900,211.90
2012-07-31,210.00,212.00,208.10,210.00,942700,210.00
2012-07-27,209.60,210.50,208.30,210.40,1403900,210.40
2012-07-26,206.70,210.50,205.50,208.30,1277300,208.30
2012-07-25,212.20,213.80,210.50,212.00,705700,212.00
2012-07-24,213.00,213.80,211.40,213.10,1190700,213.10
2012-07-23,212.70,214.10,211.10,212.00,747500,212.00
2012-07-20,217.00,217.00,214.00,214.60,605100,214.60
2012-07-19,216.90,217.50,215.60,217.00,861400,217.00
2012-07-18,215.00,217.00,215.00,216.10,943700,216.10
2012-07-17,216.80,217.00,215.50,215.80,706700,215.80
2012-07-16,216.50,217.20,215.50,217.00,575200,217.00
2012-07-13,215.20,216.50,213.90,216.00,1187800,216.00
2012-07-12,215.70,215.70,214.00,214.20,724500,214.20
2012-07-11,217.00,217.50,215.80,216.80,587900,216.80
2012-07-10,215.00,218.00,214.10,217.00,743600,217.00
2012-07-09,214.40,214.90,213.20,214.10,706600,214.10
2012-07-06,213.10,216.40,213.10,215.10,590900,215.10
2012-07-05,214.90,215.70,213.40,214.40,934000,214.40
2012-07-04,213.00,214.10,211.30,213.80,552400,213.80
2012-07-03,211.60,213.30,210.00,212.70,1141700,212.70
2012-07-02,207.00,211.10,205.50,211.10,1800000,211.10
2012-06-29,208.20,211.80,206.90,209.60,1615300,209.60
2012-06-28,205.50,206.70,203.10,204.80,637200,204.80
2012-06-27,199.30,205.21,199.30,204.90,1496200,204.90
2012-06-26,200.00,202.90,199.00,199.00,1820600,199.00
2012-06-25,200.10,201.30,198.60,200.90,1046900,200.90
2012-06-22,200.10,200.10,197.10,200.00,995300,200.00
2012-06-21,199.00,202.40,197.10,201.50,1690700,201.50
2012-06-20,200.10,200.10,196.90,199.20,2591200,199.20
2012-06-19,200.50,203.50,199.40,200.00,1479900,200.00
2012-06-18,204.80,206.30,201.30,203.40,1173400,203.40
2012-06-15,196.20,206.12,196.20,206.00,5144800,206.00
2012-06-14,195.00,198.00,195.00,195.90,967600,195.90
2012-06-13,195.10,197.00,194.00,195.80,882800,195.80
2012-06-12,194.40,196.60,193.60,194.20,666600,194.20
2012-06-11,198.20,201.10,195.00,195.00,1637400,195.00
2012-06-08,196.00,197.40,194.50,196.60,1080600,196.60
2012-06-07,196.90,198.00,194.20,196.50,801500,196.50
2012-06-06,190.80,196.40,190.80,195.50,1566800,195.50
2012-06-01,194.70,194.70,189.80,191.20,1056300,191.20
2012-05-31,194.50,196.30,192.40,193.50,2748700,193.50
2012-05-30,196.20,196.20,192.80,193.00,1038800,193.00
2012-05-29,195.00,197.00,193.40,195.80,712900,195.80
2012-05-28,194.40,194.48,193.10,193.20,633600,193.20
2012-05-25,191.90,193.70,189.50,192.90,1665500,192.90
2012-05-24,192.80,192.80,189.50,190.30,1259200,190.30
2012-05-23,191.70,191.70,188.70,188.70,950000,188.70
2012-05-22,193.80,193.80,189.60,191.40,1172600,191.40
2012-05-21,187.40,190.80,187.40,190.60,668000,190.60
2012-05-18,192.60,192.60,188.20,189.50,642900,189.50
2012-05-17,191.10,192.80,191.10,192.00,881400,192.00
2012-05-16,189.30,192.30,188.50,192.30,1131600,192.30
2012-05-14,195.40,196.30,193.80,195.50,691300,195.50
2012-05-11,194.80,198.10,194.20,197.50,766600,196.50
2012-05-10,194.20,196.90,192.70,196.10,703900,195.11
2012-05-09,197.70,199.00,190.60,193.50,1017200,192.52
2012-05-08,195.90,200.70,195.90,197.60,2058600,196.60
2012-05-04,200.10,200.10,195.90,196.50,1499500,195.51
2012-05-03,199.50,200.90,198.50,200.00,1804700,198.99
2012-05-02,198.70,200.00,197.70,198.50,2657700,197.49
2012-05-01,197.00,198.80,197.00,198.40,2856700,197.40
2012-04-30,200.00,200.00,197.60,199.00,761300,197.99
2012-04-27,198.60,200.10,196.50,198.20,1088300,197.20
2012-04-26,199.00,200.00,197.80,198.60,789100,197.59
2012-04-25,198.20,200.80,197.80,198.60,1975600,197.59
2012-04-24,196.40,198.20,196.40,197.60,928400,196.60
2012-04-23,198.00,198.00,195.40,196.50,811800,195.51
2012-04-20,196.40,198.80,196.40,198.00,694700,197.00
2012-04-19,197.60,199.30,195.50,197.50,1651900,196.50
2012-04-18,197.70,199.20,196.40,197.50,1476500,196.50
2012-04-17,191.20,199.30,191.00,198.10,1190000,197.10
2012-04-16,189.40,192.20,188.50,191.00,1223900,190.03
2012-04-13,188.00,189.70,187.30,188.80,1106800,187.84
2012-04-12,187.00,188.90,186.20,188.00,1208500,187.05
2012-04-11,184.60,188.00,184.60,187.70,1773700,186.75
2012-04-10,187.00,189.60,185.60,186.80,1093600,185.85
2012-04-05,189.80,191.60,187.50,189.30,683700,188.34
2012-04-04,192.70,192.70,189.00,189.50,901400,188.54
2012-04-03,192.30,192.80,190.30,191.20,1593200,190.23
2012-04-02,193.00,193.00,190.00,192.30,1015300,191.33
2012-03-30,192.90,193.00,190.00,191.80,1378800,190.83
2012-03-29,191.50,192.60,190.60,192.20,1260300,191.23
2012-03-28,194.00,194.00,189.50,191.50,1202200,190.53
2012-03-27,195.50,196.70,193.20,193.60,838000,192.62
2012-03-26,192.40,194.50,191.80,194.00,981500,193.02
2012-03-23,192.30,195.70,190.30,191.90,2807300,190.93
2012-03-22,194.80,194.80,191.90,193.90,1144400,192.92
2012-03-21,195.10,197.50,194.40,194.80,1222500,193.81
2012-03-20,197.50,197.50,193.60,195.80,1729000,194.81
2012-03-19,196.80,197.20,193.60,196.60,854600,195.60
2012-03-16,193.70,196.10,191.50,195.40,3075900,194.41
2012-03-15,191.00,193.80,190.40,192.10,1771300,191.13
2012-03-14,199.00,199.00,194.30,195.10,1605000,194.11
2012-03-13,194.90,197.60,193.60,197.60,925300,196.60
2012-03-12,194.10,196.30,193.30,194.30,206100,193.32
2012-03-09,191.20,196.10,190.00,194.70,471800,193.71
2012-03-08,190.70,196.40,189.30,191.30,928900,190.33
2012-03-07,189.50,191.90,189.00,191.10,506200,190.13
2012-03-06,192.10,192.50,188.50,189.70,1729300,188.74
2012-03-05,191.60,193.40,189.90,192.00,552500,191.03
2012-03-02,191.00,192.00,190.10,191.90,1121000,190.93
2012-03-01,189.00,195.80,189.00,193.30,829300,192.32
2012-02-29,190.00,191.80,189.20,190.30,574600,189.34
2012-02-28,188.20,191.40,188.00,190.00,1183300,189.04
2012-02-27,188.00,188.90,186.60,188.10,828800,187.15
2012-02-24,188.80,189.20,188.10,188.20,2109600,187.25
2012-02-23,191.80,192.50,187.40,188.20,962000,187.25
2012-02-22,193.80,193.80,189.92,190.80,467100,189.83
2012-02-21,193.90,194.30,191.70,192.30,6160400,191.33
2012-02-20,194.30,194.30,192.80,194.00,1493600,193.02
2012-02-17,195.00,195.10,192.40,194.00,359000,193.02
2012-02-16,195.80,195.80,192.00,193.40,547400,192.42
2012-02-15,194.90,198.20,194.50,196.00,1250300,195.01
2012-02-14,196.50,197.00,192.30,194.90,408600,193.91
2012-02-13,193.10,196.60,192.27,196.10,351600,195.11
2012-02-10,194.30,194.30,192.10,193.40,564600,192.42
2012-02-09,196.40,196.40,193.40,194.50,1869100,193.52
2012-02-08,196.50,196.50,193.00,195.50,1117200,194.51
2012-02-07,197.00,197.20,194.10,194.20,1027100,193.22
2012-02-06,197.90,197.96,194.70,196.90,473400,195.90
2012-02-03,191.40,198.40,190.50,196.80,853300,195.80
2012-02-02,195.10,195.50,188.40,193.00,722300,192.02
