Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,452.00,454.00,443.00,444.00,10000,452.00
2012-08-01,450.00,470.00,448.10,452.00,2366000,452.00
2012-07-31,435.00,449.00,435.00,439.00,288100,439.00
2012-07-27,426.50,433.25,421.50,427.75,19900,427.75
2012-07-26,421.75,430.00,421.25,425.75,42700,425.75
2012-07-25,433.00,433.00,420.00,421.25,28500,421.25
2012-07-24,432.00,436.10,428.25,435.25,23600,435.25
2012-07-23,430.00,438.66,425.00,432.00,78900,432.00
2012-07-20,430.00,437.00,428.40,435.00,198600,435.00
2012-07-19,436.75,439.75,428.00,436.00,24900,436.00
2012-07-18,432.50,438.44,427.10,429.69,43900,429.69
2012-07-17,438.25,438.25,425.00,425.50,70100,425.50
2012-07-16,441.25,447.11,420.00,430.00,142300,430.00
2012-07-13,441.50,451.00,440.00,440.00,127700,440.00
2012-07-12,449.00,449.00,440.00,441.75,169600,441.75
2012-07-11,452.00,455.92,444.04,446.75,183600,446.75
2012-07-10,459.00,459.00,449.86,455.00,33200,455.00
2012-07-09,443.00,458.00,428.86,458.00,583300,458.00
2012-07-06,445.00,455.00,445.00,453.25,29100,453.25
2012-07-05,445.00,450.00,443.65,450.00,23000,450.00
2012-07-04,443.00,445.00,441.00,441.00,265000,441.00
2012-07-03,441.00,444.00,438.50,443.00,46500,443.00
2012-07-02,450.25,457.12,437.50,441.00,120500,441.00
2012-06-29,436.00,456.75,435.83,452.75,48700,452.75
2012-06-28,435.88,437.18,432.25,434.00,222800,434.00
2012-06-27,435.00,440.00,430.00,434.00,1058900,434.00
2012-06-26,432.50,437.00,432.50,436.00,20800,436.00
2012-06-25,435.00,438.12,432.50,432.50,175400,432.50
2012-06-22,430.00,438.67,429.42,433.00,959000,433.00
2012-06-21,420.00,440.00,412.44,434.50,219800,434.50
2012-06-20,405.00,420.00,400.54,418.00,305200,418.00
2012-06-19,400.00,411.25,396.00,402.50,42300,402.50
2012-06-18,400.75,412.00,400.00,412.00,12200,412.00
2012-06-15,393.50,423.00,387.00,411.25,176200,411.25
2012-06-14,384.00,395.00,384.00,384.25,17800,384.25
2012-06-13,396.00,398.00,387.00,390.00,26000,390.00
2012-06-12,365.00,396.00,361.50,396.00,855000,396.00
2012-06-11,356.00,364.00,352.75,364.00,71300,364.00
2012-06-08,355.00,356.00,347.04,356.00,39000,356.00
2012-06-07,363.00,363.00,356.15,356.15,42900,356.15
2012-06-06,370.00,370.00,357.50,363.00,49100,363.00
2012-06-01,362.50,365.00,355.25,365.00,41400,365.00
2012-05-31,368.00,370.85,361.00,361.00,27700,361.00
2012-05-30,375.00,380.00,365.25,369.50,20900,369.50
2012-05-29,381.75,386.00,378.82,386.00,23900,386.00
2012-05-28,363.54,387.00,363.54,385.75,31700,385.75
2012-05-25,375.00,378.45,372.00,375.00,8300,375.00
2012-05-24,357.00,375.00,357.00,372.50,23200,372.50
2012-05-23,369.75,369.75,349.77,359.00,10900,359.00
2012-05-22,347.00,370.00,347.00,370.00,48400,370.00
2012-05-21,351.25,355.47,332.00,345.75,93700,345.75
2012-05-18,350.25,357.00,332.61,350.00,83600,350.00
2012-05-17,360.75,364.53,354.00,355.00,29600,355.00
2012-05-16,361.36,373.45,355.01,366.40,69600,366.40
2012-05-14,370.00,370.00,362.00,362.00,42400,362.00
2012-05-11,375.00,386.00,372.00,372.00,22300,372.00
2012-05-10,380.00,380.00,370.00,380.00,20300,380.00
2012-05-09,375.00,376.42,356.00,374.00,106200,374.00
2012-05-08,390.00,394.40,373.85,380.00,113100,380.00
2012-05-04,400.00,400.00,386.50,388.00,39700,388.00
2012-05-03,394.19,397.25,392.33,397.00,72200,397.00
2012-05-02,410.00,415.00,388.25,388.25,59800,388.25
2012-05-01,395.00,401.06,392.00,401.00,26800,401.00
2012-04-30,387.50,400.00,387.00,387.00,16900,387.00
2012-04-27,395.25,409.90,386.25,393.50,76700,393.50
2012-04-26,395.00,409.00,395.00,401.75,38000,401.75
2012-04-25,403.25,414.76,398.00,398.00,13000,398.00
2012-04-24,410.50,415.00,397.81,403.25,35200,403.25
2012-04-23,413.50,414.75,401.43,413.25,41300,413.25
2012-04-20,399.75,411.25,390.00,411.25,32300,411.25
2012-04-19,380.00,399.10,380.00,395.25,28400,395.25
2012-04-18,399.00,400.00,380.25,380.25,56600,380.25
2012-04-17,395.00,402.85,395.00,395.25,41000,395.25
2012-04-16,384.00,406.89,383.00,395.00,87200,395.00
2012-04-13,390.00,396.90,380.00,380.00,206100,380.00
2012-04-12,390.75,399.89,390.00,390.00,53900,390.00
2012-04-11,400.00,410.60,388.27,395.00,143700,395.00
2012-04-10,410.00,418.25,400.00,400.00,145500,400.00
2012-04-05,431.00,431.05,406.00,415.00,181600,415.00
2012-04-04,367.00,427.61,361.25,419.25,291600,419.25
2012-04-03,370.00,379.75,360.00,368.75,120200,368.75
2012-04-02,386.75,386.75,370.00,370.25,64100,370.25
2012-03-30,373.50,377.55,370.00,370.25,46900,370.25
2012-03-29,380.00,380.00,365.00,375.75,106800,375.75
2012-03-28,370.00,382.00,370.00,382.00,12200,382.00
2012-03-27,373.50,382.68,372.50,374.50,56900,374.50
2012-03-26,375.50,387.50,372.12,379.50,46900,379.50
2012-03-23,368.00,389.46,361.00,382.75,159500,382.75
2012-03-22,352.00,369.89,342.00,367.00,320600,367.00
2012-03-21,340.50,352.00,339.75,345.00,32600,345.00
2012-03-20,330.00,350.50,330.00,350.00,316400,350.00
2012-03-19,330.00,340.00,330.00,334.25,364600,334.25
2012-03-16,330.25,343.84,330.00,330.00,188400,330.00
2012-03-15,345.00,345.00,330.00,340.00,184500,340.00
2012-03-14,340.00,340.30,334.85,337.25,17300,337.25
2012-03-13,340.00,341.44,332.20,340.00,21000,340.00
2012-03-12,336.65,343.75,330.50,343.75,29800,343.75
2012-03-09,335.00,350.00,334.20,350.00,36000,350.00
2012-03-08,338.25,343.00,335.00,337.25,85500,337.25
2012-03-07,340.00,345.00,335.00,335.00,37500,335.00
2012-03-06,340.00,350.00,331.52,333.00,44400,333.00
2012-03-05,345.00,349.95,340.00,340.00,32600,340.00
2012-03-02,350.00,353.00,345.00,345.00,39000,345.00
2012-03-01,350.00,351.60,345.00,350.00,119400,350.00
2012-02-29,345.50,349.00,344.31,346.00,855300,346.00
2012-02-28,349.00,349.77,343.84,348.00,34700,348.00
2012-02-27,348.75,350.00,345.00,345.00,11800,345.00
2012-02-24,350.00,350.00,341.00,348.50,34500,348.50
2012-02-23,345.00,350.00,340.00,340.00,129300,340.00
2012-02-22,348.00,349.10,340.00,340.75,23900,340.75
2012-02-21,350.00,351.80,341.00,350.00,28900,350.00
2012-02-20,345.00,355.00,342.00,350.00,85500,350.00
2012-02-17,345.00,349.00,340.00,340.00,92200,340.00
2012-02-16,359.75,359.75,340.00,344.00,357500,344.00
2012-02-15,365.00,370.00,361.50,361.50,116700,361.50
2012-02-14,373.50,373.50,363.86,365.00,118700,365.00
2012-02-13,352.75,402.50,352.75,368.84,275100,368.84
2012-02-10,350.00,355.00,345.10,346.00,95300,346.00
2012-02-09,354.75,362.00,350.00,354.25,82700,354.25
2012-02-08,325.50,359.40,325.50,356.00,118200,356.00
2012-02-07,326.00,330.15,326.00,330.00,86900,330.00
2012-02-06,320.00,327.00,320.00,327.00,97000,327.00
2012-02-03,322.00,329.00,322.00,325.50,36000,325.50
2012-02-02,325.50,325.50,320.00,325.00,29800,325.00
2012-02-01,325.00,330.00,320.00,325.50,232400,325.50
2012-01-31,325.00,329.00,312.25,325.00,11300,325.00
2012-01-30,318.00,325.00,310.00,325.00,28500,325.00
2012-01-27,320.00,324.75,317.00,317.00,9300,317.00
2012-01-26,305.25,319.00,305.25,315.00,40600,315.00
2012-01-25,305.00,315.00,305.00,308.00,5700,308.00
2012-01-24,314.00,314.00,305.00,307.00,11300,307.00
2012-01-23,301.00,314.00,301.00,314.00,7100,314.00
2012-01-20,315.00,315.00,301.00,303.80,191800,303.80
2012-01-19,305.00,315.00,303.00,303.00,67500,303.00
2012-01-18,315.00,315.00,305.16,311.75,17700,311.75
2012-01-17,319.00,319.00,303.80,314.80,16700,314.80
2012-01-16,312.40,317.51,311.00,312.40,19100,312.40
2012-01-13,312.60,320.75,311.00,320.00,101400,320.00
2012-01-12,320.00,322.00,320.00,320.00,18800,320.00
2012-01-11,312.60,318.00,310.00,310.00,23400,310.00
2012-01-10,305.00,326.20,305.00,312.60,46300,312.60
2012-01-09,290.24,305.00,290.24,300.00,9700,300.00
2012-01-06,289.94,296.00,287.00,289.94,157500,289.94
2012-01-05,295.00,300.00,290.00,290.00,21500,290.00
2012-01-04,292.00,298.87,288.00,295.00,379100,295.00
2012-01-03,287.75,305.00,287.25,287.50,54900,287.50
2011-12-30,275.50,308.00,275.50,275.50,000,275.50
2011-12-29,286.13,286.13,285.75,285.75,15500,285.75
2011-12-28,297.30,297.30,286.14,289.25,5200,289.25
2011-12-23,297.26,297.30,297.26,297.30,300,297.30
2011-12-22,285.25,297.30,285.25,286.50,1174700,286.50
2011-12-21,288.00,297.80,288.00,288.00,10900,288.00
2011-12-20,289.00,303.89,288.75,292.62,256300,292.62
2011-12-19,295.00,309.00,291.52,300.75,14600,300.75
2011-12-16,295.00,296.20,295.00,295.00,7500,295.00
2011-12-15,302.00,308.99,293.75,293.75,3300,293.75
2011-12-14,306.00,313.00,306.00,311.50,20100,311.50
2011-12-13,310.00,317.62,304.67,310.00,39000,310.00
2011-12-12,310.00,319.75,310.00,310.00,9700,310.00
2011-12-09,308.78,317.75,308.78,310.00,9700,310.00
2011-12-08,315.00,318.50,310.00,310.00,106000,310.00
2011-12-07,308.50,315.00,308.50,313.90,548200,313.90
2011-12-06,313.00,322.68,301.00,305.00,248900,305.00
2011-12-05,315.00,322.50,310.00,310.00,162400,310.00
2011-12-02,307.00,308.00,303.00,306.25,90100,306.25
2011-12-01,307.00,300.00,296.04,300.00,29200,300.00
2011-11-30,303.25,320.00,303.25,313.50,38600,313.50
2011-11-29,312.00,320.13,306.30,306.30,22000,306.30
2011-11-28,306.50,319.00,301.00,306.25,63200,306.25
2011-11-25,303.00,314.90,303.00,303.50,12300,303.50
2011-11-24,295.00,304.35,290.28,295.00,61300,295.00
2011-11-23,301.00,306.00,298.25,302.50,50900,302.50
2011-11-22,290.00,310.00,278.00,301.50,45000,301.50
2011-11-21,304.75,305.00,292.00,301.75,175200,301.75
2011-11-18,292.00,305.00,292.00,296.25,26700,296.25
2011-11-17,290.00,299.00,290.00,293.25,18100,293.25
2011-11-16,292.00,300.00,290.00,293.25,52400,293.25
