Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,30.62,30.80,30.10,30.80,3325100,30.53
2012-08-02,30.25,30.80,30.10,30.53,3813800,30.53
2012-08-01,31.00,31.00,29.75,29.75,109900,29.75
2012-07-31,29.56,30.25,29.50,30.00,973900,30.00
2012-07-27,30.00,31.00,29.00,29.25,264800,29.25
2012-07-26,31.20,31.20,31.20,31.20,100,31.20
2012-07-25,31.50,31.50,30.00,30.00,16100,30.00
2012-07-24,31.25,31.25,30.25,30.25,33800,30.25
2012-07-23,32.00,32.38,31.50,31.51,40000,31.51
2012-07-20,31.00,32.50,31.00,32.00,1758300,32.00
2012-07-19,31.50,32.25,31.50,31.50,1519900,31.50
2012-07-18,30.50,32.00,30.50,31.50,143300,31.50
2012-07-17,32.00,32.05,30.50,30.50,180900,30.50
2012-07-16,32.00,33.40,32.00,32.00,59200,32.00
2012-07-13,32.00,34.25,32.00,32.00,56200,32.00
2012-07-12,32.50,34.75,32.50,32.50,230000,32.50
2012-07-11,32.00,32.53,31.00,31.00,47700,31.00
2012-07-10,31.00,32.70,31.00,32.00,67800,32.00
2012-07-09,32.50,32.97,31.00,31.00,24600,31.00
2012-07-06,32.50,33.20,30.00,32.50,90900,32.50
2012-07-05,32.50,33.70,32.50,32.50,23900,32.50
2012-07-04,32.50,32.50,32.50,32.50,3300,32.50
2012-07-03,35.00,35.00,32.50,33.00,34800,33.00
2012-07-02,35.50,35.95,35.00,35.00,65000,35.00
2012-06-29,36.00,36.97,36.00,36.00,230400,36.00
2012-06-28,35.00,35.00,35.00,35.00,1000,35.00
2012-06-27,36.00,36.90,35.00,35.00,60500,35.00
2012-06-26,35.00,35.25,35.00,35.25,22200,35.25
2012-06-25,36.00,37.70,35.00,35.00,79700,35.00
2012-06-22,34.75,38.00,34.75,37.00,259600,37.00
2012-06-21,32.30,33.28,32.25,32.25,9400,32.25
2012-06-20,33.50,33.50,32.26,33.45,21200,33.45
2012-06-19,33.50,33.50,33.45,33.50,29300,33.50
2012-06-18,33.00,33.50,32.05,33.50,102500,33.50
2012-06-15,32.75,33.50,31.50,33.50,379400,33.50
2012-06-14,32.25,32.50,30.55,31.50,76500,31.50
2012-06-13,31.50,32.00,30.25,32.00,20000,32.00
2012-06-12,30.25,31.50,30.25,31.50,3300,31.50
2012-06-11,31.00,31.00,31.00,31.00,5600,31.00
2012-06-08,30.00,31.00,30.00,30.75,284300,30.75
2012-06-07,30.75,31.00,30.00,30.50,175900,30.50
2012-06-06,31.75,31.75,27.50,28.50,707300,28.50
2012-06-01,32.50,32.50,32.50,32.50,1500,32.50
2012-05-31,33.50,34.00,32.50,34.00,57500,34.00
2012-05-30,33.50,33.50,33.50,33.50,1000,33.50
2012-05-29,33.50,34.00,33.50,34.00,29000,34.00
2012-05-28,33.50,34.95,33.50,33.50,1300,33.50
2012-05-25,33.50,33.50,33.50,33.50,1000,33.50
2012-05-24,33.50,33.50,33.50,33.50,1000,33.50
2012-05-23,33.50,34.50,33.50,34.50,7400,34.50
2012-05-22,34.10,34.50,34.10,34.50,281900,34.50
2012-05-21,34.50,34.95,33.72,34.50,1242500,34.50
2012-05-18,35.00,35.00,34.50,34.50,75800,34.50
2012-05-17,34.50,35.95,34.50,35.95,2700,35.95
2012-05-16,34.00,35.00,34.00,34.50,31000,34.50
2012-05-14,34.50,34.55,34.05,34.50,37900,34.50
2012-05-11,34.00,34.50,34.00,34.50,13300,34.50
2012-05-10,33.75,34.50,33.75,34.50,89500,34.50
