Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,749.00,753.50,740.50,743.00,154000,743.00
2012-08-02,749.00,754.50,740.50,743.00,216000,743.00
2012-08-01,742.50,749.50,739.00,747.00,186600,747.00
2012-07-31,756.50,756.50,741.00,744.50,304300,744.50
2012-07-27,740.50,749.50,732.00,745.50,291700,745.50
2012-07-26,730.00,742.00,724.86,736.50,241600,736.50
2012-07-25,726.00,734.50,725.50,730.50,675200,730.50
2012-07-24,735.50,738.50,724.00,729.00,541900,729.00
2012-07-23,741.00,753.00,730.50,732.50,329500,732.50
2012-07-20,755.00,762.50,741.50,761.00,466000,761.00
2012-07-19,766.50,767.00,755.00,758.96,937300,758.96
2012-07-18,768.00,769.00,759.50,763.00,460600,763.00
2012-07-17,766.00,769.00,759.50,763.50,337300,763.50
2012-07-16,769.50,777.00,759.00,760.30,565700,760.30
2012-07-13,766.00,771.00,760.50,766.50,572400,766.50
2012-07-12,763.00,763.00,759.00,763.00,443000,763.00
2012-07-11,776.00,781.00,770.00,772.50,369600,772.50
2012-07-10,772.00,782.50,766.00,776.50,410300,776.50
2012-07-09,769.00,773.50,763.00,770.00,279600,770.00
2012-07-06,776.50,776.50,761.50,768.50,319000,768.50
2012-07-05,786.00,795.17,765.50,774.50,369500,774.50
2012-07-04,774.00,793.00,759.74,779.50,657300,779.50
2012-07-03,755.00,765.00,746.50,762.00,265300,762.00
2012-07-02,749.00,759.50,746.50,752.00,639000,752.00
2012-06-29,746.50,751.00,738.50,744.50,311500,744.50
2012-06-28,743.00,743.00,724.00,729.50,138500,729.50
2012-06-27,729.50,741.00,727.50,740.00,91900,740.00
2012-06-26,735.00,741.00,731.50,732.50,161300,732.50
2012-06-25,734.00,737.00,725.00,736.00,159300,736.00
2012-06-22,737.00,740.00,728.00,735.50,233800,735.50
2012-06-21,743.50,753.00,739.00,739.50,150500,739.50
2012-06-20,734.50,748.50,729.50,747.00,166300,747.00
2012-06-19,714.00,732.50,710.50,732.50,163100,732.50
2012-06-18,715.50,715.50,699.50,713.00,212800,713.00
2012-06-15,702.00,712.00,700.50,704.00,641900,704.00
2012-06-14,699.00,702.50,695.00,700.00,396700,700.00
2012-06-13,700.00,702.42,687.50,699.50,314700,699.50
2012-06-12,699.50,707.50,694.00,700.00,199600,700.00
2012-06-11,723.50,729.50,701.50,706.50,198300,706.50
2012-06-08,707.50,719.00,697.50,713.00,171500,713.00
2012-06-07,700.50,715.98,694.00,712.00,293100,712.00
2012-06-06,683.50,698.00,680.00,697.50,241400,697.50
2012-06-01,689.00,691.07,673.50,673.50,729300,673.50
2012-05-31,694.00,700.00,687.50,690.00,290600,690.00
2012-05-30,699.50,703.50,690.75,693.00,316400,693.00
2012-05-29,698.00,703.00,695.00,701.50,259600,701.50
2012-05-28,711.50,711.50,690.00,696.50,111100,696.50
2012-05-25,692.00,700.25,688.00,691.00,164500,691.00
2012-05-24,695.00,695.50,688.50,690.00,301800,690.00
2012-05-23,698.50,698.50,688.50,690.00,300100,690.00
2012-05-22,693.50,701.50,688.83,700.00,384100,700.00
2012-05-21,691.50,698.50,688.50,688.50,498900,688.50
2012-05-18,684.00,699.00,678.50,693.00,447800,693.00
2012-05-17,690.50,705.00,690.50,694.50,273800,694.50
2012-05-16,689.00,702.00,681.50,695.00,411600,695.00
2012-05-14,702.50,706.00,693.00,700.00,201600,700.00
2012-05-11,701.50,712.00,701.00,709.00,121900,709.00
2012-05-10,700.00,711.00,699.00,705.50,209300,705.50
2012-05-09,704.00,706.00,691.61,698.50,284200,698.50
2012-05-08,724.00,725.00,697.00,700.00,357000,700.00
2012-05-04,743.00,746.88,721.00,721.50,207700,721.50
2012-05-03,756.00,761.50,741.00,745.50,210500,745.50
2012-05-02,741.50,755.50,737.50,755.50,1616100,755.50
2012-05-01,735.50,746.00,730.50,744.00,103600,744.00
2012-04-30,746.50,747.50,736.00,737.50,724800,737.50
2012-04-27,732.00,746.00,730.50,746.00,244300,746.00
2012-04-26,737.50,741.50,730.50,735.50,169900,735.50
2012-04-25,730.50,742.50,730.50,736.00,188100,736.00
2012-04-24,732.50,739.50,726.00,731.00,168600,731.00
2012-04-23,744.50,747.00,720.00,731.00,320200,731.00
2012-04-20,751.00,759.00,747.00,748.00,156200,748.00
2012-04-19,741.50,757.00,736.50,750.50,424200,750.50
2012-04-18,739.00,743.50,731.00,740.00,464600,740.00
2012-04-17,726.00,743.50,724.55,739.50,543500,739.50
2012-04-16,731.50,736.50,720.50,724.50,372900,724.50
2012-04-13,762.50,762.50,731.00,734.00,355800,734.00
2012-04-12,751.50,766.50,746.50,763.00,239200,763.00
2012-04-11,750.00,763.50,744.00,752.50,251700,752.50
2012-04-10,756.50,758.00,744.69,750.00,201400,750.00
2012-04-05,765.00,770.50,751.70,761.00,257600,761.00
2012-04-04,779.00,783.00,760.00,764.00,331400,764.00
2012-04-03,789.00,793.00,777.50,781.00,252300,781.00
2012-04-02,785.50,791.50,776.50,787.00,265000,787.00
2012-03-30,789.50,790.83,782.00,785.00,161500,785.00
2012-03-29,789.00,793.00,778.50,781.50,159400,781.50
2012-03-28,793.00,796.65,787.00,790.00,183500,790.00
2012-03-27,804.50,808.67,789.50,794.50,251100,794.50
2012-03-26,791.00,800.08,788.00,800.00,215900,800.00
2012-03-23,788.50,795.00,782.00,792.00,228600,792.00
2012-03-22,789.50,796.50,780.50,789.00,505000,789.00
2012-03-21,787.50,791.58,777.50,783.50,242200,783.50
2012-03-20,803.50,808.14,792.50,798.50,242400,798.50
2012-03-19,818.00,818.00,803.50,807.50,144400,807.50
2012-03-16,795.00,814.00,789.50,812.00,526600,812.00
2012-03-15,796.00,802.50,784.00,795.00,356800,795.00
2012-03-14,799.00,806.00,789.09,795.00,470900,795.00
2012-03-13,757.00,790.00,745.18,790.00,374400,790.00
2012-03-12,756.00,763.50,747.50,757.00,162700,757.00
2012-03-09,755.50,760.00,749.50,753.50,192900,753.50
2012-03-08,758.00,764.00,745.50,755.50,318200,755.50
2012-03-07,740.50,753.58,738.50,753.50,269400,753.50
2012-03-06,748.00,748.00,732.50,740.50,218600,740.50
2012-03-05,765.00,765.00,746.00,750.00,335600,750.00
2012-03-02,753.50,770.50,748.00,761.00,360700,761.00
2012-03-01,736.50,751.58,731.50,751.50,154100,751.50
2012-02-29,742.00,742.00,735.00,737.23,219300,737.23
2012-02-28,742.50,753.50,733.00,739.00,179700,739.00
2012-02-27,738.50,742.00,733.00,740.00,140900,740.00
2012-02-24,742.00,746.50,736.50,738.00,248600,738.00
2012-02-23,745.00,748.50,730.00,737.00,284300,737.00
2012-02-22,741.50,753.00,740.50,744.00,235800,744.00
2012-02-21,740.50,746.00,731.00,740.50,1252200,740.50
2012-02-20,731.00,749.50,731.00,740.00,213800,740.00
2012-02-17,719.50,730.00,718.00,730.00,127300,730.00
2012-02-16,706.50,719.50,703.00,715.50,130300,715.50
2012-02-15,705.00,713.50,700.00,711.00,196700,711.00
2012-02-14,711.00,714.50,698.00,700.50,120800,700.50
2012-02-13,702.00,711.50,702.00,704.50,143800,704.50
2012-02-10,704.50,705.50,693.50,700.00,281500,700.00
2012-02-09,704.50,709.50,692.50,707.00,241800,707.00
2012-02-08,704.50,706.00,692.50,702.50,404700,702.50
2012-02-07,710.00,711.50,698.00,702.50,456700,702.50
2012-02-06,713.50,725.00,695.50,708.00,181800,708.00
2012-02-03,702.00,714.00,702.00,714.00,268600,714.00
2012-02-02,684.50,704.50,684.50,701.50,227400,701.50
2012-02-01,676.50,690.00,676.50,684.00,275100,684.00
2012-01-31,676.00,687.50,672.00,675.00,188300,675.00
2012-01-30,671.00,675.50,666.50,674.00,260000,674.00
2012-01-27,668.00,676.00,665.50,673.00,391200,673.00
2012-01-26,665.00,676.00,664.50,670.00,438300,670.00
2012-01-25,665.00,668.00,658.00,664.50,257700,664.50
2012-01-24,662.00,664.50,657.00,662.50,329900,662.50
2012-01-23,670.00,677.00,658.33,666.50,230800,666.50
2012-01-20,642.00,671.00,626.00,670.00,511700,670.00
2012-01-19,629.00,658.57,625.50,658.50,333300,658.50
2012-01-18,624.50,638.00,621.00,634.00,406300,634.00
2012-01-17,621.50,624.00,617.33,623.00,533100,623.00
2012-01-16,609.50,617.00,608.09,615.50,113200,615.50
2012-01-13,623.50,635.50,607.00,612.50,301000,612.50
2012-01-12,605.00,613.50,596.06,612.00,239600,612.00
2012-01-11,601.00,607.50,601.00,605.00,508400,605.00
2012-01-10,604.00,605.50,601.50,601.50,228700,601.50
2012-01-09,600.00,605.00,594.50,598.50,255700,598.50
2012-01-06,603.50,607.50,596.50,598.50,504700,598.50
2012-01-05,631.00,639.50,597.50,603.00,251900,603.00
2012-01-04,633.00,638.50,620.00,629.50,137300,629.50
2012-01-03,630.00,634.50,617.16,634.50,156200,634.50
2011-12-30,617.00,619.50,611.50,619.50,19500,619.50
2011-12-29,611.50,617.00,604.50,617.00,98300,617.00
2011-12-28,607.00,613.50,595.50,610.00,80600,610.00
2011-12-23,616.00,617.02,605.50,605.50,55700,605.50
2011-12-22,613.00,616.00,605.00,609.50,162300,609.50
2011-12-21,615.00,622.00,606.00,606.00,197600,606.00
2011-12-20,605.50,613.00,598.50,610.50,208300,610.50
2011-12-19,594.50,605.00,588.00,605.00,286700,605.00
2011-12-16,603.00,609.50,596.00,598.50,311500,598.50
2011-12-15,600.50,600.50,586.00,599.00,256300,599.00
2011-12-14,603.50,607.00,587.00,590.00,273100,590.00
2011-12-13,597.50,610.50,589.50,606.00,357800,606.00
2011-12-12,616.00,619.00,597.50,597.50,176300,597.50
2011-12-09,603.00,615.00,602.50,615.00,274400,615.00
2011-12-08,629.00,630.00,605.50,605.50,257400,605.50
2011-12-07,632.00,639.50,620.00,625.00,344200,625.00
2011-12-06,628.50,635.00,620.00,625.00,226900,625.00
2011-12-05,634.50,647.50,629.00,632.00,246000,632.00
2011-12-02,651.50,656.00,629.50,631.50,321900,631.50
2011-12-01,664.00,666.00,642.00,644.50,231200,644.50
2011-11-30,626.50,661.78,624.00,661.78,282900,661.78
2011-11-29,633.50,639.00,615.50,633.00,175100,633.00
2011-11-28,619.00,636.12,615.46,634.00,201800,634.00
2011-11-25,609.50,620.50,601.50,613.00,143200,613.00
2011-11-24,613.00,620.00,597.77,610.50,164500,610.50
2011-11-23,629.50,630.50,601.00,604.00,306200,604.00
2011-11-22,653.00,656.85,630.50,631.00,392600,631.00
2011-11-21,674.00,677.50,645.50,649.50,258700,649.50
2011-11-18,673.00,687.50,670.00,678.00,237100,678.00
2011-11-17,680.00,690.00,665.00,684.50,413500,684.50
2011-11-16,705.00,720.50,692.50,695.00,237700,695.00
2011-11-15,707.00,713.50,698.00,707.50,145800,707.50
2011-11-14,719.50,719.50,700.00,710.00,98800,710.00
2011-11-11,700.50,718.12,699.00,715.00,179400,715.00
2011-11-10,685.00,704.50,685.00,700.50,182700,700.50
2011-11-09,710.50,710.50,689.50,695.00,209200,695.00
2011-11-08,698.00,709.50,694.00,703.00,130800,703.00
2011-11-07,693.00,702.00,682.00,697.50,146700,697.50
2011-11-04,710.50,713.50,695.00,696.00,177700,696.00
2011-11-03,682.50,707.00,682.50,705.00,289800,705.00
2011-11-02,697.00,710.50,685.50,689.00,219100,689.00
2011-11-01,701.00,701.00,682.50,693.50,280500,693.50
2011-10-31,719.00,734.00,707.50,709.50,184300,709.50
2011-10-28,726.00,728.50,719.00,722.00,193700,722.00
2011-10-27,718.00,730.50,713.50,724.00,322600,724.00
2011-10-26,717.50,717.50,701.00,701.00,171100,701.00
2011-10-25,716.00,723.50,705.00,713.00,131600,713.00
