Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,353.30,358.00,348.00,353.10,29500,351.70
2012-08-02,353.30,358.00,348.00,351.70,46700,351.70
2012-08-01,353.10,357.99,352.20,353.50,72400,353.50
2012-07-31,351.40,361.27,351.40,355.10,80600,355.10
2012-07-27,346.80,366.14,344.10,366.10,159500,366.10
2012-07-26,341.00,347.40,337.98,347.40,147800,347.40
2012-07-25,340.10,345.10,334.58,342.60,173600,342.60
2012-07-24,341.90,345.26,339.51,342.30,218500,342.30
2012-07-23,336.70,346.90,330.60,344.00,191900,344.00
2012-07-20,333.00,338.10,330.00,336.30,182900,336.30
2012-07-19,323.80,333.93,321.00,333.90,238800,333.90
2012-07-18,324.50,326.50,318.10,321.40,334600,321.40
2012-07-17,308.00,323.41,308.00,321.00,229000,321.00
2012-07-16,307.30,318.95,307.30,311.30,173700,311.30
2012-07-13,307.50,308.50,303.00,305.70,358500,305.70
2012-07-12,306.10,311.90,303.10,305.00,278900,305.00
2012-07-11,304.10,307.10,301.50,305.00,176300,305.00
2012-07-10,303.10,308.70,300.40,306.00,178800,306.00
2012-07-09,303.70,308.40,298.06,300.30,82600,300.30
2012-07-06,305.50,308.61,300.20,302.00,252500,302.00
2012-07-05,314.20,314.20,302.00,304.70,272500,304.70
2012-07-04,318.60,320.50,309.80,309.80,244000,309.80
2012-07-03,308.40,318.80,308.40,318.80,282800,318.80
2012-07-02,302.50,310.70,302.50,309.70,196800,309.70
2012-06-29,299.10,302.98,294.10,300.70,101900,300.70
2012-06-28,293.00,303.44,290.57,292.40,408300,292.40
2012-06-27,293.00,298.00,292.50,293.10,293700,293.10
2012-06-26,296.50,300.11,292.80,293.00,247800,293.00
2012-06-25,293.00,298.43,293.00,297.10,585800,297.10
2012-06-22,298.00,300.10,290.02,295.00,484400,295.00
2012-06-21,307.00,308.10,299.92,300.00,444000,300.00
2012-06-20,312.30,312.86,302.62,308.20,155800,308.20
2012-06-19,313.50,318.20,311.50,312.80,478600,312.80
2012-06-18,324.50,331.00,313.40,314.00,379200,314.00
2012-06-15,313.00,324.60,310.80,324.40,2331900,324.40
2012-06-14,352.00,352.00,285.20,299.25,3841900,299.25
2012-06-13,357.80,361.40,352.10,356.70,125700,356.70
2012-06-12,358.00,360.00,351.68,355.70,85000,355.70
2012-06-11,361.60,365.10,357.70,357.70,71800,357.70
2012-06-08,360.90,363.10,356.50,357.40,274400,357.40
2012-06-07,365.70,368.40,361.10,362.90,408900,362.90
2012-06-06,369.10,371.31,363.70,365.60,142700,365.60
2012-06-01,365.80,369.10,364.50,366.00,295500,366.00
2012-05-31,363.50,375.20,363.10,365.60,155200,365.60
2012-05-30,361.30,363.67,357.00,360.00,133400,360.00
2012-05-29,358.00,364.20,358.00,360.80,193400,360.80
2012-05-28,359.90,363.70,353.00,353.00,63000,353.00
2012-05-25,360.00,363.90,350.50,357.80,178100,357.80
2012-05-24,365.90,373.24,360.00,360.30,78400,360.30
2012-05-23,384.40,384.90,365.80,368.00,122700,368.00
2012-05-22,387.50,391.10,385.20,385.60,137300,385.60
2012-05-21,376.60,384.00,376.60,383.50,102800,383.50
2012-05-18,375.00,381.70,372.60,379.00,364400,379.00
2012-05-17,385.10,390.00,377.10,377.10,86300,377.10
2012-05-16,380.00,388.90,375.49,386.80,142500,386.80
2012-05-14,392.50,397.70,384.60,387.50,225100,387.50
2012-05-11,383.50,395.14,381.90,395.10,96100,395.10
2012-05-10,395.90,395.90,386.40,387.00,112700,387.00
2012-05-09,401.40,403.50,385.10,390.40,203900,390.40
2012-05-08,413.10,413.10,400.60,400.60,398100,400.60
2012-05-04,410.60,413.50,408.40,410.50,268500,410.50
2012-05-03,415.70,418.10,410.00,413.50,185500,413.50
2012-05-02,419.50,420.90,412.80,415.00,163800,415.00
2012-05-01,411.80,415.30,410.40,415.30,130100,415.30
2012-04-30,410.70,416.70,410.00,414.90,163800,414.90
2012-04-27,403.40,415.40,403.40,411.00,411000,411.00
2012-04-26,410.60,411.30,406.50,408.90,149200,408.90
2012-04-25,399.60,407.50,399.60,407.50,111200,407.50
2012-04-24,401.30,402.50,398.90,399.40,123000,399.40
2012-04-23,406.50,417.50,400.60,401.60,129300,401.60
2012-04-20,405.70,413.50,405.00,411.00,121700,411.00
2012-04-19,434.80,434.80,407.00,407.00,254900,407.00
2012-04-18,428.00,434.80,418.00,431.60,156600,431.60
2012-04-17,438.10,442.90,437.30,438.64,92100,438.64
2012-04-16,433.20,445.60,426.10,442.44,401000,442.44
2012-04-13,430.70,437.00,426.49,434.80,126700,434.80
2012-04-12,419.70,435.80,410.00,435.30,142600,435.30
2012-04-11,402.40,416.40,402.40,416.40,178400,416.40
2012-04-10,407.70,412.40,402.40,406.50,190700,406.50
2012-04-05,423.70,425.30,407.00,407.10,264600,407.10
2012-04-04,427.40,428.00,417.30,419.80,223600,419.80
2012-04-03,430.50,432.80,423.80,432.80,164200,432.80
2012-04-02,441.00,441.00,406.44,428.00,177000,428.00
2012-03-30,444.00,444.10,434.56,441.00,122300,441.00
2012-03-29,438.30,442.80,430.40,438.53,140100,438.53
2012-03-28,439.20,445.70,435.00,439.62,190400,439.62
2012-03-27,438.60,442.80,433.00,435.83,79400,435.83
2012-03-26,422.10,436.00,422.10,433.44,307800,433.44
2012-03-23,430.00,437.90,418.30,418.30,505400,418.30
2012-03-22,426.30,438.00,424.90,434.30,130400,434.30
2012-03-21,418.10,433.90,418.10,430.00,336500,430.00
2012-03-20,436.00,449.50,420.20,422.36,451500,422.36
2012-03-19,458.40,460.00,426.98,440.00,709100,440.00
2012-03-16,440.30,461.90,440.30,446.22,558800,446.22
2012-03-15,440.00,446.80,440.00,443.70,379100,443.70
2012-03-14,428.10,463.70,428.10,448.00,313500,448.00
2012-03-13,400.00,441.20,400.00,441.20,308000,441.20
2012-03-12,369.60,410.00,365.20,410.00,94000,410.00
2012-03-09,388.60,391.01,368.40,368.40,129400,368.40
2012-03-08,392.40,406.60,383.00,383.00,115700,383.00
2012-03-07,406.90,407.00,392.40,392.40,76200,392.40
2012-03-06,394.00,408.90,390.10,390.10,36500,390.10
2012-03-05,394.70,408.90,394.70,398.00,106200,398.00
2012-03-02,405.10,408.30,399.07,403.60,36000,403.60
2012-03-01,405.20,405.20,393.40,393.70,35400,393.70
2012-02-29,399.70,401.90,387.50,400.20,50600,400.20
2012-02-28,402.50,409.27,385.60,390.30,51100,390.30
2012-02-27,410.70,410.70,400.60,402.50,24800,402.50
2012-02-24,400.10,413.50,400.10,400.60,77700,400.60
2012-02-23,409.00,414.80,402.62,412.50,28600,412.50
2012-02-22,404.10,414.90,401.10,409.30,44800,409.30
2012-02-21,409.90,410.90,401.60,409.60,80100,409.60
2012-02-20,414.30,414.90,405.10,413.80,42700,413.80
2012-02-17,409.10,410.30,400.00,409.50,22300,409.50
2012-02-16,404.60,412.40,399.30,399.30,58300,399.30
2012-02-15,413.80,419.90,394.10,406.50,115700,406.50
2012-02-14,419.90,425.00,408.81,413.40,116000,413.40
2012-02-13,414.80,419.90,400.95,418.90,74700,418.90
2012-02-10,408.00,414.80,400.30,414.00,75500,414.00
2012-02-09,414.90,414.90,400.40,408.80,41300,408.80
2012-02-08,400.40,410.00,400.40,403.10,15400,403.10
2012-02-07,409.30,411.42,401.80,408.10,55500,408.10
2012-02-06,405.10,415.00,398.00,414.70,33800,414.70
2012-02-03,414.80,416.90,403.20,408.80,69300,408.80
2012-02-02,402.00,416.77,402.00,409.20,73600,409.20
2012-02-01,397.50,416.90,386.10,412.60,96400,412.60
2012-01-31,393.10,399.70,385.00,397.50,99500,397.50
2012-01-30,399.70,399.70,386.00,387.90,121500,387.90
2012-01-27,396.40,397.31,386.00,386.00,61100,386.00
2012-01-26,397.50,399.90,387.40,394.70,58500,394.70
2012-01-25,392.80,397.90,386.30,390.00,53700,390.00
2012-01-24,390.50,398.00,385.80,391.10,88500,391.10
2012-01-23,392.00,395.80,383.50,395.10,52600,395.10
2012-01-20,394.90,398.60,373.60,379.30,41700,379.30
2012-01-19,382.60,394.50,374.30,384.70,99300,384.70
2012-01-18,366.00,377.51,366.00,375.10,66000,375.10
2012-01-17,369.90,369.90,361.30,369.90,94400,369.90
2012-01-16,367.00,369.48,354.66,359.70,46500,359.70
2012-01-13,365.60,366.90,355.02,366.90,69500,366.90
2012-01-12,348.60,361.80,343.60,359.60,496300,359.60
2012-01-11,342.10,350.00,336.70,339.00,74400,339.00
2012-01-10,348.00,348.90,342.00,345.90,79900,345.90
2012-01-09,347.90,356.00,341.30,345.90,56600,345.90
2012-01-06,340.00,351.18,340.00,345.00,94800,345.00
2012-01-05,347.50,350.41,339.80,340.50,145400,340.50
2012-01-04,341.20,347.68,341.10,343.70,702000,343.70
2012-01-03,335.00,346.48,334.80,343.60,67200,343.60
2011-12-30,329.10,343.40,317.90,334.60,14500,334.60
2011-12-29,331.20,339.60,329.60,329.60,19900,329.60
2011-12-28,342.00,342.00,332.00,333.40,15700,333.40
