Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,431.90,436.30,423.40,424.00,362100,424.00
2012-08-02,431.90,436.43,423.40,424.00,597800,424.00
2012-08-01,433.30,438.10,430.40,433.60,754100,433.60
2012-07-31,443.00,445.90,433.30,433.30,734500,433.30
2012-07-27,440.90,443.50,436.20,442.50,421700,442.50
2012-07-26,426.60,437.60,423.40,435.10,1168800,435.10
2012-07-25,425.30,433.60,425.30,430.50,409300,430.50
2012-07-24,429.60,429.60,424.30,426.70,531500,426.70
2012-07-23,435.10,438.16,425.60,427.20,626000,427.20
2012-07-20,444.40,444.40,439.90,441.50,698100,441.50
2012-07-19,440.70,446.00,438.00,444.20,572600,444.20
2012-07-18,435.40,438.80,432.80,438.80,484200,438.80
2012-07-17,437.10,438.00,432.00,433.10,520800,433.10
2012-07-16,429.20,443.00,427.32,435.88,641100,435.88
2012-07-13,428.60,432.90,426.00,432.30,977000,432.30
2012-07-12,427.80,430.80,426.00,428.50,608000,428.50
2012-07-11,431.80,436.70,428.30,428.60,546800,428.60
2012-07-10,426.00,431.30,425.60,430.10,719600,430.10
2012-07-09,423.60,426.40,420.70,423.10,596500,423.10
2012-07-06,426.70,432.60,426.30,427.80,722800,427.80
2012-07-05,425.00,429.90,424.80,429.30,1465600,429.30
2012-07-04,427.70,428.42,422.70,426.50,473000,426.50
2012-07-03,421.70,430.30,421.70,430.30,482500,430.30
2012-07-02,416.80,422.80,413.60,422.00,946300,422.00
2012-06-29,428.80,430.90,422.30,425.50,1009800,425.50
2012-06-28,424.70,424.70,417.80,422.10,612300,422.10
2012-06-27,423.10,424.10,419.20,422.60,857900,422.60
2012-06-26,421.90,426.10,417.00,420.30,1351200,420.30
2012-06-25,417.30,418.80,413.90,415.00,880600,415.00
2012-06-22,421.50,422.60,419.40,420.90,654100,420.90
2012-06-21,423.50,427.10,422.00,424.10,881000,424.10
2012-06-20,424.00,426.60,421.90,424.00,648900,424.00
2012-06-19,420.10,425.60,417.20,419.43,799400,419.43
2012-06-18,427.30,427.30,415.10,417.80,771200,417.80
2012-06-15,423.60,425.40,418.30,422.00,1682100,422.00
2012-06-14,412.90,420.90,410.80,418.80,1120800,418.80
2012-06-13,411.90,416.80,411.60,412.60,1308300,412.60
2012-06-12,409.60,413.90,408.00,409.40,892900,409.40
2012-06-11,422.80,423.20,409.80,411.20,483700,411.20
2012-06-08,410.40,415.00,405.60,414.40,703500,414.40
2012-06-07,405.00,412.00,402.70,410.80,807300,410.80
2012-06-06,403.70,409.20,399.20,402.90,1282500,402.90
2012-06-01,402.00,403.70,396.50,399.00,1229800,399.00
2012-05-31,401.10,404.80,398.20,401.00,952600,401.00
