Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,555.50,559.00,538.50,543.50,828500,545.00
2012-08-02,557.50,559.00,538.50,545.00,1100900,545.00
2012-08-01,549.50,558.50,547.50,558.00,649100,558.00
2012-07-31,563.00,571.36,546.50,551.00,758400,551.00
2012-07-27,540.50,552.00,536.00,549.50,1263300,549.50
2012-07-26,544.50,549.95,523.00,533.00,2169100,533.00
2012-07-25,565.00,574.00,522.00,548.50,3185800,548.50
2012-07-24,595.00,596.50,588.50,596.00,919500,596.00
2012-07-23,607.00,608.00,589.00,593.50,1198900,593.50
2012-07-20,621.00,625.00,614.00,615.50,683500,615.50
2012-07-19,613.50,638.00,613.50,622.50,1056600,622.50
2012-07-18,603.00,607.56,598.00,607.50,921800,607.50
2012-07-17,592.00,600.50,588.00,600.00,961300,600.00
2012-07-16,584.00,591.00,577.00,590.00,706700,590.00
2012-07-13,573.00,584.50,573.00,584.00,733700,584.00
2012-07-12,572.00,586.00,568.50,572.00,988600,572.00
2012-07-11,601.00,601.00,578.50,581.00,691100,581.00
2012-07-10,591.00,603.50,589.00,601.50,924600,601.50
2012-07-09,600.00,601.00,585.50,588.50,844800,588.50
2012-07-06,609.50,611.00,595.00,596.50,720400,596.50
2012-07-05,613.50,625.00,607.00,613.50,615000,613.50
2012-07-04,611.00,616.50,600.00,614.50,537100,614.50
2012-07-03,605.00,616.00,582.00,612.50,563500,612.50
2012-07-02,596.00,606.50,588.50,606.00,1012100,606.00
2012-06-29,590.50,595.00,576.50,590.00,1257300,590.00
2012-06-28,575.50,578.50,560.50,571.00,906200,571.00
2012-06-27,585.50,585.50,556.50,574.50,1565500,574.50
2012-06-26,600.50,600.50,579.30,581.50,841400,581.50
2012-06-25,613.00,617.50,597.50,600.00,629400,600.00
2012-06-22,626.50,628.50,611.00,613.50,515000,613.50
2012-06-21,634.50,642.00,629.50,635.00,539600,635.00
2012-06-20,627.50,645.00,617.50,643.50,786700,643.50
2012-06-19,611.00,627.50,606.00,626.50,755800,626.50
