Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1415.00,1426.00,1408.00,1424.00,6900,1428.00
2012-08-01,1427.00,1435.00,1418.11,1428.00,26300,1428.00
2012-07-31,1416.00,1426.00,1410.00,1422.00,28900,1422.00
2012-07-30,1410.00,1418.89,1410.00,1411.00,27500,1411.00
2012-07-27,1410.00,1418.00,1384.11,1410.00,24300,1410.00
2012-07-26,1384.00,1396.00,1380.49,1396.00,93300,1396.00
2012-07-25,1395.00,1395.00,1379.00,1379.00,30500,1379.00
2012-07-24,1402.00,1402.00,1379.00,1379.00,47300,1379.00
2012-07-23,1425.00,1440.00,1400.00,1401.00,33000,1401.00
2012-07-20,1460.00,1460.00,1435.00,1435.00,16000,1435.00
2012-07-19,1439.00,1452.00,1433.00,1446.00,59200,1446.00
2012-07-18,1441.00,1446.76,1432.00,1444.00,19900,1444.00
2012-07-17,1449.00,1460.00,1432.00,1432.00,31600,1432.00
2012-07-16,1449.00,1451.00,1432.00,1444.00,35300,1444.00
2012-07-13,1430.00,1449.00,1416.00,1449.00,27000,1449.00
2012-07-12,1430.00,1444.00,1411.00,1430.00,38700,1430.00
2012-07-11,1443.00,1457.00,1435.09,1457.00,70700,1457.00
2012-07-10,1439.00,1455.00,1438.00,1444.00,32200,1444.00
2012-07-09,1432.00,1449.00,1427.97,1445.00,62100,1445.00
2012-07-06,1444.00,1445.00,1420.58,1441.00,39600,1441.00
2012-07-05,1454.00,1454.00,1433.00,1437.00,39400,1437.00
2012-07-04,1460.00,1460.00,1432.00,1443.00,39700,1443.00
2012-07-03,1457.00,1461.00,1445.00,1461.00,50100,1461.00
2012-07-02,1414.00,1451.00,1414.00,1441.00,23200,1441.00
2012-06-29,1430.00,1432.00,1403.00,1422.00,19400,1422.00
2012-06-28,1404.00,1418.00,1388.00,1417.00,41100,1417.00
2012-06-27,1415.00,1417.00,1397.00,1417.00,43400,1417.00
2012-06-26,1409.00,1412.00,1395.00,1410.00,23700,1410.00
2012-06-25,1408.00,1414.48,1393.11,1398.00,31700,1398.00
2012-06-22,1412.00,1422.00,1403.50,1419.00,80900,1419.00
2012-06-21,1410.00,1430.00,1402.24,1430.00,34100,1430.00
2012-06-20,1397.00,1412.00,1390.00,1412.00,57500,1412.00
2012-06-19,1356.00,1395.00,1346.91,1395.00,50400,1395.00
2012-06-18,1322.00,1358.00,1322.00,1351.00,116700,1351.00
2012-06-15,1291.00,1359.81,1284.00,1359.00,228400,1359.00
2012-06-14,1280.00,1295.00,1270.00,1270.00,86400,1270.00
2012-06-13,1265.00,1295.00,1265.00,1286.00,67600,1286.00
2012-06-12,1281.00,1281.00,1265.00,1265.00,40300,1265.00
2012-06-11,1274.00,1295.00,1270.00,1280.00,59900,1280.00
2012-06-08,1251.00,1270.00,1241.00,1270.00,39900,1270.00
2012-06-07,1250.00,1277.00,1245.00,1272.00,69200,1272.00
2012-06-06,1257.00,1263.89,1233.00,1255.00,43600,1255.00
2012-06-01,1270.00,1277.89,1229.11,1237.00,59800,1237.00
2012-05-31,1276.00,1285.25,1260.00,1269.00,47300,1269.00
2012-05-30,1282.00,1283.60,1258.00,1260.00,49800,1260.00
2012-05-29,1285.00,1293.00,1270.36,1285.00,49600,1285.00
2012-05-28,1267.00,1287.00,1255.00,1269.00,46600,1269.00
2012-05-25,1286.00,1289.00,1260.00,1267.00,63800,1267.00
2012-05-24,1270.00,1287.00,1255.00,1284.00,62600,1284.00
2012-05-23,1285.00,1285.00,1250.00,1251.00,80600,1251.00
2012-05-22,1301.00,1322.89,1296.00,1300.00,82500,1300.00
2012-05-21,1290.00,1311.00,1287.00,1294.00,55100,1294.00
2012-05-14,1346.00,1365.95,1340.00,1356.00,76800,1356.00
2012-05-11,1338.00,1365.89,1336.00,1365.00,17000,1365.00
2012-05-10,1349.00,1368.00,1336.00,1342.00,37200,1342.00
2012-05-09,1353.00,1369.00,1336.00,1350.00,83300,1350.00
2012-05-08,1375.00,1384.00,1347.00,1353.00,99100,1353.00
2012-05-04,1401.00,1411.50,1373.00,1373.00,119100,1373.00
2012-05-03,1423.00,1423.00,1399.00,1405.00,53600,1405.00
2012-05-02,1411.00,1423.00,1401.00,1413.00,62000,1413.00
2012-05-01,1405.00,1435.00,1396.15,1414.00,32600,1414.00
2012-04-30,1418.00,1428.54,1401.11,1409.00,25600,1409.00
2012-04-27,1411.00,1437.00,1397.00,1430.00,43700,1430.00
2012-04-26,1412.00,1412.00,1400.86,1408.00,32400,1408.00
2012-04-25,1414.00,1419.00,1391.00,1398.00,34800,1398.00
2012-04-24,1397.00,1405.00,1395.00,1396.00,56600,1396.00
2012-04-23,1402.00,1424.62,1394.00,1404.00,42500,1404.00
2012-04-20,1412.00,1421.89,1402.00,1418.00,28200,1418.00
2012-04-19,1416.00,1420.89,1410.00,1410.00,44100,1410.00
2012-04-18,1428.00,1433.00,1416.00,1433.00,15900,1433.00
2012-04-17,1405.00,1430.37,1405.00,1420.00,25100,1420.00
2012-04-16,1412.00,1427.00,1400.46,1410.00,47000,1410.00
2012-04-13,1423.00,1423.00,1410.00,1413.00,31900,1413.00
2012-04-12,1408.00,1419.75,1404.11,1413.00,27800,1413.00
2012-04-11,1414.00,1426.00,1403.00,1412.00,25600,1412.00
2012-04-10,1434.00,1434.00,1397.00,1410.00,70000,1410.00
2012-04-05,1439.00,1447.00,1410.00,1431.00,51900,1431.00
2012-04-04,1470.00,1475.00,1439.00,1442.00,52800,1442.00
2012-04-03,1471.00,1499.90,1464.00,1464.00,60400,1464.00
2012-04-02,1479.00,1490.50,1463.00,1485.00,57700,1485.00
2012-03-30,1509.00,1509.00,1480.00,1486.00,68600,1486.00
2012-03-29,1503.00,1512.00,1481.00,1490.00,48600,1490.00
2012-03-28,1511.00,1524.25,1500.00,1508.00,25000,1508.00
2012-03-27,1541.00,1541.00,1511.17,1516.00,47100,1516.00
2012-03-26,1539.00,1539.00,1517.00,1525.00,41400,1525.00
2012-03-23,1540.00,1540.00,1510.00,1524.00,39300,1524.00
2012-03-22,1527.00,1533.07,1522.00,1530.00,34700,1530.00
2012-03-21,1540.00,1549.89,1531.89,1537.00,40100,1537.00
2012-03-20,1550.00,1551.00,1535.00,1540.00,57700,1540.00
2012-03-19,1548.00,1558.00,1536.35,1540.00,56200,1540.00
2012-03-16,1550.00,1558.00,1538.15,1555.00,97100,1555.00
2012-03-15,1557.00,1570.00,1530.23,1554.00,72200,1554.00
2012-03-14,1540.00,1560.00,1534.00,1558.00,73400,1558.00
2012-03-13,1525.00,1534.68,1525.00,1532.00,66000,1532.00
2012-03-12,1526.00,1536.40,1512.44,1525.00,46100,1525.00
2012-03-09,1526.00,1540.00,1522.87,1540.00,51600,1540.00
2012-03-08,1510.00,1538.00,1510.00,1538.00,22900,1538.00
2012-03-07,1531.00,1534.89,1519.00,1524.00,45200,1524.00
2012-03-06,1540.00,1540.00,1518.60,1525.00,26900,1525.00
2012-03-05,1542.00,1551.00,1531.00,1535.00,36400,1535.00
2012-03-02,1552.00,1555.00,1541.27,1552.00,26300,1552.00
2012-03-01,1545.00,1558.00,1540.00,1546.00,32800,1546.00
2012-02-29,1565.00,1570.00,1552.00,1552.00,52400,1552.00
2012-02-28,1553.00,1560.00,1545.00,1555.00,48000,1555.00
2012-02-27,1545.00,1547.49,1532.00,1545.00,32700,1545.00
2012-02-24,1558.00,1560.00,1548.00,1550.00,34400,1550.00
2012-02-23,1569.00,1569.00,1535.74,1560.00,30100,1560.00
2012-02-22,1555.00,1561.69,1536.45,1541.00,36500,1541.00
2012-02-21,1534.00,1549.75,1521.94,1530.50,43100,1530.50
2012-02-20,1523.00,1538.00,1509.00,1538.00,27800,1538.00
2012-02-17,1523.00,1523.00,1512.11,1517.00,35800,1517.00
2012-02-16,1499.00,1509.00,1495.00,1509.00,22800,1509.00
2012-02-15,1523.00,1523.00,1499.11,1520.00,81300,1520.00
2012-02-14,1502.00,1503.00,1494.00,1500.00,30900,1500.00
2012-02-13,1485.00,1501.00,1485.00,1496.00,38300,1496.00
2012-02-10,1488.00,1498.50,1486.00,1495.00,34800,1495.00
2012-02-09,1499.00,1504.00,1491.00,1503.00,19500,1503.00
2012-02-08,1500.00,1510.00,1489.00,1490.00,31400,1490.00
2012-02-07,1488.00,1504.00,1484.00,1504.00,59500,1504.00
2012-02-06,1501.00,1503.00,1434.58,1503.00,63000,1503.00
2012-02-03,1485.00,1512.00,1485.00,1503.00,63500,1503.00
2012-02-02,1484.00,1491.00,1471.00,1484.00,57400,1484.00
2012-02-01,1465.00,1487.00,1460.00,1487.00,62100,1487.00
2012-01-31,1449.00,1466.00,1446.60,1458.00,69500,1458.00
2012-01-30,1464.00,1464.00,1452.00,1461.00,26100,1461.00
2012-01-27,1472.00,1476.00,1456.00,1465.00,97900,1465.00
2012-01-26,1457.00,1476.60,1457.00,1474.00,41600,1474.00
2012-01-25,1460.00,1476.00,1455.00,1459.00,38600,1459.00
2012-01-24,1468.00,1470.00,1460.11,1464.00,55500,1464.00
2012-01-23,1457.00,1473.58,1443.11,1469.00,61900,1469.00
2012-01-20,1441.00,1463.00,1440.00,1463.00,45100,1463.00
2012-01-19,1418.13,1459.00,1415.00,1451.00,77400,1451.00
2012-01-18,1420.00,1435.00,1415.60,1429.00,460400,1429.00
2012-01-17,1423.00,1434.87,1417.00,1426.00,44400,1426.00
2012-01-16,1409.00,1419.00,1386.00,1419.00,36900,1419.00
2012-01-13,1391.00,1425.00,1391.00,1410.00,52100,1410.00
2012-01-12,1396.00,1418.00,1396.00,1418.00,39600,1418.00
2012-01-11,1395.00,1404.00,1386.11,1393.00,41200,1393.00
2012-01-09,1395.00,1400.20,1385.00,1393.00,44800,1393.00
2012-01-06,1387.00,1401.00,1385.00,1401.00,61500,1401.00
2012-01-05,1381.00,1399.00,1372.00,1390.00,34600,1390.00
2012-01-04,1410.00,1410.00,1382.00,1401.00,35500,1401.00
2012-01-03,1374.00,1409.00,1365.00,1409.00,25800,1409.00
2011-12-30,1373.00,1373.00,1359.95,1365.00,4300,1365.00
2011-12-29,1378.00,1378.00,1351.00,1357.00,9600,1357.00
2011-12-28,1368.00,1382.00,1352.00,1367.00,13900,1367.00
2011-12-23,1375.00,1375.00,1370.00,1375.00,8300,1375.00
2011-12-22,1345.00,1355.00,1335.00,1338.00,69200,1338.00
2011-12-21,1322.00,1352.49,1322.00,1345.00,56200,1345.00
2011-12-20,1335.00,1337.00,1318.00,1337.00,35000,1337.00
2011-12-19,1340.00,1360.50,1325.00,1340.00,41600,1340.00
2011-12-16,1350.00,1357.49,1340.00,1348.00,97400,1348.00
