Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,660.00,660.00,645.00,660.00,300,670.00
2012-08-02,660.00,670.00,645.00,670.00,159600,670.00
2012-08-01,660.00,660.00,653.00,660.00,2600,660.00
2012-07-31,660.00,660.00,656.23,660.00,1200,660.00
2012-07-27,647.00,658.50,645.50,658.50,5700,658.50
2012-07-26,658.00,658.00,651.50,651.50,000,651.50
2012-07-25,647.97,660.00,660.00,660.00,1600,660.00
2012-07-24,647.50,647.50,647.50,647.50,000,647.50
2012-07-23,656.15,656.15,646.40,647.50,2900,647.50
2012-07-20,657.50,660.00,647.50,647.50,5300,647.50
2012-07-19,642.50,670.00,642.50,655.00,2700,655.00
2012-07-18,642.50,660.00,642.50,645.00,400,645.00
2012-07-17,642.00,670.00,642.00,642.50,4500,642.50
2012-07-16,660.00,663.56,653.50,653.50,400,653.50
2012-07-13,646.00,669.50,646.00,660.00,500,660.00
2012-07-12,645.50,670.00,645.00,669.50,7600,669.50
2012-07-11,641.00,669.50,641.00,669.50,6100,669.50
2012-07-10,659.50,669.50,641.00,641.50,3700,641.50
2012-07-09,650.00,670.00,643.88,670.00,8900,670.00
2012-07-06,642.00,642.00,641.00,641.00,100,641.00
2012-07-05,640.50,650.00,640.50,640.50,500,640.50
2012-07-04,650.00,650.00,640.50,640.50,5700,640.50
2012-07-03,645.00,663.43,640.50,641.00,1300,641.00
2012-07-02,664.50,673.15,645.50,645.50,6500,645.50
2012-06-29,654.50,670.00,650.50,670.00,12500,670.00
2012-06-28,625.00,654.00,625.00,650.00,14300,650.00
2012-06-27,624.00,640.00,624.00,624.00,3500,624.00
2012-06-26,635.00,650.00,622.50,622.50,10200,622.50
2012-06-25,640.00,657.00,625.00,625.00,12700,625.00
2012-06-22,650.00,662.50,645.00,645.00,1800,645.00
2012-06-21,650.00,670.00,650.00,668.50,13000,668.50
2012-06-20,650.00,660.50,650.00,660.00,8900,660.00
2012-06-19,675.00,675.00,646.50,646.50,16000,646.50
2012-06-18,639.50,690.50,630.00,663.00,12100,663.00
2012-06-15,632.00,650.39,614.50,650.00,47100,650.00
2012-06-14,609.50,637.50,600.00,620.00,19700,620.00
2012-06-13,600.00,610.00,600.00,600.00,15200,600.00
2012-06-12,597.00,605.00,595.00,600.00,53500,600.00
2012-06-11,600.50,600.50,595.00,595.00,14700,595.00
2012-06-08,600.00,608.50,595.00,595.00,26700,595.00
2012-06-07,600.00,600.50,600.00,600.00,16100,600.00
2012-06-06,620.50,620.50,600.00,600.00,6900,600.00
2012-06-01,600.00,600.70,597.27,600.00,19400,600.00
2012-05-31,600.00,610.00,600.00,600.00,11000,600.00
2012-05-30,600.00,603.44,591.00,598.00,25100,598.00
2012-05-29,606.50,613.59,600.00,610.00,12600,610.00
2012-05-28,610.00,610.00,600.00,600.00,2900,600.00
2012-05-25,615.50,615.50,600.00,600.00,13200,600.00
2012-05-24,620.00,630.00,610.00,610.00,2700,610.00
2012-05-23,630.00,640.00,610.00,610.00,7900,610.00
2012-05-22,630.00,640.00,629.55,630.00,10200,630.00
2012-05-21,645.00,645.00,630.00,630.00,3400,630.00
2012-05-18,627.50,650.00,620.50,640.00,96900,640.00
2012-05-17,636.00,636.00,631.00,636.00,12200,636.00
2012-05-16,630.50,640.00,630.00,636.00,2700,636.00
2012-05-14,634.50,635.00,617.18,635.00,1600,635.00
2012-05-11,625.50,630.00,615.00,620.50,3700,620.50
2012-05-10,615.00,625.00,607.50,618.00,14200,618.00
2012-05-09,610.00,627.71,610.00,610.00,1900,610.00
2012-05-08,629.00,639.57,610.00,610.00,2600,610.00
2012-05-04,620.00,629.50,620.00,624.00,4000,624.00
2012-05-03,618.00,629.00,611.00,626.00,39400,626.00
2012-05-02,595.00,638.00,595.00,620.00,71900,620.00
2012-05-01,618.50,628.00,618.00,625.00,15300,625.00
2012-04-30,623.00,634.95,621.28,634.95,800,634.95
2012-04-27,629.00,637.00,620.00,620.00,2400,620.00
2012-04-26,635.00,637.50,629.00,637.50,15300,637.50
2012-04-25,624.00,633.35,610.00,610.00,1100,610.00
2012-04-24,622.00,631.00,618.00,622.00,2100,622.00
2012-04-23,618.00,618.00,618.00,618.00,100,618.00
2012-04-20,625.00,625.75,615.00,615.00,1500,615.00
2012-04-19,622.08,622.08,622.08,622.08,200,622.08
2012-04-18,607.00,635.00,607.00,613.00,6500,613.00
2012-04-17,619.00,631.69,619.00,620.50,100,620.50
2012-04-16,619.00,619.00,619.00,619.00,000,619.00
2012-04-13,621.50,635.00,613.06,630.50,2500,630.50
2012-04-12,608.50,613.83,605.00,605.00,1500,605.00
2012-04-11,605.00,616.75,604.00,610.00,5600,610.00
2012-04-10,612.00,634.50,604.00,604.00,76400,604.00
2012-04-05,612.00,616.57,612.00,615.00,8300,615.00
2012-04-04,615.00,625.00,610.00,615.00,3700,615.00
2012-04-03,631.50,637.00,610.00,610.00,12300,610.00
2012-04-02,622.00,624.50,618.50,618.50,22100,618.50
2012-03-30,625.50,629.38,610.00,610.00,18500,610.00
2012-03-29,626.50,634.44,625.00,625.00,49600,625.00
2012-03-28,625.00,629.00,622.50,625.00,28900,625.00
2012-03-27,617.00,627.38,613.70,623.00,55900,623.00
2012-03-26,618.56,621.50,618.00,618.00,1100,618.00
2012-03-23,620.50,625.00,619.75,620.00,27600,620.00
2012-03-22,625.50,632.00,615.00,615.00,16400,615.00
2012-03-21,624.50,632.00,615.00,625.50,13500,625.50
2012-03-20,629.00,631.50,620.00,625.00,14800,625.00
2012-03-19,608.50,620.00,608.50,620.00,18500,620.00
2012-03-16,599.50,611.50,595.50,605.00,949800,605.00
2012-03-15,629.50,629.50,589.00,600.00,71200,600.00
2012-03-14,617.50,628.50,605.00,620.00,37300,620.00
2012-03-13,617.00,620.50,595.00,605.00,46400,605.00
2012-03-12,616.00,645.85,616.00,616.50,20200,616.50
2012-03-09,645.00,645.50,615.00,621.00,115000,621.00
2012-03-08,658.00,686.50,640.00,650.00,7800,650.00
2012-03-07,651.00,679.56,651.00,652.00,4700,652.00
2012-03-06,672.50,685.00,660.04,684.00,14800,684.00
2012-03-05,681.64,681.64,642.00,642.00,2300,642.00
2012-03-02,650.00,670.00,646.00,646.00,4400,646.00
2012-03-01,638.00,671.00,638.00,671.00,14100,671.00
2012-02-29,646.50,659.50,627.00,627.00,7500,627.00
2012-02-28,669.50,673.50,649.18,673.50,1000,673.50
2012-02-27,650.00,668.50,646.00,668.50,4400,668.50
2012-02-24,660.00,673.50,648.24,657.00,5500,657.00
2012-02-23,650.00,650.00,636.50,636.50,2100,636.50
2012-02-22,632.50,650.00,632.50,650.00,3500,650.00
2012-02-21,638.11,638.11,631.25,637.44,1700,637.44
2012-02-20,627.50,642.00,624.50,633.50,17000,633.50
2012-02-17,635.00,636.00,622.50,636.00,9200,636.00
2012-02-16,635.00,635.00,622.50,622.50,7300,622.50
2012-02-15,657.50,676.85,637.00,642.00,14900,642.00
2012-02-14,663.50,683.81,654.00,654.00,14700,654.00
2012-02-13,658.50,680.00,657.50,680.00,2000,680.00
2012-02-10,660.50,660.50,657.50,657.50,300,657.50
2012-02-09,679.50,682.00,659.50,681.00,242700,681.00
2012-02-08,681.00,683.68,654.00,665.00,13500,665.00
2012-02-07,630.00,681.00,630.00,681.00,15200,681.00
2012-02-06,628.50,632.00,594.37,632.00,10100,632.00
2012-02-03,600.00,630.71,600.00,623.00,8700,623.00
2012-02-02,593.50,605.00,593.00,605.00,44100,605.00
2012-02-01,600.50,605.00,560.00,560.00,87500,560.00
2012-01-31,600.50,614.50,596.00,605.50,10900,605.50
2012-01-30,611.00,611.00,595.00,600.50,4000,600.50
2012-01-27,600.00,608.50,585.50,608.50,5700,608.50
2012-01-26,600.00,600.00,586.50,600.00,1200,600.00
2012-01-25,592.00,605.00,585.00,586.50,7700,586.50
2012-01-24,604.50,604.50,582.50,582.50,63900,582.50
2012-01-23,600.00,600.00,586.00,590.00,18500,590.00
2012-01-20,602.50,615.00,582.50,582.50,20400,582.50
2012-01-19,589.50,602.00,582.50,583.50,1600,583.50
2012-01-18,591.50,600.00,583.00,590.00,3200,590.00
2012-01-17,592.50,593.00,580.00,580.00,4800,580.00
2012-01-16,594.00,594.00,580.00,590.00,700,590.00
2012-01-13,595.00,595.00,579.00,595.00,3500,595.00
2012-01-12,577.00,593.00,575.00,593.00,8600,593.00
2012-01-11,578.00,589.00,575.50,577.00,4700,577.00
2012-01-10,576.50,578.00,576.50,578.00,1300,578.00
2012-01-09,598.50,598.50,580.00,585.00,8900,585.00
2012-01-06,600.00,600.00,573.50,589.00,3300,589.00
2012-01-05,600.00,600.00,588.50,599.00,1100,599.00
2012-01-04,596.50,596.50,573.00,573.00,87000,573.00
2012-01-03,597.00,597.00,563.00,596.00,1500,596.00
2011-12-30,590.00,590.00,583.00,590.00,3900,590.00
