Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,345.00,345.00,338.25,340.00,6800,348.50
2012-08-01,345.25,350.00,345.00,348.50,200600,348.50
2012-07-31,348.00,356.12,345.00,350.00,8300,350.00
2012-07-30,359.50,359.50,348.60,350.00,645100,350.00
2012-07-27,345.00,360.00,342.00,360.00,135400,360.00
2012-07-26,340.00,345.00,335.00,345.00,8400,345.00
2012-07-25,339.00,341.98,335.00,340.98,8400,340.98
2012-07-24,344.75,344.75,332.00,332.00,10400,332.00
2012-07-23,340.00,340.08,330.00,332.00,17100,332.00
2012-07-20,340.75,345.00,336.50,340.00,28400,340.00
2012-07-19,341.25,343.50,334.36,336.50,16000,336.50
2012-07-18,337.25,345.00,337.25,338.00,17600,338.00
2012-07-17,341.00,350.67,335.00,336.75,20900,336.75
2012-07-16,347.00,354.75,340.00,345.00,22400,345.00
2012-07-13,340.75,353.50,340.75,347.00,59300,347.00
2012-07-12,345.00,345.00,345.00,345.00,24500,345.00
2012-07-11,332.00,345.00,332.00,345.00,11400,345.00
2012-07-10,335.00,338.75,333.00,335.75,15200,335.75
2012-07-09,322.25,341.75,322.25,341.75,15900,341.75
2012-07-06,328.00,331.50,326.00,326.00,5500,326.00
2012-07-05,330.00,331.75,328.00,328.00,12200,328.00
2012-07-04,329.75,332.00,329.75,332.00,5300,332.00
2012-07-03,329.75,330.00,320.00,330.00,7700,330.00
2012-07-02,327.75,327.75,317.05,323.25,33100,323.25
2012-06-29,310.00,325.00,303.06,322.50,300700,322.50
2012-06-28,315.00,315.00,305.00,305.00,24300,305.00
2012-06-27,315.00,320.90,312.00,312.00,5300,312.00
2012-06-26,317.25,317.40,313.19,315.00,32700,315.00
2012-06-25,326.00,329.40,319.53,320.00,213800,320.00
2012-06-22,321.46,329.23,321.43,328.50,8300,328.50
2012-06-21,330.00,330.00,321.96,322.00,2700,322.00
2012-06-20,330.00,330.00,321.50,321.50,12400,321.50
2012-06-19,323.00,329.52,321.50,325.25,53600,325.25
2012-06-18,327.50,339.75,314.75,323.00,90900,323.00
2012-06-15,350.00,360.00,347.25,348.00,538700,348.00
2012-06-14,347.00,348.25,345.46,348.25,9500,348.25
2012-06-13,344.00,350.00,343.12,345.00,17200,345.00
2012-06-12,344.50,344.50,338.00,341.25,9000,341.25
2012-06-11,346.56,346.56,341.75,341.75,3200,341.75
2012-06-08,340.00,342.19,336.75,336.75,38900,336.75
2012-06-07,339.25,348.47,339.00,341.00,13300,341.00
2012-06-06,340.25,348.25,338.25,339.00,20900,339.00
2012-06-01,355.00,359.90,338.00,350.00,102600,350.00
2012-05-31,347.00,350.00,338.25,350.00,22500,350.00
2012-05-30,345.00,345.00,338.00,338.00,3900,338.00
2012-05-29,350.75,354.47,350.00,353.00,310800,353.00
2012-05-28,350.00,355.00,350.00,351.81,118600,351.81
2012-05-25,348.00,356.05,347.50,347.50,403100,347.50
2012-05-24,345.00,350.00,345.00,350.00,12700,350.00
2012-05-23,355.00,358.00,345.00,345.00,48800,345.00
2012-05-22,358.00,361.40,350.00,355.00,604200,355.00
2012-05-21,357.50,362.00,352.00,354.50,17500,354.50
2012-05-14,363.00,370.00,359.25,363.00,32200,363.00
2012-05-11,363.00,369.00,363.00,367.25,31000,367.25
2012-05-10,375.00,375.00,360.00,363.00,56600,363.00
2012-05-09,363.00,375.00,361.00,375.00,28200,375.00
2012-05-08,365.00,374.75,363.25,372.75,12500,372.75
2012-05-04,363.00,365.75,360.00,362.40,22400,362.40
2012-05-03,365.00,369.75,360.00,360.00,24500,360.00
2012-05-02,385.00,389.67,365.00,365.00,88500,365.00
2012-05-01,380.00,390.70,380.00,387.00,55500,387.00
2012-04-30,385.75,389.69,380.00,382.00,8000,382.00
2012-04-27,380.00,387.50,375.00,387.50,16300,387.50
2012-04-26,379.25,380.00,376.00,380.00,500,380.00
2012-04-25,376.75,380.00,376.00,376.50,17800,376.50
2012-04-24,371.00,376.75,371.00,372.50,15200,372.50
2012-04-23,383.50,383.50,367.25,367.25,22400,367.25
2012-04-20,386.00,390.00,386.00,387.50,40600,387.50
2012-04-19,380.25,390.30,380.25,383.00,13600,383.00
2012-04-18,370.00,390.00,368.25,390.00,446200,390.00
2012-04-17,365.25,372.77,364.90,369.25,15800,369.25
2012-04-16,367.25,377.64,363.75,371.50,12800,371.50
2012-04-13,374.75,376.96,368.00,374.50,10600,374.50
2012-04-12,363.25,370.23,363.25,365.00,24200,365.00
2012-04-11,363.00,372.50,361.56,363.00,15200,363.00
2012-04-10,371.38,371.38,360.87,361.75,2200,361.75
2012-04-05,360.00,373.40,360.00,367.00,17400,367.00
2012-04-04,365.00,381.65,358.75,358.75,18300,358.75
2012-04-03,381.25,381.25,373.24,378.75,15700,378.75
2012-04-02,368.25,380.00,365.74,375.00,36500,375.00
2012-03-30,365.00,380.00,350.00,368.00,37800,368.00
2012-03-29,360.00,365.00,360.00,361.00,32400,361.00
2012-03-28,357.00,361.30,355.70,355.75,10900,355.75
2012-03-27,356.75,362.00,356.75,359.50,36800,359.50
2012-03-26,359.75,359.75,346.50,347.50,12100,347.50
2012-03-23,350.00,359.50,350.00,351.75,12600,351.75
2012-03-22,351.00,360.00,351.00,351.00,1600,351.00
2012-03-21,350.25,360.00,350.25,360.00,6000,360.00
2012-03-20,355.00,360.00,351.00,360.00,15700,360.00
2012-03-19,355.00,362.00,355.00,361.50,23100,361.50
2012-03-16,364.00,364.90,356.92,360.25,14300,360.25
2012-03-15,361.75,365.00,357.50,363.50,12200,363.50
2012-03-14,362.00,362.00,362.00,362.00,7500,362.00
2012-03-13,353.25,362.05,352.00,356.25,22600,356.25
2012-03-12,356.00,363.75,350.00,355.50,51900,355.50
2012-03-09,364.01,364.01,357.64,357.75,3500,357.75
2012-03-08,368.00,371.65,358.00,361.25,15800,361.25
2012-03-07,369.65,369.65,359.54,366.00,8300,366.00
2012-03-06,362.00,362.00,359.64,362.00,46600,362.00
2012-03-05,369.75,373.25,359.40,373.00,16600,373.00
2012-03-02,365.00,375.00,362.17,370.00,12100,370.00
2012-03-01,365.00,381.75,357.12,366.00,27800,366.00
2012-02-29,356.25,365.00,355.00,360.00,33400,360.00
2012-02-28,358.00,361.12,346.25,355.25,40000,355.25
2012-02-27,364.00,364.00,346.00,346.00,180600,346.00
2012-02-24,360.00,360.00,353.25,358.00,15900,358.00
2012-02-23,365.00,370.75,360.00,360.00,26500,360.00
2012-02-22,371.75,373.45,366.25,369.00,16500,369.00
2012-02-21,360.00,372.00,360.00,368.00,63600,368.00
2012-02-20,362.75,365.00,356.00,363.00,34200,363.00
2012-02-17,358.25,362.42,357.50,358.75,30000,358.75
2012-02-16,354.75,355.00,345.00,352.25,38200,352.25
2012-02-15,351.25,360.16,350.00,350.50,27200,350.50
2012-02-14,351.25,358.33,351.25,354.75,26400,354.75
2012-02-13,356.25,359.00,356.00,358.00,39000,358.00
2012-02-10,357.00,360.00,350.00,360.00,15100,360.00
2012-02-09,352.75,359.41,350.00,350.00,29400,350.00
2012-02-08,350.25,359.70,348.89,352.50,139100,352.50
2012-02-07,360.25,367.25,355.00,355.00,31700,355.00
2012-02-06,367.25,367.81,355.88,364.75,101400,364.75
2012-02-03,352.00,365.88,344.00,360.00,33900,360.00
2012-02-02,348.00,351.75,343.00,345.00,13700,345.00
2012-02-01,344.25,355.00,344.00,344.00,11800,344.00
2012-01-31,350.00,357.75,346.25,355.00,9200,355.00
2012-01-30,352.00,357.36,352.00,352.00,11900,352.00
2012-01-27,357.75,358.00,345.31,354.00,21600,354.00
2012-01-26,358.25,368.10,349.00,349.00,14900,349.00
2012-01-25,360.00,365.62,360.00,365.62,5700,365.62
2012-01-24,357.25,369.25,357.25,364.25,22200,364.25
2012-01-23,350.00,363.50,350.00,363.50,11400,363.50
2012-01-20,342.75,350.75,339.20,350.75,58000,350.75
2012-01-19,338.25,339.79,332.00,332.00,14900,332.00
2012-01-18,325.50,337.50,325.25,331.00,6100,331.00
2012-01-17,325.00,337.75,325.00,331.50,20700,331.50
2012-01-16,325.00,326.90,323.00,325.00,7100,325.00
2012-01-13,325.00,334.91,323.00,325.00,14800,325.00
2012-01-12,331.00,335.27,330.00,332.25,21900,332.25
2012-01-11,332.00,332.50,330.00,332.50,85400,332.50
2012-01-09,332.25,338.30,325.00,332.00,5500,332.00
2012-01-06,339.26,339.75,332.62,334.25,4000,334.25
2012-01-05,333.00,335.50,321.25,335.00,51900,335.00
2012-01-04,322.00,327.75,320.25,322.50,18700,322.50
2012-01-03,320.25,327.75,317.00,317.00,17500,317.00
2011-12-30,305.00,330.00,305.00,305.00,000,305.00
2011-12-29,322.00,327.00,320.00,320.00,7400,320.00
2011-12-28,325.00,325.00,322.50,324.00,11000,324.00
2011-12-23,324.17,325.00,319.69,325.00,3600,325.00
2011-12-22,325.00,325.00,315.00,315.00,12900,315.00
2011-12-21,309.00,325.00,309.00,319.75,33000,319.75
2011-12-20,304.00,308.45,300.00,307.00,32900,307.00
2011-12-19,305.75,309.65,300.50,304.25,11900,304.25
2011-12-16,320.00,323.60,305.00,305.00,28500,305.00
2011-12-15,323.57,323.57,315.48,322.47,1200,322.47
2011-12-14,330.00,336.76,315.25,321.75,19100,321.75
2011-12-13,335.50,342.65,335.50,335.75,6200,335.75
2011-12-12,345.00,345.00,338.25,338.25,7000,338.25
2011-12-09,329.50,350.00,329.50,348.50,25900,348.50
2011-12-08,326.00,329.57,326.00,327.00,11600,327.00
2011-12-07,324.50,326.05,323.50,324.50,18700,324.50
2011-12-06,334.75,334.75,320.00,323.50,14700,323.50
2011-12-05,325.00,332.65,325.00,329.25,56200,329.25
2011-12-02,328.00,329.24,325.00,325.98,1205700,325.98
2011-12-01,331.25,333.00,326.50,328.00,26900,328.00
2011-11-30,334.75,335.00,325.10,334.75,22200,334.75
2011-11-28,339.27,339.27,331.17,331.17,1400,331.17
2011-11-25,331.96,331.96,330.00,330.00,16000,330.00
2011-11-24,339.75,340.00,328.75,340.00,8300,340.00
2011-11-23,335.00,339.83,328.48,329.75,10400,329.75
2011-11-22,344.26,344.26,339.62,339.62,1400,339.62
2011-11-21,335.75,344.38,335.00,335.00,18500,335.00
2011-11-18,336.50,345.00,330.75,343.50,12000,343.50
2011-11-17,330.00,462.00,330.00,330.00,000,330.00
2011-11-16,340.00,343.58,335.67,335.67,1069000,335.67
2011-11-15,345.00,345.42,331.46,335.00,635600,335.00
2011-11-14,352.00,352.00,346.50,348.00,91800,348.00
2011-11-11,346.75,347.50,346.75,347.50,200,347.50
2011-11-10,340.00,352.25,337.33,346.75,12700,346.75
2011-11-09,350.00,350.00,348.00,350.00,18200,350.00
2011-11-08,352.00,352.66,352.00,352.66,1200,352.66
2011-11-07,347.00,350.00,342.38,350.00,22000,350.00
2011-11-04,350.00,352.00,348.00,348.00,14500,348.00
2011-11-03,353.00,353.00,345.00,348.75,60300,348.75
2011-11-02,360.00,365.00,357.00,360.00,7700,360.00
2011-11-01,370.25,378.00,355.00,355.00,34800,355.00
2011-10-31,371.25,379.02,371.00,372.00,41200,372.00
2011-10-28,360.00,378.00,357.00,373.25,70600,373.25
2011-10-27,340.25,362.00,335.50,360.00,76800,360.00
2011-10-26,337.75,342.33,337.75,342.33,9700,342.33
2011-10-25,335.00,340.00,335.00,340.00,76300,340.00
2011-10-24,325.00,332.00,325.00,330.00,182800,330.00
2011-10-21,327.75,327.75,320.88,323.00,21400,323.00
2011-10-20,320.00,325.00,320.00,325.00,11200,325.00
2011-10-19,330.00,331.75,324.50,326.00,9600,326.00
2011-10-18,330.00,335.00,325.00,325.00,146600,325.00
2011-10-17,335.00,339.50,332.00,335.00,22900,335.00
2011-10-14,336.50,336.50,336.50,336.50,500,336.50
2011-10-13,333.25,340.00,333.25,340.00,359400,340.00
2011-10-12,330.00,340.00,326.25,333.00,39500,333.00
2011-10-11,325.00,331.75,323.58,331.75,16700,331.75
2011-10-10,325.00,325.00,312.00,324.50,84500,324.50
2011-10-07,327.25,334.60,321.25,321.25,36800,321.25
2011-10-06,330.00,335.00,330.00,332.50,6500,332.50
2011-10-05,332.00,334.75,332.00,334.75,106700,334.75
2011-10-04,351.75,351.75,334.00,349.50,70100,349.50
2011-10-03,350.00,358.30,340.00,350.00,31200,350.00
2011-09-30,370.00,370.00,346.00,346.00,73100,346.00
2011-09-29,365.00,369.90,360.00,369.25,18900,369.25
2011-09-28,359.00,367.00,359.00,365.00,4200,365.00
2011-09-27,355.25,365.00,355.25,360.75,5700,360.75
2011-09-26,358.00,360.00,354.35,360.00,7500,360.00
2011-09-23,363.00,369.75,350.25,360.00,50100,360.00
2011-09-22,370.00,370.00,362.41,364.00,10100,364.00
2011-09-21,370.75,375.00,370.25,375.00,10200,375.00
2011-09-20,379.75,379.75,379.75,379.75,000,379.75
2011-09-19,381.75,382.00,373.50,381.25,4400,381.25
2011-09-16,382.75,385.00,372.90,385.00,9200,385.00
2011-09-15,378.00,381.75,370.61,381.75,5200,381.75
2011-09-14,377.50,377.50,376.15,376.25,800,376.25
2011-09-13,375.00,378.50,373.30,378.00,7900,378.00
2011-09-12,375.50,384.00,371.75,378.50,17700,378.50
2011-09-09,384.75,389.03,383.50,383.50,4100,383.50
2011-09-08,384.75,388.75,377.68,388.75,5100,388.75
2011-09-07,372.25,385.00,369.29,385.00,18500,385.00
2011-09-06,375.00,377.46,362.00,366.00,55400,366.00
2011-09-05,375.00,377.75,371.67,375.00,15400,375.00
2011-09-02,375.00,385.00,375.00,380.00,14300,380.00
2011-09-01,385.00,385.00,382.00,385.00,7000,385.00
2011-08-31,380.00,385.00,372.50,385.00,10900,385.00
2011-08-30,370.00,378.00,357.60,378.00,16600,378.00
2011-08-26,367.25,367.25,354.75,359.00,28200,359.00
2011-08-25,370.00,380.00,369.64,376.00,15300,376.00
2011-08-24,365.00,370.00,364.90,370.00,4800,370.00
2011-08-23,355.00,360.00,355.00,359.25,10000,359.25
