Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,294.90,301.60,293.53,298.00,1815500,297.60
2012-08-02,294.90,302.90,293.53,297.60,3367400,297.60
2012-08-01,287.00,294.90,285.40,294.50,3493500,294.50
2012-07-31,293.10,294.10,283.50,286.90,3042700,286.90
2012-07-27,275.30,276.70,269.00,275.00,2419400,275.00
2012-07-26,270.40,275.40,267.30,274.60,1171100,274.60
2012-07-25,269.40,272.80,268.60,269.00,2279000,269.00
2012-07-24,278.00,280.80,270.00,270.30,1784200,270.30
2012-07-23,280.10,282.10,274.00,277.00,2194800,277.00
2012-07-20,285.10,286.60,278.20,281.60,2201900,281.60
2012-07-19,275.00,286.10,275.00,284.80,2113300,284.80
2012-07-18,276.00,279.00,273.11,275.00,1881800,275.00
2012-07-17,276.30,279.20,273.40,274.60,2548600,274.60
2012-07-16,275.90,276.40,273.00,274.90,2027500,274.90
2012-07-13,271.60,276.40,270.95,276.00,2341000,276.00
2012-07-12,275.10,275.10,267.80,269.90,2448800,269.90
2012-07-11,276.10,278.00,273.00,275.50,1801400,275.50
2012-07-10,275.80,281.10,275.66,276.10,2860000,276.10
2012-07-09,278.70,278.74,272.50,273.10,2658300,273.10
2012-07-06,277.70,279.20,275.90,277.10,1723500,277.10
2012-07-05,279.40,282.70,274.20,277.50,2437200,277.50
2012-07-04,278.40,279.80,273.40,278.20,2385600,278.20
2012-07-03,269.60,276.50,269.60,276.30,2143800,276.30
2012-07-02,265.00,270.80,265.00,269.60,2922800,269.60
2012-06-29,261.00,266.80,258.40,264.90,3591900,264.90
2012-06-28,250.90,256.50,249.30,256.00,3729200,256.00
2012-06-27,251.20,251.60,245.20,250.80,2114900,250.80
2012-06-26,249.40,252.20,248.20,249.30,2347100,249.30
2012-06-25,251.40,256.40,247.50,248.20,3332800,248.20
2012-06-22,256.10,258.20,252.60,254.50,4014600,254.50
2012-06-21,266.10,268.40,259.59,259.70,2914000,259.70
2012-06-20,268.60,270.30,265.70,268.30,8239900,268.30
2012-06-19,265.40,270.90,265.40,269.90,3383400,269.90
2012-06-18,275.10,277.20,261.50,264.50,6498300,264.50
2012-06-15,279.50,282.50,270.40,270.70,9803400,270.70
2012-06-14,289.80,289.80,278.70,280.00,4159500,280.00
2012-06-13,295.00,297.10,286.00,288.70,11881000,288.70
2012-06-12,290.50,292.20,286.30,291.90,3969100,291.90
2012-06-11,299.20,301.10,290.10,291.00,2239200,291.00
2012-06-08,294.00,295.10,289.56,294.10,2921900,294.10
2012-06-07,290.60,296.90,287.60,294.80,2420100,294.80
2012-06-06,282.40,292.40,278.92,289.70,3949100,289.70
2012-06-01,287.50,289.50,275.80,275.90,4588400,275.90
2012-05-31,290.00,295.00,283.50,285.50,4544000,285.50
2012-05-30,295.00,295.10,287.80,288.50,4920700,288.50
2012-05-29,291.10,296.40,291.10,295.20,2396500,295.20
2012-05-28,290.20,295.60,281.43,289.50,6324600,289.50
2012-05-25,291.50,293.00,285.90,287.20,3112500,287.20
2012-05-24,290.00,294.40,286.50,290.00,3162300,290.00
2012-05-23,293.40,294.56,286.90,287.80,2932000,287.80
2012-05-22,294.20,299.75,294.10,295.80,5412700,295.80
2012-05-21,286.90,295.50,284.10,294.40,2875800,294.40
