Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,234.50,235.20,230.50,231.10,2171700,231.00
2012-08-02,234.50,235.40,230.50,231.00,2675400,231.00
2012-08-01,232.30,235.40,232.14,235.30,2034100,235.30
2012-07-31,235.80,236.70,231.40,232.50,3058600,232.50
2012-07-27,231.50,236.10,231.50,235.90,3010800,235.90
2012-07-26,230.20,230.50,228.40,229.70,2315500,229.70
2012-07-25,229.80,231.20,227.80,229.80,1783700,229.80
2012-07-24,234.00,234.70,230.30,230.70,1530800,230.70
2012-07-23,234.80,236.65,231.12,233.00,3037000,233.00
2012-07-20,238.60,240.60,237.80,238.50,2564600,238.50
2012-07-19,239.80,242.70,238.00,238.80,1847800,238.80
2012-07-18,237.00,238.80,236.30,238.80,1522900,238.80
2012-07-17,237.80,238.90,234.90,236.40,1498600,236.40
2012-07-16,235.60,238.80,233.50,237.20,2031500,237.20
2012-07-13,232.20,236.10,230.80,235.40,1454900,235.40
2012-07-12,234.60,234.60,230.80,231.00,2322000,231.00
2012-07-11,236.30,236.70,233.40,234.90,2100100,234.90
2012-07-10,234.70,238.90,234.40,237.40,3074000,237.40
2012-07-09,235.20,235.30,232.80,234.30,2920000,234.30
2012-07-06,235.60,236.40,234.30,235.30,2626400,235.30
2012-07-05,236.50,237.40,234.70,236.80,1712400,236.80
2012-07-04,235.70,237.00,233.90,235.70,1073900,235.70
2012-07-03,236.80,236.80,234.00,235.20,2044300,235.20
2012-07-02,231.70,235.80,231.70,235.60,2112700,235.60
2012-06-29,230.50,233.00,228.00,232.20,3026800,232.20
2012-06-28,225.80,227.42,223.70,227.40,2182500,227.40
2012-06-27,219.60,226.30,219.30,225.70,2688300,225.70
2012-06-26,225.40,226.70,223.30,224.60,2507800,224.60
2012-06-25,226.80,227.40,222.90,225.00,2812100,225.00
2012-06-22,229.20,230.40,226.40,226.90,2933300,226.90
2012-06-21,235.00,235.00,231.90,232.60,4412100,232.60
2012-06-20,235.40,236.23,230.90,234.80,2977700,234.80
2012-06-19,233.70,236.40,232.30,234.70,4654200,234.70
2012-06-18,233.40,233.40,229.30,231.50,1908100,231.50
2012-06-15,235.90,236.00,229.36,229.50,4484500,229.50
2012-06-14,232.00,236.00,229.80,236.00,3316000,236.00
2012-06-13,234.10,234.10,228.10,231.50,4532200,231.50
2012-06-12,231.60,234.10,230.20,233.20,3755500,233.20
2012-06-11,233.40,233.90,230.90,232.10,3612300,232.10
2012-06-08,228.30,229.80,227.00,229.10,2990000,229.10
2012-06-07,228.10,230.40,226.30,228.60,3230600,228.60
2012-06-06,221.80,228.30,220.80,228.30,3758100,228.30
2012-06-01,223.90,224.00,217.70,219.60,3132000,219.60
2012-05-31,222.50,225.50,220.60,223.57,4840200,223.57
2012-05-30,225.60,225.60,221.90,222.16,3154900,222.16
2012-05-29,227.00,227.80,224.90,226.18,4728000,226.18
2012-05-28,226.20,226.30,224.50,225.70,1715000,225.70
2012-05-25,222.30,225.80,220.90,224.00,3074800,224.00
2012-05-24,227.60,227.60,220.10,221.60,3590300,221.60
2012-05-23,224.90,226.10,223.90,225.40,4010800,225.40
2012-05-22,219.20,225.60,217.05,225.60,3807200,225.60
2012-05-21,215.80,216.40,214.17,214.90,1633400,214.90
2012-05-18,217.90,217.90,213.90,215.10,2984900,215.10
2012-05-17,222.30,222.60,218.40,220.00,2266800,220.00
2012-05-16,216.60,222.00,215.50,221.30,3834100,221.30
2012-05-14,220.00,220.00,215.80,216.40,2665300,216.40
2012-05-11,214.70,220.90,214.70,220.30,2864800,220.30
2012-05-10,221.50,222.40,213.20,215.80,4841100,215.80
2012-05-09,219.90,221.00,215.60,218.15,7542000,218.15
2012-05-08,220.30,222.60,217.90,219.00,3697900,219.00
2012-05-04,223.40,224.37,219.20,219.80,3362200,219.80
2012-05-03,223.60,225.30,223.10,224.30,4839400,224.30
2012-05-02,226.90,227.00,220.00,224.30,4416900,224.30
2012-05-01,228.70,229.20,225.40,229.00,1910200,229.00
2012-04-30,231.40,231.40,225.10,226.50,4265400,226.50
2012-04-27,234.20,234.20,228.20,229.80,6346900,229.80
2012-04-26,238.50,238.50,230.40,233.60,4934800,233.60
2012-04-25,238.10,241.10,235.60,238.30,2980800,238.30
2012-04-24,232.90,237.70,230.60,237.70,4333200,237.70
2012-04-23,237.20,237.20,230.40,231.00,3063800,231.00
2012-04-20,240.40,240.54,236.00,236.90,3658600,236.90
2012-04-19,239.50,241.30,238.50,239.50,3879300,239.50
2012-04-18,238.90,240.20,235.50,238.40,3536800,238.40
2012-04-17,234.40,238.90,233.30,238.90,3043900,238.90
2012-04-16,234.30,235.40,232.70,233.40,3025300,233.40
2012-04-13,236.20,236.80,232.00,232.60,2604600,232.60
2012-04-12,233.10,237.20,232.00,237.20,3819600,237.20
2012-04-11,228.20,231.40,228.10,230.60,4535700,230.60
2012-04-10,229.30,231.70,226.80,229.10,3989000,229.10
2012-04-05,227.90,230.80,226.66,230.00,3338200,230.00
2012-04-04,232.20,232.70,226.30,227.00,5814800,227.00
2012-04-03,231.60,233.42,230.70,232.00,4010800,232.00
2012-04-02,230.10,232.20,226.50,232.20,5021400,232.20
2012-03-30,222.80,229.10,222.80,229.10,7084800,229.10
2012-03-29,223.30,224.40,221.20,221.60,5405400,221.60
2012-03-28,224.40,227.90,223.20,223.50,4326500,223.50
2012-03-27,225.00,226.30,222.10,224.50,3119100,224.50
2012-03-26,222.20,224.50,220.90,224.10,1995200,224.10
2012-03-23,220.00,222.50,219.44,221.90,3222200,221.90
2012-03-22,221.00,222.20,217.50,219.60,3769100,219.60
2012-03-21,221.20,221.90,217.70,220.40,2775800,220.40
2012-03-20,217.80,220.80,216.60,220.40,3054100,220.40
2012-03-19,222.30,222.30,219.80,220.80,2027300,220.80
