Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,111.20,113.50,109.90,110.60,120400,110.50
2012-08-02,111.20,113.50,109.90,110.50,140600,110.50
2012-08-01,112.90,113.90,108.00,111.00,173100,111.00
2012-07-31,116.80,116.80,112.10,112.10,85400,112.10
2012-07-27,113.80,117.10,110.90,117.10,123900,117.10
2012-07-26,108.50,116.00,107.00,112.00,149900,112.00
2012-07-25,111.10,111.10,103.88,108.00,304100,108.00
2012-07-24,112.10,112.10,109.10,110.50,94800,110.50
2012-07-23,120.90,120.90,111.00,111.20,168400,111.20
2012-07-20,122.40,122.40,120.00,121.00,111000,121.00
2012-07-19,121.80,123.50,120.48,121.50,121600,121.50
2012-07-18,124.00,125.20,121.00,121.00,203100,121.00
2012-07-17,125.40,125.50,122.00,123.80,249300,123.80
2012-07-16,127.00,127.00,124.80,124.80,92900,124.80
2012-07-13,126.10,126.10,124.70,125.00,142600,125.00
2012-07-12,125.20,125.30,125.20,125.30,892900,125.30
2012-07-11,127.50,127.50,123.20,124.70,109000,124.70
2012-07-10,124.90,125.80,124.70,124.90,139100,124.90
2012-07-09,124.90,125.70,123.94,124.00,124500,124.00
2012-07-06,124.00,125.60,123.00,124.20,141800,124.20
2012-07-05,122.50,124.50,122.50,123.20,63100,123.20
2012-07-04,127.90,127.90,124.00,124.20,77900,124.20
2012-07-03,125.20,125.50,124.40,125.00,157300,125.00
2012-07-02,124.30,125.40,124.30,125.00,98200,125.00
2012-06-29,125.40,127.70,124.50,124.90,232800,124.90
2012-06-28,125.10,125.50,124.30,124.60,87100,124.60
2012-06-27,124.60,125.20,122.00,125.00,128000,125.00
2012-06-26,123.10,124.30,121.70,123.50,130700,123.50
2012-06-25,123.00,125.20,121.90,121.90,170300,121.90
2012-06-22,122.10,125.40,122.10,122.80,265800,122.80
2012-06-21,122.20,125.30,121.10,124.90,120400,124.90
2012-06-20,126.20,126.20,120.80,123.30,197400,123.30
2012-06-19,123.60,126.10,123.50,125.80,480700,125.80
2012-06-18,125.10,127.10,121.50,123.90,308500,123.90
2012-06-15,122.80,126.10,121.20,125.00,1481400,125.00
2012-06-14,116.60,127.50,116.40,123.10,688700,123.10
2012-06-13,117.30,117.40,114.50,115.60,193300,115.60
2012-06-12,115.40,116.40,114.10,115.40,136300,115.40
2012-06-11,117.50,119.30,115.50,115.50,447200,115.50
2012-06-08,114.50,117.20,112.51,116.30,115000,116.30
2012-06-07,114.70,117.70,112.10,115.60,189800,115.60
2012-06-06,116.80,116.80,113.30,115.00,256300,115.00
2012-06-01,116.10,117.30,115.20,115.40,47500,115.40
2012-05-31,120.00,120.00,116.53,116.60,1472700,116.60
2012-05-30,117.00,119.85,117.00,117.20,351000,117.20
2012-05-29,114.00,117.90,113.50,117.60,240400,117.60
2012-05-28,114.70,114.70,112.70,112.80,114500,112.80
2012-05-25,114.50,116.60,112.80,113.00,277600,113.00
2012-05-24,119.20,119.20,114.80,114.90,359900,114.90
2012-05-23,112.90,118.70,112.20,118.70,318700,118.70
2012-05-22,112.50,113.00,110.90,112.90,352400,112.90
2012-05-21,110.00,112.77,110.00,112.50,217200,112.50
2012-05-18,111.00,113.40,110.10,111.00,252100,111.00
2012-05-17,111.10,113.40,110.20,110.90,159700,110.90
2012-05-16,107.80,110.90,104.50,110.90,225000,110.90
2012-05-14,113.00,113.61,110.80,111.80,229200,111.80
2012-05-11,116.00,117.70,111.80,114.00,363700,114.00
2012-05-10,118.20,118.80,116.90,116.90,175300,116.90
2012-05-09,119.00,120.20,118.00,118.10,414100,118.10
2012-05-08,119.20,120.10,117.50,119.00,597900,119.00
2012-05-04,118.40,121.20,118.40,119.60,330300,119.60
2012-05-03,113.00,120.50,112.60,120.50,1793900,120.50
