Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,590.50,605.00,586.00,595.00,3700,590.00
2012-08-02,590.50,605.00,586.00,590.00,6200,590.00
2012-08-01,587.50,600.00,587.50,587.50,10900,587.50
2012-07-31,601.00,610.00,585.00,585.00,20000,585.00
2012-07-27,612.50,612.50,606.00,610.00,28900,610.00
2012-07-26,601.00,609.00,595.00,607.00,17200,607.00
2012-07-25,607.00,612.50,605.00,605.00,8100,605.00
2012-07-24,625.00,625.00,604.00,612.50,23500,612.50
2012-07-23,614.00,620.00,610.50,615.00,36400,615.00
2012-07-20,636.50,649.00,610.00,624.00,24300,624.00
2012-07-19,634.00,649.00,620.50,631.50,15000,631.50
2012-07-18,628.00,635.00,623.00,625.00,1400,625.00
2012-07-17,639.00,639.00,619.50,622.50,14100,622.50
2012-07-16,649.50,649.50,625.00,634.00,15200,634.00
2012-07-13,635.00,637.00,630.00,635.00,43200,635.00
2012-07-12,636.00,646.00,632.50,636.00,28000,636.00
2012-07-11,646.50,650.00,642.50,649.00,28100,649.00
2012-07-10,661.00,675.00,652.80,660.00,23200,660.00
2012-07-09,663.00,678.50,640.00,656.00,27300,656.00
2012-07-06,663.50,669.00,639.50,659.00,31000,659.00
2012-07-05,678.00,678.00,655.00,659.00,21900,659.00
2012-07-04,679.00,679.00,665.50,669.00,10900,669.00
2012-07-03,679.00,688.00,674.50,678.00,44200,678.00
2012-07-02,695.00,700.00,650.00,675.00,26200,675.00
2012-06-29,687.50,695.00,664.90,676.00,28900,676.00
2012-06-28,677.00,679.50,669.50,673.50,30200,673.50
2012-06-27,699.50,699.50,670.00,670.00,34200,670.00
2012-06-26,678.00,699.50,665.25,686.00,32700,686.00
2012-06-25,665.50,673.50,650.00,653.50,34200,653.50
2012-06-22,675.00,687.50,668.00,669.00,24400,669.00
2012-06-21,700.00,700.00,680.00,688.50,27000,688.50
2012-06-20,701.00,714.50,679.00,700.00,784200,700.00
2012-06-19,690.00,753.00,678.00,728.50,62200,728.50
2012-06-18,696.00,700.00,680.50,680.50,31700,680.50
2012-06-15,680.00,695.50,661.50,681.50,86400,681.50
2012-06-14,700.00,700.00,680.00,688.00,8800,688.00
2012-06-13,684.50,700.00,665.00,692.00,32400,692.00
2012-06-12,699.00,699.00,675.00,680.00,13300,680.00
2012-06-11,685.00,692.50,681.00,692.50,14500,692.50
2012-06-08,683.50,688.50,681.91,685.00,32200,685.00
2012-06-07,637.50,687.00,637.50,682.00,44600,682.00
2012-06-06,652.00,666.00,629.50,662.50,66500,662.50
2012-06-01,641.50,648.00,633.50,644.00,14300,644.00
2012-05-31,657.50,657.50,625.50,640.50,195000,640.50
2012-05-30,639.00,657.50,635.50,644.50,42000,644.50
2012-05-29,623.00,639.06,617.50,639.00,36600,639.00
2012-05-28,631.50,631.50,610.00,622.00,8000,622.00
2012-05-25,625.00,632.50,610.00,610.00,32100,610.00
2012-05-24,610.00,620.00,602.00,618.50,12500,618.50
2012-05-23,604.00,625.00,604.00,606.50,26700,606.50
2012-05-22,618.00,625.00,602.50,610.00,58100,610.00
2012-05-21,614.50,624.50,605.50,612.50,17600,612.50
2012-05-18,609.50,625.00,605.00,617.50,23900,617.50
2012-05-17,610.00,624.50,603.00,608.00,46000,608.00
2012-05-16,616.50,627.50,604.50,610.50,48300,610.50
2012-05-14,619.00,629.00,605.00,615.00,43300,615.00
2012-05-11,612.50,628.50,612.50,625.50,48400,625.50
2012-05-10,600.00,629.00,600.00,618.00,49700,618.00
2012-05-09,609.00,609.00,600.00,603.50,21700,603.50
2012-05-08,600.00,618.50,600.00,601.00,45400,601.00
2012-05-04,600.00,607.00,600.00,602.00,34600,602.00
2012-05-03,605.00,605.00,600.00,602.50,43400,602.50
2012-05-02,600.00,611.50,600.00,607.00,72200,607.00
2012-05-01,600.00,619.00,598.50,600.00,66400,600.00
2012-04-30,608.00,608.00,594.28,600.00,73500,600.00
2012-04-27,601.00,612.50,590.00,604.00,26700,604.00
2012-04-26,604.00,604.00,585.00,600.00,26300,600.00
2012-04-25,598.00,605.00,587.84,600.00,46300,600.00
2012-04-24,575.00,598.00,566.00,598.00,130200,598.00
2012-04-23,600.00,607.00,592.00,607.00,51800,607.00
2012-04-20,579.50,615.00,574.50,605.00,38300,605.00
2012-04-19,613.00,616.00,581.00,601.00,42000,601.00
2012-04-18,610.50,619.50,604.50,611.00,25200,611.00
2012-04-17,604.50,623.50,604.50,609.00,33500,609.00
2012-04-16,608.00,628.00,604.00,613.00,50700,613.00
2012-04-13,622.50,630.00,608.50,624.00,17000,624.00
2012-04-12,630.00,649.50,614.00,618.00,81300,618.00
2012-04-11,620.50,632.00,612.50,620.00,30800,620.00
2012-04-10,635.00,635.00,616.50,618.50,38100,618.50
2012-04-05,655.00,655.00,639.90,647.50,27700,647.50
2012-04-04,675.00,675.00,636.50,659.86,307200,659.86
2012-04-03,695.00,700.00,676.00,681.50,38900,681.50
2012-04-02,689.50,698.50,660.00,698.00,65100,698.00
2012-03-30,700.00,700.00,675.50,685.50,63600,685.50
2012-03-29,697.00,700.07,678.00,700.00,48000,700.00
2012-03-28,693.00,703.00,689.00,700.00,71200,700.00
2012-03-27,700.00,700.00,683.00,693.50,25800,693.50
2012-03-26,670.00,699.00,658.50,697.50,39900,697.50
2012-03-23,675.00,675.00,656.00,663.50,48900,663.50
2012-03-22,664.00,677.00,649.40,674.00,40900,674.00
2012-03-21,663.00,668.00,658.00,665.50,21000,665.50
2012-03-20,684.00,687.50,659.00,665.00,56300,665.00
2012-03-19,684.00,693.50,670.57,688.00,31200,688.00
2012-03-16,677.50,694.50,653.67,687.00,106000,687.00
2012-03-15,646.00,679.50,628.00,679.50,65200,679.50
2012-03-14,649.50,659.50,634.60,651.00,36700,651.00
2012-03-13,607.50,649.50,607.50,649.50,46000,649.50
2012-03-12,610.00,633.50,602.00,605.50,14100,605.50
2012-03-09,600.50,637.00,585.00,620.50,143300,620.50
2012-03-08,610.50,620.00,600.50,601.00,59400,601.00
2012-03-07,604.00,614.00,593.00,612.00,125600,612.00
2012-03-06,630.00,635.50,590.00,600.00,66100,600.00
2012-03-05,639.00,646.50,627.00,634.00,43000,634.00
2012-03-02,654.50,669.00,639.00,652.00,36000,652.00
2012-03-01,669.50,669.50,659.00,659.00,22900,659.00
2012-02-29,665.50,672.50,660.00,664.00,65900,664.00
2012-02-28,699.50,699.50,664.50,673.00,52400,673.00
2012-02-27,660.00,717.00,660.00,680.50,49700,680.50
2012-02-24,655.50,677.00,652.00,673.00,44800,673.00
2012-02-23,642.00,673.50,642.00,659.50,29800,659.50
2012-02-22,640.00,642.00,627.50,639.50,27800,639.50
2012-02-21,649.00,660.00,637.00,637.00,37400,637.00
2012-02-20,625.00,676.50,625.00,649.00,58400,649.00
2012-02-17,615.00,641.50,615.00,641.50,42700,641.50
2012-02-16,608.00,616.00,602.00,613.00,31800,613.00
2012-02-15,612.00,612.50,587.00,612.00,65200,612.00
2012-02-14,583.00,616.00,583.00,604.00,72200,604.00
2012-02-13,553.50,578.00,549.50,578.00,56700,578.00
2012-02-10,564.00,565.50,547.50,555.00,67000,555.00
2012-02-09,580.50,589.50,566.89,567.00,20200,567.00
2012-02-08,598.00,600.00,573.50,577.50,33600,577.50
2012-02-07,599.50,600.00,578.50,600.00,125600,600.00
2012-02-06,584.50,602.00,575.00,602.00,25200,602.00
2012-02-03,607.00,608.10,575.00,583.50,78200,583.50
2012-02-02,596.00,612.00,591.00,610.00,51800,610.00
2012-02-01,535.50,610.00,532.00,602.50,91600,602.50
2012-01-31,560.00,594.00,548.05,550.00,175900,550.00
2012-01-30,605.00,623.00,582.16,617.50,163400,617.50
2012-01-27,596.00,617.00,593.50,610.00,21800,610.00
2012-01-26,635.00,641.00,602.50,607.00,47700,607.00
2012-01-25,632.00,640.00,624.50,628.00,27100,628.00
2012-01-24,602.50,642.50,598.27,630.00,128800,630.00
2012-01-23,555.00,610.00,555.00,607.00,64900,607.00
2012-01-20,545.00,560.50,530.00,560.50,26200,560.50
2012-01-19,524.00,570.00,521.55,548.00,60400,548.00
2012-01-18,539.00,559.50,523.50,532.50,26500,532.50
2012-01-17,529.50,546.00,528.50,542.50,20900,542.50
2012-01-16,539.50,539.50,516.00,529.50,19200,529.50
2012-01-13,518.00,539.00,518.00,534.50,37600,534.50
2012-01-12,513.50,540.50,505.00,540.50,25500,540.50
2012-01-11,515.00,529.00,513.00,528.00,24300,528.00
2012-01-10,535.00,551.49,535.00,537.50,39100,537.50
2012-01-09,510.00,543.00,509.00,543.00,62300,543.00
2012-01-06,485.60,519.00,485.60,513.00,70800,513.00
2012-01-05,493.50,493.50,480.00,493.10,25800,493.10
2012-01-04,489.50,509.50,480.40,494.90,30000,494.90
2012-01-03,483.00,495.00,462.00,491.90,47900,491.90
2011-12-30,466.00,481.90,463.95,480.00,12300,480.00
2011-12-29,490.00,490.10,475.00,483.60,111300,483.60
2011-12-28,494.40,507.50,474.00,502.00,39100,502.00
2011-12-23,507.00,507.56,480.00,490.00,11200,490.00
2011-12-22,465.00,548.00,460.00,508.00,157000,508.00
2011-12-21,469.00,470.00,435.00,461.30,50900,461.30
2011-12-20,512.00,512.00,458.40,459.10,134400,459.10
2011-12-19,516.00,516.00,474.90,506.50,45500,506.50
2011-12-16,483.60,519.60,465.00,516.50,136900,516.50
2011-12-15,437.40,478.15,428.10,456.97,78400,456.97
2011-12-14,415.00,445.00,415.00,437.40,98300,437.40
2011-12-13,406.90,448.00,396.60,427.00,203700,427.00
2011-12-12,415.60,417.20,394.00,395.40,75300,395.40
2011-12-09,436.10,449.90,415.10,418.50,44800,418.50
2011-12-08,461.00,461.10,442.10,444.00,32300,444.00
2011-12-07,474.00,479.80,456.00,462.00,11800,462.00
2011-12-06,450.00,476.90,442.10,469.30,83400,469.30
2011-12-05,437.00,466.20,428.00,466.20,93700,466.20
2011-12-02,399.40,439.00,399.40,438.60,82000,438.60
2011-12-01,393.50,406.70,390.10,390.10,47300,390.10
2011-11-30,382.50,405.00,382.00,390.70,105400,390.70
2011-11-29,388.00,390.20,374.50,386.10,147900,386.10
2011-11-28,384.00,390.00,375.00,375.00,16000,375.00
2011-11-25,395.00,395.00,380.00,381.00,186700,381.00
2011-11-24,381.00,395.00,380.10,390.60,19500,390.60
2011-11-23,391.70,402.40,386.50,386.50,109400,386.50
2011-11-22,423.40,423.40,395.90,395.90,40300,395.90
2011-11-21,424.70,424.70,413.00,417.00,35600,417.00
2011-11-18,442.50,443.90,422.50,426.60,63900,426.60
2011-11-17,439.80,455.00,440.00,447.00,133900,447.00
2011-11-16,436.40,438.04,430.60,438.00,11100,438.00
2011-11-15,436.40,440.80,432.00,440.00,88000,440.00
2011-11-14,448.00,449.40,440.10,447.00,7800,447.00
2011-11-11,456.90,456.90,440.10,450.00,22400,450.00
2011-11-10,451.50,479.50,451.50,454.20,36700,454.20
2011-11-09,455.00,458.10,447.00,458.10,66100,458.10
2011-11-08,455.00,455.00,448.00,454.90,27000,454.90
2011-11-07,449.70,458.90,445.00,452.40,36200,452.40
2011-11-04,440.10,464.60,440.10,464.60,31300,464.60
2011-11-03,434.00,457.50,434.00,457.50,40100,457.50
2011-11-02,444.50,449.50,432.60,441.40,46600,441.40
2011-11-01,459.00,459.00,425.00,442.50,93800,442.50
2011-10-31,479.10,483.00,460.10,460.60,46600,460.60
2011-10-28,483.90,483.90,465.00,483.60,457400,483.60
2011-10-27,509.50,509.50,481.40,481.40,53600,481.40
2011-10-26,480.00,509.50,480.00,491.70,63900,491.70
2011-10-25,455.00,516.00,445.20,490.00,187700,490.00
2011-10-24,487.20,487.20,467.70,485.00,76500,485.00
2011-10-21,491.70,493.50,482.71,486.90,31200,486.90
2011-10-20,477.00,493.40,475.10,490.10,23100,490.10
2011-10-19,493.40,493.50,480.00,483.00,25100,483.00
2011-10-18,495.20,499.70,486.36,487.00,9600,487.00
2011-10-17,519.00,519.50,493.95,495.20,24200,495.20
2011-10-14,500.00,524.00,500.00,515.00,17600,515.00
2011-10-13,520.00,520.00,508.00,510.00,36000,510.00
2011-10-12,496.60,530.00,496.60,517.00,61000,517.00
2011-10-11,495.00,507.50,485.50,504.00,71000,504.00
2011-10-10,480.00,507.50,480.00,501.50,37100,501.50
2011-10-07,492.10,495.70,479.60,487.60,41800,487.60
2011-10-06,460.00,495.90,460.00,488.90,52600,488.90
2011-10-05,501.50,501.50,465.10,472.50,72800,472.50
2011-10-04,475.10,509.00,475.10,495.00,118000,495.00
2011-10-03,494.00,495.00,480.10,494.40,72000,494.40
2011-09-30,495.00,495.00,480.10,494.30,33400,494.30
2011-09-29,485.80,495.00,480.00,495.00,11700,495.00
2011-09-28,482.05,491.50,482.05,491.50,37000,491.50
2011-09-27,490.30,505.00,476.00,493.90,32900,493.90
2011-09-26,485.60,503.50,474.60,492.00,82300,492.00
2011-09-23,480.00,497.00,477.40,477.90,42200,477.90
2011-09-22,483.40,490.25,463.30,480.00,18700,480.00
2011-09-21,498.40,498.40,475.00,484.00,41200,484.00
2011-09-20,497.30,524.50,480.30,486.10,54900,486.10
2011-09-19,507.00,512.50,497.60,502.00,30400,502.00
2011-09-16,523.50,529.50,514.50,526.00,55700,526.00
2011-09-15,509.50,542.00,509.50,518.50,37100,518.50
2011-09-14,505.00,529.00,492.90,515.00,58800,515.00
2011-09-13,501.50,505.50,482.10,505.50,55500,505.50
2011-09-12,500.50,504.44,483.70,501.00,31900,501.00
2011-09-09,504.50,520.50,500.50,516.00,33900,516.00
2011-09-08,517.50,529.96,509.50,517.00,30900,517.00
2011-09-07,533.50,534.00,515.00,517.50,66400,517.50
2011-09-06,533.00,533.00,515.00,519.00,21000,519.00
2011-09-05,511.50,532.50,511.50,532.00,22700,532.00
2011-09-02,523.50,538.00,518.00,538.00,58900,538.00
2011-09-01,538.50,549.50,529.50,537.50,32600,537.50
2011-08-31,515.00,535.50,495.10,535.50,228500,535.50
2011-08-30,514.00,532.50,493.40,507.50,42800,507.50
2011-08-26,520.00,520.00,505.00,509.00,10400,509.00
2011-08-25,518.00,527.00,503.00,513.00,120700,513.00
2011-08-24,519.50,534.00,519.00,519.00,55500,519.00
2011-08-23,515.50,515.50,513.50,513.50,28100,513.50
2011-08-22,510.00,529.50,506.50,518.00,42000,518.00
2011-08-19,538.00,538.00,512.00,518.00,98900,518.00
2011-08-18,570.50,571.00,530.00,531.50,88900,531.50
2011-08-17,587.50,589.00,571.00,575.50,123500,575.50
2011-08-16,572.00,584.00,571.50,579.50,36400,579.50
2011-08-15,579.50,587.00,575.00,582.50,125800,582.50
2011-08-12,584.50,605.50,583.00,583.00,114400,583.00
2011-08-11,578.50,590.00,561.50,587.50,80800,587.50
2011-08-10,580.50,621.50,562.00,564.00,53300,564.00
2011-08-09,571.50,589.00,555.50,584.50,71700,584.50
2011-08-08,584.00,612.74,577.50,578.50,218200,578.50
2011-08-05,590.50,613.50,570.00,599.00,322300,599.00
2011-08-04,584.50,615.00,569.00,593.00,243600,593.00
2011-08-03,572.00,581.50,565.00,577.00,80600,577.00
2011-08-02,580.00,585.50,569.00,569.00,112500,569.00
2011-08-01,590.00,590.24,585.00,585.00,44400,585.00
2011-07-29,578.50,590.06,578.50,590.00,41600,590.00
2011-07-28,585.00,585.00,571.50,585.00,122800,585.00
2011-07-27,579.00,589.00,577.50,581.00,71600,581.00
2011-07-26,580.00,584.00,574.00,581.00,73400,581.00
2011-07-25,570.00,585.00,570.00,584.00,47900,584.00
2011-07-22,585.00,590.00,582.00,582.50,36900,582.50
2011-07-21,580.00,588.00,573.25,582.00,90700,582.00
2011-07-20,591.00,594.00,582.50,587.00,41100,587.00
2011-07-19,577.00,594.00,567.22,594.00,160600,594.00
2011-07-18,580.50,596.83,571.50,586.00,45800,586.00
2011-07-15,569.50,599.50,560.50,590.00,166300,590.00
2011-07-14,585.50,598.50,573.00,580.50,94800,580.50
2011-07-13,615.00,615.50,596.00,597.50,71600,597.50
2011-07-12,610.00,624.00,605.50,611.00,129000,611.00
2011-07-11,630.50,663.00,611.00,614.00,41400,614.00
2011-07-08,651.50,668.50,621.00,629.00,79200,629.00
2011-07-07,660.00,661.50,645.00,655.00,23400,655.00
2011-07-06,640.00,657.00,635.00,646.00,51200,646.00
2011-07-05,616.00,638.00,611.50,632.50,76000,632.50
2011-07-04,640.00,642.50,615.50,624.50,57700,624.50
2011-07-01,655.50,670.50,634.00,637.00,78900,637.00
2011-06-30,654.00,657.00,643.00,651.00,87300,651.00
2011-06-29,683.00,683.00,651.50,655.00,56800,655.00
2011-06-28,650.00,682.50,645.00,667.50,140000,667.50
2011-06-27,702.50,703.02,686.50,690.00,34900,690.00
2011-06-24,689.50,713.00,680.00,693.00,136900,693.00
2011-06-23,711.50,711.50,670.50,670.50,99900,670.50
2011-06-22,690.00,709.00,690.00,696.50,58600,696.50
2011-06-21,690.00,700.00,690.00,690.00,56700,690.00
2011-06-20,702.50,702.50,684.50,692.50,34400,692.50
2011-06-17,692.50,707.50,681.50,694.00,161900,694.00
