Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,68.15,70.62,68.15,70.00,548000,120.00
2011-06-13,120.50,120.50,119.10,120.00,434700,120.00
2011-06-10,119.50,120.00,119.00,120.00,306000,120.00
2011-06-09,121.00,121.50,119.00,119.20,445100,119.20
2011-06-08,121.50,122.00,120.50,120.50,548800,120.50
2011-06-07,118.00,121.50,118.00,120.28,270100,120.28
2011-06-06,117.25,118.00,117.00,118.00,23000,118.00
2011-06-03,117.00,117.78,114.50,117.50,254900,117.50
2011-06-02,116.00,117.50,114.50,116.00,99600,116.00
2011-06-01,115.65,118.00,114.65,118.00,38600,118.00
2011-05-31,115.50,117.00,115.50,116.90,31100,116.90
2011-05-27,114.75,118.00,114.75,116.50,58000,116.50
2011-05-26,111.70,117.00,111.70,117.00,75100,117.00
2011-05-25,107.75,110.80,107.50,110.00,63000,110.00
2011-05-24,108.00,110.50,107.88,107.88,11600,107.88
2011-05-23,107.90,111.00,107.90,110.08,231100,110.08
2011-05-20,107.50,107.90,107.00,107.50,69400,107.50
2011-05-19,107.50,107.50,106.50,107.50,129000,107.50
2011-05-18,106.55,107.78,106.50,107.00,174200,107.00
2011-05-17,103.50,107.00,102.00,106.50,253900,106.50
2011-05-16,103.80,105.00,101.60,102.00,122700,102.00
2011-05-13,99.00,104.00,99.00,104.00,266600,104.00
2011-05-12,97.00,97.85,96.00,96.29,1523300,96.29
2011-05-11,98.00,98.00,97.00,97.25,109500,97.25
2011-05-10,98.00,98.00,95.00,98.00,115300,98.00
2011-05-09,94.80,97.40,94.80,96.00,73200,96.00
2011-05-06,98.00,98.00,97.00,97.00,46800,97.00
2011-05-05,97.75,98.00,96.00,97.91,50100,97.91
2011-05-04,97.50,98.00,97.50,98.00,32200,98.00
2011-05-03,96.50,97.75,96.20,96.20,54900,96.20
2011-04-28,96.67,96.67,96.67,96.67,8300,96.67
2011-04-27,96.67,98.00,96.67,97.00,82700,97.00
2011-04-26,97.84,98.00,96.00,97.25,114300,97.25
2011-04-21,96.10,98.00,95.00,97.00,180500,97.00
2011-04-20,96.50,99.00,96.50,98.00,544100,98.00
2011-04-19,94.00,95.90,93.50,93.50,117100,93.50
2011-04-18,93.30,93.70,92.00,92.30,64900,92.30
2011-04-15,93.05,93.78,93.00,93.78,174300,93.78
2011-04-14,94.00,94.00,94.00,94.00,17400,94.00
2011-04-13,93.20,95.90,93.20,95.90,111000,95.90
2011-04-12,95.96,95.96,95.96,95.96,2300,95.96
2011-04-11,96.00,96.00,93.40,93.40,6400,93.40
2011-04-08,94.00,95.00,94.00,95.00,9000,95.00
2011-04-07,95.00,95.00,94.25,94.25,123200,94.25
2011-04-06,93.80,96.00,93.80,96.00,43600,96.00
2011-04-05,95.00,96.50,94.00,94.00,108700,94.00
2011-04-04,94.20,94.20,94.20,94.20,12000,94.20
2011-04-01,94.00,95.00,94.00,95.00,40000,95.00
2011-03-31,95.05,95.05,95.05,95.05,16000,95.05
2011-03-30,91.60,96.00,91.60,95.05,150500,95.05
2011-03-29,93.50,93.50,91.60,92.00,72400,92.00
2011-03-28,92.00,93.00,90.00,92.00,88100,92.00
2011-03-25,89.90,90.00,89.90,90.00,11600,90.00
2011-03-24,89.75,91.75,89.75,91.75,10100,91.75
2011-03-23,91.00,91.00,89.60,89.60,30400,89.60
2011-03-22,90.50,91.75,90.50,91.50,107200,91.50
2011-03-21,90.50,91.85,90.50,90.50,11900,90.50
2011-03-18,86.40,91.85,86.40,91.85,82300,91.85
2011-03-17,86.30,86.50,86.30,86.50,10300,86.50
2011-03-16,87.50,87.50,87.50,87.50,000,87.50
2011-03-15,89.00,90.00,86.02,86.22,139600,86.22
2011-03-14,91.50,91.50,88.50,91.50,112500,91.50
2011-03-11,94.00,94.00,91.00,91.01,41200,91.01
2011-03-10,95.00,95.00,93.03,94.50,50500,94.50
2011-03-09,95.00,95.00,94.00,94.02,13500,94.02
2011-03-08,95.50,95.70,94.03,95.70,25200,95.70
2011-03-07,96.50,97.85,95.00,96.70,45400,96.70
2011-03-04,96.00,96.00,96.00,96.00,000,96.00
2011-03-03,95.00,95.00,94.07,94.95,33100,94.95
2011-03-02,98.00,98.00,94.00,94.50,121200,94.50
2011-03-01,96.50,99.97,98.40,99.00,104200,99.00
2011-02-28,95.50,98.00,95.20,97.50,109000,97.50
2011-02-25,95.00,96.00,95.00,96.00,9200,96.00
2011-02-24,95.00,96.20,93.04,96.20,1500,96.20
2011-02-23,96.00,96.00,91.00,91.00,83300,91.00
2011-02-22,98.38,98.38,94.00,94.15,59900,94.15
2011-02-21,98.50,98.50,96.75,96.75,90900,96.75
2011-02-18,98.38,100.00,97.33,100.00,60800,100.00
2011-02-17,98.50,100.00,97.00,99.90,325600,99.90
2011-02-16,100.50,101.70,97.00,99.00,65200,99.00
2011-02-15,98.50,102.00,98.20,98.50,2660000,98.50
2011-02-14,89.50,99.44,89.50,95.50,3035200,95.50
2011-02-11,88.00,90.00,87.55,90.00,973200,90.00
2011-02-10,90.00,90.00,87.00,87.76,225100,87.76
2011-02-09,90.00,90.50,88.00,88.00,64100,88.00
2011-02-08,90.00,90.00,88.50,89.00,21500,89.00
2011-02-07,90.00,90.96,90.96,90.96,4000,90.96
2011-02-04,88.50,91.90,88.50,88.50,187900,88.50
2011-02-03,91.00,92.00,87.00,90.00,159900,90.00
2011-02-02,84.50,92.00,85.20,92.00,306700,92.00
2011-02-01,83.50,86.00,84.30,86.00,31800,86.00
2011-01-31,82.00,84.50,81.20,84.50,274300,84.50
2011-01-28,82.00,82.75,81.06,81.50,1555900,81.50
2011-01-27,83.00,83.50,81.50,81.50,72900,81.50
2011-01-26,81.25,83.80,80.50,82.00,128200,82.00
2011-01-25,81.75,82.00,80.51,80.51,5900,80.51
2011-01-24,84.00,84.40,80.50,80.50,82000,80.50
2011-01-21,84.00,84.50,84.50,84.50,5000,84.50
2011-01-20,84.00,84.00,84.00,84.00,000,84.00
2011-01-19,84.00,84.50,82.75,83.00,184900,83.00
2011-01-18,83.00,83.00,83.00,83.00,37500,83.00
2011-01-17,84.00,86.00,82.00,82.00,247600,82.00
2011-01-14,84.00,84.33,82.00,84.00,446200,84.00
2011-01-13,85.00,86.00,82.40,82.40,14300,82.40
2011-01-12,85.50,85.75,84.35,84.35,55500,84.35
2011-01-11,85.50,85.75,85.50,85.75,26300,85.75
2011-01-10,85.50,86.00,84.25,84.25,25000,84.25
2011-01-07,85.50,86.50,84.50,84.50,15400,84.50
2011-01-06,85.50,86.50,84.50,84.50,46000,84.50
2011-01-05,85.50,87.00,85.00,85.00,24900,85.00
2011-01-04,83.50,85.75,83.50,85.00,914900,85.00
2010-12-31,83.50,82.75,82.75,82.75,7400,82.75
2010-12-30,84.00,84.00,84.00,84.00,5000,84.00
2010-12-29,84.00,84.00,84.00,84.00,4000,84.00
2010-12-24,82.50,86.00,82.50,86.00,725800,86.00
2010-12-23,82.50,82.50,82.50,82.50,4000,82.50
2010-12-22,82.50,83.95,83.00,83.95,26000,83.95
2010-12-21,82.50,84.00,83.75,83.75,5000,83.75
2010-12-20,81.50,84.00,82.00,84.00,123700,84.00
2010-12-17,81.50,83.00,80.75,82.75,25600,82.75
2010-12-16,81.50,83.00,80.63,83.00,39400,83.00
2010-12-15,81.50,82.37,80.63,80.63,35600,80.63
2010-12-14,82.00,82.50,81.50,81.50,107400,81.50
2010-12-13,80.50,82.70,80.50,82.50,78900,82.50
2010-12-10,80.50,79.20,79.20,79.20,2000,79.20
2010-12-09,80.00,81.00,79.20,79.20,29000,79.20
2010-12-08,78.50,80.50,77.00,78.25,265000,78.25
2010-12-07,83.00,82.00,77.00,79.00,216700,79.00
2010-12-06,83.00,82.85,82.00,82.00,38400,82.00
2010-12-03,83.00,83.00,82.00,82.90,11500,82.90
2010-12-02,83.25,83.25,82.50,82.50,13100,82.50
2010-12-01,83.25,82.82,82.50,82.57,15600,82.57
2010-11-30,88.25,88.25,82.01,83.00,140900,83.00
2010-11-29,86.50,88.50,85.45,88.50,28200,88.50
2010-11-26,87.00,85.60,85.60,85.60,1000,85.60
2010-11-25,87.00,87.00,87.00,87.00,000,87.00
2010-11-24,88.25,87.72,84.25,86.50,61000,86.50
2010-11-23,88.75,88.70,87.72,87.72,17500,87.72
2010-11-22,88.75,89.00,89.00,89.00,10000,89.00
2010-11-19,88.75,88.22,88.00,88.22,26700,88.22
2010-11-18,88.50,89.00,87.80,87.80,7400,87.80
2010-11-17,88.00,88.50,87.90,87.90,42900,87.90
2010-11-16,88.25,89.00,89.00,89.00,2200,89.00
2010-11-15,88.25,88.25,88.25,88.25,000,88.25
2010-11-12,88.25,89.00,89.00,89.00,1700,89.00
2010-11-11,89.50,89.49,87.50,87.50,49200,87.50
2010-11-10,90.00,89.50,89.00,89.49,28300,89.49
2010-11-09,88.00,90.90,88.58,90.00,41000,90.00
2010-11-08,89.00,88.78,87.10,88.00,76600,88.00
2010-11-05,89.50,90.00,88.00,88.00,59600,88.00
2010-11-04,89.00,90.25,88.25,88.25,17000,88.25
2010-11-03,89.00,89.00,89.00,89.00,000,89.00
2010-11-02,89.00,90.00,87.10,90.00,11000,90.00
2010-11-01,89.00,89.00,89.00,89.00,000,89.00
2010-10-29,88.50,88.50,88.50,88.50,000,88.50
2010-10-28,90.50,89.00,87.00,88.80,26300,88.80
2010-10-27,91.00,90.80,89.00,89.00,4800,89.00
2010-10-26,91.00,89.04,89.00,89.00,17700,89.00
2010-10-25,89.50,89.00,89.00,89.00,25000,89.00
2010-10-22,91.00,89.60,89.00,89.60,5000,89.60
2010-10-21,91.00,91.00,91.00,91.00,000,91.00
2010-10-20,90.00,91.04,90.18,91.04,14800,91.04
2010-10-19,92.50,93.00,89.00,90.00,99500,90.00
2010-10-18,91.50,93.00,92.07,92.07,16600,92.07
2010-10-15,90.00,95.00,89.15,90.50,51700,90.50
2010-10-14,88.50,91.00,87.00,88.00,4552900,88.00
2010-10-13,88.50,89.00,86.44,86.44,22600,86.44
2010-10-12,89.00,89.00,87.00,89.00,24800,89.00
2010-10-11,88.50,86.62,86.62,86.62,9300,86.62
2010-10-08,88.50,88.50,86.62,86.62,4000,86.62
2010-10-07,88.00,86.62,86.00,86.62,3200,86.62
2010-10-06,88.00,88.72,88.00,88.00,5000,88.00
2010-10-05,87.50,87.50,87.50,87.50,000,87.50
2010-10-04,90.00,89.00,87.00,88.40,27200,88.40
2010-10-01,90.00,90.00,89.00,90.00,105400,90.00
2010-09-30,87.50,90.00,88.00,90.00,126800,90.00
2010-09-29,87.50,89.00,86.60,86.60,50000,86.60
2010-09-28,87.00,88.00,86.03,88.00,9100,88.00
