Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1163.00,1202.00,1151.00,1154.00,1831400,1150.00
2012-08-02,1163.00,1202.00,1150.00,1150.00,2139400,1150.00
2012-08-01,1169.00,1185.00,1153.00,1173.00,1429500,1173.00
2012-07-31,1220.00,1226.19,1158.00,1186.80,4394300,1186.80
2012-07-27,1170.00,1204.00,1138.00,1199.90,3347200,1199.90
2012-07-26,1151.00,1186.00,1131.00,1155.87,4205700,1155.87
2012-07-25,1131.00,1172.00,1131.00,1148.00,1957900,1148.00
2012-07-24,1150.00,1160.00,1138.00,1140.00,1765900,1140.00
2012-07-23,1160.00,1167.00,1127.00,1148.00,2893300,1148.00
2012-07-20,1194.00,1207.00,1177.00,1179.00,2488500,1179.00
2012-07-19,1200.00,1211.00,1193.00,1204.00,3282400,1204.00
2012-07-18,1202.00,1221.00,1200.00,1213.00,1952200,1213.00
2012-07-17,1205.00,1219.00,1195.00,1203.00,2410600,1203.00
2012-07-16,1200.00,1219.00,1189.00,1212.00,2295700,1212.00
2012-07-13,1206.00,1215.00,1181.00,1192.15,1722400,1192.15
2012-07-12,1182.00,1199.00,1174.00,1193.00,2384400,1193.00
2012-07-11,1180.00,1201.00,1164.00,1193.00,2488200,1193.00
2012-07-10,1178.00,1195.00,1158.00,1181.00,1470400,1181.00
2012-07-09,1163.00,1178.00,1147.00,1170.00,1685000,1170.00
2012-07-06,1213.00,1213.00,1151.00,1151.00,2117200,1151.00
2012-07-05,1242.00,1252.00,1204.00,1214.00,1211800,1214.00
2012-07-04,1230.00,1249.00,1224.00,1247.00,740800,1247.00
2012-07-03,1245.00,1250.00,1226.00,1244.00,1701000,1244.00
2012-07-02,1230.00,1261.00,1213.00,1241.00,2027000,1241.00
2012-06-29,1205.00,1247.00,1180.00,1232.00,3569900,1232.00
2012-06-28,1135.00,1149.00,1123.00,1138.73,1763700,1138.73
2012-06-27,1105.00,1132.00,1087.00,1132.00,1521900,1132.00
2012-06-26,1082.00,1100.00,1078.00,1086.00,1844500,1086.00
2012-06-25,1104.86,1104.86,1071.00,1078.00,5875400,1078.00
2012-06-22,1117.00,1125.00,1095.00,1098.00,2369600,1098.00
2012-06-21,1150.00,1165.00,1121.00,1136.00,1450100,1136.00
2012-06-20,1141.00,1161.00,1123.00,1161.00,1498500,1161.00
2012-06-19,1137.00,1151.00,1123.00,1150.00,2033300,1150.00
2012-06-18,1152.00,1161.00,1117.00,1123.00,1551400,1123.00
2012-06-15,1132.00,1153.00,1116.00,1141.00,3743100,1141.00
2012-06-14,1096.00,1120.00,1093.00,1110.00,2194200,1110.00
2012-06-13,1125.00,1125.00,1092.00,1113.00,2202500,1113.00
2012-06-12,1125.00,1130.00,1102.00,1111.00,1980300,1111.00
2012-06-11,1135.00,1167.00,1116.00,1119.00,2409100,1119.00
2012-06-08,1105.00,1120.00,1089.03,1113.00,1568500,1113.00
2012-06-07,1131.00,1142.00,1106.00,1114.00,1974600,1114.00
2012-06-06,1056.00,1122.00,1056.00,1121.00,2081200,1121.00
2012-06-01,1101.00,1114.00,1052.00,1052.00,4694200,1052.00
2012-05-31,1108.00,1135.00,1086.40,1103.00,1969700,1103.00
2012-05-30,1134.00,1153.00,1116.00,1121.00,1168500,1121.00
2012-05-29,1135.00,1169.00,1125.00,1159.00,1703000,1159.00
2012-05-28,1136.00,1152.00,1131.00,1131.00,585600,1131.00
2012-05-25,1145.00,1158.00,1119.00,1129.00,1107800,1129.00
2012-05-24,1135.00,1147.00,1110.00,1135.00,1285300,1135.00
2012-05-23,1123.00,1145.00,1122.00,1126.00,2385900,1126.00
2012-05-22,1128.00,1162.00,1116.02,1160.00,1631300,1160.00
2012-05-21,1100.00,1122.00,1085.00,1110.57,1760400,1110.57
2012-05-18,1061.00,1117.00,1061.00,1104.00,2882700,1104.00
2012-05-17,1094.00,1110.00,1061.00,1082.00,2809500,1082.00
2012-05-16,1090.00,1122.00,1079.00,1122.00,1519000,1122.00
2012-05-14,1146.00,1170.00,1102.00,1109.00,2244600,1109.00
2012-05-11,1148.00,1172.00,1135.00,1164.00,1366100,1164.00
2012-05-10,1148.00,1167.00,1126.00,1165.52,2269600,1165.52
2012-05-09,1140.00,1150.02,1106.00,1137.00,2635800,1137.00
2012-05-08,1155.00,1177.00,1135.00,1138.00,2949600,1138.00
2012-05-04,1245.00,1246.00,1174.00,1184.30,3107800,1184.30
2012-05-03,1260.00,1271.00,1230.00,1269.00,2138200,1269.00
2012-05-02,1267.00,1272.00,1250.00,1260.00,2139100,1260.00
2012-05-01,1252.00,1268.00,1243.00,1267.00,793300,1267.00
2012-04-30,1270.00,1284.00,1245.00,1245.00,1770800,1245.00
2012-04-27,1239.00,1274.00,1231.00,1268.00,3262500,1268.00
2012-04-26,1250.00,1250.00,1212.00,1220.00,1435700,1220.00
2012-04-25,1234.00,1264.00,1234.00,1261.00,2786000,1261.00
2012-04-24,1200.00,1232.00,1196.00,1232.00,1776500,1232.00
2012-04-23,1222.00,1230.00,1188.00,1199.00,2091700,1199.00
2012-04-20,1230.00,1246.00,1201.00,1246.00,1999900,1246.00
2012-04-19,1258.00,1265.00,1211.00,1212.00,2230400,1212.00
2012-04-18,1265.00,1271.00,1240.00,1249.00,1591600,1249.00
2012-04-17,1239.00,1279.00,1231.00,1260.00,1879900,1260.00
2012-04-16,1212.00,1256.00,1203.00,1233.00,1116800,1233.00
2012-04-13,1243.00,1262.86,1230.00,1236.00,2643500,1236.00
2012-04-12,1227.00,1269.00,1226.00,1254.61,2189900,1254.61
2012-04-11,1208.00,1234.00,1206.00,1226.00,2286500,1226.00
2012-04-10,1210.00,1232.00,1205.15,1206.50,2513200,1206.50
2012-04-05,1220.00,1247.00,1206.00,1221.00,2086700,1221.00
2012-04-04,1257.00,1266.00,1216.00,1218.00,2237600,1218.00
2012-04-03,1292.00,1295.00,1268.00,1268.00,1763300,1268.00
2012-04-02,1271.00,1302.99,1256.00,1299.00,3066100,1299.00
2012-03-30,1264.00,1283.00,1258.00,1279.00,3248200,1279.00
2012-03-29,1282.00,1292.00,1246.00,1250.00,2238800,1250.00
2012-03-28,1310.00,1320.00,1284.57,1290.00,1936500,1290.00
2012-03-27,1330.00,1335.00,1308.00,1315.00,2133900,1315.00
2012-03-26,1296.00,1331.95,1296.00,1321.00,2418400,1321.00
2012-03-23,1343.00,1350.00,1282.00,1319.00,4595900,1319.00
2012-03-22,1345.00,1361.00,1321.00,1354.70,1859500,1354.70
2012-03-21,1352.00,1373.00,1345.00,1350.00,2536200,1350.00
2012-03-20,1375.00,1375.00,1335.00,1354.00,1927700,1354.00
2012-03-19,1400.00,1406.80,1368.00,1379.00,1460100,1379.00
2012-03-16,1399.00,1414.00,1370.00,1402.44,5251200,1402.44
2012-03-15,1366.00,1389.00,1355.00,1385.00,1810700,1385.00
2012-03-14,1363.00,1378.00,1351.00,1366.00,2326700,1366.00
2012-03-13,1349.00,1360.00,1338.00,1351.00,1885700,1351.00
2012-03-12,1330.00,1344.00,1325.00,1341.20,1609800,1341.20
2012-03-09,1314.00,1347.00,1298.00,1330.00,2228200,1330.00
2012-03-08,1264.00,1312.00,1264.00,1296.70,2183400,1296.70
2012-03-07,1270.00,1273.00,1252.00,1263.00,1868300,1263.00
2012-03-06,1330.00,1335.00,1278.30,1285.00,2178000,1249.25
2012-03-05,1355.00,1375.62,1338.00,1340.00,1664000,1302.72
2012-03-02,1353.00,1367.00,1348.00,1366.00,1622400,1328.00
2012-03-01,1345.00,1371.00,1330.00,1357.67,1314700,1319.90
2012-02-29,1322.00,1359.27,1319.00,1355.08,3351400,1317.38
2012-02-28,1395.00,1395.00,1330.00,1381.00,2874400,1342.58
2012-02-27,1374.00,1374.00,1347.00,1368.00,1541300,1329.95
2012-02-24,1376.00,1383.00,1361.00,1379.67,1727300,1341.29
2012-02-23,1341.00,1370.00,1340.00,1370.00,1818600,1331.89
2012-02-22,1351.00,1362.00,1338.00,1360.00,1302200,1322.17
2012-02-21,1380.00,1380.00,1341.00,1360.00,1350700,1322.17
2012-02-20,1355.00,1382.00,1347.00,1355.08,1182900,1317.38
2012-02-17,1300.00,1343.00,1295.00,1327.50,2211100,1290.57
2012-02-16,1265.00,1278.00,1250.00,1273.90,2339300,1238.46
2012-02-15,1275.00,1301.00,1271.00,1278.00,1396400,1242.45
2012-02-14,1280.00,1281.00,1255.00,1276.00,1643400,1240.50
2012-02-13,1291.00,1300.00,1270.00,1279.00,836200,1243.42
2012-02-10,1290.00,1301.00,1266.00,1276.00,1099600,1240.50
2012-02-09,1305.00,1326.00,1288.00,1301.00,1419200,1264.81
2012-02-08,1321.00,1325.00,1283.80,1292.00,1388500,1256.06
2012-02-07,1300.00,1319.00,1272.00,1315.00,2214500,1278.42
2012-02-06,1312.00,1312.00,1282.00,1294.20,1295600,1258.20
2012-02-03,1268.00,1315.00,1261.00,1310.00,1882500,1273.56
2012-02-02,1292.00,1298.00,1259.00,1278.00,2341600,1242.45
2012-02-01,1256.00,1295.00,1256.00,1290.00,2372000,1254.12
2012-01-31,1263.00,1280.00,1243.00,1261.50,2587600,1226.41
2012-01-30,1282.00,1283.00,1241.00,1253.00,2022500,1218.14
2012-01-27,1302.00,1305.00,1264.00,1305.00,3088500,1268.70
2012-01-26,1295.00,1329.75,1295.00,1329.00,2462100,1292.03
2012-01-25,1309.00,1312.00,1269.00,1303.40,5221400,1267.14
2012-01-24,1322.00,1329.00,1293.00,1298.00,3037700,1261.89
2012-01-23,1325.00,1348.00,1321.00,1330.00,2506500,1293.00
2012-01-20,1347.00,1351.00,1326.00,1332.00,2826300,1294.95
2012-01-19,1281.00,1349.00,1280.00,1336.00,4373600,1298.84
2012-01-18,1266.00,1290.00,1252.00,1289.00,2497200,1253.14
2012-01-17,1260.00,1273.00,1252.00,1270.00,2468000,1234.67
2012-01-16,1232.00,1250.00,1226.00,1243.00,1338400,1208.42
2012-01-13,1260.00,1266.00,1217.00,1245.00,2475400,1210.37
2012-01-12,1248.00,1286.00,1240.00,1284.00,1891500,1248.28
2012-01-11,1254.00,1268.00,1237.00,1243.00,2227800,1208.42
2012-01-10,1220.00,1278.00,1213.00,1260.00,3779100,1224.95
2012-01-09,1222.00,1240.00,1200.00,1206.00,2175200,1172.45
2012-01-06,1247.00,1250.00,1209.00,1216.00,3934300,1182.17
2012-01-05,1275.00,1276.00,1228.00,1276.00,4205500,1240.50
2012-01-04,1305.00,1312.00,1274.00,1285.00,3750300,1249.25
2012-01-03,1320.00,1324.00,1287.00,1305.00,3584400,1268.70
2011-12-30,1246.00,1287.00,1246.00,1275.00,1114000,1239.53
2011-12-29,1223.00,1251.00,1216.00,1244.00,1528200,1209.39
2011-12-28,1245.00,1267.00,1225.00,1225.00,1410500,1190.92
2011-12-23,1250.00,1282.00,1222.00,1265.79,2024500,1230.58
2011-12-22,1191.00,1244.00,1185.00,1230.00,3927800,1195.78
2011-12-21,1192.00,1215.00,1180.00,1192.67,5398900,1159.49
2011-12-20,1158.00,1184.00,1152.00,1173.00,3644600,1140.37
2011-12-19,1140.00,1170.00,1127.50,1155.00,8324100,1122.87
2011-12-16,1130.00,1155.40,1121.00,1155.00,51803100,1122.87
2011-12-15,1119.00,1141.00,1105.00,1127.00,6630500,1095.65
2011-12-14,1132.00,1149.00,1109.00,1113.30,4368600,1082.33
2011-12-13,1149.00,1162.00,1120.00,1148.15,4594900,1116.21
