Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,872.50,895.00,871.00,895.00,000,870.00
2012-08-01,894.00,894.00,870.00,870.00,300,870.00
2012-07-31,870.50,897.33,870.00,895.00,4700,895.00
2012-07-27,880.00,890.00,866.00,883.50,12000,883.50
2012-07-26,870.50,890.00,870.50,890.00,400,890.00
2012-07-25,865.00,886.50,865.00,870.00,2100,870.00
2012-07-24,885.50,893.50,865.00,865.00,900,865.00
2012-07-23,865.00,890.00,865.00,865.00,4000,865.00
2012-07-20,875.00,880.00,850.00,865.00,1700,865.00
2012-07-19,850.00,875.00,850.00,866.00,6200,866.00
2012-07-18,885.00,898.59,850.00,850.00,10400,850.00
2012-07-17,910.00,910.00,880.00,900.00,5500,900.00
2012-07-16,870.00,890.00,870.00,870.00,3900,870.00
2012-07-13,860.00,910.00,860.00,870.00,12000,870.00
2012-07-12,890.00,890.00,890.00,890.00,28700,890.00
2012-07-11,870.00,880.00,842.50,871.50,200,871.50
2012-07-10,845.00,885.00,845.00,882.00,5500,882.00
2012-07-09,844.00,869.00,844.00,869.00,1200,869.00
2012-07-06,841.50,870.00,841.50,845.00,5400,845.00
2012-07-05,844.00,870.00,844.00,844.00,2700,844.00
2012-07-04,840.00,866.00,837.00,840.00,3100,840.00
2012-07-03,843.50,867.50,840.00,852.00,5300,852.00
2012-07-02,850.00,864.51,840.00,846.50,10200,846.50
2012-06-29,837.00,849.59,837.00,849.00,900,849.00
2012-06-28,848.70,850.00,850.00,850.00,2900,850.00
2012-06-27,850.00,850.00,837.00,837.00,2700,837.00
2012-06-26,856.50,876.63,852.00,852.00,1500,852.00
2012-06-25,842.00,843.00,840.00,843.00,2700,843.00
2012-06-22,857.50,868.50,840.00,867.50,8500,867.50
2012-06-21,850.00,874.20,840.00,842.00,2300,842.00
2012-06-20,883.00,883.00,840.00,840.00,14400,840.00
2012-06-19,855.50,890.00,850.00,890.00,9200,890.00
2012-06-18,852.50,900.00,850.00,864.00,18200,864.00
2012-06-15,840.00,886.03,805.00,885.50,23500,885.50
2012-06-14,826.00,843.00,805.00,843.00,4500,843.00
2012-06-13,840.00,845.00,830.00,845.00,3500,845.00
2012-06-12,835.00,840.00,800.00,840.00,6400,840.00
2012-06-11,815.00,835.00,800.00,835.00,11600,835.00
2012-06-08,800.00,839.00,790.00,790.00,8100,790.00
2012-06-07,819.50,840.00,804.00,804.00,9000,804.00
2012-06-06,825.00,835.00,790.50,800.00,10700,800.00
2012-06-01,827.50,846.60,800.00,800.00,5500,800.00
2012-05-31,845.00,851.71,842.50,850.00,2300,850.00
2012-05-30,870.00,870.00,825.00,829.50,8400,829.50
2012-05-29,860.00,885.00,845.00,845.00,9900,845.00
2012-05-28,850.00,872.14,850.00,850.00,9700,850.00
2012-05-25,855.00,875.00,850.00,860.00,15900,860.00
2012-05-24,845.00,880.00,826.59,850.00,8400,850.00
2012-05-23,845.00,880.43,845.00,845.00,8300,845.00
2012-05-22,851.50,879.00,845.00,850.00,13500,850.00
2012-05-21,875.00,875.00,830.00,848.00,13600,848.00
2012-05-18,833.00,858.50,820.00,830.50,14400,830.50
2012-05-17,829.00,862.00,829.00,862.00,1300,862.00
2012-05-16,812.00,835.00,802.74,829.00,10800,829.00
2012-05-14,820.50,835.00,812.00,835.00,5300,835.00
2012-05-11,843.00,859.00,815.00,835.00,15600,835.00
2012-05-10,874.00,875.00,840.00,867.50,23900,867.50
2012-05-09,883.00,883.00,843.00,875.00,14100,875.00
2012-05-08,840.00,872.00,840.00,860.00,4600,860.00
2012-05-04,810.00,869.52,810.00,828.00,26100,828.00
2012-05-03,845.00,852.31,808.00,808.00,6800,808.00
2012-05-02,849.00,873.99,828.00,830.00,10500,830.00
2012-05-01,860.00,874.00,840.00,850.00,12100,850.00
2012-04-30,825.00,857.02,825.00,838.00,8500,838.00
2012-04-27,865.00,865.00,822.00,860.00,7800,860.00
2012-04-26,841.00,872.00,830.22,865.00,21900,865.00
2012-04-25,853.00,875.00,838.00,838.00,15900,838.00
2012-04-24,865.00,870.00,845.00,850.00,52100,850.00
2012-04-23,790.00,830.00,788.00,788.00,3700,788.00
2012-04-20,801.00,830.00,801.00,830.00,1800,830.00
2012-04-19,800.00,825.00,800.00,825.00,1900,825.00
2012-04-18,800.00,815.00,800.00,800.00,1800,800.00
2012-04-17,820.00,822.50,797.00,797.00,3600,797.00
2012-04-16,801.00,820.00,794.00,820.00,5800,820.00
2012-04-13,810.00,835.00,800.00,835.00,1100,835.00
2012-04-12,799.00,825.00,799.00,821.18,1900,821.18
2012-04-11,790.00,815.80,781.50,785.00,3800,785.00
2012-04-10,824.00,824.00,790.00,790.00,400,790.00
2012-04-05,810.00,810.00,804.50,804.50,11900,804.50
2012-04-04,785.00,785.00,785.00,785.00,9700,785.00
2012-04-03,780.00,815.00,750.00,815.00,8800,815.00
2012-04-02,785.00,790.00,785.00,790.00,4800,790.00
2012-03-30,800.00,829.00,790.00,790.00,13100,790.00
2012-03-29,797.50,819.00,781.00,790.00,7500,790.00
2012-03-28,820.00,830.00,780.00,830.00,4200,830.00
2012-03-27,780.00,820.00,780.00,810.00,7700,810.00
2012-03-26,780.00,815.42,766.46,806.00,4800,806.00
2012-03-23,809.50,815.00,781.00,788.00,13700,788.00
2012-03-22,785.00,800.00,781.00,781.00,1800,781.00
2012-03-21,815.00,843.64,815.00,815.00,10000,815.00
2012-03-20,850.00,850.00,816.01,850.00,4600,850.00
2012-03-19,825.00,850.00,818.00,850.00,800,850.00
2012-03-16,835.00,852.50,825.00,825.00,1700,825.00
2012-03-15,829.00,829.00,829.00,829.00,200,829.00
2012-03-14,825.00,855.00,825.00,855.00,4200,855.00
2012-03-13,800.00,823.00,800.00,805.00,2200,805.00
2012-03-12,800.00,838.44,800.00,800.00,5400,800.00
2012-03-09,830.00,840.00,810.00,810.00,1800,810.00
2012-03-08,848.00,848.00,811.00,848.00,700,848.00
2012-03-07,811.00,845.00,811.00,811.00,1000,811.00
2012-03-06,840.00,840.00,812.00,837.00,2000,837.00
2012-03-05,840.00,840.00,811.86,840.00,300,840.00
2012-03-02,840.00,840.00,811.00,811.00,5800,811.00
2012-03-01,811.00,840.00,811.00,811.00,700,811.00
2012-02-29,840.00,840.00,810.00,810.00,1700,810.00
2012-02-28,845.00,845.00,811.00,811.00,5900,811.00
2012-02-27,839.00,839.00,839.00,839.00,1200,839.00
2012-02-24,811.00,839.00,811.00,839.00,300,839.00
2012-02-23,839.00,839.00,811.00,811.00,500,811.00
2012-02-22,820.00,840.00,820.00,840.00,1300,840.00
2012-02-21,825.00,835.00,810.00,830.00,11500,830.00
2012-02-20,790.00,828.00,790.00,800.00,6600,800.00
2012-02-17,793.00,800.00,793.00,800.00,1000,800.00
2012-02-16,797.00,808.00,791.00,808.00,3900,808.00
2012-02-15,803.00,840.00,800.00,835.00,4300,835.00
2012-02-14,840.00,855.00,815.00,815.00,2500,815.00
2012-02-13,810.00,840.00,810.00,840.00,3200,840.00
2012-02-10,835.00,853.00,817.00,817.00,2500,817.00
2012-02-09,855.00,861.00,819.00,849.00,6600,849.00
2012-02-08,845.00,855.00,823.00,825.00,3700,825.00
2012-02-07,854.00,855.00,817.50,855.00,1100,855.00
2012-02-06,817.00,854.00,817.00,854.00,700,854.00
2012-02-03,839.00,839.00,817.00,817.00,1800,817.00
2012-02-02,820.00,844.00,817.00,844.00,4900,844.00
2012-02-01,848.00,850.00,820.00,820.00,6100,820.00
2012-01-31,849.00,849.00,812.00,849.00,1600,849.00
2012-01-30,812.00,812.00,812.00,812.00,500,812.00
2012-01-27,849.00,849.00,812.00,812.00,800,812.00
2012-01-26,805.00,850.00,805.00,805.00,000,805.00
2012-01-25,805.00,829.00,805.00,812.00,4200,812.00
2012-01-24,834.00,840.00,808.26,840.00,13200,840.00
2012-01-23,790.00,834.00,790.00,790.00,1800,790.00
2012-01-20,833.00,834.00,799.39,834.00,1800,834.00
2012-01-19,838.00,839.00,806.00,806.00,2000,806.00
2012-01-18,840.00,840.09,813.00,813.00,2300,813.00
2012-01-17,815.00,860.00,815.00,815.00,000,815.00
2012-01-16,816.00,845.00,816.00,845.00,2000,845.00
2012-01-13,845.00,850.00,816.00,816.00,1800,816.00
2012-01-12,830.00,840.00,792.00,840.00,6000,840.00
2012-01-11,815.00,815.00,815.00,815.00,1400,815.00
2012-01-10,810.00,826.81,785.00,799.00,5900,799.00
2012-01-09,839.00,839.00,800.07,835.00,1400,835.00
2012-01-06,800.00,812.98,800.00,800.05,1100,800.05
2012-01-05,820.00,825.00,801.00,801.00,43700,801.00
2012-01-04,825.00,840.00,790.00,820.00,15300,820.00
2012-01-03,800.00,825.00,781.00,825.00,11600,825.00
2011-12-30,799.00,799.00,799.00,799.00,400,799.00
2011-12-29,785.00,799.00,778.50,799.00,1300,799.00
2011-12-28,800.00,824.00,776.00,811.83,3200,811.83
2011-12-23,825.00,835.00,817.50,835.00,1400,835.00
2011-12-22,824.00,824.00,780.00,780.00,12000,780.00
2011-12-21,816.00,816.00,801.00,801.00,2600,801.00
2011-12-20,802.00,820.00,802.00,818.00,2900,818.00
2011-12-19,770.00,814.00,770.00,814.00,300,814.00
2011-12-16,790.00,814.00,770.00,770.00,1400,770.00
2011-12-15,811.83,815.00,811.83,815.00,1000,815.00
2011-12-14,805.00,805.00,805.00,805.00,1700,805.00
2011-12-13,762.00,804.00,762.00,765.00,1800,765.00
2011-12-12,795.00,804.00,782.00,804.00,3600,804.00
2011-12-09,785.00,788.54,760.00,760.00,4100,760.00
2011-12-08,779.45,779.45,760.00,760.00,1300,760.00
2011-12-07,773.00,783.00,757.50,757.50,11800,757.50
2011-12-06,750.00,777.00,741.00,741.00,2400,741.00
2011-12-05,770.00,770.00,740.50,745.00,4100,745.00
2011-12-02,770.00,775.00,760.00,767.00,8100,767.00
2011-12-01,768.00,778.00,755.00,778.00,12700,778.00
2011-11-30,773.00,773.00,728.00,763.50,6100,763.50
2011-11-29,750.50,773.00,745.00,773.00,5100,773.00
2011-11-28,755.00,775.00,755.00,775.00,1700,775.00
2011-11-25,775.00,775.00,774.60,775.00,800,775.00
2011-11-24,755.00,800.00,755.00,755.00,000,755.00
2011-11-23,765.00,792.52,765.00,765.00,200,765.00
2011-11-22,803.00,803.00,777.50,777.50,1100,777.50
2011-11-21,770.00,793.00,765.00,765.00,2700,765.00
2011-11-18,780.00,800.00,770.43,770.43,7600,770.43
2011-11-17,820.00,820.00,781.17,781.21,1600,781.21
2011-11-16,786.00,820.00,786.00,820.00,3700,820.00
2011-11-15,815.00,815.00,782.00,815.00,3800,815.00
2011-11-14,815.00,815.00,782.50,812.50,4200,812.50
2011-11-11,800.00,813.00,775.00,783.00,7300,783.00
2011-11-10,775.00,780.00,750.00,750.00,3100,750.00
2011-11-09,750.00,768.08,735.00,750.00,3600,750.00
2011-11-08,750.00,750.00,750.00,750.00,800,750.00
2011-11-07,775.00,775.00,775.00,775.00,500,775.00
2011-11-04,795.00,795.00,795.00,795.00,100,795.00
2011-11-03,770.00,770.00,770.00,770.00,300,770.00
2011-11-02,750.00,780.00,750.00,780.00,1400,780.00
2011-11-01,780.00,780.00,780.00,780.00,000,780.00
2011-10-31,750.00,775.00,750.00,750.00,1000,750.00
2011-10-28,745.00,770.00,745.00,770.00,1800,770.00
2011-10-27,760.00,760.00,760.00,760.00,1100,760.00
2011-10-26,745.00,790.00,745.00,745.00,000,745.00
2011-10-25,740.00,750.00,740.00,750.00,3700,750.00
2011-10-24,750.00,750.00,750.00,750.00,4000,750.00
2011-10-21,752.00,752.00,752.00,752.00,1700,752.00
2011-10-20,750.00,750.00,750.00,750.00,000,750.00
2011-10-19,793.00,793.00,793.00,793.00,1200,793.00
2011-10-18,765.00,765.00,765.00,765.00,300,765.00
2011-10-17,750.00,795.00,750.00,750.00,000,750.00
2011-10-14,750.00,895.00,750.00,750.00,000,750.00
2011-10-13,787.50,787.50,787.50,787.50,2100,787.50
2011-10-12,751.03,779.50,751.03,779.50,3400,779.50
2011-10-11,785.00,785.00,770.00,770.00,11100,770.00
2011-10-10,775.00,785.00,768.88,785.00,2500,785.00
2011-10-07,750.00,772.50,740.00,772.50,6200,772.50
2011-10-06,710.00,750.00,710.00,750.00,1700,750.00
2011-10-05,730.00,730.00,715.00,715.00,4600,715.00
2011-10-04,766.90,766.90,732.00,732.00,1700,732.00
2011-10-03,732.00,773.00,730.00,773.00,4800,773.00
2011-09-30,730.00,775.00,730.00,730.00,000,730.00
2011-09-29,760.00,760.00,760.00,760.00,6000,760.00
2011-09-28,737.50,737.50,737.50,737.50,4700,737.50
2011-09-27,752.00,752.00,752.00,752.00,000,752.00
2011-09-26,720.00,720.00,720.00,720.00,300,720.00
2011-09-23,710.00,895.00,710.00,710.00,000,710.00
2011-09-22,700.00,895.00,700.00,700.00,000,700.00
2011-09-21,740.00,750.00,720.00,723.50,5200,723.50
2011-09-20,743.00,743.00,743.00,743.00,1500,743.00
2011-09-19,735.00,895.00,735.00,735.00,000,735.00
2011-09-16,773.00,773.00,743.00,743.00,3300,743.00
2011-09-15,773.00,773.00,773.00,773.00,000,773.00
2011-09-14,735.00,780.00,735.00,735.00,000,735.00
2011-09-13,773.00,773.00,773.00,773.00,000,773.00
2011-09-12,730.00,895.00,730.00,730.00,000,730.00
2011-09-09,773.00,773.00,751.03,751.03,400,751.03
2011-09-08,750.00,795.00,750.00,750.00,000,750.00
2011-09-07,746.00,746.00,746.00,746.00,1500,746.00
2011-09-06,770.00,770.00,745.00,745.00,700,745.00
2011-09-05,768.00,768.00,768.00,768.00,600,768.00
2011-09-02,745.50,745.50,745.50,745.50,1300,745.50
2011-09-01,745.00,790.00,745.00,745.00,000,745.00
2011-08-31,765.00,765.00,765.00,765.00,1000,765.00
2011-08-30,745.00,750.00,740.00,750.00,7800,750.00
2011-08-26,700.00,740.00,700.00,700.00,000,700.00
2011-08-25,765.00,765.00,672.00,730.00,3300,730.00
2011-08-24,790.00,790.00,765.00,765.00,000,765.00
2011-08-23,775.00,775.00,775.00,775.00,400,775.00
2011-08-22,817.43,817.43,775.00,815.00,3300,815.00
2011-08-19,775.00,815.00,775.00,815.00,000,815.00
2011-08-18,785.00,785.00,780.00,780.00,800,780.00
2011-08-17,800.00,800.00,790.00,798.00,1700,798.00
2011-08-16,800.00,845.00,800.00,800.00,000,800.00
2011-08-15,802.00,802.00,802.00,802.00,200,802.00
2011-08-12,800.00,830.00,800.00,830.00,7500,830.00
2011-08-11,770.00,815.00,770.00,815.00,1800,815.00
2011-08-10,792.50,792.50,771.05,790.00,500,790.00
2011-08-09,770.00,815.00,770.00,814.00,900,814.00
2011-08-08,775.00,775.00,765.00,765.00,700,765.00
2011-08-05,795.00,820.00,795.00,820.00,3900,820.00
2011-08-04,820.00,837.00,799.00,820.00,17700,820.00
2011-08-03,820.00,820.00,801.00,801.00,1900,801.00
2011-08-02,850.00,850.00,850.00,850.00,000,850.00
