Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,317.50,321.45,313.00,314.90,170100,313.40
2012-08-02,317.50,323.99,313.00,313.40,233800,313.40
2012-08-01,316.60,319.80,312.70,318.20,250200,318.20
2012-07-31,309.00,315.00,305.78,313.40,545900,313.40
2012-07-27,308.20,315.30,303.90,312.70,635600,312.70
2012-07-26,307.20,309.30,301.80,305.70,882300,305.70
2012-07-25,292.00,308.50,292.00,308.10,974000,308.10
2012-07-24,295.00,305.70,290.30,296.20,1507000,296.20
2012-07-23,298.90,304.30,289.70,301.70,1199700,301.70
2012-07-20,290.00,299.03,288.10,299.00,1271500,299.00
2012-07-19,287.80,297.10,283.76,292.30,1712000,292.30
2012-07-18,283.90,289.00,280.20,284.50,1789800,284.50
2012-07-17,287.90,314.40,267.48,292.00,6278200,292.00
2012-07-16,219.00,224.50,217.50,218.30,511100,218.30
2012-07-13,224.20,224.22,217.10,218.40,774200,218.40
2012-07-12,229.80,231.60,222.10,223.00,512100,223.00
2012-07-11,230.10,233.54,223.50,231.20,367500,231.20
2012-07-10,228.10,233.70,226.68,231.50,439300,231.50
2012-07-09,229.70,230.05,226.70,229.20,383400,229.20
2012-07-06,229.10,231.80,228.70,230.70,394300,230.70
2012-07-05,231.60,235.70,228.30,231.70,482400,231.70
2012-07-04,229.80,232.14,226.40,229.10,450200,229.10
2012-07-03,224.60,232.10,224.60,229.70,482200,229.70
2012-07-02,221.20,225.40,220.10,225.00,375700,225.00
2012-06-29,221.20,222.50,218.50,220.40,552200,220.40
2012-06-28,216.80,217.40,211.20,216.10,424000,216.10
2012-06-27,215.10,218.30,212.00,217.60,281700,217.60
2012-06-26,212.50,223.10,212.30,215.50,935200,215.50
2012-06-25,218.60,218.60,211.80,213.30,687800,213.30
2012-06-22,219.30,220.60,217.10,219.00,337900,219.00
2012-06-21,216.80,223.90,214.50,221.80,403400,221.80
2012-06-20,216.00,218.60,213.10,217.60,258000,217.60
2012-06-19,210.90,215.63,209.20,214.40,345800,214.40
2012-06-18,211.00,213.20,206.20,210.50,410500,210.50
2012-06-15,200.30,208.32,200.30,208.20,686500,208.20
2012-06-14,202.20,204.90,199.60,200.40,468100,200.40
2012-06-13,201.90,203.40,198.26,202.90,290800,202.90
2012-06-12,203.20,205.20,198.80,200.40,616100,200.40
2012-06-11,213.00,214.34,203.20,204.20,209300,204.20
