Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,688.00,694.00,688.00,694.00,10400,694.00
2012-08-02,684.06,694.00,684.06,694.00,10400,694.00
2012-08-01,697.00,697.00,687.83,697.00,3000,697.00
2012-07-31,695.00,695.00,686.29,687.00,3600,687.00
2012-07-27,697.00,697.00,685.00,685.00,85000,685.00
2012-07-26,690.00,695.00,688.75,693.50,21900,693.50
2012-07-25,695.00,696.00,690.50,693.50,19500,693.50
2012-07-24,694.48,690.00,690.00,690.00,2900,690.00
2012-07-23,697.00,697.00,686.50,695.00,35700,695.00
2012-07-20,699.00,700.00,693.00,696.00,42600,696.00
2012-07-19,694.50,703.00,690.00,696.00,151500,696.00
2012-07-18,691.50,697.00,688.50,691.50,14200,691.50
2012-07-17,700.00,704.00,688.00,688.00,72300,688.00
2012-07-16,705.00,705.00,688.50,700.00,56500,700.00
2012-07-13,700.00,700.00,692.52,700.00,1900,700.00
2012-07-12,710.00,710.00,710.00,697.00,13000,697.00
2012-07-11,708.50,708.50,697.00,706.50,22200,706.50
2012-07-10,714.00,714.00,706.60,710.00,34800,710.00
2012-07-09,716.50,718.00,711.60,716.00,107000,716.00
2012-07-06,719.00,719.00,712.50,714.00,24400,714.00
2012-07-05,715.00,723.00,708.92,721.00,148300,721.00
2012-07-04,715.00,730.00,702.50,720.00,42500,720.00
2012-07-03,701.50,714.00,699.16,713.50,63300,713.50
2012-07-02,700.00,702.90,692.50,697.00,225100,697.00
2012-06-29,703.00,704.40,697.52,704.00,56700,704.00
2012-06-28,700.00,705.00,696.42,703.50,61800,703.50
2012-06-27,689.50,707.00,689.50,705.00,9700,705.00
2012-06-26,675.00,708.50,671.25,697.00,16700,697.00
2012-06-25,672.00,678.50,661.37,677.50,14200,677.50
2012-06-22,657.50,679.00,650.00,677.00,33000,677.00
2012-06-21,638.50,660.00,636.00,648.00,150000,648.00
2012-06-20,630.00,640.00,628.50,633.23,33000,633.23
2012-06-19,629.50,640.00,625.00,630.60,36900,630.60
2012-06-18,629.00,630.00,625.00,628.00,68800,628.00
2012-06-15,595.00,635.00,595.00,635.00,76200,635.00
2012-06-14,595.00,605.00,592.50,600.50,21500,600.50
2012-06-13,585.00,602.50,584.00,602.50,36700,602.50
2012-06-12,595.00,599.00,585.00,585.00,59200,585.00
2012-06-11,584.50,600.00,580.00,595.00,30300,595.00
2012-06-08,598.00,598.00,580.50,593.00,19600,593.00
2012-06-07,594.00,597.50,587.00,597.50,14800,597.50
2012-06-06,593.50,594.00,585.27,594.00,7700,594.00
2012-06-01,595.00,595.00,580.00,590.00,8900,590.00
2012-05-31,590.00,590.50,583.50,584.00,15800,584.00
2012-05-30,596.00,599.33,583.00,586.00,17100,586.00
2012-05-29,588.00,595.00,583.50,595.00,163200,595.00
2012-05-28,607.50,610.00,590.00,590.00,48500,590.00
2012-05-25,600.00,609.28,599.00,600.00,25300,600.00
2012-05-24,604.00,612.10,595.00,595.00,50400,595.00
2012-05-23,630.00,630.00,600.00,605.00,14200,605.00
2012-05-22,630.00,630.00,628.81,630.00,5400,630.00
2012-05-21,630.00,630.00,620.00,629.10,25200,629.10
2012-05-18,625.00,630.00,620.00,630.00,3500,630.00
2012-05-17,637.50,637.50,624.00,626.50,12700,626.50
2012-05-16,645.00,651.50,637.00,637.00,9500,637.00
2012-05-14,653.00,660.00,650.50,659.50,4600,659.50
2012-05-11,660.00,665.00,658.02,665.00,327000,665.00
2012-05-10,668.00,668.00,652.80,668.00,3600,668.00
2012-05-09,660.00,671.50,660.00,660.00,7600,660.00
2012-05-08,669.00,670.00,664.50,667.00,6800,667.00
2012-05-04,670.00,670.00,660.00,660.00,12200,660.00
2012-05-03,665.00,665.00,661.00,661.00,13200,661.00
2012-05-02,662.50,663.00,655.44,663.00,5900,663.00
2012-05-01,663.00,663.00,661.00,663.00,600,663.00
2012-04-30,665.00,675.00,660.13,663.00,21100,663.00
2012-04-27,654.50,660.00,651.50,656.00,7400,656.00
2012-04-26,663.50,663.50,652.12,657.50,36800,657.50
2012-04-25,663.06,663.06,656.93,656.93,600,656.93
2012-04-24,650.50,665.00,650.50,656.00,9800,656.00
2012-04-23,655.00,661.91,655.00,660.00,46200,660.00
2012-04-20,640.50,665.00,640.50,665.00,7000,665.00
2012-04-19,648.00,657.29,648.00,651.12,17600,651.12
2012-04-18,648.00,652.50,647.50,652.50,17100,652.50
2012-04-17,653.00,658.00,653.00,658.00,2800,658.00
2012-04-16,657.50,658.00,647.00,653.00,5500,653.00
2012-04-13,629.50,653.00,629.50,653.00,9900,653.00
2012-04-12,640.00,645.00,631.56,645.00,14600,645.00
2012-04-11,635.00,643.50,633.50,635.00,93300,635.00
2012-04-10,626.50,641.50,625.00,640.00,21000,640.00
2012-04-05,639.00,640.00,634.00,639.50,8300,639.50
2012-04-04,638.00,642.00,629.25,639.87,7700,639.87
2012-04-03,639.00,639.00,629.75,637.00,4900,637.00
2012-04-02,630.00,639.50,624.18,636.50,8100,636.50
2012-03-30,635.00,640.00,625.50,628.00,19500,628.00
2012-03-29,626.00,632.50,623.59,627.00,5800,627.00
2012-03-28,630.00,630.50,627.00,627.00,1000,627.00
2012-03-27,625.00,630.00,622.00,625.00,56000,625.00
2012-03-26,622.00,625.00,622.00,625.00,5700,625.00
2012-03-23,625.00,630.00,622.94,630.00,6200,630.00
2012-03-22,625.32,630.00,622.50,630.00,13500,630.00
2012-03-21,622.00,634.00,622.00,623.00,12500,623.00
2012-03-20,623.00,630.00,610.50,630.00,11200,630.00
2012-03-19,613.00,623.24,610.81,613.00,3700,613.00
2012-03-16,620.00,625.90,611.50,611.50,18700,611.50
2012-03-15,616.50,619.50,605.50,608.00,8800,608.00
2012-03-14,605.70,617.00,604.00,617.00,21100,617.00
2012-03-13,609.50,613.00,602.25,613.00,21700,613.00
2012-03-12,602.00,610.00,600.00,605.00,33100,605.00
2012-03-09,585.00,602.00,585.00,602.00,43000,602.00
2012-03-08,585.00,588.00,580.00,580.00,7000,580.00
2012-03-07,585.00,585.00,580.00,580.00,2900,580.00
2012-03-06,578.50,583.00,577.00,580.00,51900,580.00
2012-03-05,580.00,580.00,580.00,580.00,17000,580.00
2012-03-02,585.00,587.37,585.00,585.00,15900,585.00
2012-03-01,585.00,589.41,585.00,585.00,19200,585.00
2012-02-29,588.00,590.00,584.00,585.00,32500,585.00
2012-02-28,588.00,588.00,583.00,588.00,39400,588.00
2012-02-27,588.00,588.00,579.10,588.00,4200,588.00
2012-02-24,585.50,585.81,577.52,585.50,26400,585.50
2012-02-23,583.50,588.00,583.50,583.50,200,583.50
