Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,163.05,163.05,163.05,163.05,8000,164.24
2012-08-02,163.05,164.24,163.05,164.24,6200,164.24
2012-08-01,165.00,167.00,159.47,167.00,15700,167.00
2012-07-31,165.00,165.00,157.10,165.00,5300,165.00
2012-07-27,159.00,165.00,158.50,165.00,12300,165.00
2012-07-26,155.00,159.00,155.00,159.00,1875700,159.00
2012-07-25,155.00,159.00,155.00,159.00,1548700,159.00
2012-07-24,159.00,159.00,155.00,155.00,2000000,155.00
2012-07-23,155.00,158.50,155.00,158.50,700,158.50
2012-07-20,155.00,158.74,155.00,155.00,35000,155.00
2012-07-19,150.00,160.40,150.00,157.00,65100,157.00
2012-07-18,150.00,158.38,150.00,150.00,5900,150.00
2012-07-17,150.00,155.00,150.00,151.00,2100,151.00
2012-07-16,152.00,157.75,149.00,150.00,5900,150.00
2012-07-13,147.00,159.00,147.00,152.00,26100,152.00
2012-07-12,151.00,154.00,151.00,151.00,21900,151.00
2012-07-11,147.00,155.90,147.00,147.00,7100,147.00
2012-07-10,147.00,149.89,147.00,148.00,4700,148.00
2012-07-09,152.00,154.67,143.00,152.50,32500,152.50
2012-07-06,155.00,161.90,152.00,152.00,39900,152.00
2012-07-05,155.00,156.50,155.00,155.00,8400,155.00
2012-07-04,155.00,160.00,155.00,156.00,8400,156.00
2012-07-03,155.00,159.92,155.00,155.00,7000,155.00
2012-07-02,164.00,164.00,155.00,155.25,26300,155.25
2012-06-29,159.00,163.80,156.58,159.00,7600,159.00
2012-06-28,158.00,162.00,150.39,157.50,17000,157.50
2012-06-27,160.00,160.00,151.56,153.00,6600,153.00
2012-06-26,157.00,163.00,153.00,153.00,53200,153.00
2012-06-25,150.00,159.50,150.00,150.00,24500,150.00
2012-06-22,152.60,155.40,150.00,150.00,46200,150.00
2012-06-21,155.40,155.40,152.00,152.00,12500,152.00
2012-06-20,152.00,152.00,152.00,152.00,5400,152.00
2012-06-19,150.50,150.50,150.50,150.50,3200,150.50
2012-06-18,142.60,142.60,142.60,142.60,7000,142.60
2012-06-15,150.50,153.00,146.04,153.00,52100,153.00
2012-06-14,150.00,150.50,142.00,150.50,14800,150.50
2012-06-13,152.00,152.00,142.00,150.00,29600,150.00
2012-06-12,145.00,152.00,143.00,147.00,33200,147.00
2012-06-11,145.00,152.00,145.00,152.00,12400,152.00
2012-06-08,140.00,148.00,140.00,140.00,84600,140.00
2012-06-07,145.00,150.13,141.00,141.00,26500,141.00
2012-06-06,149.00,150.13,145.00,145.00,19900,145.00
2012-06-01,148.50,148.50,145.00,145.50,5600,145.50
2012-05-31,149.00,149.00,145.00,145.00,600,145.00
2012-05-30,145.00,151.13,145.00,145.00,1100,145.00
2012-05-29,146.00,151.13,145.00,145.00,22000,145.00
2012-05-28,149.00,149.00,146.00,148.00,57200,148.00
2012-05-25,143.00,145.00,141.94,145.00,22900,145.00
2012-05-24,141.00,141.00,141.00,141.00,200,141.00
2012-05-23,145.00,145.00,140.00,140.00,5300,140.00
2012-05-22,141.00,141.00,138.52,141.00,34000,141.00
2012-05-21,141.25,141.25,141.25,141.25,14400,141.25
2012-05-18,140.00,145.00,137.30,141.00,31800,141.00
2012-05-17,140.00,145.00,137.50,137.50,19800,137.50
2012-05-16,139.00,142.00,134.25,135.00,7700,135.00
2012-05-14,141.00,145.00,134.46,134.46,8100,134.46
2012-05-11,143.50,145.00,141.00,145.00,48100,145.00
2012-05-10,143.50,148.00,143.50,148.00,14900,148.00
2012-05-09,148.00,148.00,144.06,144.18,10300,144.18
2012-05-08,151.75,152.00,147.00,147.00,17300,147.00
2012-05-04,144.00,144.00,141.00,141.00,12300,141.00
2012-05-03,138.25,143.90,138.25,140.00,24600,140.00
2012-05-02,141.00,141.00,133.00,134.75,56300,134.75
2012-05-01,142.47,142.47,142.47,142.47,900,142.47
2012-04-30,143.00,144.00,143.00,144.00,8800,144.00
2012-04-27,143.00,143.00,140.00,143.00,24600,143.00
2012-04-26,142.00,143.00,140.00,140.00,9000,140.00
2012-04-25,137.00,137.00,137.00,137.00,000,137.00
2012-04-24,132.00,140.65,132.00,132.00,5600,132.00
2012-04-23,140.00,144.28,134.25,134.25,225800,134.25
2012-04-20,143.95,145.00,143.95,145.00,164400,145.00
2012-04-19,145.00,145.75,140.00,140.00,7900,140.00
2012-04-18,150.00,150.00,145.00,145.72,24000,145.72
2012-04-17,150.00,150.00,145.00,150.00,27500,150.00
2012-04-16,151.00,154.00,148.85,154.00,5100,154.00
2012-04-13,155.00,155.00,151.50,155.00,5300,155.00
2012-04-12,152.00,153.53,151.50,153.53,25100,153.53
2012-04-11,154.09,154.09,151.50,154.09,32500,154.09
2012-04-10,158.00,160.00,150.75,155.25,155300,155.25
2012-04-05,150.40,158.90,150.40,156.25,20200,156.25
2012-04-04,150.00,159.86,148.00,156.00,34000,156.00
2012-04-03,155.00,160.00,151.00,160.00,40900,160.00
2012-04-02,152.00,154.00,147.24,152.00,19600,152.00
2012-03-30,150.00,152.00,133.10,151.50,34100,151.50
2012-03-29,147.00,149.25,146.25,147.00,300,147.00
2012-03-28,144.50,144.56,144.50,144.56,8500,144.56
2012-03-27,149.00,149.00,142.62,144.00,8200,144.00
2012-03-26,144.00,148.90,142.00,143.82,24800,143.82
2012-03-23,140.00,144.00,132.85,144.00,88400,144.00
2012-03-22,136.00,140.00,135.00,140.00,30500,140.00
2012-03-21,135.00,138.00,135.00,138.00,2900,138.00
2012-03-20,138.00,138.00,136.87,136.87,26300,136.87
2012-03-19,139.00,139.50,135.62,139.00,30100,139.00
2012-03-16,139.00,139.00,135.60,135.75,4600,135.75
2012-03-15,139.00,139.00,134.00,139.00,2600,139.00
2012-03-14,133.50,138.00,133.50,137.75,20500,137.75
2012-03-13,127.00,133.50,127.00,133.50,10000,133.50
2012-03-12,130.00,133.50,130.00,133.50,22600,133.50
2012-03-09,130.00,135.00,127.25,135.00,36500,135.00
2012-03-08,132.50,133.00,128.50,128.50,29700,128.50
2012-03-07,132.50,132.50,132.50,132.50,3000,132.50
2012-03-06,130.00,130.00,130.00,130.00,000,130.00
2012-03-05,133.00,133.00,132.92,132.92,38300,132.92
2012-03-02,135.00,137.00,129.12,129.12,21500,129.12
2012-03-01,142.80,142.80,140.00,142.80,3000,142.80
2012-02-29,140.00,140.00,140.00,140.00,300,140.00
2012-02-28,145.00,145.00,145.00,145.00,000,145.00
2012-02-27,140.00,140.00,140.00,140.00,6000,140.00
2012-02-24,140.62,144.20,140.62,144.20,4300,144.20
2012-02-23,145.00,145.00,140.00,140.00,516000,140.00
2012-02-22,145.00,145.00,140.00,144.20,239200,144.20
2012-02-21,140.00,142.63,138.00,138.00,31600,138.00
2012-02-20,135.08,139.25,135.08,139.25,2300,139.25
2012-02-17,139.00,139.00,134.12,136.50,9100,136.50
2012-02-16,135.00,138.00,135.00,138.00,15000,138.00
2012-02-15,135.00,138.50,135.00,135.00,18700,135.00
2012-02-14,143.70,143.70,143.70,143.70,800,143.70
2012-02-13,140.42,145.25,140.00,144.00,282600,144.00
2012-02-10,139.00,139.00,139.00,139.00,700,139.00
2012-02-09,132.00,136.25,132.00,136.25,18700,136.25
2012-02-08,125.00,130.75,122.00,123.00,6100,123.00
2012-02-07,123.80,127.25,123.80,127.25,1800,127.25
2012-02-06,126.00,126.00,120.75,126.00,28100,126.00
2012-02-03,125.00,125.00,120.10,120.87,20800,120.87
2012-02-02,127.88,127.88,125.00,125.00,20100,125.00
2012-02-01,131.00,131.00,120.00,126.00,69400,126.00
2012-01-31,133.75,133.75,133.75,133.75,2500,133.75
2012-01-30,134.01,134.01,134.01,134.01,500,134.01
2012-01-27,134.10,134.10,132.00,132.00,28300,132.00
2012-01-26,139.88,139.88,131.00,131.00,9800,131.00
2012-01-25,127.00,138.00,127.00,138.00,57800,138.00
2012-01-24,125.25,125.25,121.75,124.00,11700,124.00
2012-01-23,134.00,134.00,125.25,126.00,39600,126.00
2012-01-20,139.38,139.38,139.38,139.38,900,139.38
2012-01-19,140.00,141.19,131.00,138.00,102000,138.00
2012-01-18,140.00,140.00,131.20,135.00,12600,135.00
2012-01-17,130.00,131.00,125.72,131.00,9900,131.00
2012-01-16,120.00,146.00,120.00,120.00,000,120.00
2012-01-13,120.00,146.00,120.00,120.00,000,120.00
2012-01-12,121.35,129.64,121.35,123.97,2300,123.97
2012-01-11,130.00,130.00,125.72,125.75,1700,125.75
2012-01-10,121.00,123.97,121.00,123.97,4300,123.97
2012-01-09,121.40,121.40,121.35,121.35,5100,121.35
2012-01-06,120.00,120.00,120.00,120.00,100,120.00
2012-01-05,119.00,146.00,119.00,119.00,000,119.00
2012-01-04,129.80,129.80,121.40,121.40,1700,121.40
2012-01-03,120.00,120.00,120.00,120.00,900,120.00
2011-12-30,115.00,133.50,115.00,115.00,000,115.00
2011-12-29,125.00,129.00,125.00,129.00,4500,129.00
2011-12-28,118.97,118.97,118.97,118.97,400,118.97
2011-12-23,121.00,123.88,121.00,121.00,7100,121.00
2011-12-22,124.00,124.00,124.00,124.00,2500,124.00
2011-12-21,119.50,120.00,115.66,120.00,32100,120.00
2011-12-20,118.00,127.00,109.00,118.00,49800,118.00
2011-12-19,121.50,121.50,120.50,120.50,23600,120.50
2011-12-16,121.50,123.76,121.50,122.75,10400,122.75
2011-12-15,127.09,127.09,127.09,127.09,000,127.09
2011-12-14,125.00,128.00,122.06,127.25,8500,127.25
2011-12-13,120.02,122.25,120.02,122.25,1100,122.25
2011-12-12,123.25,127.81,119.41,127.81,9900,127.81
2011-12-09,122.00,122.00,121.00,121.00,4600,121.00
2011-12-08,121.46,121.46,119.50,119.50,1400,119.50
2011-12-07,123.25,123.25,123.25,123.25,8000,123.25
2011-12-06,120.00,125.84,119.66,120.00,17300,120.00
2011-12-05,122.03,122.00,122.00,122.00,1600,122.00
2011-12-02,118.00,147.00,118.00,118.00,000,118.00
2011-12-01,126.75,126.75,126.75,126.75,100,126.75
2011-11-30,126.37,126.37,126.37,126.37,1800,126.37
2011-11-29,121.31,127.34,121.31,122.85,6600,122.85
2011-11-28,126.81,127.12,126.81,126.99,700,126.99
2011-11-25,125.00,128.00,121.32,127.45,35400,127.45
2011-11-24,125.00,125.13,118.06,125.13,13700,125.13
2011-11-23,126.00,126.00,117.50,121.00,31200,121.00
2011-11-22,126.00,147.00,126.00,126.00,000,126.00
2011-11-21,135.00,135.00,128.00,135.00,10800,135.00
2011-11-18,130.00,130.00,130.00,130.00,700,130.00
2011-11-17,132.00,138.00,128.00,138.00,17400,138.00
2011-11-16,135.25,135.25,135.25,135.25,2000,135.25
2011-11-15,133.00,134.04,133.00,134.04,2200,134.04
2011-11-14,137.00,137.00,134.04,136.92,11800,136.92
2011-11-11,137.00,137.00,135.00,135.00,5400,135.00
2011-11-10,133.78,133.78,133.48,133.48,7400,133.48
2011-11-09,137.00,137.00,134.04,134.04,23400,134.04
