Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,30.87,31.17,29.59,29.74,2738800,29.64
2012-08-02,30.87,31.17,29.59,29.64,17781800,29.64
2012-08-01,31.24,31.53,30.94,30.97,3418100,30.97
2012-07-31,31.76,32.00,31.09,31.40,5158400,31.40
2012-07-27,31.64,32.18,31.34,31.81,3881900,31.81
2012-07-26,30.94,31.54,30.63,31.35,3999900,31.35
2012-07-25,30.65,31.44,30.63,30.82,4777900,30.82
2012-07-24,32.50,32.56,30.64,30.77,4197900,30.77
2012-07-23,32.11,32.91,32.11,32.45,4120100,32.45
2012-07-20,32.58,33.47,32.09,32.63,6362400,32.63
2012-07-19,33.55,33.99,33.24,33.28,4134300,33.28
2012-07-18,32.84,33.90,32.53,33.52,5729200,33.52
2012-07-17,32.74,32.87,32.20,32.85,4003300,32.85
2012-07-16,31.93,33.38,31.93,32.80,10555600,32.80
2012-07-13,31.38,32.16,30.85,32.07,8018500,32.07
2012-07-12,31.02,31.69,30.73,31.58,8922700,31.58
2012-07-11,29.66,30.49,29.66,30.37,3490900,30.37
2012-07-10,29.86,30.12,29.28,30.12,7001800,30.12
2012-07-09,29.77,29.97,29.59,29.94,3047300,29.94
2012-07-06,29.05,30.04,28.93,29.90,4230400,29.90
2012-07-05,29.44,29.86,28.89,29.45,8803200,29.45
2012-07-04,30.00,30.00,29.58,29.85,2825100,29.85
2012-07-03,29.64,30.32,29.64,29.92,6623200,29.92
2012-07-02,29.81,30.24,29.35,29.75,3358600,29.75
2012-06-29,29.73,29.96,29.51,29.60,3472500,29.60
2012-06-28,29.18,29.80,29.02,29.22,3548500,29.22
2012-06-27,28.94,29.48,28.94,29.30,2111500,29.30
2012-06-26,29.16,29.39,28.99,29.01,3332700,29.01
2012-06-25,29.06,29.69,29.06,29.30,4835400,29.30
2012-06-22,28.96,29.59,28.19,29.34,4526700,29.34
2012-06-21,29.44,29.49,28.42,29.00,4520800,29.00
2012-06-20,29.09,29.65,28.80,29.28,6310200,29.28
2012-06-19,28.75,29.24,28.27,28.96,3729700,28.96
2012-06-18,28.76,29.70,28.20,29.00,3478200,29.00
2012-06-15,27.98,29.17,27.53,28.96,12176500,28.96
2012-06-14,27.69,28.39,27.69,27.98,3533000,27.98
2012-06-13,28.18,28.19,27.55,27.55,3516900,27.55
2012-06-12,28.76,28.88,27.92,27.93,4854300,27.93
2012-06-11,29.50,30.18,28.72,28.93,10657000,28.93
2012-06-08,28.75,29.24,28.52,29.23,8469100,29.23
2012-06-07,28.50,29.10,28.26,28.89,10511500,28.89
2012-06-06,27.31,28.29,27.31,28.24,9164100,28.24
2012-06-01,27.48,30.77,27.07,27.30,4393200,27.30
2012-05-31,27.44,27.89,27.16,27.28,7197100,27.28
2012-05-30,29.25,32.28,27.24,27.29,9424500,27.29
2012-05-29,30.87,32.51,30.87,32.20,6718100,32.20
2012-05-28,31.53,32.31,30.97,31.13,3755600,31.13
2012-05-25,32.35,33.30,31.33,31.50,7879000,31.50
2012-05-24,30.09,33.95,30.00,33.01,22522800,33.01
2012-05-23,28.41,28.41,27.83,28.06,5334500,28.06
2012-05-22,28.81,29.02,28.26,28.44,11028800,28.44
2012-05-21,28.80,29.14,28.35,28.49,5890100,28.49
2012-05-18,29.20,29.51,28.77,29.00,5332100,29.00
2012-05-17,29.82,30.00,29.10,29.24,6386800,29.24
2012-05-16,30.06,30.54,29.46,29.93,6727800,29.93
2012-05-14,31.33,31.45,30.53,30.68,5905500,30.68
2012-05-11,31.07,31.55,30.89,31.42,8583600,31.42
2012-05-10,31.49,31.73,31.07,31.30,11589900,31.30
2012-05-09,31.30,31.78,30.01,31.39,12694900,31.39
2012-05-08,32.76,32.95,31.23,31.33,6843500,31.33
2012-05-04,32.70,33.13,32.46,32.69,7430200,32.69
2012-05-03,32.88,33.60,32.70,32.86,6249800,32.86
2012-05-02,32.75,33.00,32.37,33.00,5182400,33.00
2012-05-01,32.78,33.30,32.43,32.61,2308200,32.61
2012-04-30,32.90,33.45,32.68,32.99,5716000,32.99
2012-04-27,31.80,33.13,31.80,32.89,6556400,32.89
2012-04-26,32.00,32.30,31.87,32.12,8390800,32.12
2012-04-25,31.87,32.37,31.59,32.02,8905900,32.02
2012-04-24,31.46,32.02,31.46,31.80,10149300,31.80
2012-04-23,31.22,32.81,31.08,31.50,13801400,31.50
2012-04-20,30.87,31.75,30.87,31.29,6985300,31.29
2012-04-19,30.00,30.70,29.86,30.50,6641500,30.50
2012-04-18,30.01,30.71,29.92,30.09,8119300,30.09
2012-04-17,30.70,30.99,30.07,30.07,5736700,30.07
2012-04-16,30.60,30.86,30.38,30.70,5462000,30.70
2012-04-13,30.82,31.12,30.68,30.82,6240200,30.82
2012-04-12,31.09,31.48,30.66,31.00,4579100,31.00
2012-04-11,31.30,31.60,30.73,31.20,8467400,31.20
2012-04-10,31.99,32.07,31.36,31.48,6074400,31.48
2012-04-05,32.22,32.60,31.75,32.13,3375600,32.13
2012-04-04,33.00,33.06,31.98,32.25,5914700,32.25
2012-04-03,32.82,33.22,32.53,33.05,6846800,33.05
2012-04-02,32.54,32.59,31.60,32.59,4594800,32.59
2012-03-30,32.11,32.49,31.79,32.29,7133500,32.29
2012-03-29,32.27,32.28,31.84,32.08,6754400,32.08
2012-03-28,32.42,32.70,32.17,32.28,4953500,32.28
2012-03-27,33.25,33.75,32.20,32.49,8238000,32.49
2012-03-26,32.39,33.12,31.96,32.97,9568200,32.97
2012-03-23,32.27,32.42,32.02,32.17,4828900,32.17
2012-03-22,32.35,32.37,31.82,32.01,4030400,32.01
2012-03-21,32.25,32.50,31.89,32.18,5232900,32.18
2012-03-20,31.81,32.43,31.78,32.33,8116700,32.33
2012-03-19,32.17,32.43,31.77,32.38,8584200,32.38
2012-03-16,32.66,33.01,32.01,32.11,14418000,32.11
2012-03-15,32.60,32.99,32.41,32.80,12387400,32.80
2012-03-14,32.84,33.68,32.50,32.50,16571100,32.50
2012-03-13,33.00,33.00,31.97,32.64,8826000,32.64
2012-03-12,32.19,32.90,32.19,32.59,10805000,32.59
2012-03-09,32.83,33.17,32.42,32.80,13795000,32.80
2012-03-08,32.90,33.20,32.12,33.00,6858900,33.00
2012-03-07,33.03,33.34,30.30,32.60,12300600,32.60
2012-03-06,34.74,34.74,32.95,32.95,6897400,32.95
2012-03-05,34.62,34.82,33.81,34.10,5957000,34.10
2012-03-02,35.29,35.29,33.84,34.35,5853400,34.35
2012-03-01,34.95,35.74,34.64,34.99,5731300,34.99
2012-02-29,34.57,34.72,34.08,34.65,3496200,34.65
