Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,210.17,210.17,205.75,206.50,5100,210.00
2012-08-01,208.25,210.00,204.62,210.00,114800,210.00
2012-07-31,206.00,208.75,203.29,208.75,68700,208.75
2012-07-30,203.75,206.75,201.16,206.75,107200,206.75
2012-07-27,199.50,203.25,199.02,202.75,96700,202.75
2012-07-26,199.50,200.50,198.00,200.00,110200,200.00
2012-07-25,200.00,201.20,198.46,199.75,129700,199.75
2012-07-24,199.00,201.25,198.00,198.50,62300,198.50
2012-07-23,206.00,206.00,197.00,197.00,92300,197.00
2012-07-20,207.75,208.09,202.50,204.00,41600,204.00
2012-07-19,203.00,208.00,203.00,208.00,81200,208.00
2012-07-18,202.50,205.84,202.50,204.50,42000,204.50
2012-07-17,205.50,206.84,202.50,202.50,48600,202.50
2012-07-16,208.50,209.64,205.50,205.50,28100,205.50
2012-07-13,209.00,209.35,205.00,205.00,58100,205.00
2012-07-12,209.50,210.62,205.25,205.25,51100,205.25
2012-07-11,213.50,213.60,210.25,211.00,34100,211.00
2012-07-10,212.25,213.99,210.25,213.00,86800,213.00
2012-07-09,218.00,219.24,213.00,214.00,70000,214.00
2012-07-06,217.00,219.25,213.69,216.75,85500,216.75
2012-07-05,216.75,219.50,212.29,219.50,127400,219.50
2012-07-04,214.00,217.99,211.01,216.50,107200,216.50
2012-07-03,212.00,214.00,212.00,212.50,55600,212.50
2012-07-02,216.00,216.00,210.48,211.25,64800,211.25
2012-06-29,214.00,216.00,210.10,216.00,49200,216.00
2012-06-28,209.00,210.50,208.75,210.50,78300,210.50
2012-06-27,211.75,211.99,208.35,211.00,49100,211.00
2012-06-26,210.50,210.62,207.99,208.50,27100,208.50
2012-06-25,213.00,214.75,210.75,212.00,115000,212.00
2012-06-22,215.00,215.99,213.00,215.00,71000,215.00
2012-06-21,215.00,217.50,215.00,216.00,139900,216.00
2012-06-20,218.25,219.00,216.22,219.00,244900,219.00
2012-06-19,216.00,217.50,215.30,217.50,381700,217.50
2012-06-18,215.00,216.50,215.00,216.00,132400,216.00
2012-06-15,218.00,218.00,213.50,213.50,48500,213.50
2012-06-14,217.75,220.15,215.00,215.00,49500,215.00
2012-06-13,217.25,220.34,216.50,216.75,94900,216.75
2012-06-12,219.50,220.50,216.85,218.25,32500,218.25
2012-06-11,229.75,229.75,217.75,219.96,168100,219.96
2012-06-08,227.00,227.00,223.75,226.00,53000,226.00
2012-06-07,221.25,230.75,220.75,229.00,82700,229.00
2012-06-06,218.25,225.00,217.25,225.00,88100,225.00
2012-06-01,223.50,224.50,220.00,222.16,125700,222.16
2012-05-31,223.00,224.75,223.00,224.50,131800,224.50
2012-05-30,222.00,222.00,221.00,221.50,175000,221.50
2012-05-29,221.25,223.51,218.51,223.51,54200,223.51
2012-05-28,218.00,221.58,218.00,219.80,50500,219.80
2012-05-25,219.75,220.50,214.75,220.50,119000,220.50
2012-05-24,218.25,218.75,214.38,218.75,103200,218.75
2012-05-23,217.00,219.65,212.50,214.50,157600,214.50
2012-05-22,218.00,220.50,217.78,220.28,129600,220.28
2012-05-21,211.50,216.99,209.26,215.00,123900,215.00
2012-05-14,228.75,228.75,223.00,223.00,110500,223.00
2012-05-11,230.00,232.00,230.00,230.25,97800,230.25
2012-05-10,233.00,235.00,231.50,235.00,60000,235.00
2012-05-09,234.00,236.56,229.00,231.50,239100,231.50
2012-05-08,239.50,241.13,233.70,238.00,216600,238.00
2012-05-04,248.50,249.25,239.50,239.50,95300,239.50
2012-05-03,246.00,248.24,246.00,246.00,79900,246.00
2012-05-02,250.60,251.75,246.00,248.50,90500,248.50
2012-05-01,244.30,247.61,244.30,247.61,69900,247.61
2012-04-30,248.75,249.15,243.25,245.25,166800,245.25
2012-04-27,244.00,248.00,242.76,247.00,63400,247.00
2012-04-26,248.25,248.96,245.36,246.00,67600,246.00
2012-04-25,247.75,248.00,245.11,247.00,87200,247.00
2012-04-24,243.50,246.25,242.50,245.00,51300,245.00
2012-04-23,249.00,249.89,242.96,244.00,198200,244.00
2012-04-20,252.00,255.17,251.29,252.00,75000,252.00
2012-04-19,253.25,255.89,252.00,252.25,47600,252.25
2012-04-18,255.50,257.00,253.00,253.00,67100,253.00
2012-04-17,255.00,256.40,254.53,255.75,109600,255.75
2012-04-16,254.50,257.50,254.50,254.75,84000,254.75
2012-04-13,256.25,257.99,255.69,257.00,45800,257.00
2012-04-12,254.75,256.51,253.79,255.75,105600,255.75
2012-04-11,254.00,256.39,254.00,254.00,49100,254.00
2012-04-10,257.25,260.64,254.00,254.00,61200,254.00
2012-04-05,262.00,268.00,258.00,260.78,115600,260.78
2012-04-04,265.00,265.14,260.00,260.00,71300,260.00
2012-04-03,269.00,270.00,266.50,268.00,99000,268.00
2012-04-02,268.38,268.38,264.50,265.00,45400,265.00
2012-03-30,266.75,268.00,264.00,264.00,133600,264.00
2012-03-29,268.50,269.25,264.00,266.50,102700,266.50
2012-03-28,269.25,269.50,267.00,267.00,73400,267.00
2012-03-27,268.75,270.25,268.00,268.50,227800,268.50
2012-03-26,268.75,269.00,264.25,269.00,86200,269.00
2012-03-23,266.25,268.75,263.50,268.75,120800,268.75
2012-03-22,273.51,275.00,267.00,267.00,123800,267.00
2012-03-21,275.00,279.00,272.25,272.25,133500,272.25
2012-03-20,280.75,282.51,275.00,278.00,127600,278.00
2012-03-19,282.25,284.59,282.00,282.75,41600,282.75
2012-03-16,283.50,287.89,280.50,280.50,200500,280.50
2012-03-15,285.75,287.58,284.00,286.50,88800,286.50
2012-03-14,287.50,288.98,285.51,287.00,58300,287.00
2012-03-13,286.25,289.48,286.25,288.50,31700,288.50
2012-03-12,286.00,289.23,285.20,288.50,31500,288.50
2012-03-09,286.00,288.00,285.00,288.00,39300,288.00
2012-03-08,284.50,288.00,284.49,285.25,74400,285.25
2012-03-07,285.25,285.25,281.00,281.00,136000,281.00
2012-03-06,288.00,288.62,285.00,285.00,61500,285.00
2012-03-05,294.25,295.24,290.00,292.00,52100,292.00
2012-03-02,294.00,294.00,291.02,294.00,8600,294.00
2012-03-01,290.75,293.99,290.00,290.00,28200,290.00
2012-02-29,289.50,294.75,285.52,292.50,95500,292.50
2012-02-28,285.25,289.50,285.25,289.50,60400,289.50
2012-02-27,285.51,287.20,284.75,287.20,31800,287.20
2012-02-24,288.00,289.49,288.00,289.20,47100,289.20
2012-02-23,287.50,289.71,283.10,288.00,125800,288.00
2012-02-22,285.50,288.50,285.50,288.00,149500,288.00
2012-02-21,284.00,285.49,284.00,284.50,56000,284.50
2012-02-20,283.25,285.50,283.00,284.26,44200,284.26
2012-02-17,281.00,285.50,281.00,285.00,30300,285.00
