Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1026.00,1040.00,1026.00,1037.00,8700,1032.00
2012-08-02,1026.00,1040.00,1026.00,1032.00,66200,1032.00
2012-08-01,1031.00,1034.85,1021.00,1030.00,32500,1030.00
2012-07-31,1035.00,1036.53,1020.00,1031.00,35000,1031.00
2012-07-27,1028.00,1040.00,1020.00,1031.00,55500,1031.00
2012-07-26,1032.00,1032.00,1012.00,1030.00,124100,1030.00
2012-07-25,1027.00,1034.00,1017.00,1025.00,41000,1025.00
2012-07-24,1040.00,1049.37,1027.00,1031.00,68400,1031.00
2012-07-23,1025.00,1083.00,1020.00,1049.00,121200,1049.00
2012-07-20,1000.00,1000.06,994.50,997.00,41300,997.00
2012-07-19,995.00,1000.00,990.50,999.00,42700,999.00
2012-07-18,1000.00,1000.28,990.00,995.00,30700,995.00
2012-07-17,1010.00,1010.00,985.50,1000.00,66100,1000.00
2012-07-16,1005.00,1005.00,995.50,998.00,46800,998.00
2012-07-13,1001.00,1005.00,995.00,1001.42,96700,1001.42
2012-07-12,1005.00,1005.00,983.50,994.50,25900,994.50
2012-07-11,1015.00,1024.51,973.60,1004.00,54300,1004.00
2012-07-10,1018.00,1025.00,1013.00,1020.00,41900,1020.00
2012-07-09,1037.00,1037.00,1015.00,1017.00,30000,1017.00
2012-07-06,1039.00,1041.70,1024.00,1024.00,17800,1024.00
2012-07-05,1055.00,1056.00,1028.00,1034.00,63100,1034.00
2012-07-04,1045.00,1063.00,1045.00,1047.00,124900,1047.00
2012-07-03,1055.00,1065.00,1044.00,1064.00,39700,1064.00
2012-07-02,1044.00,1058.00,1036.00,1058.00,106800,1058.00
2012-06-29,1050.00,1052.00,1036.00,1040.37,337500,1040.37
2012-06-28,1094.00,1104.49,1029.00,1035.00,823500,1035.00
2012-06-27,1101.00,1124.00,1088.00,1095.00,39100,1095.00
2012-06-26,1089.00,1114.00,1087.00,1108.00,42400,1108.00
2012-06-25,1120.00,1129.88,1089.00,1089.00,46800,1089.00
2012-06-22,1094.00,1134.88,1088.00,1120.00,170200,1120.00
2012-06-21,1090.00,1111.00,1086.06,1110.00,44600,1110.00
2012-06-20,1070.00,1095.00,1066.00,1090.00,25700,1090.00
2012-06-19,1062.00,1076.00,1054.99,1069.00,215500,1069.00
2012-06-18,1044.00,1062.00,1038.00,1059.00,41100,1059.00
2012-06-15,1012.00,1056.63,1012.00,1056.00,73200,1056.00
2012-06-14,1015.00,1035.00,1015.00,1029.00,58600,1029.00
2012-06-13,1030.00,1033.00,1015.00,1030.00,44000,1030.00
2012-06-12,1042.00,1042.00,1011.00,1037.00,55700,1037.00
2012-06-11,1049.00,1049.00,1031.00,1044.00,48300,1044.00
2012-06-08,1032.00,1039.00,996.79,1036.00,30800,1036.00
2012-06-07,1019.00,1034.00,1015.45,1034.00,34300,1034.00
2012-06-06,988.50,1035.00,988.50,1035.00,110500,1035.00
2012-06-01,1042.00,1049.35,967.00,978.00,74400,978.00
2012-05-31,1036.00,1078.00,1025.00,1043.00,881300,1043.00
2012-05-30,1028.00,1045.00,1021.00,1030.00,35000,1030.00
2012-05-29,1015.00,1045.00,1012.00,1040.00,77300,1040.00
2012-05-28,994.00,1013.00,989.42,1013.00,167900,1013.00
2012-05-25,979.50,988.50,955.00,985.00,890900,985.00
2012-05-24,934.50,983.00,931.62,972.00,70100,972.00
2012-05-23,934.50,942.04,929.00,936.00,61100,936.00
2012-05-22,935.50,942.00,926.00,935.00,49500,935.00
2012-05-21,945.00,945.00,930.00,940.00,26100,940.00
2012-05-18,970.00,991.00,948.50,958.50,44100,958.50
2012-05-17,950.00,975.50,950.00,975.50,75800,975.50
2012-05-16,941.00,969.50,939.75,958.00,125300,958.00
2012-05-14,982.50,988.50,952.46,975.50,88900,975.50
2012-05-11,1001.00,1008.72,980.00,984.50,56900,984.50
2012-05-10,955.00,1015.00,955.00,998.00,80700,998.00
2012-05-09,943.50,955.75,931.10,952.00,91900,952.00
2012-05-08,980.00,983.50,931.00,949.50,69300,949.50
2012-05-04,1008.00,1008.90,980.00,980.00,55700,980.00
2012-05-03,1030.00,1042.00,980.00,1004.00,381800,1004.00
2012-05-02,1014.00,1033.00,1005.00,1030.00,50200,1030.00
2012-05-01,1025.00,1025.00,1010.00,1022.00,45800,1022.00
2012-04-30,1031.00,1050.00,1031.00,1042.00,112800,1042.00
2012-04-27,1050.00,1057.11,1000.00,1043.00,130000,1043.00
2012-04-26,1075.00,1080.00,1055.00,1070.00,353700,1070.00
2012-04-25,1090.00,1094.94,1067.44,1080.00,66800,1080.00
2012-04-24,1085.00,1107.00,1077.76,1085.00,130400,1085.00
2012-04-23,1075.00,1095.00,1060.00,1095.00,86200,1095.00
2012-04-20,1090.00,1099.00,1077.32,1095.00,90500,1095.00
2012-04-19,1040.00,1098.00,1040.00,1084.56,214200,1084.56
2012-04-18,1035.00,1051.89,1017.17,1045.00,103300,1045.00
2012-04-17,1013.00,1040.00,997.35,1040.00,118300,1040.00
2012-04-16,996.00,1015.00,985.00,1010.00,152100,1010.00
2012-04-13,942.00,1020.00,942.00,993.50,98300,993.50
2012-04-12,951.00,959.90,946.15,949.00,6300,949.00
2012-04-11,931.00,956.82,930.00,946.50,82700,946.50
2012-04-10,927.50,937.50,920.50,927.62,29700,927.62
2012-04-05,923.50,936.00,923.00,932.00,85300,932.00
2012-04-04,918.00,929.50,918.00,924.00,58000,924.00
2012-04-03,930.00,932.00,920.00,925.00,44700,925.00
2012-04-02,911.00,933.50,911.00,929.45,68300,929.45
2012-03-30,896.50,930.50,896.00,920.00,156000,920.00
2012-03-29,900.00,904.00,891.00,899.56,73500,899.56
2012-03-28,890.00,904.50,890.00,900.50,15100,900.50
2012-03-27,895.50,903.00,891.00,902.00,29100,902.00
2012-03-26,893.00,906.00,891.00,903.09,52400,903.09
2012-03-23,891.50,905.00,890.50,900.00,28800,900.00
2012-03-22,900.00,907.00,890.50,906.50,21400,906.50
2012-03-21,900.50,905.66,891.50,900.00,41900,900.00
2012-03-20,908.00,911.50,890.50,901.25,41500,901.25
2012-03-19,912.00,919.00,905.00,911.50,68500,911.50
2012-03-16,915.00,954.00,901.00,909.70,130000,909.70
2012-03-15,911.00,940.00,911.00,921.00,58100,921.00
2012-03-14,919.50,935.00,906.00,911.00,35500,911.00
2012-03-13,882.50,920.00,880.61,914.00,72700,914.00
2012-03-12,891.00,891.69,876.60,888.00,32400,888.00
2012-03-09,886.00,891.50,875.00,891.50,19700,891.50
2012-03-08,876.00,895.50,868.35,883.95,44900,883.95
2012-03-07,871.50,876.14,868.50,876.00,52600,876.00
2012-03-06,876.00,880.50,866.00,873.20,23000,873.20
2012-03-05,872.00,883.00,865.00,877.53,66800,877.53
2012-03-02,865.00,873.50,849.50,870.85,243600,870.85
2012-03-01,874.50,885.00,860.50,875.00,53600,875.00
2012-02-29,860.00,872.00,851.20,861.72,22100,861.72
2012-02-28,858.50,870.00,858.50,870.00,264700,870.00
2012-02-27,895.00,897.08,830.50,866.19,185100,866.19
2012-02-24,878.00,890.12,865.50,870.00,300800,870.00
2012-02-23,850.00,895.00,840.00,890.00,231500,890.00
2012-02-22,831.50,848.65,829.50,838.00,36000,838.00
2012-02-21,805.00,845.00,783.10,820.00,193600,820.00
2012-02-20,797.00,800.00,777.00,800.00,3900,800.00
2012-02-17,777.00,788.25,777.00,783.10,66100,783.10
2012-02-16,782.00,785.00,777.00,785.00,2800,785.00
2012-02-15,785.00,801.73,778.50,781.50,29400,781.50
2012-02-14,785.00,791.75,785.00,787.00,42400,787.00
2012-02-13,785.00,799.50,785.00,798.00,9200,798.00
2012-02-10,789.00,798.50,767.50,784.00,15100,784.00
2012-02-09,767.50,795.00,767.50,794.50,30700,794.50
2012-02-08,764.00,773.00,755.00,761.00,6800,761.00
2012-02-07,745.50,765.00,745.50,759.00,103400,759.00
2012-02-06,757.50,758.00,745.00,758.00,11400,758.00
2012-02-03,746.00,753.50,742.00,745.00,38800,745.00
2012-02-02,745.00,755.75,739.88,747.50,176200,747.50
2012-02-01,755.00,760.00,738.00,743.49,120900,743.49
2012-01-31,771.00,771.00,755.00,770.00,35700,770.00
2012-01-30,770.00,781.50,765.00,778.00,13200,778.00
2012-01-27,775.00,782.00,766.00,777.00,2800,777.00
2012-01-26,781.00,784.60,752.50,783.00,46900,783.00
2012-01-25,797.00,800.00,772.50,782.50,21200,782.50
2012-01-24,790.50,801.50,783.50,800.00,40700,800.00
2012-01-23,782.50,794.50,782.50,794.50,7700,794.50
2012-01-20,792.00,797.00,782.50,782.50,13300,782.50
2012-01-19,790.00,797.70,787.00,791.50,180900,791.50
2012-01-18,786.00,808.00,785.31,791.00,42300,791.00
2012-01-17,785.00,795.00,773.50,793.50,16400,793.50
2012-01-16,783.00,784.50,772.00,778.00,8400,778.00
2012-01-13,784.50,785.00,765.00,783.00,14500,783.00
2012-01-12,762.50,782.50,759.09,782.50,47600,782.50
2012-01-11,790.00,794.20,762.50,783.72,74800,783.72
2012-01-10,747.50,790.00,746.65,776.54,75700,776.54
2012-01-09,693.50,755.00,683.01,746.65,109900,746.65
2012-01-06,691.50,692.94,680.50,685.00,93400,685.00
2012-01-05,693.00,693.00,682.00,687.00,110600,687.00
2012-01-04,687.00,692.80,685.00,690.00,126800,690.00
2012-01-03,690.00,694.00,683.40,688.00,65200,688.00
2011-12-30,705.00,705.00,690.00,699.00,14400,699.00
2011-12-29,691.54,691.54,690.00,690.00,27600,690.00
2011-12-28,696.00,697.50,690.00,690.00,5900,690.00
2011-12-23,701.00,704.00,691.00,697.50,5900,697.50
2011-12-22,700.00,701.00,701.00,701.00,33700,701.00
2011-12-21,688.50,698.00,686.54,690.00,6200,690.00
2011-12-20,710.00,710.00,670.29,685.00,23600,685.00
2011-12-19,708.00,723.00,708.00,718.00,13300,718.00
2011-12-16,714.00,716.50,708.00,710.00,33300,710.00
2011-12-15,720.00,720.00,707.75,710.00,141000,710.00
2011-12-14,718.50,721.00,713.50,720.50,6300,720.50
