Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,229.00,229.00,227.50,227.50,200,194.00
2008-09-15,190.00,194.00,188.00,194.00,42400,194.00
2008-09-12,196.00,196.00,196.00,197.00,5700,197.00
2008-09-11,196.00,199.00,195.00,195.00,39100,195.00
2008-09-10,196.00,198.00,196.00,198.00,33500,198.00
2008-09-09,198.00,199.00,196.00,197.25,63500,197.25
2008-09-08,201.00,201.00,201.00,201.00,10000,201.00
2008-09-05,196.00,196.00,192.75,194.50,40500,194.50
2008-09-04,201.00,201.00,197.50,197.50,29000,197.50
2008-09-03,202.50,202.50,200.00,202.00,44700,202.00
2008-09-02,202.00,204.50,202.00,204.75,46300,204.75
2008-09-01,201.00,202.00,200.00,202.50,148600,202.50
2008-08-29,200.00,201.50,195.00,201.75,81300,201.75
2008-08-28,199.00,201.75,199.00,201.50,23800,201.50
2008-08-27,195.00,195.00,194.50,197.25,56600,197.25
2008-08-26,192.50,193.50,192.00,193.50,49000,193.50
2008-08-22,199.00,199.00,198.00,196.50,6800,196.50
2008-08-21,194.00,196.00,194.00,193.50,19800,193.50
2008-08-20,194.00,194.00,194.00,194.00,5200,194.00
2008-08-19,195.00,195.00,194.00,195.50,36300,195.50
2008-08-18,196.50,199.00,196.00,199.00,77100,199.00
2008-08-15,198.00,198.00,197.00,198.00,50000,198.00
2008-08-14,199.00,199.00,199.00,199.50,25900,199.50
2008-08-13,201.00,201.00,199.00,200.50,69200,200.50
2008-08-12,200.00,203.75,200.00,201.00,72300,201.00
2008-08-11,199.00,199.00,199.00,201.00,10100,201.00
2008-08-08,196.00,199.50,196.00,199.00,17400,199.00
2008-08-07,198.00,199.50,197.00,199.50,89000,199.50
2008-08-06,194.75,196.50,194.00,196.25,206000,196.25
2008-08-05,188.00,190.00,188.00,191.50,155100,191.50
2008-08-04,189.50,189.50,186.00,187.00,81600,187.00
2008-08-01,188.00,190.00,185.00,187.75,35900,187.75
2008-07-31,193.50,196.00,190.00,191.50,61800,191.50
2008-07-30,195.00,195.00,191.00,193.00,78300,193.00
2008-07-29,189.50,189.50,189.50,192.50,32000,192.50
2008-07-28,194.00,194.00,193.00,193.50,23600,193.50
2008-07-25,193.00,193.50,191.50,191.50,34900,191.50
2008-07-24,195.00,196.25,193.00,194.25,79600,194.25
2008-07-23,193.00,198.00,192.50,197.00,69800,197.00
2008-07-22,188.00,191.00,188.00,191.00,70300,191.00
2008-07-21,185.00,191.00,185.00,190.00,79200,190.00
2008-07-18,180.00,185.50,180.00,185.00,69900,185.00
2008-07-17,177.00,183.00,177.00,183.00,18700,183.00
2008-07-16,174.00,174.00,173.00,175.75,23500,175.75
2008-07-15,178.00,178.00,173.00,175.50,37400,175.50
2008-07-14,182.50,183.75,179.50,181.25,71800,181.25
2008-07-11,182.75,182.75,180.00,182.00,30700,182.00
2008-07-10,185.00,185.00,183.00,183.00,37100,183.00
2008-07-09,184.00,188.00,183.00,186.00,157400,186.00
2008-07-08,183.00,185.00,183.00,185.00,80500,185.00
2008-07-07,184.50,187.00,182.25,188.00,79900,188.00
2008-07-04,185.00,188.00,184.25,188.00,47900,188.00
2008-07-03,190.00,190.00,186.00,186.50,98300,186.50
2008-07-02,195.00,195.00,190.75,193.00,32300,193.00
2008-07-01,192.00,195.00,191.00,195.00,68700,195.00
2008-06-30,199.00,199.00,199.00,199.00,39300,199.00
2008-06-27,195.00,195.25,195.00,194.50,83900,194.50
2008-06-26,199.00,199.50,194.25,196.50,99600,196.50
2008-06-25,200.00,200.00,200.00,200.50,35300,200.50
2008-06-24,200.75,200.75,197.00,197.00,68000,197.00
2008-06-23,199.25,201.00,199.00,200.75,51600,200.75
2008-06-20,205.00,206.00,199.00,199.00,53900,199.00
2008-06-19,207.00,207.00,206.00,206.00,61200,206.00
2008-06-18,209.00,210.00,205.00,205.00,43200,205.00
2008-06-17,209.00,213.00,207.25,213.00,97900,213.00
2008-06-16,204.50,207.75,204.50,208.25,51900,208.25
2008-06-13,205.00,205.00,203.00,205.75,137900,205.75
2008-06-12,202.50,202.50,202.00,206.00,36500,206.00
2008-06-11,209.00,209.00,205.00,205.00,83700,205.00
2008-06-10,205.50,208.75,205.50,208.75,48000,208.75
2008-06-09,212.00,213.00,212.00,214.00,31800,214.00
2008-06-06,218.00,218.00,216.50,216.50,98900,216.50
2008-06-05,219.00,219.50,214.00,218.50,202400,218.50
