Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1031.00,1039.00,1022.00,1037.00,67800,1038.00
2012-08-02,1031.00,1039.00,1022.00,1038.00,100800,1038.00
2012-08-01,1025.00,1035.00,1021.00,1029.00,68500,1029.00
2012-07-31,1021.00,1027.00,1014.00,1021.00,52400,1021.00
2012-07-27,1029.00,1030.00,1014.00,1025.00,113300,1025.00
2012-07-26,1053.00,1072.00,1012.00,1016.00,386700,1016.00
2012-07-25,1073.00,1073.00,1060.00,1065.00,95600,1065.00
2012-07-24,1045.00,1072.00,1045.00,1070.00,198100,1070.00
2012-07-23,1048.00,1051.40,1040.00,1045.00,132700,1045.00
2012-07-20,1045.00,1052.00,1038.00,1049.00,137400,1049.00
2012-07-19,1032.00,1043.10,1028.10,1043.00,164200,1043.00
2012-07-18,1015.00,1030.00,1009.00,1030.00,135300,1030.00
2012-07-17,1006.00,1019.00,1003.10,1005.00,129500,1005.00
2012-07-16,1000.00,1011.00,996.00,1006.00,138200,1006.00
2012-07-13,987.50,1011.00,986.00,999.00,195800,999.00
2012-07-12,983.00,988.50,978.08,988.00,434000,988.00
2012-07-11,984.50,995.50,981.50,986.00,123600,986.00
2012-07-10,988.00,993.17,982.50,985.00,112700,985.00
2012-07-09,990.00,992.00,981.00,984.50,129900,984.50
2012-07-06,995.50,995.50,978.00,988.50,263200,988.50
2012-07-05,976.50,987.50,968.50,985.00,340700,985.00
2012-07-04,997.00,1005.00,970.00,974.50,241000,974.50
2012-07-03,1020.00,1024.00,1006.00,1023.00,143600,1023.00
2012-07-02,1013.00,1030.00,1011.10,1021.00,174500,1021.00
2012-06-29,1020.00,1022.00,1008.00,1014.00,182600,1014.00
2012-06-28,1015.00,1016.00,1000.00,1006.00,169000,1006.00
2012-06-27,1000.00,1013.00,998.50,1012.00,407700,1012.00
2012-06-26,1002.00,1009.00,985.50,1000.00,166200,1000.00
2012-06-25,998.50,1015.00,998.50,999.00,166700,999.00
2012-06-22,1012.00,1014.00,1002.00,1014.00,78400,1014.00
2012-06-21,1008.00,1015.00,1006.00,1012.00,185600,1012.00
2012-06-20,994.00,1018.00,992.00,1010.00,205800,1010.00
2012-06-19,985.50,995.00,983.50,995.00,112500,995.00
2012-06-18,977.00,995.50,974.00,988.50,252100,988.50
2012-06-15,1020.00,1020.00,967.92,968.50,847900,968.50
2012-06-14,1016.00,1026.00,1013.00,1020.00,303100,1020.00
2012-06-13,1015.00,1022.00,1012.00,1019.00,132500,1019.00
2012-06-12,1026.00,1028.00,1006.38,1013.00,156500,1013.00
2012-06-11,1032.00,1032.00,1016.00,1020.00,126000,1020.00
2012-06-08,1021.00,1026.00,1012.00,1015.00,152700,1015.00
2012-06-07,1023.00,1027.00,1009.65,1018.00,148100,1018.00
2012-06-06,1019.00,1023.00,1007.00,1014.00,170200,1014.00
2012-06-01,1002.00,1015.00,1000.00,1011.00,202000,1011.00
2012-05-31,990.50,1008.65,989.50,1000.00,397700,1000.00
2012-05-30,980.00,989.27,961.50,982.15,379300,982.15
2012-05-29,1009.00,1011.00,974.50,976.50,289000,976.50
2012-05-28,1024.00,1024.00,1002.00,1009.00,113600,1009.00
2012-05-25,995.00,1011.00,990.50,1003.00,135800,1003.00
2012-05-24,1003.00,1006.00,989.00,990.50,81800,990.50
2012-05-23,987.00,1007.00,987.00,1000.00,220300,1000.00
2012-05-22,1002.00,1008.00,977.50,993.50,207000,993.50
2012-05-21,994.50,1007.00,991.00,1004.00,110300,1004.00
2012-05-18,985.50,1003.00,982.00,1002.00,167400,1002.00
2012-05-17,1006.00,1011.17,981.00,991.50,208900,991.50
2012-05-16,1011.00,1016.00,1002.00,1004.00,243700,1004.00
2012-05-14,994.00,1024.45,984.50,1024.00,185600,1024.00
2012-05-11,982.50,992.50,979.50,992.50,135300,992.50
2012-05-10,984.00,984.00,976.92,983.50,49300,983.50
2012-05-09,978.50,983.00,972.00,980.00,236700,980.00
2012-05-08,978.50,984.00,968.50,980.00,131900,980.00
2012-05-04,982.00,987.00,976.41,978.00,126400,978.00
2012-05-03,995.00,995.00,982.00,988.50,157100,988.50
2012-05-02,985.00,996.00,981.00,996.00,137400,996.00
2012-05-01,974.00,986.00,971.00,983.50,69300,983.50
2012-04-30,986.00,986.50,965.50,975.50,211400,975.50
2012-04-27,936.00,994.00,933.00,984.50,266100,984.50
2012-04-26,945.00,951.00,928.50,941.00,71800,941.00
2012-04-25,931.50,948.09,931.50,948.00,128500,948.00
2012-04-24,931.50,936.50,923.50,930.00,188100,930.00
2012-04-23,920.50,939.50,919.39,932.50,282900,932.50
2012-04-20,897.50,923.50,893.00,923.50,237400,923.50
2012-04-19,901.50,903.00,885.00,894.50,205500,894.50
2012-04-18,898.00,903.00,890.00,900.00,186400,900.00
2012-04-17,895.00,900.00,889.50,897.50,89800,897.50
2012-04-16,895.50,900.00,890.00,898.00,216500,898.00
2012-04-13,909.50,910.72,893.50,899.50,104900,899.50
2012-04-12,896.00,914.00,890.50,911.50,105300,911.50
2012-04-11,884.00,899.50,884.00,894.50,97800,894.50
2012-04-10,885.50,894.50,883.00,885.50,158500,885.50
2012-04-05,904.50,905.20,885.00,890.00,86200,890.00
2012-04-04,905.00,909.50,896.00,900.00,227800,900.00
2012-04-03,913.00,923.50,901.50,903.00,168700,903.00
2012-04-02,905.00,913.00,890.50,913.00,169200,913.00
2012-03-30,911.00,912.50,895.50,900.00,122500,900.00
2012-03-29,920.50,920.50,905.50,907.00,155500,907.00
2012-03-28,925.50,933.50,914.50,917.50,133800,917.50
2012-03-27,931.50,935.50,922.00,928.00,186300,928.00
2012-03-26,923.00,939.50,923.00,928.00,121500,928.00
2012-03-23,936.50,936.50,918.50,924.00,109100,924.00
