Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,1987.00,1999.00,1968.00,1971.00,97800,1969.00
2012-08-02,1987.00,1999.00,1968.00,1969.00,159200,1969.00
2012-08-01,1952.00,1990.00,1949.00,1971.00,159400,1971.00
2012-07-31,1965.00,1981.00,1941.00,1949.00,127200,1949.00
2012-07-27,1947.00,1963.00,1931.00,1962.00,185200,1962.00
2012-07-26,1907.00,1956.00,1907.00,1944.00,157500,1944.00
2012-07-25,1930.00,1930.00,1878.00,1922.00,189500,1922.00
2012-07-24,1892.00,1916.00,1886.00,1886.00,96300,1886.00
2012-07-23,1901.00,1911.00,1878.47,1893.00,81100,1893.00
2012-07-20,1925.00,1943.00,1906.00,1910.00,218100,1910.00
2012-07-19,1936.00,1946.00,1936.00,1940.00,216200,1940.00
2012-07-18,1928.00,1946.00,1920.00,1937.00,210100,1937.00
2012-07-17,1936.00,1937.00,1911.00,1919.00,103700,1919.00
2012-07-16,1908.00,1935.00,1896.00,1935.00,167400,1935.00
2012-07-13,1896.00,1918.00,1884.00,1904.00,122500,1904.00
2012-07-12,1888.00,1888.00,1879.00,1886.00,128000,1886.00
2012-07-11,1887.00,1900.00,1877.00,1890.00,128200,1890.00
2012-07-10,1873.00,1899.00,1873.00,1889.00,77100,1889.00
2012-07-09,1892.00,1899.00,1863.00,1871.00,181700,1871.00
2012-07-06,1886.00,1912.00,1881.00,1895.00,145900,1895.00
2012-07-05,1883.00,1905.00,1880.50,1891.00,123400,1891.00
2012-07-04,1862.00,1901.00,1862.00,1900.00,97500,1900.00
2012-07-03,1843.00,1897.00,1843.00,1895.00,141400,1895.00
2012-07-02,1840.00,1887.00,1835.00,1887.00,172500,1887.00
2012-06-29,1827.00,1855.00,1818.00,1853.00,171200,1853.00
2012-06-28,1822.00,1827.00,1779.00,1789.00,214800,1789.00
2012-06-27,1780.00,1817.00,1779.00,1806.00,126700,1806.00
2012-06-26,1792.00,1796.00,1771.00,1771.00,225200,1771.00
