Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,129.75,130.75,129.75,130.75,11000,130.63
2012-08-01,131.50,132.50,130.12,130.63,43200,130.63
2012-07-31,130.75,131.50,131.50,131.50,12400,131.50
2012-07-30,131.50,131.50,131.00,131.00,7400,131.00
2012-07-27,128.50,130.00,128.01,130.00,21200,130.00
2012-07-26,127.75,129.00,126.51,129.00,11600,129.00
2012-07-25,127.75,128.00,127.75,128.00,8900,128.00
2012-07-24,127.74,124.50,124.50,124.50,500,124.50
2012-07-23,127.75,128.12,125.50,128.00,51800,128.00
2012-07-20,127.50,128.25,127.50,127.50,14300,127.50
2012-07-19,127.00,127.50,125.25,127.50,20900,127.50
2012-07-18,125.00,126.50,124.50,125.00,13000,125.00
2012-07-17,125.47,128.95,125.47,128.95,41700,128.95
2012-07-16,128.96,129.09,125.47,125.47,14700,125.47
2012-07-13,127.75,129.10,125.35,125.35,42800,125.35
2012-07-12,125.25,127.96,125.00,125.00,4000,125.00
2012-07-11,127.75,127.75,125.38,127.74,15200,127.74
2012-07-10,128.25,130.00,127.62,130.00,9700,130.00
2012-07-09,128.24,128.50,128.24,128.50,2200,128.50
2012-07-06,129.74,130.40,128.00,130.40,18100,130.40
2012-07-05,129.49,130.00,127.44,129.75,25900,129.75
2012-07-04,129.00,130.00,129.00,130.00,9200,130.00
2012-07-03,127.50,128.50,125.72,128.50,24000,128.50
2012-07-02,128.00,129.75,125.51,128.00,58600,128.00
2012-06-29,127.00,127.75,125.35,125.35,58000,125.35
2012-06-28,124.50,125.75,125.00,125.00,8600,125.00
2012-06-27,127.50,127.50,124.00,124.00,5600,124.00
2012-06-26,126.25,126.25,126.25,126.25,3900,126.25
2012-06-25,124.25,126.50,124.25,126.50,29200,126.50
2012-06-22,126.50,126.50,124.75,126.50,27100,126.50
2012-06-21,126.00,129.50,126.00,129.00,33600,129.00
2012-06-20,126.00,126.75,125.99,126.00,7800,126.00
2012-06-19,125.25,125.75,125.25,125.25,9500,125.25
2012-06-18,124.00,125.75,124.00,125.75,15000,125.75
2012-06-15,123.50,125.00,123.50,124.00,31800,124.00
2012-06-14,122.76,123.00,122.76,123.00,22700,123.00
2012-06-13,125.00,126.50,122.75,124.00,29000,124.00
2012-06-12,127.00,127.00,124.25,124.25,12400,124.25
2012-06-11,128.50,128.75,126.50,126.50,16100,126.50
2012-06-08,127.50,127.50,124.00,126.50,28600,126.50
2012-06-07,124.50,127.50,124.50,127.50,9300,127.50
2012-06-06,125.75,126.00,122.52,126.00,49000,126.00
2012-06-01,123.25,125.00,122.75,122.75,21000,122.75
2012-05-31,123.50,125.00,123.00,123.00,5600,123.00
2012-05-30,126.50,126.50,124.21,124.99,46700,124.99
2012-05-29,127.24,127.24,126.40,126.40,1500,126.40
2012-05-28,125.50,125.50,124.58,124.58,13000,124.58
2012-05-25,125.00,127.00,125.00,127.00,4900,127.00
2012-05-24,124.25,126.90,124.25,126.90,8100,126.90
2012-05-23,126.00,126.50,124.50,125.00,73000,125.00
2012-05-22,127.50,127.50,126.50,126.75,20100,126.75
2012-05-21,126.30,127.00,125.88,125.88,30900,125.88
2012-05-14,135.75,135.75,132.75,132.75,18600,132.75
2012-05-11,135.38,135.96,135.38,135.96,51300,135.96
2012-05-10,136.25,136.25,134.58,135.00,41500,135.00
2012-05-09,133.50,136.31,133.50,134.00,2800,134.00
2012-05-08,135.00,136.99,134.00,134.00,27600,134.00
2012-05-04,138.00,138.50,135.00,135.00,13200,135.00
2012-05-03,136.50,138.50,135.00,135.00,40200,135.00
2012-05-02,137.00,138.00,137.00,138.00,15100,138.00
2012-05-01,136.50,137.00,136.50,137.00,3000,137.00
2012-04-30,136.00,137.00,136.00,136.93,24400,136.93
2012-04-27,137.00,137.00,135.75,137.00,15500,137.00
2012-04-26,138.56,138.56,135.00,135.00,17800,135.00
2012-04-25,138.00,138.00,137.25,137.99,6600,137.99
2012-04-24,137.00,138.00,136.50,138.00,13800,138.00
2012-04-23,138.00,139.00,137.50,137.50,48800,137.50
2012-04-20,138.75,139.00,137.75,139.00,14300,139.00
2012-04-19,138.00,139.00,138.00,138.99,100,138.99
2012-04-18,138.00,138.00,136.25,136.76,78200,136.76
2012-04-17,136.25,138.50,135.62,138.50,9900,138.50
2012-04-16,137.50,138.25,136.28,136.28,16500,136.28
2012-04-13,138.25,138.50,137.12,137.12,13400,137.12
2012-04-12,137.50,137.99,135.75,137.99,15600,137.99
2012-04-11,135.75,137.25,135.75,137.00,22000,137.00
2012-04-10,137.00,137.00,136.00,136.00,10500,136.00
2012-04-05,139.00,139.00,137.38,137.52,22300,137.52
2012-04-04,139.25,141.45,137.00,137.00,15000,137.00
2012-04-03,139.55,142.00,139.50,142.00,12700,142.00
2012-04-02,142.25,142.50,140.75,142.50,55700,142.50
2012-03-30,142.25,142.50,142.14,142.50,8900,142.50
2012-03-29,140.75,143.45,139.50,139.50,74000,139.50
2012-03-28,142.50,144.50,142.50,142.50,12200,142.50
2012-03-27,142.01,145.00,141.00,141.00,6600,141.00
2012-03-26,144.00,144.00,142.25,144.00,18000,144.00
2012-03-23,142.75,143.00,141.26,143.00,11700,143.00
2012-03-22,141.75,143.74,140.75,143.00,15400,143.00
2012-03-21,142.75,142.98,141.25,141.25,5700,141.25
2012-03-20,140.50,140.64,140.50,140.64,20400,140.64
2012-03-19,143.50,144.00,141.75,143.75,26900,143.75
2012-03-16,140.50,145.00,140.50,145.00,49400,145.00
2012-03-15,143.00,143.00,140.36,143.00,14300,143.00
2012-03-14,143.01,143.50,141.00,143.00,18200,143.00
2012-03-13,142.00,143.50,141.71,143.50,13600,143.50
2012-03-12,140.75,142.00,140.75,142.00,20400,142.00
2012-03-09,142.00,142.00,142.00,142.00,3500,142.00
2012-03-08,140.75,142.16,139.50,140.75,5300,140.75
2012-03-07,139.50,140.60,139.50,140.50,10400,140.50
2012-03-06,140.00,140.00,139.00,139.44,8000,139.44
2012-03-05,141.00,142.00,140.96,142.00,12800,142.00
2012-03-02,141.75,142.00,140.50,140.50,30900,140.50
2012-03-01,139.00,141.75,139.00,141.75,7600,141.75
2012-02-29,138.25,141.10,138.25,138.25,700,138.25
2012-02-28,141.00,142.00,140.75,141.00,14100,141.00
2012-02-27,140.00,140.99,139.16,140.99,7200,140.99
2012-02-24,140.25,141.00,140.24,141.00,9200,141.00
2012-02-23,138.75,140.50,138.41,140.50,29500,140.50
2012-02-22,138.50,138.75,137.66,138.75,6800,138.75
2012-02-21,138.50,138.50,138.49,138.50,12500,138.50
2012-02-20,137.00,139.00,137.00,139.00,29300,139.00
2012-02-17,136.00,138.50,136.00,137.00,21700,137.00
2012-02-16,136.53,137.25,136.53,137.25,15100,137.25
2012-02-15,136.75,138.25,136.50,137.50,43200,137.50
2012-02-14,135.50,138.50,135.00,138.25,64600,138.25
2012-02-13,135.50,137.74,135.00,137.03,22900,137.03
2012-02-10,135.00,137.00,134.75,137.00,24400,137.00
2012-02-09,135.50,136.00,133.76,136.00,5900,136.00
2012-02-08,135.39,135.50,135.39,135.50,10600,135.50
2012-02-07,133.00,135.50,132.00,135.50,34500,135.50
2012-02-06,130.25,134.00,130.25,134.00,66200,134.00
2012-02-03,129.75,130.50,129.75,130.50,1300,130.50
2012-02-02,129.54,129.75,129.54,129.75,800,129.75
2012-02-01,128.25,129.35,127.50,127.75,26600,127.75
2012-01-31,127.00,128.29,126.00,126.00,3100,126.00
2012-01-30,128.00,128.00,126.51,128.00,2400,128.00
2012-01-27,126.76,126.76,126.76,126.76,2300,126.76
2012-01-26,127.75,128.25,127.02,128.00,43400,128.00
2012-01-25,127.25,127.25,126.25,127.24,11700,127.24
2012-01-24,126.50,126.75,125.01,126.49,8300,126.49
2012-01-23,127.00,127.00,125.75,125.76,3800,125.76
2012-01-20,126.49,127.00,126.49,127.00,6100,127.00
2012-01-19,124.00,126.00,124.00,125.50,55500,125.50
2012-01-18,122.50,124.00,121.25,124.00,44100,124.00
2012-01-17,122.00,122.00,122.00,122.00,3000,122.00
2012-01-16,120.08,122.00,120.08,122.00,11800,122.00
2012-01-13,121.75,122.25,120.09,122.25,16100,122.25
2012-01-12,122.25,122.25,122.24,122.25,4300,122.25
2012-01-11,122.00,123.04,120.75,122.00,27500,122.00
2012-01-09,123.75,124.77,123.75,123.75,49100,123.75
2012-01-06,123.75,123.75,120.81,120.81,15800,120.81
2012-01-05,123.50,123.64,121.50,123.64,12000,123.64
2012-01-04,123.75,123.75,123.75,123.75,000,123.75
2012-01-03,121.75,122.70,121.01,122.70,15100,122.70
2011-12-30,122.25,122.25,122.25,122.25,200,122.25
2011-12-29,122.15,122.15,122.15,122.15,1300,122.15
2011-12-28,120.26,122.49,120.26,122.49,2200,122.49
2011-12-23,122.00,122.00,122.00,122.00,000,122.00
2011-12-22,121.50,122.50,119.24,122.50,68700,122.50
2011-12-21,120.00,120.99,118.50,120.91,9000,120.91
2011-12-20,120.75,120.75,118.51,120.50,120400,120.50
2011-12-19,118.50,121.00,118.50,121.00,5100,121.00
2011-12-16,120.99,121.00,119.25,121.00,400,121.00
2011-12-15,120.00,120.00,118.69,120.00,21700,120.00
2011-12-14,120.00,122.75,120.00,121.00,21200,121.00
2011-12-13,122.62,120.00,120.00,120.00,000,120.00
2011-12-12,120.75,121.21,120.75,120.75,7400,120.75
2011-12-09,122.21,122.99,121.00,121.00,20700,121.00
2011-12-08,123.75,126.24,122.00,122.00,33300,122.00
2011-12-07,124.50,127.07,123.96,123.96,13200,123.96
2011-12-06,126.00,126.00,123.96,126.00,4900,126.00
2011-12-05,124.75,127.99,124.00,124.00,5400,124.00
