Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,364.25,364.50,361.49,364.50,16000,362.61
2012-08-01,364.14,364.25,361.36,362.61,14800,362.61
2012-07-31,364.14,364.14,361.36,361.36,2500,361.36
2012-07-30,360.61,364.42,360.61,364.25,8500,364.25
2012-07-27,362.89,362.89,359.60,359.60,2300,359.60
2012-07-26,363.00,363.00,363.00,363.00,1400,363.00
2012-07-25,362.89,363.00,358.25,358.25,2300,358.25
2012-07-24,354.50,353.00,353.00,353.00,6000,353.00
2012-07-23,358.00,363.30,354.51,358.00,6100,358.00
2012-07-20,358.00,363.62,358.00,358.00,5100,358.00
2012-07-19,358.51,358.51,358.51,358.51,000,358.51
2012-07-18,364.14,364.14,357.54,364.14,51300,364.14
2012-07-17,356.36,364.14,356.36,363.00,7100,363.00
2012-07-16,355.00,364.14,348.00,357.36,61900,357.36
2012-07-13,354.79,354.79,351.00,351.00,800,351.00
2012-07-12,347.50,353.51,347.50,348.00,4900,348.00
2012-07-11,349.00,354.12,345.50,348.00,15300,348.00
2012-07-10,342.00,347.00,339.25,347.00,25800,347.00
2012-07-09,342.00,342.00,339.00,342.00,15800,342.00
2012-07-06,340.89,341.55,339.00,339.00,20400,339.00
2012-07-05,342.00,342.00,337.31,339.00,11900,339.00
2012-07-04,338.00,341.00,338.00,341.00,24600,341.00
2012-07-03,340.00,340.88,335.00,335.00,33700,335.00
2012-07-02,336.00,340.31,333.00,333.00,11900,333.00
2012-06-29,340.00,340.00,335.00,339.50,14100,339.50
2012-06-28,338.26,345.06,333.00,333.00,21400,333.00
2012-06-27,345.70,345.70,339.00,339.00,42700,339.00
2012-06-26,344.25,349.70,340.00,340.00,25200,340.00
2012-06-25,347.00,350.70,344.25,350.00,6300,350.00
2012-06-22,344.00,353.00,344.00,353.00,7800,353.00
2012-06-21,344.25,353.00,344.00,344.00,20600,344.00
2012-06-20,354.00,354.00,345.00,345.00,35600,345.00
2012-06-19,346.00,348.81,346.00,347.00,3700,347.00
2012-06-18,345.25,353.00,344.00,353.00,38700,353.00
2012-06-15,354.00,354.00,341.75,341.75,13900,341.75
2012-06-14,345.25,351.81,345.25,345.36,1300,345.36
2012-06-13,350.92,354.00,349.34,354.00,4200,354.00
2012-06-12,354.25,359.00,354.25,357.00,10600,357.00
2012-06-11,360.00,360.00,354.00,354.00,10500,354.00
2012-06-08,365.00,365.00,357.00,357.00,8000,357.00
2012-06-07,360.25,364.00,357.00,357.00,122500,357.00
2012-06-06,360.00,365.00,359.82,365.00,33600,365.00
2012-06-01,353.00,360.00,353.00,357.00,41300,357.00
2012-05-31,348.00,357.79,340.25,353.50,9700,353.50
2012-05-30,342.69,353.64,342.69,345.00,11400,345.00
2012-05-29,355.00,355.00,355.00,355.00,1500,355.00
2012-05-28,337.36,347.80,337.36,347.80,5600,347.80
2012-05-25,349.00,349.00,349.00,349.00,8000,349.00
2012-05-24,340.25,349.75,340.25,349.75,15200,349.75
2012-05-23,344.00,347.00,340.00,340.00,17600,340.00
2012-05-22,339.00,339.00,330.25,337.25,17400,337.25
2012-05-21,333.00,340.00,333.00,337.75,17500,337.75
2012-05-14,343.00,353.00,343.00,345.11,13100,345.11
2012-05-11,346.00,353.00,343.00,345.00,19900,345.00
2012-05-10,357.75,359.00,346.00,359.00,2100,359.00
2012-05-09,348.25,361.00,346.00,346.00,9400,346.00
2012-05-08,365.00,365.00,348.00,348.00,5400,348.00
2012-05-04,355.25,363.00,355.00,355.00,2300,355.00
2012-05-03,355.00,362.75,355.00,355.00,8700,355.00
2012-05-02,353.50,364.75,353.50,357.00,26300,357.00
2012-05-01,371.00,372.00,352.00,352.00,10800,352.00
2012-04-30,360.25,373.55,355.00,355.50,64200,355.50
2012-04-27,364.25,369.00,360.00,360.00,15500,360.00
2012-04-26,367.50,367.50,351.76,360.00,12800,360.00
2012-04-25,353.00,364.49,350.76,351.76,6600,351.76
2012-04-24,350.25,353.00,350.25,353.00,4900,353.00
2012-04-23,355.00,364.89,351.96,360.00,14900,360.00
2012-04-20,360.00,362.50,360.00,360.00,4000,360.00
2012-04-19,350.25,367.99,350.25,352.00,9400,352.00
2012-04-18,348.50,363.00,347.37,360.00,14800,360.00
2012-04-17,348.25,355.00,348.25,348.50,6400,348.50
2012-04-16,360.00,360.00,350.27,358.00,8300,358.00
2012-04-13,352.25,369.75,348.50,350.00,20100,350.00
2012-04-12,365.00,368.00,352.00,352.00,2200,352.00
2012-04-11,358.50,361.62,352.00,352.00,11600,352.00
2012-04-10,356.25,369.24,350.00,350.00,21800,350.00
2012-04-05,368.59,369.49,368.00,368.00,7000,368.00
2012-04-04,359.50,368.25,356.00,356.00,5500,356.00
2012-04-03,361.25,370.00,360.00,360.00,20500,360.00
2012-04-02,369.00,372.05,360.50,360.50,10500,360.50
2012-03-30,366.00,367.25,362.00,362.00,22200,362.00
2012-03-29,355.80,359.38,355.80,356.00,42300,356.00
2012-03-28,356.25,364.00,356.00,356.00,4400,356.00
2012-03-27,363.51,371.93,348.75,356.00,10300,356.00
2012-03-26,363.25,363.25,363.00,363.00,5700,363.00
2012-03-23,373.00,373.00,369.00,373.00,5900,373.00
2012-03-22,370.89,372.00,372.00,372.00,2500,372.00
2012-03-21,363.25,370.89,363.00,363.00,4600,363.00
2012-03-20,365.25,370.64,363.00,363.00,5500,363.00
2012-03-19,366.00,373.68,365.00,365.00,16500,365.00
2012-03-16,365.25,374.00,365.00,366.75,162200,366.75
2012-03-15,367.00,373.00,365.08,370.00,14800,370.00
2012-03-14,366.00,372.75,366.00,370.00,16300,370.00
2012-03-13,370.00,372.75,365.00,370.00,11200,370.00
2012-03-12,375.75,376.00,371.88,376.00,1200,376.00
2012-03-09,375.75,376.00,369.30,376.00,3600,376.00
2012-03-08,375.75,376.00,362.80,376.00,8900,376.00
2012-03-07,374.00,374.00,372.00,374.00,1100,374.00
2012-03-06,368.85,368.85,368.77,368.77,3300,368.77
2012-03-05,376.00,376.00,368.16,375.00,14600,375.00
2012-03-02,375.00,378.00,372.77,378.00,4900,378.00
2012-03-01,373.00,382.00,373.00,375.36,5100,375.36
2012-02-29,377.00,377.00,377.00,377.00,1500,377.00
2012-02-28,376.00,380.88,376.00,376.00,1500,376.00
2012-02-27,373.50,373.50,372.60,373.50,1900,373.50
2012-02-24,376.00,379.75,376.00,379.75,23900,379.75
2012-02-23,377.14,377.14,374.58,374.58,12200,374.58
2012-02-22,377.00,377.00,372.00,372.00,8700,372.00
2012-02-21,378.75,379.92,371.02,375.50,13700,375.50
2012-02-20,377.00,380.00,372.19,380.00,21600,380.00
2012-02-17,375.00,380.75,372.21,380.00,14000,380.00
