Date,Open,High,Low,Close,Volume,Adj Close
2012-08-02,566.50,571.50,560.00,560.50,53900,563.00
2012-08-02,566.50,573.34,558.49,563.00,78000,563.00
2012-08-01,554.50,565.50,541.50,564.50,35100,564.50
2012-07-31,531.00,553.50,528.41,552.50,215100,552.50
2012-07-27,537.00,543.06,530.79,535.00,87500,535.00
2012-07-26,528.00,533.00,524.09,533.00,221400,533.00
2012-07-25,532.00,535.50,528.00,530.00,480800,530.00
2012-07-24,534.00,534.00,526.00,528.02,248700,528.02
2012-07-23,537.50,541.45,532.93,535.00,102800,535.00
2012-07-20,543.50,550.00,538.00,539.00,50800,539.00
2012-07-19,539.50,549.00,537.00,543.00,83200,543.00
2012-07-18,534.00,540.50,532.50,540.00,59900,540.00
2012-07-17,534.00,540.50,533.50,535.00,263900,535.00
2012-07-16,543.00,543.00,531.50,535.00,69600,535.00
2012-07-13,539.50,552.77,536.00,540.00,85600,540.00
2012-07-12,544.50,544.50,535.01,540.00,48500,540.00
2012-07-11,557.50,559.00,543.00,543.00,174700,543.00
2012-07-10,563.00,565.00,555.50,560.00,219300,560.00
2012-07-09,561.50,568.50,558.50,563.00,109700,563.00
2012-07-06,564.50,566.00,559.01,561.00,44200,561.00
2012-07-05,557.00,564.75,555.50,561.00,45400,561.00
2012-07-04,564.00,564.00,545.00,552.00,67900,552.00
2012-07-03,561.00,580.00,560.00,570.00,80400,570.00
2012-07-02,543.50,559.50,543.50,559.50,161500,559.50
2012-06-29,521.00,552.00,518.00,540.00,304200,540.00
2012-06-28,523.00,523.00,503.50,511.00,130100,511.00
2012-06-27,519.00,529.00,516.00,520.00,712600,520.00
2012-06-26,519.50,533.56,510.50,520.00,494800,520.00
2012-06-25,531.00,542.42,507.50,509.36,303100,509.36
2012-06-22,550.50,550.50,534.50,535.00,166900,535.00
2012-06-21,545.00,558.00,539.00,550.00,335500,550.00
2012-06-20,553.00,555.00,544.00,545.00,365900,545.00
2012-06-19,569.00,572.20,549.00,550.00,85700,550.00
2012-06-18,557.00,571.00,545.00,565.00,171200,565.00
2012-06-15,565.00,592.50,546.50,549.00,268900,549.00
2012-06-14,562.50,566.50,545.50,566.50,74300,566.50
2012-06-13,545.50,560.50,545.50,560.00,104500,560.00
2012-06-12,565.50,565.50,545.00,547.00,67800,547.00
2012-06-11,573.00,573.00,559.50,564.00,94000,564.00
2012-06-08,576.50,576.50,562.00,565.00,34900,565.00
2012-06-07,563.00,578.50,551.50,576.00,46600,576.00
2012-06-06,548.00,561.00,548.00,561.00,122300,561.00
2012-06-01,570.00,570.00,542.50,545.00,102600,545.00
2012-05-31,552.00,563.00,552.00,560.00,124600,560.00
2012-05-30,564.00,564.00,552.50,555.00,125600,555.00
2012-05-29,548.00,562.50,547.49,556.00,105800,556.00
2012-05-28,550.00,551.00,540.50,549.50,60100,549.50
2012-05-25,543.50,545.50,539.00,545.50,166300,545.50
2012-05-24,550.00,553.48,543.00,545.50,86500,545.50
2012-05-23,545.50,549.00,535.00,544.50,93200,544.50
2012-05-22,548.00,548.00,539.00,548.00,247400,548.00
2012-05-21,543.50,551.39,540.00,543.50,72600,543.50
2012-05-18,557.50,560.00,545.00,551.95,204600,551.95
2012-05-17,568.00,568.00,560.00,563.00,154800,563.00
2012-05-16,559.50,568.00,545.00,563.00,123200,563.00
2012-05-14,572.50,575.50,562.50,571.00,405200,571.00
2012-05-11,574.50,581.00,572.00,576.00,102300,576.00
2012-05-10,566.00,575.43,561.74,572.00,210800,572.00
2012-05-09,574.00,574.00,553.50,566.11,452600,566.11
2012-05-08,584.00,591.00,568.08,571.00,245400,571.00
2012-05-04,597.00,599.45,576.81,585.27,123800,585.27
2012-05-03,599.00,601.00,590.00,596.00,35800,596.00
2012-05-02,602.00,608.00,598.80,598.80,187400,598.80
2012-05-01,595.00,601.50,585.00,598.00,214300,598.00
2012-04-30,587.50,602.50,587.50,597.90,162000,597.90
2012-04-27,584.00,590.50,582.00,589.12,170800,589.12
2012-04-26,598.00,598.00,580.50,590.00,176200,590.00
2012-04-25,590.50,601.00,585.00,593.50,137100,593.50
2012-04-24,599.50,611.50,583.50,584.00,64700,584.00
2012-04-23,605.00,605.00,582.50,599.07,127400,599.07
2012-04-20,614.50,622.04,606.00,610.00,113100,610.00
2012-04-19,610.00,634.50,608.54,617.00,1198700,617.00
2012-04-18,598.50,607.00,594.00,607.00,92800,607.00
2012-04-17,589.50,598.50,585.00,596.00,97000,596.00
2012-04-16,586.00,595.50,578.50,592.50,207600,592.50
2012-04-13,580.00,587.50,579.00,585.00,83400,585.00
2012-04-12,576.00,585.00,570.00,583.50,172100,583.50
2012-04-11,570.00,582.12,564.00,576.50,209700,576.50
2012-04-10,555.00,573.00,552.14,570.00,578500,570.00
2012-04-05,557.50,562.50,551.83,558.00,211800,558.00
2012-04-04,561.50,562.00,551.58,558.50,77800,558.50
2012-04-03,565.00,566.50,557.38,563.00,87400,563.00
2012-04-02,560.00,568.00,554.00,561.50,134100,561.50
2012-03-30,562.50,566.00,557.00,558.00,64600,558.00
2012-03-29,565.00,570.50,560.00,563.00,377600,563.00
2012-03-28,559.00,567.50,556.00,562.50,84100,562.50
2012-03-27,565.50,570.00,555.50,562.00,103500,562.00
2012-03-26,551.00,567.50,551.00,562.50,100700,562.50
2012-03-23,560.00,562.55,530.00,552.00,288900,552.00
2012-03-22,562.50,571.50,553.00,560.00,102800,560.00
2012-03-21,563.50,568.50,554.50,562.50,195900,562.50
2012-03-20,561.00,567.50,553.00,560.00,254900,560.00
2012-03-19,556.00,577.67,550.00,565.00,1186400,565.00
2012-03-16,553.00,565.00,537.55,556.00,1900100,556.00
2012-03-15,669.00,669.00,515.50,565.13,3032000,565.13
2012-03-14,670.00,673.00,658.00,663.50,93500,663.50
2012-03-13,660.00,671.00,659.03,670.00,64200,670.00
2012-03-12,656.00,661.50,649.00,660.00,52400,660.00
2012-03-09,657.00,672.00,652.00,655.50,73100,655.50
2012-03-08,660.50,672.50,656.00,661.00,157900,661.00
2012-03-07,648.50,660.00,641.11,656.00,101300,656.00
2012-03-06,652.00,658.50,648.50,657.00,249000,657.00
2012-03-05,650.50,664.00,650.50,658.00,50500,658.00
2012-03-02,656.50,662.00,651.50,656.00,59900,656.00
2012-03-01,651.00,665.00,649.00,660.00,64100,660.00
2012-02-29,655.50,657.00,644.29,655.50,111900,655.50
2012-02-28,649.50,661.50,644.05,657.50,40500,657.50
2012-02-27,666.00,670.16,647.00,654.00,109400,654.00
2012-02-24,672.50,672.50,662.50,670.00,152400,670.00
2012-02-23,656.00,665.00,641.00,663.50,141800,663.50
2012-02-22,654.00,675.00,648.20,660.00,268400,660.00
2012-02-21,650.00,665.00,641.00,660.00,261400,660.00
2012-02-20,618.50,647.00,616.00,642.00,532300,642.00
2012-02-17,620.00,620.00,610.00,617.50,261500,617.50
2012-02-16,623.50,624.50,610.00,615.50,87900,615.50
2012-02-15,634.00,634.00,609.50,620.00,94700,620.00
2012-02-14,612.00,620.50,605.00,615.00,83600,615.00
2012-02-13,620.00,631.92,608.50,610.00,114900,610.00
2012-02-10,629.50,630.00,607.50,610.00,376200,610.00
2012-02-09,611.00,633.50,611.00,629.00,69800,629.00
2012-02-08,607.00,629.50,607.00,608.00,225300,608.00
2012-02-07,619.00,619.00,603.50,608.50,68600,608.50
2012-02-06,599.50,620.00,594.50,619.50,233100,619.50
2012-02-03,596.00,604.00,589.70,597.50,200000,597.50
2012-02-02,592.00,608.38,591.50,599.50,98700,599.50
2012-02-01,585.00,610.50,580.24,601.50,131600,601.50
2012-01-31,619.50,619.50,589.50,593.00,167400,593.00
2012-01-30,609.00,618.50,605.00,605.00,114300,605.00
2012-01-27,615.00,617.00,606.66,615.00,77400,615.00
2012-01-26,575.00,618.50,575.00,618.50,217100,618.50
2012-01-25,576.50,578.00,560.50,570.00,90900,570.00
2012-01-24,594.50,607.50,579.50,583.50,167200,583.50
2012-01-23,579.50,592.00,572.00,592.00,117300,592.00
2012-01-20,554.00,580.00,548.00,580.00,279700,580.00
2012-01-19,551.00,556.00,545.34,550.00,119700,550.00
2012-01-18,542.00,550.00,542.00,548.00,41600,548.00
2012-01-17,546.50,560.00,544.00,544.00,142300,544.00
2012-01-16,542.50,544.00,528.24,540.00,132200,540.00
2012-01-13,549.50,549.50,533.55,537.00,47300,537.00
2012-01-12,540.00,540.00,533.00,537.50,52700,537.50
2012-01-11,530.50,546.00,527.00,540.00,312800,540.00
2012-01-10,526.00,532.00,524.50,532.00,178600,532.00
2012-01-09,529.00,534.00,524.90,527.50,27800,527.50
2012-01-06,528.50,535.00,523.00,525.50,108300,525.50
2012-01-05,541.00,541.00,510.90,530.00,172300,530.00
2012-01-04,540.00,545.00,524.00,542.50,90900,542.50
2012-01-03,520.00,535.00,504.50,535.00,178400,535.00
2011-12-30,534.50,534.50,512.00,512.00,15100,512.00
2011-12-29,519.00,530.05,513.44,522.50,26300,522.50
2011-12-28,513.00,526.17,513.00,523.00,25000,523.00
2011-12-23,516.00,536.73,506.00,513.00,11100,513.00
2011-12-22,513.50,515.00,503.00,503.00,51500,503.00
2011-12-21,509.50,528.00,509.50,515.00,48100,515.00
2011-12-20,508.00,513.50,499.20,513.50,137800,513.50
2011-12-19,479.00,514.00,474.30,510.00,157000,510.00
2011-12-16,474.50,487.44,464.43,481.70,329800,481.70
2011-12-15,467.40,481.00,464.10,469.00,234100,469.00
2011-12-14,504.50,510.50,470.70,478.40,297400,478.40
2011-12-13,457.90,520.50,452.00,504.50,240000,504.50
2011-12-12,482.60,499.70,436.50,436.50,97000,436.50
2011-12-09,513.50,521.01,485.90,492.40,158300,492.40
2011-12-08,534.50,534.50,523.50,526.50,77200,526.50
2011-12-07,542.00,542.00,525.50,529.50,113400,529.50
2011-12-06,507.50,526.50,507.50,522.50,100600,522.50
2011-12-05,509.00,523.08,503.73,508.50,56000,508.50
2011-12-02,496.30,509.00,488.50,501.00,399900,501.00
2011-12-01,499.50,503.64,494.90,497.20,51700,497.20
2011-11-30,487.50,501.00,478.40,496.00,1268100,496.00
2011-11-29,492.50,502.50,483.66,492.80,205000,492.80
2011-11-28,494.80,517.50,491.60,496.10,103000,496.10
2011-11-25,497.90,505.00,492.30,494.70,43700,494.70
2011-11-24,492.80,496.50,478.35,494.80,26400,494.80
2011-11-23,487.00,496.45,485.20,489.50,77400,489.50
2011-11-22,496.50,498.20,485.90,493.00,145500,493.00
2011-11-21,487.60,497.50,479.90,482.80,59100,482.80
2011-11-18,489.60,508.50,489.60,499.30,86800,499.30
2011-11-17,505.00,513.50,492.80,500.50,108100,500.50
2011-11-16,520.50,537.00,504.50,509.00,120300,509.00
2011-11-15,537.50,540.50,527.63,522.50,174500,522.50
2011-11-14,556.50,546.50,538.87,540.00,171900,540.00
2011-11-11,547.50,559.00,533.50,557.00,168100,557.00
2011-11-10,568.00,571.00,535.00,540.50,405700,540.50
2011-11-09,583.50,583.50,564.00,571.00,407800,571.00
2011-11-08,566.50,578.50,560.40,578.50,316100,578.50
2011-11-07,567.00,570.00,555.00,563.50,52200,563.50
2011-11-04,566.00,566.50,556.50,564.00,249600,564.00
2011-11-03,553.00,564.00,547.00,556.50,161000,556.50
2011-11-02,548.00,557.50,538.50,555.50,436100,555.50
2011-11-01,570.00,570.00,540.50,542.00,567400,542.00
2011-10-31,570.50,580.00,570.50,572.26,190500,572.26
2011-10-28,567.00,579.00,562.95,576.00,111400,576.00
2011-10-27,566.00,572.00,555.00,562.50,78100,562.50
2011-10-26,548.50,555.00,544.50,555.00,728800,555.00
2011-10-25,557.50,558.75,547.00,553.00,47200,553.00
2011-10-24,539.50,550.00,538.00,550.00,63600,550.00
2011-10-21,531.50,544.00,531.50,537.50,80100,537.50
2011-10-20,535.00,542.50,526.50,527.00,918000,527.00
2011-10-19,534.00,554.00,530.50,538.50,631100,538.50
